id,name,position_gw1,team_gw1,prob_injury_gw1,xcost_gw1,xmins_gw1,xpts_gw1,position_gw2,team_gw2,prob_injury_gw2,xcost_gw2,xmins_gw2,xpts_gw2,position_gw3,team_gw3,prob_injury_gw3,xcost_gw3,xmins_gw3,xpts_gw3,position_gw4,team_gw4,prob_injury_gw4,xcost_gw4,xmins_gw4,xpts_gw4,total_xmins,total_xpts
369,Woodman,GKP,LIV,0.0,4.0,0.0,0.0,GKP,LIV,0.0,4.0,0.0,0.0,GKP,LIV,0.0,4.0,0.0,0.0,GKP,LIV,0.0,4.0,0.0,0.0,0.0,0.0
370,Frimpong,DEF,LIV,0.0,6.0,59.0,1.0,DEF,LIV,1.0,5.9,0.0,0.0,DEF,LIV,1.0,5.9,0.0,0.0,DEF,LIV,0.0,5.9,3.0,4.0,62.0,5.0
371,Kerkez,DEF,LIV,0.0,6.0,59.0,0.0,DEF,LIV,0.0,6.0,90.0,1.0,DEF,LIV,0.0,6.0,90.0,6.0,DEF,LIV,0.0,6.0,37.0,0.0,276.0,7.0
372,Robertson,DEF,LIV,0.0,6.0,30.0,0.0,DEF,LIV,0.0,6.0,0.0,0.0,DEF,LIV,0.0,5.9,0.0,0.0,DEF,LIV,0.0,5.9,52.0,1.0,82.0,1.0
373,Virgil,DEF,LIV,0.0,6.0,90.0,3.0,DEF,LIV,0.0,6.0,90.0,3.0,DEF,LIV,0.0,6.0,90.0,8.0,DEF,LIV,0.0,6.1,90.0,8.0,360.0,22.0
374,Konaté,DEF,LIV,0.0,5.5,90.0,1.0,DEF,LIV,0.0,5.5,90.0,0.0,DEF,LIV,0.0,5.5,78.0,6.0,DEF,LIV,0.0,5.5,86.0,9.0,344.0,16.0
375,Bradley,DEF,LIV,0.5,5.0,0.0,0.0,DEF,LIV,0.0,5.0,10.0,0.0,DEF,LIV,0.0,5.0,0.0,0.0,DEF,LIV,0.0,5.0,45.0,0.0,55.0,0.0
376,Gomez,DEF,LIV,0.0,5.0,18.0,1.0,DEF,LIV,0.0,5.0,0.0,0.0,DEF,LIV,0.0,5.0,11.0,1.0,DEF,LIV,0.0,5.0,0.0,0.0,29.0,2.0
377,Tsimikas,DEF,LIV,0.0,5.0,0.0,0.0,DEF,LIV,0.0,4.9,0.0,0.0,DEF,LIV,0.0,4.9,0.0,0.0,DEF,LIV,0.0,4.9,0.0,0.0,0.0,0.0
378,Nallo,DEF,LIV,0.0,4.0,0.0,0.0,DEF,LIV,0.0,4.0,0.0,0.0,DEF,LIV,0.0,3.9,0.0,0.0,DEF,LIV,0.0,3.9,0.0,0.0,0.0,0.0
379,R.Williams,DEF,LIV,0.0,4.0,0.0,0.0,DEF,LIV,0.0,4.0,0.0,0.0,DEF,LIV,0.0,3.9,0.0,0.0,DEF,LIV,0.0,3.9,0.0,0.0,0.0,0.0
380,Ramsay,DEF,LIV,0.0,4.0,0.0,0.0,DEF,LIV,0.0,4.0,0.0,0.0,DEF,LIV,0.0,3.9,0.0,0.0,DEF,LIV,0.0,3.9,0.0,0.0,0.0,0.0
381,M.Salah,MID,LIV,0.0,14.5,90.0,8.0,MID,LIV,0.0,14.5,90.0,5.0,MID,LIV,0.0,14.5,90.0,3.0,MID,LIV,0.0,14.5,90.0,9.0,360.0,25.0
382,Wirtz,MID,LIV,0.0,8.5,81.0,2.0,MID,LIV,0.0,8.4,79.0,2.0,MID,LIV,0.0,8.4,88.0,3.0,MID,LIV,0.0,8.4,86.0,3.0,334.0,10.0
383,Luis Díaz,MID,LIV,1.0,8.0,0.0,0.0,MID,LIV,1.0,8.0,0.0,0.0,MID,LIV,1.0,8.0,0.0,0.0,MID,LIV,1.0,8.0,0.0,0.0,0.0,0.0
384,Gakpo,MID,LIV,0.0,7.5,90.0,7.0,MID,LIV,0.0,7.6,90.0,10.0,MID,LIV,0.0,7.7,90.0,3.0,MID,LIV,0.0,7.7,90.0,3.0,360.0,23.0
385,Chiesa,MID,LIV,0.0,6.5,8.0,6.0,MID,LIV,0.0,6.5,10.0,1.0,MID,LIV,0.0,6.5,11.0,1.0,MID,LIV,0.0,6.5,18.0,1.0,47.0,9.0
386,Mac Allister,MID,LIV,0.0,6.5,71.0,5.0,MID,LIV,0.0,6.5,0.0,0.0,MID,LIV,0.0,6.4,60.0,3.0,MID,LIV,0.0,6.4,45.0,1.0,176.0,9.0
387,Szoboszlai,MID,LIV,0.0,6.5,90.0,2.0,MID,LIV,0.0,6.5,90.0,2.0,MID,LIV,0.0,6.5,90.0,13.0,MID,LIV,0.0,6.5,90.0,3.0,360.0,20.0
388,C.Jones,MID,LIV,0.0,5.5,18.0,1.0,MID,LIV,0.0,5.4,90.0,2.0,MID,LIV,0.0,5.4,29.0,4.0,MID,LIV,1.0,5.4,0.0,0.0,137.0,7.0
389,Elliott,MID,LIV,0.0,5.5,0.0,0.0,MID,LIV,0.0,5.4,1.0,1.0,MID,AST,0.0,5.4,0.0,0.0,MID,AST,0.0,5.4,19.0,1.0,20.0,2.0
390,Gravenberch,MID,LIV,0.0,5.5,0.0,0.0,MID,LIV,0.0,5.5,90.0,7.0,MID,LIV,0.0,5.5,90.0,2.0,MID,LIV,0.0,5.5,90.0,3.0,270.0,12.0
391,Doak,MID,BOU,0.0,5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
391,Gannon-Doak,MID,BOU,0.0,0.0,0.0,0.0,MID,BOU,0.0,5.0,0.0,0.0,MID,BOU,0.0,5.0,0.0,0.0,MID,BOU,0.0,5.0,0.0,0.0,0.0,0.0
392,Endo,MID,LIV,0.0,5.0,30.0,4.0,MID,LIV,0.0,5.0,1.0,1.0,MID,LIV,0.0,5.0,1.0,0.0,MID,LIV,0.0,4.9,0.0,0.0,32.0,5.0
393,Bajcetic,MID,LIV,0.0,4.5,0.0,0.0,MID,LIV,0.0,4.5,0.0,0.0,MID,LIV,0.0,4.4,0.0,0.0,MID,LIV,1.0,4.4,0.0,0.0,0.0,0.0
394,McConnell,MID,LIV,0.0,4.5,0.0,0.0,MID,LIV,0.0,4.5,0.0,0.0,MID,LIV,0.0,4.4,0.0,0.0,MID,LIV,0.0,4.4,0.0,0.0,0.0,0.0
395,Morton,MID,LIV,1.0,4.5,0.0,0.0,MID,LIV,1.0,4.5,0.0,0.0,MID,LIV,1.0,4.5,0.0,0.0,MID,LIV,1.0,4.5,0.0,0.0,0.0,0.0
396,Nyoni,MID,LIV,0.0,4.5,0.0,0.0,MID,LIV,0.0,4.4,0.0,0.0,MID,LIV,0.0,4.4,0.0,0.0,MID,LIV,0.0,4.4,0.0,0.0,0.0,0.0
397,Darwin,FWD,LIV,1.0,6.5,0.0,0.0,FWD,LIV,1.0,6.5,0.0,0.0,FWD,LIV,1.0,6.5,0.0,0.0,FWD,LIV,1.0,6.5,0.0,0.0,0.0,0.0
398,Danns,FWD,LIV,0.0,4.5,0.0,0.0,FWD,LIV,0.0,4.5,0.0,0.0,FWD,LIV,0.0,4.4,0.0,0.0,FWD,LIV,0.0,4.4,0.0,0.0,0.0,0.0
399,Ederson M.,GKP,MCI,0.0,5.5,0.0,0.0,GKP,MCI,0.0,5.4,0.0,0.0,GKP,MCI,1.0,5.3,0.0,0.0,GKP,MCI,1.0,5.3,0.0,0.0,0.0,0.0
400,Ortega Moreno,GKP,MCI,0.0,5.0,0.0,0.0,GKP,MCI,0.0,4.9,0.0,0.0,GKP,MCI,0.0,4.9,0.0,0.0,GKP,MCI,0.0,4.9,0.0,0.0,0.0,0.0
401,Bettinelli,GKP,MCI,0.0,4.0,0.0,0.0,GKP,MCI,1.0,4.0,0.0,0.0,GKP,MCI,1.0,4.0,0.0,0.0,GKP,MCI,0.0,4.0,0.0,0.0,0.0,0.0
402,Aït-Nouri,DEF,MCI,0.0,6.0,90.0,9.0,DEF,MCI,0.25,6.1,22.0,1.0,DEF,MCI,0.0,6.0,90.0,0.0,DEF,MCI,0.75,5.9,0.0,0.0,202.0,10.0
403,Gvardiol,DEF,MCI,1.0,6.0,0.0,0.0,DEF,MCI,1.0,5.9,0.0,0.0,DEF,MCI,1.0,5.8,0.0,0.0,DEF,MCI,0.0,5.8,90.0,6.0,90.0,6.0
404,Akanji,DEF,MCI,0.0,5.5,0.0,0.0,DEF,MCI,0.0,5.4,0.0,0.0,DEF,MCI,1.0,5.4,0.0,0.0,DEF,MCI,1.0,5.4,0.0,0.0,0.0,0.0
405,Aké,DEF,MCI,0.0,5.5,0.0,0.0,DEF,MCI,0.0,5.5,67.0,1.0,DEF,MCI,0.0,5.5,0.0,0.0,DEF,MCI,0.0,5.4,2.0,1.0,69.0,2.0
406,Khusanov,DEF,MCI,0.0,5.5,8.0,1.0,DEF,MCI,0.0,5.4,0.0,0.0,DEF,MCI,0.25,5.4,84.0,1.0,DEF,MCI,0.0,5.4,90.0,8.0,182.0,10.0
407,Matheus N.,DEF,MCI,0.0,5.5,24.0,1.0,DEF,MCI,0.0,5.4,0.0,0.0,DEF,MCI,0.0,5.4,84.0,2.0,DEF,MCI,0.0,5.4,0.0,0.0,108.0,3.0
408,Rúben,DEF,MCI,0.0,5.5,90.0,6.0,DEF,MCI,0.0,5.5,90.0,1.0,DEF,MCI,0.0,5.5,5.0,1.0,DEF,MCI,0.0,5.5,90.0,6.0,275.0,14.0
409,Stones,DEF,MCI,0.0,5.5,81.0,6.0,DEF,MCI,0.0,5.5,90.0,1.0,DEF,MCI,0.0,5.5,90.0,1.0,DEF,MCI,0.5,5.5,0.0,0.0,261.0,8.0
410,Lewis,DEF,MCI,0.0,5.0,65.0,11.0,DEF,MCI,0.0,5.0,90.0,1.0,DEF,MCI,0.25,5.0,5.0,1.0,DEF,MCI,0.0,5.0,0.0,0.0,160.0,13.0
411,O’Reilly,DEF,MCI,0.0,5.0,24.0,0.0,DEF,MCI,0.0,4.9,0.0,0.0,DEF,MCI,0.25,4.9,18.0,1.0,DEF,MCI,0.0,4.9,90.0,6.0,132.0,7.0
412,Vitor Reis,DEF,MCI,1.0,5.0,0.0,0.0,DEF,MCI,1.0,5.0,0.0,0.0,DEF,MCI,1.0,5.0,0.0,0.0,DEF,MCI,1.0,5.0,0.0,0.0,0.0,0.0
413,Marmoush,MID,MCI,0.0,8.5,24.0,1.0,MID,MCI,0.0,8.4,53.0,1.0,MID,MCI,0.0,8.4,71.0,7.0,MID,MCI,1.0,8.3,0.0,0.0,148.0,9.0
414,Foden,MID,MCI,0.0,8.0,0.0,0.0,MID,MCI,0.0,8.0,15.0,1.0,MID,MCI,0.0,8.0,0.0,0.0,MID,MCI,0.0,8.0,90.0,12.0,105.0,13.0
415,Savinho,MID,MCI,1.0,7.0,0.0,0.0,MID,MCI,1.0,6.9,0.0,0.0,MID,MCI,1.0,6.9,0.0,0.0,MID,MCI,0.0,6.9,13.0,1.0,13.0,1.0
416,Bernardo,MID,MCI,0.0,6.5,65.0,3.0,MID,MCI,0.0,6.5,36.0,1.0,MID,MCI,0.0,6.4,71.0,2.0,MID,MCI,0.0,6.4,87.0,6.0,259.0,12.0
417,Cherki,MID,MCI,0.0,6.5,17.0,6.0,MID,MCI,0.0,6.5,53.0,1.0,MID,MCI,1.0,6.5,0.0,0.0,MID,MCI,1.0,6.4,0.0,0.0,70.0,7.0
418,Doku,MID,MCI,0.0,6.5,65.0,3.0,MID,MCI,0.0,6.4,36.0,1.0,MID,MCI,0.0,6.4,18.0,1.0,MID,MCI,0.0,6.4,76.0,10.0,195.0,15.0
419,Grealish,MID,EVE,0.0,6.5,19.0,1.0,MID,EVE,0.0,6.5,90.0,11.0,MID,EVE,0.0,6.7,87.0,10.0,MID,EVE,0.0,6.8,90.0,2.0,286.0,24.0
420,Gündoğan,MID,MCI,0.0,6.5,0.0,0.0,MID,MCI,0.0,6.4,0.0,0.0,MID,MCI,1.0,6.3,0.0,0.0,MID,MCI,1.0,6.3,0.0,0.0,0.0,0.0
421,Rodrigo,MID,MCI,0.0,6.5,0.0,0.0,MID,MCI,0.0,6.4,15.0,1.0,MID,MCI,0.0,6.4,90.0,2.0,MID,MCI,0.0,6.4,75.0,3.0,180.0,6.0
422,Kovačić,MID,MCI,1.0,6.0,0.0,0.0,MID,MCI,1.0,6.0,0.0,0.0,MID,MCI,1.0,6.0,0.0,0.0,MID,MCI,1.0,6.0,0.0,0.0,0.0,0.0
423,N.Gonzalez,MID,MCI,0.0,6.0,90.0,3.0,MID,MCI,0.0,6.0,74.0,1.0,MID,MCI,0.0,6.0,0.0,0.0,MID,MCI,0.0,6.0,14.0,1.0,178.0,5.0
424,Bobb,MID,MCI,0.0,5.5,90.0,6.0,MID,MCI,0.0,5.5,74.0,2.0,MID,MCI,0.0,5.5,90.0,2.0,MID,MCI,0.0,5.5,3.0,1.0,257.0,11.0
425,Echeverri,MID,MCI,0.0,5.5,0.0,0.0,MID,MCI,1.0,5.4,0.0,0.0,MID,MCI,1.0,5.4,0.0,0.0,MID,MCI,1.0,5.4,0.0,0.0,0.0,0.0
426,McAtee,MID,NOT,0.0,5.5,0.0,0.0,MID,NOT,0.0,5.5,18.0,1.0,MID,NOT,0.0,5.5,32.0,1.0,MID,NOT,0.0,5.4,17.0,1.0,67.0,3.0
427,Reijnders,MID,MCI,0.0,5.6,90.0,10.0,MID,MCI,0.0,5.7,90.0,2.0,MID,MCI,0.0,5.7,90.0,2.0,MID,MCI,0.0,5.7,90.0,3.0,360.0,17.0
428,Nypan,MID,MCI,1.0,5.0,0.0,0.0,MID,MCI,1.0,5.0,0.0,0.0,MID,MCI,1.0,5.0,0.0,0.0,MID,MCI,1.0,5.0,0.0,0.0,0.0,0.0
429,Phillips,MID,MCI,0.0,5.0,0.0,0.0,MID,MCI,0.0,5.0,0.0,0.0,MID,MCI,0.0,4.9,0.0,0.0,MID,MCI,0.0,4.9,0.0,0.0,0.0,0.0
430,Haaland,FWD,MCI,0.0,14.0,72.0,13.0,FWD,MCI,0.0,14.1,90.0,2.0,FWD,MCI,0.0,14.1,90.0,9.0,FWD,MCI,0.0,14.1,86.0,13.0,338.0,37.0
431,Bayindir,GKP,MUN,0.0,5.0,90.0,2.0,GKP,MUN,0.0,5.0,90.0,2.0,GKP,MUN,0.0,5.0,90.0,1.0,GKP,MUN,0.0,5.0,90.0,2.0,360.0,7.0
432,Onana,GKP,MUN,0.0,5.0,0.0,0.0,GKP,MUN,0.0,5.0,0.0,0.0,GKP,MUN,0.0,4.9,0.0,0.0,GKP,MUN,1.0,4.9,0.0,0.0,0.0,0.0
433,Harrison,GKP,MUN,1.0,4.0,0.0,0.0,GKP,MUN,1.0,4.0,0.0,0.0,GKP,MUN,1.0,4.0,0.0,0.0,GKP,MUN,1.0,4.0,0.0,0.0,0.0,0.0
434,Heaton,GKP,MUN,0.0,4.0,0.0,0.0,GKP,MUN,0.0,4.0,0.0,0.0,GKP,MUN,0.0,4.0,0.0,0.0,GKP,MUN,0.0,4.0,0.0,0.0,0.0,0.0
435,Mee,GKP,MUN,0.0,4.0,0.0,0.0,GKP,MUN,0.0,4.0,0.0,0.0,GKP,MUN,0.0,4.0,0.0,0.0,GKP,MUN,0.0,4.0,0.0,0.0,0.0,0.0
436,De Ligt,DEF,MUN,0.0,5.0,90.0,4.0,DEF,MUN,0.0,5.0,90.0,7.0,DEF,MUN,0.0,5.0,90.0,1.0,DEF,MUN,0.0,5.0,90.0,1.0,360.0,13.0
437,Martinez,DEF,MUN,1.0,5.0,0.0,0.0,DEF,MUN,1.0,4.9,0.0,0.0,DEF,MUN,1.0,4.9,0.0,0.0,DEF,MUN,1.0,4.9,0.0,0.0,0.0,0.0
438,Mazraoui,DEF,MUN,1.0,5.0,0.0,0.0,DEF,MUN,1.0,4.9,0.0,0.0,DEF,MUN,0.0,4.9,5.0,1.0,DEF,MUN,0.0,4.9,61.0,1.0,66.0,2.0
439,D.Leon,DEF,MUN,0.0,4.5,0.0,0.0,DEF,MUN,0.0,4.5,0.0,0.0,DEF,MUN,0.0,4.4,0.0,0.0,DEF,MUN,0.0,4.4,0.0,0.0,0.0,0.0
440,Dalot,DEF,MUN,0.0,4.5,54.0,1.0,DEF,MUN,0.0,4.5,38.0,1.0,DEF,MUN,0.25,4.5,90.0,4.0,DEF,MUN,1.0,4.5,0.0,0.0,182.0,6.0
441,Dorgu,DEF,MUN,0.0,4.5,90.0,1.0,DEF,MUN,0.0,4.5,90.0,2.0,DEF,MUN,0.0,4.5,0.0,0.0,DEF,MUN,0.0,4.5,90.0,1.0,270.0,4.0
442,Maguire,DEF,MUN,0.0,4.5,10.0,1.0,DEF,MUN,0.0,4.5,3.0,1.0,DEF,MUN,0.0,4.5,0.0,0.0,DEF,MUN,0.0,4.4,28.0,1.0,41.0,3.0
443,Shaw,DEF,MUN,0.0,4.5,79.0,2.0,DEF,MUN,0.0,4.5,86.0,2.0,DEF,MUN,0.0,4.5,90.0,1.0,DEF,MUN,0.0,4.5,90.0,1.0,345.0,6.0
444,Yoro,DEF,MUN,0.0,4.5,90.0,4.0,DEF,MUN,0.0,4.5,86.0,6.0,DEF,MUN,0.0,4.5,84.0,1.0,DEF,MUN,0.0,4.5,61.0,1.0,321.0,12.0
445,Amass,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,1.0,4.0,0.0,0.0,DEF,MUN,1.0,4.0,0.0,0.0,0.0,0.0
446,Fredricson,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,3.9,0.0,0.0,0.0,0.0
447,Heaven,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,3.0,1.0,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,0.0,0.0,3.0,1.0
448,Malacia,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,4.0,0.0,0.0,DEF,MUN,0.0,3.9,0.0,0.0,0.0,0.0
449,B.Fernandes,MID,MUN,0.0,9.0,90.0,2.0,MID,MUN,0.0,9.0,90.0,2.0,MID,MUN,0.0,9.0,90.0,10.0,MID,MUN,0.0,9.0,90.0,2.0,360.0,16.0
450,Cunha,MID,MUN,0.0,8.0,90.0,2.0,MID,MUN,0.0,8.1,90.0,2.0,MID,MUN,0.25,8.1,30.0,1.0,MID,MUN,1.0,8.0,0.0,0.0,210.0,5.0
451,Rashford,MID,MUN,1.0,7.0,0.0,0.0,MID,MUN,1.0,7.0,0.0,0.0,MID,MUN,1.0,7.0,0.0,0.0,MID,MUN,1.0,7.0,0.0,0.0,0.0,0.0
452,Amad,MID,MUN,0.0,6.5,35.0,1.0,MID,MUN,0.0,6.4,51.0,1.0,MID,MUN,0.0,6.4,90.0,5.0,MID,MUN,0.0,6.4,90.0,2.0,266.0,9.0
453,Garnacho,MID,MUN,0.0,6.5,0.0,0.0,MID,MUN,0.0,6.4,0.0,0.0,MID,CHE,0.0,6.4,0.0,0.0,MID,CHE,0.0,6.4,11.0,1.0,11.0,1.0
454,Antony,MID,MUN,0.0,6.0,0.0,0.0,MID,MUN,0.0,5.9,0.0,0.0,MID,MUN,1.0,5.9,0.0,0.0,MID,MUN,1.0,5.9,0.0,0.0,0.0,0.0
455,Mount,MID,MUN,0.0,6.0,64.0,2.0,MID,MUN,0.0,6.0,68.0,3.0,MID,MUN,0.25,6.0,45.0,1.0,MID,MUN,1.0,5.9,0.0,0.0,177.0,6.0
456,Sancho,MID,MUN,0.0,6.0,0.0,0.0,MID,MUN,0.0,5.9,0.0,0.0,MID,AST,0.0,5.9,0.0,0.0,MID,AST,0.0,5.9,0.0,0.0,0.0,0.0
457,Casemiro,MID,MUN,0.0,5.5,64.0,2.0,MID,MUN,0.0,5.5,52.0,0.0,MID,MUN,0.0,5.5,71.0,5.0,MID,MUN,0.0,5.5,10.0,1.0,197.0,8.0
458,Mainoo,MID,MUN,0.0,5.0,0.0,0.0,MID,MUN,0.0,4.9,0.0,0.0,MID,MUN,0.0,4.9,45.0,1.0,MID,MUN,0.0,4.9,28.0,1.0,73.0,2.0
459,Ugarte,MID,MUN,0.0,5.0,25.0,1.0,MID,MUN,0.0,4.9,21.0,1.0,MID,MUN,0.0,4.9,0.0,0.0,MID,MUN,0.0,4.9,79.0,4.0,125.0,6.0
460,Collyer,MID,MUN,1.0,4.5,0.0,0.0,MID,MUN,1.0,4.5,0.0,0.0,MID,MUN,1.0,4.5,0.0,0.0,MID,MUN,1.0,4.5,0.0,0.0,0.0,0.0
461,Fitzgerald,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,0.0,0.0
462,J.Fletcher,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.4,0.0,0.0,MID,MUN,0.0,4.4,0.0,0.0,0.0,0.0
463,Kone,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.4,0.0,0.0,0.0,0.0
464,Moorhouse,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,MID,MUN,0.0,4.5,0.0,0.0,0.0,0.0
465,Højlund,FWD,MUN,0.0,6.5,0.0,0.0,FWD,MUN,0.0,6.4,0.0,0.0,FWD,MUN,1.0,6.3,0.0,0.0,FWD,MUN,1.0,6.3,0.0,0.0,0.0,0.0
466,Zirkzee,FWD,MUN,0.0,6.0,0.0,0.0,FWD,MUN,0.0,5.9,0.0,0.0,FWD,MUN,0.0,5.9,59.0,1.0,FWD,MUN,0.0,5.9,10.0,1.0,69.0,2.0
467,Obi,FWD,MUN,0.0,4.5,0.0,0.0,FWD,MUN,0.0,4.5,0.0,0.0,FWD,MUN,0.0,4.4,0.0,0.0,FWD,MUN,0.0,4.4,0.0,0.0,0.0,0.0
468,Wheatley,FWD,MUN,0.0,4.5,0.0,0.0,FWD,MUN,0.0,4.5,0.0,0.0,FWD,MUN,0.0,4.5,0.0,0.0,FWD,MUN,0.0,4.5,0.0,0.0,0.0,0.0
469,Pope,GKP,NEW,0.0,5.0,90.0,9.0,GKP,NEW,0.0,5.0,90.0,4.0,GKP,NEW,0.0,5.0,90.0,5.0,GKP,NEW,0.0,5.0,90.0,8.0,360.0,26.0
470,Dúbravka,GKP,BUR,0.0,4.0,90.0,2.0,GKP,BUR,0.0,4.0,90.0,6.0,GKP,BUR,0.0,4.0,90.0,2.0,GKP,BUR,0.0,4.0,90.0,3.0,360.0,13.0
471,Gillespie,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,0.0,0.0
472,Odysseas,GKP,NEW,1.0,4.0,0.0,0.0,GKP,NEW,1.0,4.0,0.0,0.0,GKP,NEW,1.0,4.0,0.0,0.0,GKP,NEW,1.0,4.0,0.0,0.0,0.0,0.0
473,Hall,DEF,NEW,0.0,5.5,0.0,0.0,DEF,NEW,0.0,5.5,14.0,1.0,DEF,NEW,0.0,5.4,29.0,1.0,DEF,NEW,0.0,5.4,0.0,0.0,43.0,2.0
474,Schär,DEF,NEW,0.0,5.5,90.0,8.0,DEF,NEW,0.75,5.5,80.0,1.0,DEF,NEW,0.0,5.5,90.0,6.0,DEF,NEW,0.0,5.5,90.0,8.0,350.0,23.0
475,Botman,DEF,NEW,0.0,5.0,0.0,0.0,DEF,NEW,0.0,4.9,0.0,0.0,DEF,NEW,0.0,4.9,67.0,8.0,DEF,NEW,0.0,4.9,1.0,1.0,68.0,9.0
476,Burn,DEF,NEW,0.0,5.0,90.0,9.0,DEF,NEW,0.0,5.0,90.0,2.0,DEF,NEW,0.0,5.0,90.0,6.0,DEF,NEW,0.0,5.0,90.0,6.0,360.0,23.0
477,Livramento,DEF,NEW,0.0,5.0,90.0,9.0,DEF,NEW,0.0,5.0,90.0,4.0,DEF,NEW,0.0,5.1,90.0,6.0,DEF,NEW,0.0,5.1,90.0,6.0,360.0,25.0
478,Trippier,DEF,NEW,0.0,5.0,90.0,6.0,DEF,NEW,0.0,5.0,75.0,1.0,DEF,NEW,0.0,5.0,61.0,6.0,DEF,NEW,0.0,5.0,90.0,8.0,316.0,21.0
479,Krafth,DEF,NEW,0.0,4.5,0.0,0.0,DEF,NEW,0.0,4.5,0.0,0.0,DEF,NEW,0.0,4.5,0.0,0.0,DEF,NEW,0.0,4.4,0.0,0.0,0.0,0.0
480,Lascelles,DEF,NEW,0.0,4.5,0.0,0.0,DEF,NEW,0.0,4.5,0.0,0.0,DEF,NEW,0.0,4.4,0.0,0.0,DEF,NEW,0.0,4.4,0.0,0.0,0.0,0.0
481,A.Murphy,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,0.0,0.0
482,Ashby,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,3.9,0.0,0.0,0.0,0.0
483,Pivas,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,3.9,0.0,0.0,0.0,0.0
484,Targett,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,0.0,0.0
485,Gordon,MID,NEW,0.0,7.5,90.0,3.0,MID,NEW,1.0,7.5,47.0,-2.0,MID,NEW,1.0,7.4,0.0,0.0,MID,NEW,1.0,7.4,0.0,0.0,137.0,1.0
486,Elanga,MID,NEW,0.0,7.0,77.0,3.0,MID,NEW,0.0,7.0,90.0,2.0,MID,NEW,0.0,7.0,28.0,1.0,MID,NEW,0.0,7.0,10.0,1.0,205.0,7.0
487,Barnes,MID,NEW,0.0,6.5,89.0,3.0,MID,NEW,0.0,6.5,75.0,2.0,MID,NEW,0.0,6.5,22.0,1.0,MID,NEW,0.0,6.5,79.0,3.0,265.0,9.0
488,Bruno G.,MID,NEW,0.0,6.5,90.0,3.0,MID,NEW,0.0,6.5,90.0,6.0,MID,NEW,0.0,6.5,90.0,3.0,MID,NEW,0.0,6.5,90.0,2.0,360.0,14.0
489,J.Murphy,MID,NEW,0.0,6.5,12.0,1.0,MID,NEW,0.0,6.4,0.0,0.0,MID,NEW,0.0,6.3,61.0,3.0,MID,NEW,0.0,6.3,90.0,6.0,163.0,10.0
490,Joelinton,MID,NEW,0.0,6.0,82.0,2.0,MID,NEW,0.5,6.0,75.0,2.0,MID,NEW,1.0,5.9,0.0,0.0,MID,NEW,0.0,5.9,64.0,3.0,221.0,7.0
491,Tonali,MID,NEW,0.0,5.5,90.0,3.0,MID,NEW,0.5,5.5,65.0,2.0,MID,NEW,0.0,5.4,90.0,3.0,MID,NEW,0.0,5.4,90.0,3.0,335.0,11.0
492,Antoñito C.,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,4.9,0.0,0.0,MID,NEW,0.0,4.9,0.0,0.0,0.0,0.0
