id,name,position_gw1,team_gw1,prob_injury_gw1,xcost_gw1,xmins_gw1,xpts_gw1,position_gw2,team_gw2,prob_injury_gw2,xcost_gw2,xmins_gw2,xpts_gw2,position_gw3,team_gw3,prob_injury_gw3,xcost_gw3,xmins_gw3,xpts_gw3,position_gw4,team_gw4,prob_injury_gw4,xcost_gw4,xmins_gw4,xpts_gw4,total_xmins,total_xpts
276,Devenny,MID,CRY,0.0,4.5,6.0,1.0,MID,CRY,0.0,4.5,65.0,2.0,MID,CRY,0.0,4.5,5.0,1.0,MID,CRY,0.0,4.5,21.0,1.0,97.0,5.0
277,Ebiowei,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,0.0,0.0
278,J.Rak-Sakyi,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.4,0.0,0.0,0.0,0.0
279,M.França,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,0.0,0.0
280,Ozoh,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,MID,CRY,1.0,4.5,0.0,0.0,0.0,0.0
281,Rodney,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,0.0,0.0
282,Umeh,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,MID,CRY,0.0,4.5,0.0,0.0,0.0,0.0
283,Mateta,FWD,CRY,0.0,7.5,90.0,1.0,FWD,CRY,0.0,7.5,87.0,2.0,FWD,CRY,0.0,7.5,84.0,5.0,FWD,CRY,0.0,7.6,90.0,2.0,351.0,10.0
284,Nketiah,FWD,CRY,1.0,5.5,0.0,0.0,FWD,CRY,1.0,5.4,0.0,0.0,FWD,CRY,1.0,5.4,0.0,0.0,FWD,CRY,0.5,5.4,0.0,0.0,0.0,0.0
285,Édouard,FWD,CRY,0.0,5.0,0.0,0.0,FWD,CRY,0.0,5.0,2.0,1.0,FWD,CRY,1.0,5.0,0.0,0.0,FWD,CRY,1.0,5.0,0.0,0.0,2.0,1.0
286,Marsh,FWD,CRY,0.0,4.5,0.0,0.0,FWD,CRY,0.0,4.5,0.0,0.0,FWD,CRY,0.0,4.5,0.0,0.0,FWD,CRY,0.0,4.5,0.0,0.0,0.0,0.0
287,Pickford,GKP,EVE,0.0,5.5,90.0,2.0,GKP,EVE,0.0,5.5,90.0,15.0,GKP,EVE,0.0,5.5,90.0,1.0,GKP,EVE,0.0,5.5,90.0,6.0,360.0,24.0
288,Travers,GKP,EVE,0.0,4.5,0.0,0.0,GKP,EVE,0.0,4.5,0.0,0.0,GKP,EVE,0.0,4.5,0.0,0.0,GKP,EVE,0.0,4.5,0.0,0.0,0.0,0.0
289,Tyrer,GKP,EVE,0.0,4.0,0.0,0.0,GKP,EVE,0.0,4.0,0.0,0.0,GKP,EVE,0.0,4.0,0.0,0.0,GKP,EVE,0.0,4.0,0.0,0.0,0.0,0.0
290,Branthwaite,DEF,EVE,1.0,5.5,0.0,0.0,DEF,EVE,1.0,5.4,0.0,0.0,DEF,EVE,1.0,5.3,0.0,0.0,DEF,EVE,1.0,5.3,0.0,0.0,0.0,0.0
291,Tarkowski,DEF,EVE,0.0,5.5,90.0,4.0,DEF,EVE,0.0,5.5,90.0,8.0,DEF,EVE,0.0,5.5,90.0,3.0,DEF,EVE,0.0,5.5,90.0,8.0,360.0,23.0
292,Mykolenko,DEF,EVE,0.25,5.0,0.0,0.0,DEF,EVE,1.0,4.9,0.0,0.0,DEF,EVE,0.25,4.9,90.0,1.0,DEF,EVE,0.25,4.9,0.0,0.0,90.0,1.0
293,O'Brien,DEF,EVE,0.0,5.0,90.0,2.0,DEF,EVE,0.0,5.0,90.0,6.0,DEF,EVE,0.0,5.0,90.0,1.0,DEF,EVE,0.0,5.0,90.0,6.0,360.0,15.0
294,Coleman,DEF,EVE,0.0,4.5,0.0,0.0,DEF,EVE,0.0,4.5,0.0,0.0,DEF,EVE,0.0,4.5,1.0,1.0,DEF,EVE,0.0,4.4,0.0,0.0,1.0,1.0
295,Keane,DEF,EVE,0.0,4.5,90.0,2.0,DEF,EVE,0.0,4.5,90.0,8.0,DEF,EVE,0.0,4.5,90.0,3.0,DEF,EVE,0.0,4.5,90.0,6.0,360.0,19.0
296,Patterson,DEF,EVE,0.25,4.5,0.0,0.0,DEF,EVE,1.0,4.5,0.0,0.0,DEF,EVE,1.0,4.4,0.0,0.0,DEF,EVE,0.0,4.4,0.0,0.0,0.0,0.0
297,Dixon,DEF,EVE,0.0,4.0,0.0,0.0,DEF,EVE,0.0,4.0,0.0,0.0,DEF,EVE,0.0,4.0,0.0,0.0,DEF,EVE,0.0,4.0,0.0,0.0,0.0,0.0
298,Welch,DEF,EVE,0.0,4.0,0.0,0.0,DEF,EVE,0.0,4.0,0.0,0.0,DEF,EVE,0.0,4.0,0.0,0.0,DEF,EVE,0.0,4.0,0.0,0.0,0.0,0.0
299,Ndiaye,MID,EVE,0.0,6.5,90.0,2.0,MID,EVE,0.0,6.5,63.0,8.0,MID,EVE,0.0,6.5,90.0,7.0,MID,EVE,0.0,6.5,90.0,5.0,333.0,22.0
300,McNeil,MID,EVE,0.0,6.0,0.0,0.0,MID,EVE,0.0,5.9,19.0,1.0,MID,EVE,0.0,5.8,0.0,0.0,MID,EVE,0.0,5.7,0.0,0.0,19.0,1.0
301,Alcaraz,MID,EVE,0.0,5.5,85.0,1.0,MID,EVE,0.0,5.4,26.0,1.0,MID,EVE,0.0,5.4,2.0,1.0,MID,EVE,0.0,5.3,0.0,0.0,113.0,3.0
302,Gana,MID,EVE,0.0,5.5,90.0,2.0,MID,EVE,0.0,5.5,90.0,3.0,MID,EVE,0.0,5.4,75.0,2.0,MID,EVE,0.0,5.4,90.0,3.0,345.0,10.0
303,Garner,MID,EVE,0.0,5.0,90.0,2.0,MID,EVE,0.0,5.0,90.0,10.0,MID,EVE,0.0,5.0,90.0,4.0,MID,EVE,0.0,5.0,90.0,5.0,360.0,21.0
304,Iroegbunam,MID,EVE,0.0,5.0,70.0,2.0,MID,EVE,0.0,5.0,70.0,2.0,MID,EVE,0.0,5.0,14.0,1.0,MID,EVE,0.0,5.0,65.0,2.0,219.0,7.0
305,Armstrong,MID,EVE,0.25,4.5,0.0,0.0,MID,EVE,0.0,4.5,1.0,1.0,MID,EVE,1.0,4.5,0.0,0.0,MID,EVE,1.0,4.5,0.0,0.0,1.0,1.0
306,Bates,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,0.0,0.0
307,Ebere,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,0.0,0.0
308,Heath,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,0.0,4.5,0.0,0.0,MID,EVE,1.0,4.5,0.0,0.0,MID,EVE,1.0,4.5,0.0,0.0,0.0,0.0
309,Metcalfe,MID,EVE,1.0,4.5,0.0,0.0,MID,EVE,1.0,4.5,0.0,0.0,MID,EVE,1.0,4.5,0.0,0.0,MID,EVE,1.0,4.5,0.0,0.0,0.0,0.0
310,Barry,FWD,EVE,0.0,6.0,4.0,1.0,FWD,EVE,0.0,5.9,63.0,2.0,FWD,EVE,0.0,5.9,14.0,1.0,FWD,EVE,0.0,5.8,15.0,1.0,96.0,5.0
311,Beto,FWD,EVE,0.0,5.5,90.0,2.0,FWD,EVE,0.0,5.4,26.0,0.0,FWD,EVE,0.0,5.4,75.0,7.0,FWD,EVE,0.0,5.4,74.0,2.0,265.0,11.0
312,Y.Chermiti,FWD,EVE,0.0,5.0,0.0,0.0,FWD,EVE,0.0,5.0,0.0,0.0,FWD,EVE,1.0,4.9,0.0,0.0,FWD,EVE,1.0,4.9,0.0,0.0,0.0,0.0
313,Sherif,FWD,EVE,0.0,4.5,0.0,0.0,FWD,EVE,0.0,4.5,0.0,0.0,FWD,EVE,0.0,4.4,0.0,0.0,FWD,EVE,0.0,4.4,0.0,0.0,0.0,0.0
314,Leno,GKP,FUL,0.0,5.0,90.0,3.0,GKP,FUL,0.0,5.0,90.0,3.0,GKP,FUL,0.0,5.0,90.0,2.0,GKP,FUL,0.0,5.0,90.0,8.0,360.0,16.0
315,Benda,GKP,FUL,1.0,4.0,0.0,0.0,GKP,FUL,1.0,4.0,0.0,0.0,GKP,FUL,1.0,4.0,0.0,0.0,GKP,FUL,1.0,4.0,0.0,0.0,0.0,0.0
316,Robinson,DEF,FUL,1.0,5.0,0.0,0.0,DEF,FUL,0.0,5.0,28.0,1.0,DEF,FUL,0.0,5.0,23.0,1.0,DEF,FUL,0.0,5.0,0.0,0.0,51.0,2.0
317,Andersen,DEF,FUL,0.0,4.5,90.0,2.0,DEF,FUL,0.0,4.5,90.0,4.0,DEF,FUL,0.0,4.5,90.0,3.0,DEF,FUL,0.0,4.5,90.0,10.0,360.0,19.0
318,Bassey,DEF,FUL,0.0,4.5,90.0,1.0,DEF,FUL,0.0,4.5,90.0,2.0,DEF,FUL,0.0,4.5,90.0,1.0,DEF,FUL,0.0,4.5,90.0,9.0,360.0,13.0
319,Castagne,DEF,FUL,0.0,4.5,6.0,1.0,DEF,FUL,0.0,4.5,61.0,2.0,DEF,FUL,0.0,4.5,59.0,0.0,DEF,FUL,0.0,4.5,0.0,0.0,126.0,3.0
320,Diop,DEF,FUL,0.0,4.5,0.0,0.0,DEF,FUL,0.0,4.5,0.0,0.0,DEF,FUL,0.0,4.4,0.0,0.0,DEF,FUL,0.0,4.4,0.0,0.0,0.0,0.0
321,J.Cuenca,DEF,FUL,0.0,4.5,83.0,2.0,DEF,FUL,0.0,4.5,0.0,0.0,DEF,FUL,0.0,4.5,0.0,0.0,DEF,FUL,0.0,4.4,0.0,0.0,83.0,2.0
322,Tete,DEF,FUL,0.0,4.5,90.0,2.0,DEF,FUL,0.0,4.5,90.0,2.0,DEF,FUL,0.0,4.5,90.0,3.0,DEF,FUL,0.0,4.5,90.0,6.0,360.0,13.0
323,Amissah,DEF,FUL,0.0,4.0,0.0,0.0,DEF,FUL,0.0,4.0,0.0,0.0,DEF,FUL,0.0,4.0,0.0,0.0,DEF,FUL,0.0,4.0,0.0,0.0,0.0,0.0
324,Iwobi,MID,FUL,0.0,6.5,65.0,2.0,MID,FUL,0.0,6.5,90.0,7.0,MID,FUL,0.0,6.5,83.0,1.0,MID,FUL,0.0,6.5,75.0,3.0,313.0,13.0
325,Smith Rowe,MID,FUL,0.0,6.0,13.0,1.0,MID,FUL,0.0,5.9,19.0,6.0,MID,FUL,0.0,5.9,23.0,1.0,MID,FUL,0.0,5.9,30.0,1.0,85.0,9.0
326,Adama,MID,FUL,0.0,5.5,24.0,1.0,MID,FUL,0.0,5.4,0.0,0.0,MID,FUL,0.0,5.4,6.0,1.0,MID,FUL,0.0,5.4,30.0,1.0,60.0,3.0
