name,position,cost,xmins,ep_gw23,ep_gw24,ep_gw25
M.Salah,MID,13.7,89,9.6,12.8,7.9
Alexander-Arnold,DEF,7.3,77,5.6,8.3,5.1
Son,MID,9.8,83,6.6,5.1,6.4
Luis Díaz,MID,7.5,67,5.4,7.8,4.4
Gakpo,FWD,7.5,68,5.1,7.6,4.5
Palmer,MID,11.3,88,4.7,6.9,5.0
Isak,FWD,9.5,88,6.5,5.9,4.0
Virgil,DEF,6.4,91,4.9,7.1,4.2
A.Becker,GKP,5.5,93,4.4,7.5,4.1
Szoboszlai,MID,6.3,78,5.3,6.8,3.7
Robertson,DEF,5.9,71,4.7,6.8,4.1
Ødegaard,MID,8.3,90,5.6,4.5,5.5
Mbeumo,MID,7.8,89,4.9,5.6,5.0
Haaland,FWD,14.7,84,5.6,4.5,5.4
Mac Allister,MID,6.2,82,4.2,6.5,3.7
Havertz,FWD,7.8,87,5.1,4.1,5.2
Watkins,FWD,8.9,74,4.9,4.2,5.1
Eze,MID,6.7,83,5.2,4.2,4.8
Konaté,DEF,5.2,85,4.5,5.5,4.1
Mateta,FWD,7.4,73,4.7,4.1,5.2
Kluivert,MID,5.6,84,5.3,3.7,4.8
Calvert-Lewin,FWD,5.4,71,3.4,7.2,3.1
Martinelli,MID,6.7,76,5.0,3.8,4.9
B.Fernandes,MID,8.4,89,4.4,4.9,4.3
C. Wood,FWD,7.1,84,4.3,4.8,4.5
Foden,MID,9.3,87,5.0,3.7,4.8
Kulusevski,MID,6.4,91,5.2,3.7,4.5
Gordon,MID,7.7,85,5.2,4.8,3.4
Rogers,MID,5.6,88,4.7,3.9,4.6
Richarlison,FWD,6.8,72,4.8,4.1,4.4
Raúl,FWD,5.7,74,4.5,3.5,5.0
Pickford,GKP,5.0,92,3.2,6.6,3.1
Semenyo,MID,5.6,89,4.7,3.6,4.7
Gravenberch,MID,5.0,86,3.6,5.9,3.3
Ndiaye,FWD,5.4,81,3.0,6.6,2.9
João Pedro,FWD,5.6,79,4.7,3.7,3.5
I.Sarr,MID,5.8,74,4.1,3.4,4.2
Iwobi,MID,5.9,82,4.0,3.2,4.5
N.Jackson,FWD,7.9,79,3.5,4.6,3.7
Amad,MID,5.6,85,3.8,4.4,3.5
Pedro Porro,DEF,5.4,88,4.9,3.0,3.8
Darwin,FWD,7.0,53,4.3,4.9,2.5
De Bruyne,MID,9.4,74,4.3,3.2,4.1
A.Doucoure,MID,5.1,82,2.8,6.1,2.7
Trossard,MID,6.8,58,3.8,3.7,4.0
Raya,GKP,5.6,92,3.9,3.6,3.9
Wissa,FWD,6.3,77,3.5,4.1,3.7
E. Martinez,GKP,5.0,94,3.7,3.6,4.0
Gabriel,DEF,6.4,91,4.1,3.1,4.0
Kudus,MID,6.2,85,3.7,3.3,4.2
Gibbs-White,MID,6.4,79,3.6,4.2,3.4
Kinsky,GKP,4.5,93,3.9,3.1,4.2
Tielemans,MID,5.5,85,3.7,3.4,3.9
Leno,GKP,5.0,95,3.6,3.3,4.2
Mitoma,MID,6.3,78,4.2,3.3,3.4
O.Dango,MID,5.0,70,3.7,3.0,4.2
Vardy,FWD,5.5,80,3.6,3.9,3.3
J.Murphy,MID,5.1,74,4.1,3.9,2.8
Arrizabalaga,GKP,4.5,94,3.6,3.1,3.8
Henderson,GKP,4.5,94,3.6,3.3,3.6
H. Wilson,MID,5.2,69,3.9,2.7,3.8
J.Timber,DEF,5.6,87,3.9,2.9,3.7
Cash,DEF,4.4,81,3.5,3.0,3.9
Digne,DEF,4.6,69,3.3,3.1,3.9
Maddison,MID,7.5,63,4.4,3.0,2.9
Verbruggen,GKP,4.5,92,3.6,3.3,3.3
Cunha,FWD,6.9,87,3.4,4.0,2.8
Konsa,DEF,4.4,88,3.3,3.0,3.9
Muñoz,DEF,4.8,88,3.7,2.7,3.8
Rice,MID,6.2,82,3.4,3.1,3.6
Flekken,GKP,4.4,95,3.3,3.4,3.3
Sels,GKP,5.0,94,3.4,3.4,3.3
Andre Onana,GKP,5.1,94,3.3,3.4,3.3
Sánchez,GKP,4.8,94,3.1,3.6,3.3
Delap,FWD,5.6,75,2.7,4.2,2.9
Nwaneri,MID,4.5,55,3.5,2.7,3.5
L.Paquetá,MID,5.7,75,3.3,2.8,3.6
Mings,DEF,4.4,88,3.3,2.9,3.5
Mykolenko,DEF,4.3,83,2.2,5.3,1.9
Saliba,DEF,6.2,95,2.6,3.0,3.9
Welbeck,FWD,5.5,59,3.5,3.1,2.8
Elanga,MID,5.3,71,3.2,3.3,2.9
Smith Rowe,MID,5.2,64,3.2,2.7,3.5
Mitchell,DEF,4.8,88,3.4,2.5,3.5
José Sá,GKP,4.3,93,3.0,3.2,3.1
Bruno G.,MID,6.1,92,3.7,3.2,2.4
Bernardo,MID,6.2,83,3.4,2.6,3.3
Kerkez,DEF,4.8,91,3.4,2.1,3.8
Strand Larsen,FWD,5.3,82,3.2,3.5,2.6
Ederson M.,GKP,5.3,90,3.4,2.6,3.2
Estupiñan,DEF,5.0,90,4.1,2.6,2.5
Robinson,DEF,5.1,89,3.3,2.2,3.7
Guéhi,DEF,4.6,93,3.3,2.4,3.4
Hall,DEF,5.1,83,3.8,3.4,1.9
Fabianski,GKP,4.1,87,3.0,2.9,3.2
Walton,GKP,4.3,86,2.9,3.3,2.9
Schär,DEF,5.4,86,3.8,3.5,1.8
Onuachu,FWD,4.9,72,3.1,3.1,2.9
Sancho,MID,6.2,60,2.6,3.4,3.1
Lacroix,DEF,4.5,91,3.2,2.4,3.3
Joelinton,MID,6.0,85,3.4,3.2,2.4
Hutchinson,MID,5.2,83,2.4,3.8,2.7
Tarkowski,DEF,4.8,89,2.0,5.0,1.9
Madueke,MID,6.1,58,2.6,3.4,2.8
Hudson-Odoi,MID,5.2,72,2.3,3.3,3.1
Gvardiol,DEF,5.9,90,3.4,2.1,3.2
Ramsey,MID,5.4,67,3.3,2.9,2.5
Huijsen,DEF,4.4,90,3.2,1.8,3.6
Malen,MID,5.5,35,2.5,2.7,3.5
Højlund,FWD,6.9,64,3.1,3.1,2.4
Ramsdale,GKP,4.4,89,2.2,3.3,3.1
Branthwaite,DEF,4.8,90,2.0,4.7,1.9
C.Richards,DEF,4.4,86,3.0,2.3,3.1
Mavididi,MID,5.1,66,2.8,3.0,2.6
Mangala,MID,5.0,71,2.2,4.3,1.9
Castagne,DEF,4.2,89,3.1,2.0,3.2
Dragusin,DEF,4.3,90,3.7,2.4,2.2
Christie,MID,4.9,86,3.0,2.5,2.9
Andersen,DEF,4.2,90,3.0,2.0,3.4
A. Armstrong,FWD,5.1,64,3.0,2.9,2.4
Aina,DEF,5.4,89,2.5,3.2,2.6
Enzo,MID,4.9,75,2.2,3.4,2.7
Gana,MID,4.8,74,2.1,4.2,1.8
Stolarczyk,GKP,4.0,92,3.0,3.2,1.9
Lindstrøm,MID,5.0,48,2.1,4.3,1.6
Souček,MID,4.9,84,2.7,2.4,2.9
Cucurella,DEF,5.2,87,1.9,3.6,2.5
Lewis-Potter,MID,5.0,81,2.7,2.8,2.5
Tonali,MID,5.5,79,3.1,2.6,2.2
N.Williams,DEF,4.4,87,2.4,3.0,2.5
Garnacho,MID,5.9,64,3.0,2.7,2.2
Tavernier,MID,5.4,56,1.6,2.6,3.7
Van Hecke,DEF,4.5,88,3.3,2.3,2.2
Brooks,MID,4.9,61,3.0,2.2,2.6
Dalot,DEF,5.0,88,2.5,3.0,2.3
Anderson,MID,5.0,80,2.6,2.7,2.5
Livramento,DEF,4.5,71,3.2,2.9,1.7
Andreas,MID,5.0,48,2.6,2.1,3.1
Cook,MID,5.0,87,2.8,2.4,2.5
Damsgaard,MID,5.0,66,2.5,2.7,2.5
Bassey,DEF,4.5,90,2.8,1.8,3.1
Zabarnyi,DEF,4.4,91,2.9,1.7,3.1
