name,position,cost,xmins,ep_gw22,ep_gw23,ep_gw24
M.Salah,MID,13.7,91,6.9,8.9,12.6
Alexander-Arnold,DEF,7.2,82,4.2,5.6,8.1
Isak,FWD,9.4,89,6.1,5.9,5.6
Palmer,MID,11.4,75,5.5,4.6,7.1
Ødegaard,MID,8.3,89,6.2,5.7,4.9
Luis Díaz,MID,7.5,66,3.1,5.5,7.4
Haaland,FWD,14.8,82,6.2,5.7,4.0
A.Becker,GKP,5.4,94,3.8,4.3,7.1
Gordon,MID,7.7,89,5.1,5.2,4.9
Gakpo,FWD,7.4,65,3.8,4.5,6.8
B.Fernandes,MID,8.4,90,5.3,4.5,5.1
Son,MID,9.8,85,4.7,5.7,4.5
C. Wood,FWD,7.0,78,5.7,4.2,4.9
Virgil,DEF,6.4,89,3.5,4.6,6.7
Mbeumo,MID,7.8,88,4.3,4.7,5.4
Martinelli,MID,6.7,79,5.1,5.1,4.1
Robertson,DEF,5.9,68,3.3,4.5,6.6
Havertz,FWD,7.8,85,5.0,4.7,4.3
Mac Allister,MID,6.2,80,3.2,4.2,6.5
Konaté,DEF,5.1,91,3.4,4.4,6.1
Eze,MID,6.7,86,4.7,4.9,4.1
Solanke,FWD,7.5,84,4.2,5.3,4.1
Trossard,MID,6.8,71,4.7,4.9,4.0
Diogo J.,MID,7.2,37,2.1,4.3,7.1
Foden,MID,9.2,76,5.2,4.8,3.4
N.Jackson,FWD,8.0,82,5.4,3.2,4.6
Pickford,GKP,5.0,92,3.3,3.1,6.6
Gibbs-White,MID,6.4,79,5.2,3.5,4.2
Ndiaye,FWD,5.4,87,3.6,2.9,6.3
Calvert-Lewin,FWD,5.4,58,3.4,3.1,6.1
Watkins,FWD,8.9,77,3.3,5.0,4.3
Amad,MID,5.5,86,4.5,3.7,4.3
Mateta,FWD,7.3,79,4.3,4.4,3.6
J.Murphy,MID,5.1,77,4.1,4.2,3.8
Gravenberch,MID,5.0,86,3.0,3.3,5.8
João Pedro,FWD,5.6,74,3.7,4.6,3.6
Szoboszlai,MID,6.3,53,2.9,3.5,5.6
De Bruyne,MID,9.4,71,4.9,3.9,3.0
Hudson-Odoi,MID,5.2,82,4.8,3.2,3.7
Raya,GKP,5.6,95,4.0,3.9,3.5
Semenyo,MID,5.6,89,3.6,4.3,3.4
A.Doucoure,MID,5.1,85,3.1,2.6,5.6
Gabriel,DEF,6.4,91,4.1,4.0,3.2
Raúl,FWD,5.7,73,4.3,3.9,3.0
Rogers,MID,5.5,87,3.0,4.2,3.8
Vardy,FWD,5.5,82,4.2,3.3,3.6
Kluivert,MID,5.5,82,3.7,4.2,3.1
Kulusevski,MID,6.4,87,3.6,4.0,3.2
Pedro Porro,DEF,5.4,89,3.6,4.6,2.8
Sels,GKP,5.0,95,4.0,3.3,3.4
Mitoma,MID,6.3,77,3.3,4.1,3.3
Hall,DEF,5.0,86,3.5,3.7,3.5
Iwobi,MID,5.9,86,4.0,3.7,2.9
Kudus,MID,6.2,83,4.3,3.2,3.1
L.Paquetá,MID,5.7,76,4.2,3.3,3.1
Saliba,DEF,6.3,90,3.8,3.8,2.9
Sánchez,GKP,4.8,91,3.8,3.1,3.7
Sancho,MID,6.2,73,4.2,2.7,3.5
Wissa,FWD,6.2,73,3.1,3.4,3.9
I.Sarr,MID,5.9,74,2.7,4.2,3.4
J.Timber,DEF,5.7,85,3.9,3.5,2.8
Kinsky,GKP,4.5,92,3.4,3.8,3.1
E. Martinez,GKP,5.0,93,3.1,3.6,3.6
Andre Onana,GKP,5.1,93,3.5,3.3,3.5
Bernardo,MID,6.3,87,4.0,3.5,2.7
Joelinton,MID,6.0,87,3.4,3.5,3.3
Leno,GKP,5.0,93,3.6,3.5,3.1
Aina,DEF,5.3,92,4.5,2.5,3.2
Cunha,FWD,7.0,84,2.6,3.4,4.0
Elanga,MID,5.3,59,3.9,2.9,3.4
Henderson,GKP,4.5,94,3.4,3.4,3.2
Verbruggen,GKP,4.5,94,3.3,3.6,3.2
Bruno G.,MID,6.1,90,3.3,3.5,3.1
Delap,FWD,5.6,73,3.1,2.6,4.2
Harrison,MID,5.2,59,2.9,2.4,4.6
Mykolenko,DEF,4.3,88,2.8,2.1,5.0
O.Dango,MID,5.0,75,3.2,3.6,3.1
Arrizabalaga,GKP,4.5,92,3.2,3.5,3.1
Gvardiol,DEF,6.0,94,4.6,3.1,2.0
N.Williams,DEF,4.3,85,4.4,2.4,3.0
Flekken,GKP,4.4,92,3.1,3.3,3.2
Tielemans,MID,5.5,82,2.7,3.6,3.2
A. Young,DEF,4.7,78,2.7,2.1,4.8
Fabianski,GKP,4.1,93,3.4,3.1,2.9
Jones,MID,5.3,48,2.3,2.8,4.4
Ramsdale,GKP,4.4,94,3.1,3.0,3.3
Walton,GKP,4.3,91,3.0,3.1,3.5
Mavididi,MID,5.1,73,3.5,2.8,3.1
Sterling,MID,6.7,45,3.0,3.5,3.0
Strand Larsen,FWD,5.4,83,3.1,2.8,3.4
H. Wilson,MID,5.2,67,3.7,3.1,2.5
José Sá,GKP,4.3,93,3.1,3.0,3.2
Estupiñan,DEF,5.0,88,2.8,4.0,2.4
Milenković,DEF,4.8,92,4.2,2.1,2.9
Rice,MID,6.2,83,3.4,3.2,2.7
Tarkowski,DEF,4.8,92,2.6,1.9,4.7
Cucurella,DEF,5.2,90,4.0,1.8,3.3
Hutchinson,MID,5.2,88,2.9,2.4,3.7
Madueke,MID,6.1,61,3.9,2.1,3.1
Muñoz,DEF,4.8,88,2.9,3.5,2.6
Branthwaite,DEF,4.8,88,2.4,1.9,4.6
Dalot,DEF,5.0,85,3.1,2.6,3.2
Murillo,DEF,4.6,87,4.0,2.2,2.7
