name,position,cost,xmins,ep_gw24,ep_gw25,ep_gw26
L.Paquetá,MID,5.7,66,2.2,3.6,2.5
Dunk,DEF,4.2,86,2.4,2.6,3.3
Mitchell,DEF,4.8,90,2.5,3.4,2.4
Hee Chan,MID,6.1,76,3.8,2.3,2.2
Davis,DEF,4.4,88,4.0,1.8,2.5
Schade,MID,5.1,57,3.2,2.5,2.6
Hermansen,GKP,4.4,74,2.0,3.0,3.3
Andreas,MID,5.0,47,2.1,3.4,2.6
Jaden,MID,5.3,72,3.7,2.4,2.1
Christie,MID,4.9,84,2.5,3.0,2.6
James,DEF,4.8,52,2.8,2.9,2.4
Colwill,DEF,4.5,86,3.3,2.5,2.3
Guéhi,DEF,4.6,92,2.4,3.3,2.3
J. O'Brien,DEF,4.5,73,4.4,1.7,1.9
Van Hecke,DEF,4.5,93,2.4,2.4,3.2
Damsgaard,MID,5.0,64,2.8,2.5,2.6
Enciso,MID,5.4,66,3.7,2.2,2.1
Garnacho,MID,5.9,67,3.4,2.2,2.3
Chalobah,DEF,4.4,81,3.3,2.7,1.9
Tonali,MID,5.5,74,2.7,2.3,2.9
Collins,DEF,4.5,87,2.7,2.4,2.7
Lacroix,DEF,4.5,90,2.4,3.1,2.3
Van den Berg,DEF,4.1,87,2.7,2.3,2.9
Livramento,DEF,4.5,72,3.1,1.6,3.1
Adama,MID,4.7,65,2.7,3.1,2.1
Bassey,DEF,4.5,89,1.8,3.4,2.7
Aina,DEF,5.4,92,3.3,2.6,2.0
Mavididi,MID,5.1,64,2.9,2.2,2.7
Areola,GKP,4.2,79,2.7,2.9,2.2
Cook,MID,5.0,88,2.5,2.7,2.5
Pinnock,DEF,4.4,68,2.2,2.6,2.9
Berge,MID,5.0,82,2.2,3.1,2.3
Mazraoui,DEF,4.3,79,3.1,2.3,2.3
C.Richards,DEF,4.4,90,2.3,3.0,2.2
Bailey,MID,6.2,40,2.3,3.6,1.7
P. Neto,MID,6.2,49,2.8,2.5,2.2
N.Williams,DEF,4.4,82,3.1,2.3,2.0
Jørgensen,GKP,4.2,67,2.7,2.7,2.1
Anderson,MID,5.0,75,2.7,2.4,2.2
Nørgaard,MID,4.8,84,2.7,2.3,2.3
Souček,MID,4.9,83,2.5,2.8,2.1
Dibling,MID,4.5,56,2.6,2.4,2.4
L. Martinez,DEF,4.4,80,2.8,2.0,2.5
M.Fernandes,MID,5.0,77,2.5,2.3,2.5
Milenković,DEF,4.8,89,2.9,2.4,2.0
Caicedo,MID,4.9,88,2.6,2.6,2.0
J.Ayew,MID,5.2,54,2.3,2.2,2.7
Murillo,DEF,4.7,88,2.9,2.4,1.8
Baleba,MID,5.0,82,2.3,2.4,2.4
De Ligt,DEF,4.9,73,2.7,2.0,2.4
Hause,DEF,3.9,71,2.6,3.5,0.9
Akanji,DEF,5.3,84,1.9,3.0,2.1
Brooks,MID,4.9,59,2.4,2.4,2.1
Morsy,MID,4.9,89,2.6,2.1,2.2
Veltman,DEF,4.4,81,2.2,2.1,2.6
Calafiori,DEF,5.8,42,1.8,2.6,2.4
Winks,MID,4.4,88,2.4,2.1,2.3
Janelt,MID,4.9,65,2.3,2.3,2.3
Lukić,MID,4.8,78,2.2,2.4,2.1
Muniz,FWD,5.5,30,1.7,3.0,1.9
Bentancur,MID,4.9,70,2.2,2.5,1.9
Marmoush,FWD,7.0,40,1.9,2.7,2.1
Ayari,MID,5.0,63,2.1,2.2,2.2
Zirkzee,FWD,6.5,49,2.7,2.0,1.9
Hughes,MID,4.9,71,2.3,2.3,2.0
