name,position,cost,xmins,ep_gw11,ep_gw12,ep_gw13
M.Salah,MID,12.8,87,6.7,6.8,4.7
Haaland,FWD,15.3,89,6.3,6.7,4.6
Saka,MID,10.1,87,5.0,6.1,5.2
Mbeumo,MID,7.9,88,5.4,4.7,5.4
B.Fernandes,MID,8.3,83,5.4,4.6,5.4
Palmer,MID,11.0,77,4.0,5.9,5.5
Solanke,FWD,7.7,92,6.4,3.3,4.9
Son,MID,9.9,74,5.8,3.6,5.1
Foden,MID,9.3,75,5.1,5.3,3.6
Mateta,FWD,7.3,90,5.2,4.1,4.3
Isak,FWD,8.4,89,4.6,5.0,4.0
Bowen,MID,7.5,91,5.5,4.0,3.9
Rashford,MID,6.9,72,4.7,4.3,4.1
Luis Díaz,MID,7.7,72,4.7,4.7,3.4
Gordon,MID,7.2,88,4.3,4.6,3.9
C. Wood,FWD,6.6,85,4.4,3.2,4.9
Alexander-Arnold,DEF,7.0,80,4.5,5.1,2.8
Ødegaard,MID,8.2,58,2.8,5.3,4.3
Havertz,FWD,8.0,85,3.8,4.4,4.1
Cunha,FWD,6.7,79,4.5,3.5,4.0
Watkins,FWD,9.0,79,3.4,4.7,3.8
Garnacho,MID,6.4,73,4.2,3.7,3.7
Welbeck,FWD,5.9,82,3.5,3.5,4.6
Raúl,FWD,5.8,72,3.7,4.5,3.3
De Bruyne,MID,9.4,47,3.2,4.4,3.8
Strand Larsen,FWD,5.6,80,4.6,3.1,3.6
Brennan Johnson,MID,6.7,83,5.0,2.6,3.6
Martinelli,MID,6.9,69,3.5,4.2,3.4
Raya,GKP,5.6,92,3.5,4.0,3.6
Kamada,MID,5.1,87,4.6,3.3,3.2
Calvert-Lewin,FWD,5.8,72,3.8,4.0,3.3
Pedro Porro,DEF,5.5,89,5.2,1.7,4.1
Andre Onana,GKP,5.1,92,3.7,3.6,3.7
Vardy,FWD,5.7,79,3.6,3.9,3.6
Wissa,FWD,6.0,75,3.8,3.5,3.7
