name,position,cost,xmins,ep_gw18,ep_gw19,ep_gw20
M.Salah,MID,13.5,81,8.2,6.5,7.2
Haaland,FWD,14.8,89,7.2,6.5,6.7
Palmer,MID,11.3,85,6.9,6.5,5.6
Ødegaard,MID,8.4,81,6.5,5.0,4.7
Foden,MID,9.1,70,5.1,5.2,5.5
Son,MID,9.8,79,4.7,6.0,5.0
Diogo J.,MID,7.2,69,6.0,3.8,4.5
Alexander-Arnold,DEF,7.1,77,5.4,4.1,4.8
Isak,FWD,9.0,84,5.2,4.5,4.4
Trossard,MID,6.8,62,5.2,4.4,4.2
Solanke,FWD,7.5,87,4.5,4.6,4.7
Martinelli,MID,6.7,66,5.3,4.5,3.9
De Bruyne,MID,9.5,67,4.8,4.3,4.5
B.Fernandes,MID,8.4,84,5.0,4.8,3.6
Mbeumo,MID,7.6,85,4.3,3.8,5.1
Havertz,FWD,7.9,69,5.0,3.9,4.1
Eze,MID,6.6,66,3.3,5.1,3.9
João Pedro,FWD,5.8,76,4.8,3.8,3.6
A.Becker,GKP,5.4,93,4.3,3.8,4.0
Semenyo,MID,5.6,79,4.2,3.7,4.2
C. Wood,FWD,6.6,75,4.2,3.8,4.1
Bowen,MID,7.5,84,5.2,3.5,3.3
Raya,GKP,5.6,94,4.4,3.7,3.7
Virgil,DEF,6.5,91,4.7,3.3,3.7
Gvardiol,DEF,6.0,87,4.4,3.8,3.5
Gabriel,DEF,6.3,87,4.9,3.5,3.3
Mateta,FWD,7.2,69,3.6,4.8,3.2
Strand Larsen,FWD,5.6,80,3.9,3.4,4.2
G.Jesus,FWD,6.8,66,5.0,3.3,3.1
Evanilson,FWD,6.0,64,3.7,3.7,4.0
N.Jackson,FWD,8.3,66,4.1,3.4,3.8
Luis Díaz,MID,7.5,54,4.2,3.2,3.8
Saliba,DEF,6.3,91,4.8,3.3,3.1
Gordon,MID,7.2,75,4.1,3.4,3.6
Kluivert,MID,5.5,66,4.0,3.2,3.6
Iwobi,MID,5.8,81,3.0,3.7,4.2
E. Martinez,GKP,5.0,92,3.2,3.5,3.9
J.Timber,DEF,5.7,82,4.8,3.0,2.9
Rogers,MID,5.4,72,3.2,3.4,4.0
Arrizabalaga,GKP,4.5,93,3.6,3.3,3.7
Forster,GKP,4.3,94,3.4,3.6,3.4
Wissa,FWD,6.3,78,3.6,2.9,3.9
Sánchez,GKP,4.8,92,3.7,3.5,3.2
Leno,GKP,5.0,92,3.1,3.5,3.7
Akanji,DEF,5.3,80,3.6,3.4,3.2
Henderson,GKP,4.4,93,3.2,3.8,3.2
Duran,FWD,5.9,60,3.2,3.7,3.2
Kulusevski,MID,6.4,68,2.9,4.0,3.3
I.Sarr,MID,5.8,71,3.2,4.0,2.9
Raúl,FWD,5.5,53,2.6,3.1,4.5
Aké,DEF,5.3,75,3.6,3.1,3.4
