name,position,cost,xmins,ep_gw13,ep_gw14,ep_gw15
Palmer,MID,10.9,91,6.8,6.7,4.9
Haaland,FWD,15.1,88,4.9,7.5,5.9
Saka,MID,10.2,83,5.8,6.6,5.5
M.Salah,MID,13.1,88,5.7,5.6,6.0
Son,MID,9.9,87,6.0,5.1,5.0
Mbeumo,MID,7.9,88,6.3,4.5,4.9
Ødegaard,MID,8.2,88,5.0,5.3,4.8
B.Fernandes,MID,8.5,90,5.8,3.5,5.5
Solanke,FWD,7.6,90,5.4,4.6,4.5
Watkins,FWD,9.0,79,3.8,5.1,5.4
De Bruyne,MID,9.4,76,3.7,5.5,4.9
Bowen,MID,7.4,89,3.9,4.8,5.3
Foden,MID,9.1,75,3.5,5.5,4.4
Havertz,FWD,7.9,84,4.4,4.5,4.1
Mateta,FWD,7.2,91,4.8,4.6,3.3
Vardy,FWD,5.6,85,4.0,4.4,4.2
Isak,FWD,8.5,80,4.3,3.9,4.1
João Pedro,FWD,5.6,73,5.1,3.4,3.8
Cunha,FWD,7.0,89,4.7,3.7,3.9
Welbeck,FWD,6.0,74,4.7,3.5,4.0
Mitoma,MID,6.4,85,4.7,3.6,3.9
N.Jackson,FWD,8.0,78,4.6,4.2,3.3
Brennan Johnson,MID,6.7,78,4.2,3.7,3.8
C. Wood,FWD,6.6,79,5.1,3.1,3.5
Rogers,MID,5.4,82,3.1,4.0,4.4
Evanilson,FWD,6.0,72,3.8,3.9,3.8
Martinelli,MID,6.9,61,3.6,4.0,3.7
Raya,GKP,5.5,93,3.7,3.9,3.7
Gordon,MID,7.2,85,3.9,3.3,3.9
Raúl,FWD,5.7,73,3.4,4.3,3.4
Strand Larsen,FWD,5.6,79,4.1,3.5,3.5
Pedro Porro,DEF,5.5,89,4.3,3.4,3.3
Luis Díaz,MID,7.6,69,3.7,3.5,3.8
E. Martinez,GKP,5.0,93,3.2,3.6,3.9
Kulusevski,MID,6.3,82,3.9,3.3,3.4
Ederson M.,GKP,5.5,93,3.2,4.0,3.4
McNeil,MID,5.6,90,3.4,4.1,3.1
Calafiori,DEF,5.8,81,3.5,3.8,3.3
Verbruggen,GKP,4.5,92,3.9,3.3,3.4
Wissa,FWD,6.1,70,4.2,3.0,3.3
I.Sarr,MID,5.7,87,4.2,3.9,2.4
Calvert-Lewin,FWD,5.6,71,3.4,4.1,3.0
Madueke,MID,6.4,63,3.5,4.0,3.0
Andre Onana,GKP,5.1,94,3.7,3.1,3.6
McGinn,MID,5.2,86,3.0,3.5,3.9
Sánchez,GKP,4.7,91,3.5,3.7,3.1
Flekken,GKP,4.5,93,3.8,3.2,3.4
Arrizabalaga,GKP,4.5,93,3.4,3.3,3.5
Saliba,DEF,6.0,92,3.4,3.6,3.2
Forster,GKP,4.3,90,3.6,3.3,3.2
J.Timber,DEF,5.5,88,3.6,3.5,2.9
Sels,GKP,4.7,94,3.8,3.1,3.2
Delap,FWD,5.6,73,3.3,3.5,3.2
Pope,GKP,5.0,93,3.5,3.1,3.4
Henderson,GKP,4.4,94,3.4,3.5,3.0
Hermansen,GKP,4.5,94,3.2,3.4,3.2
Virgil,DEF,6.3,89,2.8,3.1,3.9
Gvardiol,DEF,6.3,76,2.2,4.3,3.4
Gabriel,DEF,6.2,90,2.7,3.9,3.2
Gusto,DEF,4.9,85,3.5,3.8,2.5
Muric,GKP,4.4,95,3.2,3.3,3.3
Pickford,GKP,4.9,94,3.2,3.4,3.1
Estupiñan,DEF,5.0,82,4.5,2.4,2.8
Johnstone,GKP,4.4,88,3.2,3.2,3.3
Leno,GKP,5.0,94,3.2,3.4,3.0
A. Armstrong,FWD,5.1,68,3.1,3.4,3.1
Tielemans,MID,5.5,89,2.9,3.3,3.3
Iwobi,MID,5.6,83,3.1,3.5,2.9
Kluivert,MID,5.3,72,3.7,2.8,3.0
Smith Rowe,MID,5.8,75,3.1,3.3,3.0
P. Neto,MID,6.2,64,3.5,3.3,2.5
Robertson,DEF,5.9,78,3.2,2.9,3.1
Tavernier,MID,5.5,78,3.5,2.9,2.8
L.Paquetá,MID,5.8,77,3.2,2.8,3.2
Maddison,MID,7.6,55,3.1,3.1,3.0
McCarthy,GKP,4.3,93,3.1,3.0,3.1
Garnacho,MID,6.4,63,3.6,2.2,3.3
Eze,MID,6.6,42,1.4,3.9,3.7
Konsa,DEF,4.4,85,1.9,3.2,3.9
Højlund,FWD,6.9,52,3.3,2.6,3.1
Colwill,DEF,4.5,91,3.2,3.6,2.1
Ndiaye,FWD,5.4,79,2.9,3.3,2.7
Alexander-Arnold,DEF,6.9,87,2.1,2.9,3.9
Udogie,DEF,4.9,80,3.4,2.8,2.6
Gibbs-White,MID,6.3,77,3.2,2.7,2.9
Andreas,MID,5.2,67,2.7,3.1,2.9
Akanji,DEF,5.4,80,2.1,3.6,3.1
Cucurella,DEF,5.0,81,3.1,3.5,2.1
Bernardo,MID,6.4,59,2.3,3.5,3.0
Pinnock,DEF,4.5,91,3.8,2.2,2.6
Van Hecke,DEF,4.5,90,3.8,2.3,2.5
Szmodics,MID,5.8,58,2.8,3.0,2.8
Sávio,MID,6.5,47,2.2,3.6,2.8
Gündogan,MID,6.5,74,2.5,3.3,2.7
Hudson-Odoi,MID,5.4,67,3.6,2.3,2.6
Georginio,MID,5.6,59,3.6,2.1,2.7
Hutchinson,MID,5.2,82,3.0,2.7,2.7
Pau,DEF,4.4,86,1.9,2.9,3.6
Davis,DEF,4.5,88,2.5,3.0,2.9
Dalot,DEF,5.2,82,3.6,1.5,3.2
Rashford,MID,6.9,45,3.0,2.1,3.2
Rice,MID,6.2,67,2.5,2.9,2.9
Kerkez,DEF,4.4,83,2.7,2.5,3.1
Gravenberch,MID,5.0,82,2.7,2.8,2.8
Cash,DEF,4.4,72,1.9,2.8,3.6
Lindstrøm,MID,5.1,59,2.4,3.1,2.6
Dunk,DEF,4.4,64,2.3,2.6,3.1
Mac Allister,MID,6.2,75,2.8,2.4,2.9
Trossard,MID,6.8,37,2.4,2.9,2.8
Diogo J.,MID,7.2,72,2.1,2.6,3.4
Dragusin,DEF,4.3,84,3.2,2.4,2.4
Barnes,MID,6.3,53,2.9,2.2,2.9
Digne,DEF,4.7,59,1.9,2.7,3.4
De Ligt,DEF,5.0,92,3.5,1.4,3.1
Antonio,FWD,5.4,70,2.8,2.6,2.6
Veltman,DEF,4.6,81,3.6,1.9,2.5
W.Fofana,DEF,4.5,84,2.9,3.1,2.0
Semenyo,MID,5.7,0,0.0,3.9,4.1
Collins,DEF,4.5,90,3.5,2.0,2.4
Bruno G.,MID,6.2,94,2.4,2.6,2.9
Rúben,DEF,5.4,76,1.9,3.3,2.7
Szoboszlai,MID,6.3,50,2.6,2.7,2.6
Mavididi,MID,5.3,51,2.4,2.6,2.9
Wan-Bissaka,DEF,4.4,88,1.9,2.8,3.1
Bailey,MID,6.3,51,2.3,2.8,2.6
Nørgaard,MID,4.8,85,3.0,2.3,2.4
Grealish,MID,6.4,49,2.1,3.0,2.6
Emerson,DEF,4.4,82,2.0,2.8,2.9
Ward-Prowse,MID,6.2,73,3.4,2.0,2.3
Aké,DEF,5.3,59,1.7,3.2,2.7
Aït-Nouri,DEF,4.8,81,3.3,2.2,2.2
Janelt,MID,4.9,82,3.0,2.2,2.4
Kudus,MID,6.2,0,0.0,3.6,4.0
Mitchell,DEF,4.9,86,2.7,3.1,1.7
Guéhi,DEF,4.5,92,2.7,3.1,1.7
Smith,DEF,4.5,82,2.5,2.3,2.7
Souček,MID,4.9,73,2.4,2.6,2.4
Jensen,MID,5.3,65,2.9,2.2,2.4
Kilman,DEF,4.5,89,1.8,2.8,2.9
Darwin,FWD,7.1,51,2.8,2.5,2.1
Konaté,DEF,5.4,95,2.2,2.2,2.9
Hall,DEF,4.4,81,2.7,2.0,2.6
Lewis-Potter,MID,5.0,58,3.1,1.9,2.3
Caicedo,MID,4.9,84,2.5,2.6,2.1
Mario Jr.,MID,5.0,76,2.6,2.4,2.2
Kristiansen,DEF,4.5,87,2.2,2.7,2.4
Gakpo,FWD,7.1,43,2.3,2.4,2.4
Joelinton,MID,6.0,74,2.8,2.0,2.3
Summerville,MID,5.7,48,2.2,2.3,2.6
A.Doucoure,MID,5.1,74,2.3,2.7,2.1
Christie,MID,4.9,64,2.4,2.2,2.5
Justin,DEF,4.6,89,2.2,2.6,2.4
Zabarnyi,DEF,4.4,92,2.4,2.2,2.5
Alex Moreno,DEF,4.4,79,3.8,1.2,2.1
Chalobah,DEF,4.4,86,2.6,2.8,1.6
Muñoz,DEF,4.8,89,3.0,2.5,1.5
Fabianski,GKP,4.1,69,2.3,2.4,2.2
Jones,MID,5.3,57,2.3,2.3,2.4
Van den Berg,DEF,4.1,80,3.2,1.6,2.2
Aina,DEF,4.8,88,3.8,1.1,2.0
Walker,DEF,5.2,54,1.5,3.1,2.3
J.Ayew,MID,5.2,54,2.3,2.4,2.2
Damsgaard,MID,5.0,53,2.5,2.1,2.2
Mainoo,MID,5.2,79,2.8,1.8,2.2
Mykolenko,DEF,4.3,89,2.1,3.1,1.6
Schär,DEF,5.4,86,2.9,1.7,2.2
Robinson,DEF,4.7,92,2.0,2.9,1.9
Lacroix,DEF,4.5,88,2.5,2.8,1.5
Hinshelwood,MID,5.0,80,2.5,2.2,2.2
M.Fernandes,MID,5.0,82,2.3,2.4,2.1
Chaplin,MID,5.1,41,2.0,2.2,2.6
Dawson,DEF,4.4,86,2.6,2.2,1.9
Burn,DEF,4.4,84,2.5,1.8,2.4
O.Dango,MID,5.0,62,3.0,1.9,1.8
Ayari,MID,5.0,70,2.9,1.8,2.0
R. Lewis,DEF,4.8,50,1.5,3.1,2.1
Todibo,DEF,4.3,86,1.4,2.4,2.9
Archer,FWD,5.0,55,2.4,2.3,2.0
Cook,MID,5.0,89,2.6,2.1,1.9
Livramento,DEF,4.5,68,2.4,1.8,2.4
Faes,DEF,4.1,89,1.9,2.4,2.2
Senesi,DEF,4.8,84,2.5,1.8,2.3
A. Young,DEF,4.5,77,2.0,3.0,1.6
