id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
328,M.Salah,MID,LIV,0.0,29,0.7631578947368421,1.02,2570,71.2,16.0,13.7,30
366,B.Fernandes,MID,MUN,0.0,28,0.7368421052631579,1.06,2375,20.5,12.5,8.6,30
394,Bruno G.,MID,NEW,0.0,28,0.7368421052631579,1.04,2424,2.6,11.5,6.1,30
585,I.Sarr,MID,CRY,0.0,21,0.5526315789473685,0.98,1927,8.6,11.5,5.7,30
316,Darwin,FWD,LIV,0.0,8,0.21052631578947367,0.75,957,2.1,11.0,7.0,30
201,Henderson,GKP,CRY,0.0,28,0.7368421052631579,1.0,2520,13.7,10.5,4.6,30
432,Elanga,MID,NOT,0.0,23,0.6052631578947368,1.12,1841,7.2,10.0,5.4,30
744,Slot,,LIV,0.0,0,0.0,0.0,0,23.8,10.0,1.5,30
747,Nuno,,NOT,0.0,0,0.0,0.0,0,4.7,10.0,1.1,30
746,Howe,,NEW,0.0,0,0.0,0.0,0,10.6,9.5,1.5,30
741,Glasner,,CRY,0.0,0,0.0,0.0,0,15.7,9.5,0.8,30
745,Amorim,,MUN,0.0,0,0.0,0.0,0,4.6,9.5,0.8,30
58,Watkins,FWD,AST,0.0,25,0.6578947368421053,1.1,2052,18.2,9.0,8.9,30
163,Cucurella,DEF,CHE,0.0,25,0.6578947368421053,1.0,2255,9.6,9.0,5.3,30
573,Milenković,DEF,NOT,0.0,28,0.7368421052631579,1.0,2520,10.7,9.0,4.9,30
737,Emery,,AST,0.0,0,0.0,0.0,0,1.7,9.0,0.8,30
418,Trippier,DEF,NEW,0.0,7,0.18421052631578946,0.92,688,4.0,8.5,5.6,30
535,Bellegarde,MID,WOL,0.0,15,0.39473684210526316,1.06,1278,0.4,8.0,4.9,30
49,Mings,DEF,AST,0.0,8,0.21052631578947367,0.92,780,0.2,8.0,4.4,30
6,J.Timber,DEF,ARS,0.0,25,0.6578947368421053,1.02,2199,5.5,7.5,5.6,30
409,Livramento,DEF,NEW,0.0,22,0.5789473684210527,1.02,1935,3.3,7.5,4.5,30
327,Luis Díaz,MID,LIV,0.0,22,0.5789473684210527,1.07,1845,15.5,7.0,7.5,30
755,Marmoush,FWD,MCI,0.0,6,0.15789473684210525,1.14,474,22.2,7.0,7.4,30
16,Rice,MID,ARS,0.0,25,0.6578947368421053,1.04,2154,2.9,7.0,6.2,30
434,Hudson-Odoi,MID,NOT,0.0,22,0.5789473684210527,1.05,1893,2.1,7.0,5.3,30
566,Strand Larsen,FWD,WOL,0.0,24,0.631578947368421,1.04,2067,2.6,7.0,5.3,30
51,Olsen,GKP,AST,0.0,1,0.02631578947368421,0.5,180,0.1,7.0,4.5,30
44,Konsa,DEF,AST,0.0,25,0.6578947368421053,1.04,2171,5.6,7.0,4.4,30
735,Arteta,,ARS,0.0,0,0.0,0.0,0,3.7,7.0,1.5,30
392,Barnes,MID,NEW,0.0,7,0.18421052631578946,0.71,893,1.0,6.5,5.9,30
415,Schär,DEF,NEW,0.0,23,0.6052631578947368,1.01,2052,1.6,6.5,5.4,30
211,Muñoz,DEF,CRY,0.0,27,0.7105263157894737,1.04,2344,18.9,6.5,5.1,30
248,Leno,GKP,FUL,0.0,29,0.7631578947368421,1.0,2610,2.6,6.5,5.0,30
413,Pope,GKP,NEW,0.0,18,0.47368421052631576,1.0,1620,4.1,6.5,4.9,30
210,Mitchell,DEF,CRY,0.0,28,0.7368421052631579,1.05,2399,2.1,6.5,4.8,30
185,Sánchez,GKP,CHE,0.0,23,0.6052631578947368,1.0,2070,6.5,6.5,4.5,30
650,Lacroix,DEF,CRY,0.0,25,0.6578947368421053,1.0,2245,1.1,6.5,4.5,30
739,Hürzeler,,BRI,0.0,0,0.0,0.0,0,2.1,6.5,1.1,30
18,Saliba,DEF,ARS,0.0,27,0.7105263157894737,1.03,2364,23.7,6.0,6.2,30
633,Merino,MID,ARS,0.0,12,0.3157894736842105,0.95,1140,1.0,6.0,6.0,30
372,Garnacho,MID,MUN,0.0,17,0.4473684210526316,0.94,1633,4.9,6.0,5.9,30
53,Ramsey,MID,AST,0.0,15,0.39473684210526316,1.08,1245,0.4,6.0,5.4,30
369,Dalot,DEF,MUN,0.0,28,0.7368421052631579,1.01,2486,5.6,6.0,5.0,30
530,Souček,MID,WHM,0.0,24,0.631578947368421,1.04,2081,1.6,6.0,4.9,30
36,Digne,DEF,AST,0.0,25,0.6578947368421053,1.09,2059,6.3,6.0,4.5,30
167,Disasi,DEF,AST,0.0,8,0.21052631578947367,1.0,723,0.5,6.0,4.2,30
751,Pereira,,WOL,0.0,0,0.0,0.0,0,3.8,6.0,0.8,30
617,Evanilson,FWD,BOU,0.0,19,0.5,1.11,1541,3.7,5.5,5.7,30
770,Munetsi,MID,WOL,0.0,4,0.10526315789473684,1.07,338,0.1,5.5,5.0,30
101,Nørgaard,MID,BRE,0.0,25,0.6578947368421053,1.12,2010,0.2,5.5,4.8,30
200,Guéhi,DEF,CRY,0.0,27,0.7105263157894737,1.0,2430,8.7,5.5,4.7,30
395,Burn,DEF,NEW,0.0,27,0.7105263157894737,1.0,2430,8.1,5.5,4.4,30
129,João Pedro,FWD,BRI,0.0,20,0.5263157894736842,1.06,1698,14.6,5.0,5.6,30
15,Raya,GKP,ARS,0.0,29,0.7631578947368421,1.0,2610,28.6,5.0,5.5,30
224,J. Harrison,MID,EVE,0.0,17,0.4473684210526316,1.02,1498,0.2,5.0,5.2,30
443,Sels,GKP,NOT,0.0,29,0.7631578947368421,1.0,2610,18.5,5.0,5.1,30
436,Murillo,DEF,NOT,0.0,28,0.7368421052631579,1.02,2478,3.7,5.0,4.7,30
144,Van Hecke,DEF,BRI,0.0,26,0.6842105263157895,1.0,2330,1.2,5.0,4.5,30
582,J. O'Brien,DEF,EVE,0.0,9,0.23684210526315788,0.96,848,0.4,5.0,4.5,30
619,Cajuste,MID,IPS,0.0,19,0.5,1.19,1435,0.2,5.0,4.5,30
293,Hermansen,GKP,LEI,0.0,22,0.5789473684210527,1.02,1935,0.4,5.0,4.4,30
740,Maresca,,CHE,0.0,0,0.0,0.0,0,1.2,5.0,1.5,30
753,Silva,,FUL,0.0,0,0.0,0.0,0,0.5,5.0,1.1,30
13,Ødegaard,MID,ARS,0.0,20,0.5263157894736842,1.04,1724,5.4,4.5,8.2,30
110,Wissa,FWD,BRE,0.0,25,0.6578947368421053,1.07,2111,15.5,4.5,6.6,30
252,Raúl,FWD,FUL,0.0,23,0.6052631578947368,1.13,1830,6.7,4.5,5.5,30
70,Kerkez,DEF,BOU,0.0,29,0.7631578947368421,1.03,2537,19.8,4.5,5.3,30
423,Anderson,MID,NOT,0.0,24,0.631578947368421,1.09,1978,0.3,4.5,5.0,30
122,Estupiñan,DEF,BRI,0.0,18,0.47368421052631576,0.96,1689,1.0,4.5,4.9,30
383,Andre Onana,GKP,MUN,0.0,29,0.7631578947368421,1.0,2610,5.7,4.5,4.9,30
168,Enzo,MID,CHE,0.0,23,0.6052631578947368,0.97,2136,3.8,4.5,4.7,30
499,P.M.Sarr,MID,TOT,0.0,16,0.42105263157894735,1.04,1386,0.2,4.5,4.7,30
187,Tosin,DEF,CHE,0.0,11,0.2894736842105263,0.91,1086,0.5,4.5,4.2,30
749,Postecoglou,,TOT,0.0,0,0.0,0.0,0,1.9,4.5,1.1,30
433,Gibbs-White,MID,NOT,0.25,25,0.6578947368421053,1.11,2019,6.9,4.1,6.6,30
3,Gabriel,DEF,ARS,0.0,27,0.7105263157894737,1.03,2348,31.9,4.0,6.4,30
625,Gündogan,MID,MCI,0.0,17,0.4473684210526316,1.0,1528,0.4,4.0,6.3,30
422,Aina,DEF,NOT,0.0,29,0.7631578947368421,1.03,2531,28.6,4.0,5.4,30
498,Romero,DEF,TOT,0.0,14,0.3684210526315789,1.14,1101,3.4,4.0,4.9,30
162,Colwill,DEF,CHE,0.0,27,0.7105263157894737,1.0,2430,3.2,4.0,4.4,30
437,N.Williams,DEF,NOT,0.0,19,0.5,0.96,1778,2.9,4.0,4.4,30
189,W.Fofana,DEF,CHE,0.0,14,0.3684210526315789,1.08,1172,0.3,4.0,4.3,30
99,Mbeumo,MID,BRE,0.0,29,0.7631578947368421,1.0,2605,38.8,3.5,8.1,30
