element,position,multiplier,is_captain,is_vice_captain,element_type
383,1,1,False,False,1
533,2,1,False,False,2
70,3,1,False,False,2
422,4,1,False,False,2
163,5,1,False,False,2
99,6,1,False,False,3
433,7,1,False,False,3
366,8,2,True,False,3
71,9,1,False,False,3
447,10,1,False,True,4
351,11,1,False,False,4
521,12,0,False,False,1
369,13,0,False,False,2
218,14,0,False,False,4
78,15,0,False,False,3
