element,position,multiplier,is_captain,is_vice_captain,element_type
443,1,1,False,False,1
339,2,1,False,False,2
422,3,1,False,False,2
70,4,1,False,False,2
168,5,1,False,False,3
328,6,1,False,True,3
402,7,1,False,False,3
99,8,1,False,False,3
447,9,1,False,False,4
401,10,2,True,False,4
110,11,1,False,False,4
521,12,0,False,False,1
255,13,0,False,False,2
54,14,0,False,False,3
211,15,0,False,False,2
