name,position,cost,xmins,ep_gw26,ep_gw27,ep_gw28
C. Palmer,MID,11.1,91,5.6,8.4,7.8
M.Salah,MID,13.7,91,5.4,7.0,8.7
Trossard,MID,6.9,88,6.6,4.9,5.2
Nwaneri,MID,4.6,83,6.6,4.9,5.1
Mbeumo,MID,7.9,88,5.3,5.4,4.7
Son,MID,9.7,85,5.8,4.5,4.9
Ødegaard,MID,8.2,90,6.0,4.5,4.6
B.Fernandes,MID,8.3,88,4.5,6.2,4.0
Isak,FWD,9.5,89,5.7,3.9,4.9
Haaland,FWD,14.7,75,4.3,5.0,5.1
Eze,MID,6.7,83,4.2,4.3,5.8
Bowen,MID,7.3,89,3.5,6.1,4.6
Nkunku,MID,5.7,76,4.0,5.2,4.6
Beto,FWD,4.9,92,5.2,4.5,3.9
Alexander-Arnold,DEF,7.4,85,3.2,4.6,5.7
Watkins,FWD,8.9,86,4.7,4.3,4.5
Mateta,FWD,7.3,82,4.0,4.4,4.9
Sancho,MID,6.2,81,3.7,5.3,4.2
Merino,MID,6.0,79,5.1,4.0,4.1
Semenyo,MID,5.7,87,5.3,4.0,3.8
Kluivert,MID,6.0,74,5.2,3.9,3.7
Foden,MID,9.3,83,4.0,4.5,4.2
Cunha,FWD,6.8,87,3.9,4.3,4.5
O.Dango,MID,5.1,78,5.0,3.9,3.8
C. Wood,FWD,7.1,89,4.3,3.9,4.4
Wissa,FWD,6.3,85,4.4,4.1,3.9
Welbeck,FWD,5.5,78,4.6,4.1,3.6
P. Neto,MID,6.2,75,3.3,4.6,4.3
Luis Díaz,MID,7.5,66,3.3,3.6,5.0
I.Sarr,MID,5.6,81,3.5,3.8,4.5
Raya,GKP,5.5,93,4.2,3.7,3.8
Gabriel,DEF,6.3,87,4.5,3.7,3.5
Saliba,DEF,6.2,91,4.5,3.4,3.6
Diogo J.,MID,7.2,60,3.5,3.4,4.5
A.Becker,GKP,5.5,94,3.5,3.7,4.3
Gordon,MID,7.5,83,4.4,3.0,4.0
Enzo,MID,4.7,90,3.1,4.2,4.0
Raúl,FWD,5.6,68,4.1,3.8,3.3
Mitoma,MID,6.4,80,4.2,3.6,3.4
Garnacho,MID,5.9,79,3.5,4.6,2.9
Jørgensen,GKP,4.2,92,3.3,4.0,3.7
Vardy,FWD,5.4,82,4.4,3.5,3.1
Virgil,DEF,6.4,92,2.6,3.6,4.7
Cucurella,DEF,5.1,85,2.6,4.2,4.0
Iwobi,MID,5.7,83,3.9,3.5,3.3
Dorgu,DEF,4.5,85,3.5,5.0,2.2
Kudus,MID,6.2,89,2.9,4.5,3.4
Delap,FWD,5.6,82,4.0,3.5,3.2
Flekken,GKP,4.4,94,3.7,3.6,3.4
Kulusevski,MID,6.3,85,3.9,3.2,3.6
Henderson,GKP,4.5,94,3.3,3.5,3.9
Szoboszlai,MID,6.3,59,2.6,3.4,4.6
Verbruggen,GKP,4.5,92,3.7,3.4,3.5
Robertson,DEF,5.9,73,2.6,3.4,4.6
Arrizabalaga,GKP,4.6,93,3.8,3.4,3.3
Tel,MID,6.0,67,4.2,3.4,2.8
Leno,GKP,5.0,93,3.6,3.5,3.3
Vicario,GKP,4.8,94,3.7,3.2,3.3
Andre Onana,GKP,5.0,94,3.4,3.7,3.0
Gibbs-White,MID,6.5,85,3.5,3.2,3.4
Pickford,GKP,5.1,94,3.5,3.3,3.3
E. Martinez,GKP,5.0,93,3.4,3.4,3.3
Konaté,DEF,5.2,85,2.4,3.3,4.3
Smith Rowe,MID,5.2,69,3.7,3.5,2.9
Alcaraz,MID,4.9,76,3.6,3.2,3.2
Pedro Porro,DEF,5.4,84,4.1,2.7,3.1
Areola,GKP,4.2,94,3.1,3.6,3.2
Muñoz,DEF,4.8,89,2.7,3.2,4.1
Colwill,DEF,4.4,89,2.5,3.8,3.6
