name,position,cost,xmins,ep_gw20,ep_gw21,ep_gw22
Mitchell,DEF,4.8,85,2.5,3.1,2.4
Souček,MID,4.9,89,2.3,2.7,2.8
Konsa,DEF,4.4,92,3.8,2.7,1.4
Dalot,DEF,5.0,81,1.2,3.8,2.9
Anderson,MID,5.0,73,2.7,2.3,2.9
Tosin,DEF,4.2,87,2.8,2.8,2.3
Onuachu,FWD,4.9,60,3.1,2.4,2.3
Gündogan,MID,6.4,52,2.6,2.4,2.8
Harrison,MID,5.2,62,2.8,2.7,2.4
Lukić,MID,4.8,87,3.0,2.3,2.4
Lewis-Potter,MID,5.0,81,3.1,2.4,2.3
Guéhi,DEF,4.5,89,2.4,2.9,2.4
Kerkez,DEF,4.7,90,3.6,2.0,2.1
Doku,MID,6.2,39,2.5,2.7,2.4
Kovačić,MID,5.4,74,2.8,2.4,2.5
Christie,MID,4.9,81,3.0,2.3,2.4
Nwaneri,MID,4.5,44,2.5,2.6,2.5
Dibling,MID,4.5,67,2.8,2.4,2.4
R. Lewis,DEF,4.6,62,2.9,2.4,2.3
Estupiñan,DEF,5.1,73,1.4,3.6,2.5
Darwin,FWD,7.0,39,2.8,2.1,2.6
Murillo,DEF,4.6,85,2.1,1.6,3.8
Emerson,DEF,4.4,84,1.5,2.9,3.1
Mykolenko,DEF,4.3,91,2.3,2.7,2.5
Lacroix,DEF,4.5,85,2.3,2.9,2.3
Yates,MID,4.9,83,2.5,2.2,2.8
Mavididi,MID,5.1,51,2.2,2.6,2.6
Jones,MID,5.3,48,2.6,2.5,2.3
De Ligt,DEF,4.9,79,1.2,3.5,2.7
Dunk,DEF,4.3,89,1.9,3.2,2.2
El Khannouss,MID,4.8,59,2.2,2.4,2.7
Caicedo,MID,4.9,84,2.4,2.4,2.5
Cook,MID,5.0,87,3.0,2.2,2.1
Huijsen,DEF,4.4,89,3.5,1.9,1.9
J.Timber,DEF,5.7,0,0.0,3.7,3.5
A. Young,DEF,4.7,78,2.2,2.6,2.4
Georginio,MID,5.2,46,2.1,2.8,2.3
Wan-Bissaka,DEF,4.6,88,1.4,2.8,2.9
Gusto,DEF,4.9,62,2.4,2.2,2.6
Sávio,MID,6.4,37,2.4,2.5,2.3
Mings,DEF,4.4,85,3.6,2.4,1.1
Guedes,MID,5.3,62,3.3,2.1,1.7
Muniz,FWD,5.5,37,2.7,2.1,2.3
Burns,MID,4.8,63,2.4,2.5,2.2
Livramento,DEF,4.5,58,1.9,2.7,2.4
Aït-Nouri,DEF,4.8,88,3.3,2.0,1.8
Mangala,MID,5.0,81,2.3,2.5,2.2
Damsgaard,MID,5.0,62,2.9,2.1,2.0
Ortega Moreno,GKP,5.2,93,3.9,2.2,0.9
Mainoo,MID,5.2,73,2.0,2.6,2.3
Janelt,MID,4.9,74,2.6,2.3,2.0
Nørgaard,MID,4.8,80,2.7,2.2,2.0
Ramsey,MID,5.4,47,2.6,2.3,1.9
Schär,DEF,5.4,0,0.0,3.7,3.2
Fabianski,GKP,4.1,0,0.0,3.4,3.4
Cunha,FWD,7.0,0,0.0,3.5,3.3
J.Gomes,MID,4.9,89,2.7,2.1,2.0
Dúbravka,GKP,4.2,94,3.4,1.9,1.5
L. Martinez,DEF,4.4,84,1.0,3.2,2.5
Garnacho,MID,6.0,46,1.9,2.7,2.2
Arrizabalaga,GKP,4.5,93,3.7,0.0,3.1
Hee Chan,MID,6.1,52,3.2,1.8,1.7
Davis,DEF,4.5,89,2.1,2.8,1.8
Gana,MID,4.8,84,2.3,2.2,2.2
Branthwaite,DEF,4.8,89,2.0,2.4,2.2
