name,position,cost,xmins,ep_gw17,ep_gw18,ep_gw19
M.Salah,MID,13.4,90,6.1,8.3,6.4
Palmer,MID,11.2,89,6.1,6.7,6.6
Saka,MID,10.6,84,5.4,7.6,5.4
Haaland,FWD,14.9,87,5.4,6.8,5.7
Isak,FWD,8.7,82,5.5,5.2,4.2
B.Fernandes,MID,8.4,84,5.2,4.9,4.8
Son,MID,9.8,85,4.2,4.7,5.9
De Bruyne,MID,9.5,77,4.4,5.2,4.8
Foden,MID,9.1,71,4.1,5.1,4.9
Mbeumo,MID,7.6,88,5.7,4.2,4.0
Ødegaard,MID,8.3,84,4.2,5.3,4.1
Alexander-Arnold,DEF,7.0,87,3.9,5.5,4.2
Solanke,FWD,7.5,90,3.9,4.3,5.3
Havertz,FWD,7.9,84,4.3,5.2,4.0
Bowen,MID,7.4,84,4.7,4.6,3.4
N.Jackson,FWD,8.2,74,4.3,3.9,4.2
Eze,MID,6.6,75,3.6,3.6,5.2
Gordon,MID,7.2,84,4.6,3.9,3.6
Gabriel,DEF,6.2,93,3.7,4.9,3.4
Mateta,FWD,7.2,69,3.4,3.7,4.9
Raya,GKP,5.6,94,3.8,4.3,3.7
C. Wood,FWD,6.6,81,4.0,3.9,3.8
João Pedro,FWD,5.9,75,4.2,4.1,3.3
A.Becker,GKP,5.4,93,3.5,4.2,3.7
Iwobi,MID,5.7,82,4.7,3.0,3.7
Gvardiol,DEF,6.1,85,3.2,4.4,3.7
Raúl,FWD,5.5,65,4.9,2.7,3.6
Watkins,FWD,8.9,75,3.8,3.3,4.1
Saliba,DEF,6.3,90,3.4,4.5,3.3
Mitoma,MID,6.6,89,3.8,4.0,3.2
J.Timber,DEF,5.7,82,3.5,4.6,3.0
Evanilson,FWD,6.1,76,3.4,4.1,3.4
Virgil,DEF,6.5,87,3.0,4.5,3.5
Semenyo,MID,5.6,87,3.5,4.0,3.5
Diogo J.,MID,7.2,43,2.8,4.2,3.9
I.Sarr,MID,5.7,72,3.1,3.3,4.5
Amad,MID,5.2,78,3.8,3.7,3.3
Højlund,FWD,6.9,71,4.0,3.5,3.4
Kudus,MID,6.2,77,3.9,4.0,2.9
Brennan Johnson,MID,6.6,71,3.1,3.3,4.3
Kluivert,MID,5.5,70,3.4,4.0,3.2
Leno,GKP,5.0,93,3.9,3.1,3.5
Andre Onana,GKP,5.2,92,3.5,3.5,3.4
Ederson M.,GKP,5.4,87,3.3,3.6,3.5
Sánchez,GKP,4.8,92,3.6,3.5,3.3
Robertson,DEF,5.9,72,3.1,4.2,3.1
Smith Rowe,MID,5.5,79,4.4,2.6,3.3
Forster,GKP,4.3,93,3.1,3.4,3.7
Dúbravka,GKP,4.2,92,3.7,3.4,3.2
Trossard,MID,6.8,50,3.2,4.0,3.1
Wissa,FWD,6.2,76,4.0,3.3,3.0
Strand Larsen,FWD,5.7,78,3.6,3.5,3.1
Gibbs-White,MID,6.3,74,3.4,3.7,3.1
Pedro Porro,DEF,5.6,88,2.5,3.3,4.3
Henderson,GKP,4.4,92,3.0,3.2,3.8
E. Martinez,GKP,5.0,93,3.2,3.3,3.6
Kulusevski,MID,6.3,77,2.9,3.2,3.9
