name,position,cost,xmins,ep_gw33,ep_gw34,ep_gw35
M.Salah,MID,13.8,89,7.8,7.4,5.5
Mbeumo,MID,7.9,93,5.8,4.5,5.5
Isak,FWD,9.5,77,4.3,6.9,4.5
C. Palmer,MID,10.6,84,4.9,6.0,4.7
Marmoush,FWD,7.7,85,10.1,0.0,5.3
Saka,MID,10.5,66,10.6,0.0,4.8
Bowen,MID,7.5,88,6.1,3.8,4.4
B.Fernandes,MID,8.5,80,5.0,4.4,4.5
Trossard,MID,6.7,61,8.9,0.0,4.9
C. Wood,FWD,6.9,89,4.6,5.1,4.1
Wissa,FWD,6.5,88,4.6,4.0,4.7
Luis Díaz,MID,7.5,74,5.1,4.4,3.7
Merino,MID,6.1,71,9.3,0.0,3.6
Diogo J.,MID,7.2,60,4.8,4.3,3.5
Raya,GKP,5.6,94,8.4,0.0,4.0
João Pedro,FWD,5.6,75,3.8,4.5,3.9
De Bruyne,MID,9.3,62,8.0,0.0,4.3
Rashford,MID,6.7,62,7.5,0.0,4.6
Martinelli,MID,6.5,55,8.0,0.0,4.1
Kudus,MID,6.2,86,5.3,3.2,3.6
Cunha,FWD,6.8,77,3.8,4.9,3.3
A.Becker,GKP,5.5,92,4.2,3.9,3.5
Ødegaard,MID,8.2,66,7.7,0.0,3.8
Evanilson,FWD,5.8,82,4.1,4.3,3.1
Raúl,FWD,5.3,65,3.8,4.4,3.2
Højlund,FWD,6.9,81,4.4,3.5,3.4
Virgil,DEF,6.6,90,4.4,4.1,2.9
Vardy,FWD,5.3,80,3.2,3.5,4.6
Eze,MID,6.9,68,6.8,0.0,4.3
Saliba,DEF,6.6,81,7.6,0.0,3.5
Solanke,FWD,7.3,80,4.3,3.0,3.8
N.Jackson,FWD,7.7,76,3.6,4.1,3.3
Kiwior,DEF,4.8,81,7.7,0.0,3.3
Gibbs-White,MID,6.5,83,3.6,4.0,3.3
Nwaneri,MID,4.5,52,7.2,0.0,3.7
Pope,GKP,4.9,93,3.4,4.1,3.4
Robertson,DEF,5.8,71,4.4,3.6,2.8
Gvardiol,DEF,6.2,85,6.9,0.0,4.0
Iwobi,MID,5.5,78,3.7,4.1,3.0
Schade,MID,5.1,80,3.9,3.3,3.6
Mateta,FWD,7.8,64,6.7,0.0,4.0
Rogers,MID,5.7,79,6.8,0.0,3.9
Semenyo,MID,5.7,86,3.7,4.0,2.9
Szoboszlai,MID,6.2,66,3.9,3.6,3.1
Areola,GKP,4.2,90,3.9,3.2,3.4
Konaté,DEF,5.3,86,4.1,3.6,2.9
I.Sarr,MID,5.8,74,6.6,0.0,3.9
Leno,GKP,5.0,94,3.4,3.8,3.3
Andre Onana,GKP,4.9,93,3.7,3.4,3.4
E. Martinez,GKP,5.0,94,6.7,0.0,3.7
Flekken,GKP,4.4,94,3.7,3.3,3.4
Pickford,GKP,5.1,94,3.3,3.2,3.9
José Sá,GKP,4.4,94,3.3,3.8,3.1
Verbruggen,GKP,4.6,93,3.4,3.5,3.3
Sels,GKP,5.1,93,3.3,3.6,3.3
Mac Allister,MID,6.2,82,3.7,3.6,2.9
Gordon,MID,7.4,50,2.5,4.3,3.4
Ndiaye,FWD,5.2,76,3.3,3.0,3.8
Minteh,MID,4.9,69,3.1,3.8,3.1
J.Murphy,MID,5.2,72,3.2,4.0,2.9
Vicario,GKP,4.8,92,3.5,3.2,3.4
Henderson,GKP,4.6,92,6.5,0.0,3.5
L.Paquetá,MID,5.7,66,3.9,2.9,3.3
Arrizabalaga,GKP,4.6,93,3.3,3.6,3.1
Hermansen,GKP,4.4,94,3.0,3.2,3.7
Kluivert,MID,6.0,73,2.8,4.2,2.9
Ward-Prowse,MID,6.1,84,4.0,2.8,3.1
Strand Larsen,FWD,5.4,76,3.3,3.9,2.7
McNeil,MID,5.1,59,2.6,2.9,4.4
Welbeck,FWD,5.5,66,3.2,3.5,3.0
Garnacho,MID,5.9,54,3.2,3.1,3.5
Hudson-Odoi,MID,5.2,77,3.3,3.5,2.9
Trippier,DEF,5.6,78,2.8,4.3,2.5
Schär,DEF,5.5,92,2.6,4.4,2.7
Joelinton,MID,6.0,85,2.9,3.9,2.9
Savinho,MID,6.2,55,6.1,0.0,3.5
Livramento,DEF,4.6,90,2.7,4.2,2.7
Ramsdale,GKP,4.4,93,3.1,3.1,3.2
Ortega Moreno,GKP,5.2,94,7.4,0.0,2.1
Rúben,DEF,5.4,87,6.2,0.0,3.3
Beto,FWD,4.8,59,2.8,3.4,3.3
Sánchez,GKP,4.5,83,3.1,3.5,2.9
Mitoma,MID,6.4,65,2.9,3.5,2.9
Bruno G.,MID,6.2,87,2.8,3.8,2.8
Rice,MID,6.2,72,6.5,0.0,2.8
Estupiñan,DEF,4.9,91,2.9,3.7,2.7
A. Palmer,GKP,4.5,93,3.0,3.0,3.2
Enzo,MID,4.7,88,3.1,3.4,2.7
Watkins,FWD,8.9,49,5.5,0.0,3.6
Tonali,MID,5.5,88,2.8,3.6,2.7
B. White,DEF,6.1,60,6.3,0.0,2.7
Gravenberch,MID,5.0,85,3.3,2.9,2.7
Kamaldeen,MID,5.0,80,2.9,2.9,3.0
