name,position,cost,xmins,ep_gw12,ep_gw13,ep_gw14
Haaland,FWD,15.2,91,7.6,4.9,7.0
M.Salah,MID,12.9,88,7.3,5.1,5.3
Palmer,MID,10.9,75,5.2,6.2,6.0
Saka,MID,10.1,81,4.9,5.8,6.0
Ødegaard,MID,8.2,87,5.7,4.5,4.8
B.Fernandes,MID,8.4,89,5.3,5.5,3.6
De Bruyne,MID,9.4,64,4.5,3.8,5.9
Isak,FWD,8.5,82,5.6,4.4,3.9
Mbeumo,MID,7.9,83,4.4,5.4,3.9
Mateta,FWD,7.3,91,4.3,4.6,4.8
Son,MID,9.9,85,3.6,5.4,4.7
Foden,MID,9.2,77,4.2,3.7,5.6
Havertz,FWD,8.0,86,5.1,4.2,4.3
Watkins,FWD,9.0,82,4.9,3.5,4.6
N.Jackson,FWD,7.9,79,4.6,3.9,4.3
Solanke,FWD,7.7,86,3.4,4.7,4.2
Martinelli,MID,6.9,70,4.7,3.6,3.8
Raúl,FWD,5.8,69,4.5,3.5,4.0
Bowen,MID,7.5,86,3.7,3.9,4.3
Cunha,FWD,6.8,84,3.7,4.3,3.8
Gordon,MID,7.2,83,4.7,4.0,3.2
Calvert-Lewin,FWD,5.7,72,4.3,3.4,4.1
I.Sarr,MID,5.7,84,3.6,4.0,4.1
João Pedro,FWD,5.5,62,3.4,5.0,3.4
Mitoma,MID,6.4,85,3.6,4.7,3.4
Evanilson,FWD,6.0,77,4.1,3.8,3.8
Raya,GKP,5.5,93,4.0,3.7,3.8
Madueke,MID,6.4,67,3.7,3.6,4.1
Gabriel,DEF,6.1,94,4.5,3.4,3.6
C. Wood,FWD,6.6,87,3.3,5.0,3.0
McNeil,MID,5.7,90,4.0,3.2,4.0
Vardy,FWD,5.7,86,3.1,3.7,4.4
Rogers,MID,5.4,82,4.2,3.0,3.8
Calafiori,DEF,5.8,80,4.2,3.2,3.6
J.Timber,DEF,5.5,84,4.2,3.4,3.4
Ederson M.,GKP,5.5,91,3.8,3.1,4.1
Luis Díaz,MID,7.7,57,3.9,3.5,3.5
Welbeck,FWD,6.0,74,3.6,4.3,3.1
Sánchez,GKP,4.7,92,3.6,3.5,3.6
Saliba,DEF,6.0,92,4.0,3.2,3.4
Iwobi,MID,5.6,81,4.1,2.9,3.6
Brennan Johnson,MID,6.8,79,2.8,4.1,3.6
Smith Rowe,MID,5.7,77,4.1,3.0,3.4
Darwin,FWD,7.1,75,5.0,2.7,2.8
Andre Onana,GKP,5.1,93,3.7,3.7,3.1
Flekken,GKP,4.5,95,3.5,3.8,3.2
Gusto,DEF,4.9,87,3.4,3.3,3.7
Verbruggen,GKP,4.5,94,3.4,3.7,3.3
E. Martinez,GKP,5.0,93,3.6,3.1,3.6
Arrizabalaga,GKP,4.5,93,3.5,3.4,3.4
Leno,GKP,5.0,93,3.7,3.2,3.4
Pope,GKP,5.0,93,3.7,3.4,3.1
Andreas,MID,5.2,71,3.8,2.9,3.5
Semenyo,MID,5.7,88,3.3,3.5,3.4
Pickford,GKP,4.9,93,3.5,3.1,3.5
Vicario,GKP,5.0,93,3.1,3.7,3.3
Strand Larsen,FWD,5.6,73,3.2,3.7,3.2
Tielemans,MID,5.5,86,3.6,2.9,3.5
Rashford,MID,6.9,61,3.9,3.6,2.5
Henderson,GKP,4.4,93,3.2,3.3,3.5
Delap,FWD,5.6,76,3.5,3.2,3.3
McGinn,MID,5.2,81,3.6,2.8,3.5
Sels,GKP,4.7,93,3.1,3.7,3.1
Virgil,DEF,6.3,91,4.4,2.6,2.9
Gvardiol,DEF,6.3,75,3.7,2.5,3.8
Kluivert,MID,5.3,73,4.0,2.9,3.0
Hermansen,GKP,4.5,93,3.2,3.2,3.4
Wissa,FWD,6.1,72,3.2,3.7,2.9
Estupiñan,DEF,5.0,90,3.0,4.2,2.6
Muric,GKP,4.4,94,3.2,3.2,3.3
Kulusevski,MID,6.3,83,2.7,3.7,3.2
P. Neto,MID,6.2,68,3.7,2.8,3.0
Ndiaye,FWD,5.4,82,3.4,2.8,3.2
Johnstone,GKP,4.4,88,3.0,3.2,3.2
Gibbs-White,MID,6.3,77,2.7,4.1,2.5
Højlund,FWD,6.9,46,2.9,3.8,2.7
Bailey,MID,6.3,61,3.5,2.5,3.2
Konaté,DEF,5.4,86,4.0,2.5,2.7
Tavernier,MID,5.5,65,3.3,2.9,2.9
McCarthy,GKP,4.3,92,3.0,3.1,3.1
Digne,DEF,4.7,74,3.6,2.1,3.4
Cucurella,DEF,5.0,76,3.1,2.9,3.1
Colwill,DEF,4.5,82,2.8,3.0,3.4
Sávio,MID,6.5,58,3.7,2.1,3.3
Gündogan,MID,6.5,70,3.3,2.3,3.5
Bernardo,MID,6.4,68,3.5,2.1,3.3
Garnacho,MID,6.4,55,3.1,3.4,2.5
Barnes,MID,6.3,52,3.3,3.1,2.5
Bruno G.,MID,6.2,90,3.4,2.9,2.6
Mavididi,MID,5.3,70,3.1,2.7,3.1
Robinson,DEF,4.7,92,3.7,2.1,3.0
L.Paquetá,MID,5.8,76,3.2,2.8,2.7
Pedro Porro,DEF,5.5,90,1.7,3.8,3.2
Gakpo,FWD,7.1,64,4.1,2.3,2.2
Rice,MID,6.3,76,2.4,3.0,3.1
R. Nelson,MID,5.0,56,3.1,2.5,3.0
Robertson,DEF,5.9,58,3.5,2.3,2.7
Georginio,MID,5.6,61,2.9,3.3,2.3
Dalot,DEF,5.2,89,3.6,3.4,1.5
Szmodics,MID,5.8,58,2.9,2.6,2.9
Akanji,DEF,5.5,71,3.1,2.0,3.3
Archer,FWD,5.0,67,2.7,2.8,2.8
Aké,DEF,5.3,62,2.9,2.0,3.3
Szoboszlai,MID,6.3,53,3.3,2.4,2.5
Andersen,DEF,4.3,85,3.3,2.1,2.8
Gravenberch,MID,5.0,78,3.0,2.6,2.6
Rúben,DEF,5.4,73,3.1,1.9,3.2
Mykolenko,DEF,4.3,90,3.1,2.1,3.0
Pinnock,DEF,4.5,88,2.5,3.6,2.1
Hall,DEF,4.4,85,3.6,2.6,1.9
Van Hecke,DEF,4.5,89,2.4,3.6,2.1
Davis,DEF,4.5,89,2.7,2.4,3.0
Dunk,DEF,4.4,61,1.4,4.2,2.5
A.Doucoure,MID,5.1,79,2.9,2.4,2.8
Tete,DEF,4.5,81,3.4,2.0,2.6
Antonio,FWD,5.4,69,2.8,2.7,2.5
W.Fofana,DEF,4.5,84,2.3,2.7,3.1
Tarkowski,DEF,4.8,91,2.9,1.9,3.2
