name,position,cost,xmins,ep_gw36,ep_gw37,ep_gw38
M.Salah,MID,13.7,85,5.8,5.6,6.6
Saka,MID,10.3,81,4.3,5.4,6.3
Mbeumo,MID,8.2,90,5.8,5.6,4.5
C. Wood,FWD,7.1,87,6.2,4.6,4.3
Watkins,FWD,8.9,85,4.7,4.9,4.6
Bowen,MID,7.7,91,4.2,4.9,4.9
Wissa,FWD,6.8,86,5.0,4.8,4.2
De Bruyne,MID,9.6,74,5.3,4.3,4.2
Evanilson,FWD,5.8,87,4.5,3.4,5.6
Kluivert,MID,6.0,78,4.5,3.3,5.8
Isak,FWD,9.6,77,4.8,3.8,4.8
Haaland,FWD,14.8,47,3.8,4.5,5.0
C. Palmer,MID,10.5,88,4.7,6.0,2.5
Marmoush,FWD,7.6,78,5.2,4.3,3.7
Raúl,FWD,5.3,84,4.9,3.9,4.1
B.Fernandes,MID,8.5,72,4.9,3.5,4.2
Cunha,FWD,7.1,74,4.6,3.6,4.2
Eze,MID,6.9,79,4.3,4.6,3.4
Schade,MID,5.2,81,4.5,4.2,3.5
Semenyo,MID,5.7,89,4.1,3.1,5.0
Gibbs-White,MID,6.4,86,5.1,3.7,3.3
Merino,MID,6.1,79,3.2,4.0,4.5
Rogers,MID,5.7,89,3.8,4.3,3.6
N.Jackson,FWD,7.7,77,3.5,4.1,3.8
Ødegaard,MID,8.2,83,3.2,3.7,4.4
Kudus,MID,6.2,85,3.4,3.8,4.0
Raya,GKP,5.6,93,3.3,3.7,4.2
Gvardiol,DEF,6.4,86,4.4,3.7,2.8
Vardy,FWD,5.3,82,3.3,4.5,3.2
A.Becker,GKP,5.5,94,3.7,3.5,3.8
Ederson M.,GKP,5.3,88,3.9,3.4,3.6
Luis Díaz,MID,7.5,64,3.4,3.5,3.9
Welbeck,FWD,5.5,84,4.3,3.2,3.3
Iwobi,MID,5.6,84,4.2,3.4,3.3
Amad,MID,5.3,60,3.7,3.2,3.8
Flekken,GKP,4.4,93,3.8,3.7,3.3
Sels,GKP,5.2,94,4.0,3.4,3.4
M.Asensio,MID,6.1,66,3.7,3.9,3.1
Martinelli,MID,6.5,60,2.8,3.7,4.2
Delap,FWD,5.6,76,3.6,3.5,3.6
P. Neto,MID,6.1,76,3.2,4.0,3.4
E. Martinez,GKP,5.0,95,3.5,3.7,3.4
Pickford,GKP,5.1,93,3.3,4.0,3.1
Madueke,MID,6.0,68,3.1,3.9,3.4
Arrizabalaga,GKP,4.6,94,3.5,3.0,3.9
I.Sarr,MID,5.7,77,3.6,3.9,2.8
Leno,GKP,5.0,94,3.7,3.4,3.3
Strand Larsen,FWD,5.3,78,3.1,3.4,3.8
Gordon,MID,7.4,68,3.4,2.9,3.9
Trossard,MID,6.8,54,2.7,3.6,4.0
Mateta,FWD,7.6,69,3.6,3.8,2.8
Sánchez,GKP,4.5,91,3.2,3.6,3.4
Pope,GKP,5.0,92,3.4,3.1,3.6
Areola,GKP,4.2,92,3.2,3.4,3.5
José Sá,GKP,4.4,93,3.5,3.2,3.4
Aina,DEF,5.2,93,4.4,2.9,2.7
Enzo,MID,4.7,87,3.0,3.5,3.5
Enciso,MID,5.4,78,3.2,3.5,3.3
Rúben,DEF,5.5,85,4.0,3.1,2.8
Henderson,GKP,4.6,92,3.3,3.7,2.9
Diogo J.,MID,7.2,48,2.9,3.1,3.7
A. Palmer,GKP,4.5,94,3.2,3.3,3.2
Verbruggen,GKP,4.6,94,3.4,3.1,3.2
N.Williams,DEF,4.5,80,4.1,2.9,2.7
Rice,MID,6.2,84,2.7,3.3,3.6
Stolarczyk,GKP,4.0,94,3.1,3.5,3.1
Virgil,DEF,6.7,84,2.9,3.2,3.6
Damsgaard,MID,4.9,83,3.4,3.2,3.0
McNeil,MID,5.1,71,3.1,4.0,2.5
Elanga,MID,5.5,63,4.1,2.9,2.5
Minteh,MID,4.8,72,3.4,3.0,3.2
Saliba,DEF,6.5,89,2.1,3.4,4.0
Tavernier,MID,5.4,63,3.1,2.5,3.9
Kulusevski,MID,6.2,73,3.4,2.6,3.5
Munetsi,MID,5.0,82,3.5,2.9,3.1
A.Doucoure,MID,5.1,81,2.9,3.9,2.6
Kiwior,DEF,4.8,83,2.1,3.2,4.0
El Khannouss,MID,4.8,79,2.8,3.6,2.8
Mac Allister,MID,6.2,72,2.8,2.9,3.5
J.Timber,DEF,5.6,63,1.8,3.3,4.0
Collins,DEF,4.6,91,3.5,3.0,2.7
Ramsdale,GKP,4.4,93,3.0,3.1,3.0
Tel,MID,5.8,60,3.3,2.7,3.0
Doku,MID,6.2,63,3.9,2.7,2.4
Milenković,DEF,5.2,91,4.1,2.6,2.3
Hutchinson,MID,5.2,80,3.1,3.0,2.8
L.Paquetá,MID,5.7,76,2.8,3.2,3.0
Szoboszlai,MID,6.2,59,2.9,3.1,3.0
Bruno G.,MID,6.2,89,3.1,2.6,3.2
Mitoma,MID,6.4,68,3.2,2.8,3.0
Kerkez,DEF,5.3,89,3.0,1.8,4.1
Robertson,DEF,5.8,59,2.7,2.7,3.5
Anderson,MID,5.0,85,3.5,2.8,2.5
Aït-Nouri,DEF,5.1,79,3.2,2.6,3.0
Van den Berg,DEF,4.1,89,3.4,2.9,2.4
Tonali,MID,5.5,89,3.1,2.6,3.1
Füllkrug,FWD,6.7,54,2.6,3.1,3.0
Barnes,MID,6.0,53,3.1,2.4,3.2
Cucurella,DEF,5.4,84,2.4,3.5,2.8
Konsa,DEF,4.4,91,2.6,3.4,2.6
Konaté,DEF,5.3,79,2.7,2.8,3.1
Wan-Bissaka,DEF,4.4,89,2.3,3.0,3.2
Mykolenko,DEF,4.3,86,2.4,4.1,1.8
Nørgaard,MID,4.8,88,2.9,2.7,2.6
Colwill,DEF,4.4,91,2.4,3.3,2.6
Livramento,DEF,4.6,88,3.0,1.9,3.4
Huijsen,DEF,4.5,85,2.7,1.7,3.9
Ndiaye,FWD,5.2,60,2.6,3.3,2.3
Murillo,DEF,4.8,94,3.3,2.5,2.3
McGinn,MID,5.2,76,2.7,2.8,2.6
Cash,DEF,4.4,72,2.5,3.2,2.4
J. O'Brien,DEF,4.5,89,2.3,4.0,1.8
Gündogan,MID,6.3,60,3.1,2.9,2.1
Gravenberch,MID,5.0,74,2.5,2.7,2.9
H. Wilson,MID,5.2,56,3.2,2.5,2.4
J.Murphy,MID,5.3,62,2.9,2.2,2.9
Tete,DEF,4.4,88,3.5,2.3,2.2
Brennan Johnson,MID,6.2,63,3.3,2.1,2.6
Branthwaite,DEF,4.8,94,2.4,3.9,1.8
Gakpo,FWD,7.2,46,2.5,2.7,2.9
Richarlison,FWD,6.8,54,2.9,2.3,2.8
Ramsey,MID,5.4,63,2.7,2.8,2.4
Vicario,GKP,4.8,69,2.6,2.6,2.7
Trippier,DEF,5.7,77,2.5,2.1,3.3
Schär,DEF,5.6,93,2.4,1.9,3.6
Lewis-Potter,MID,5.0,77,2.8,2.5,2.4
Odobert,MID,5.3,58,2.8,2.2,2.7
Mount,MID,6.3,59,3.3,2.1,2.3
N.Semedo,DEF,4.5,85,2.9,2.2,2.6
Agbadou,DEF,4.0,90,2.9,2.2,2.6
Zabarnyi,DEF,4.4,88,2.6,1.6,3.5
Muñoz,DEF,5.2,91,2.8,3.6,1.3
Robinson,DEF,4.8,75,3.0,2.4,2.2
Andersen,DEF,4.2,92,3.3,2.3,2.1
Kilman,DEF,4.3,91,2.1,2.7,2.8
Andre Onana,GKP,4.9,65,2.6,2.2,2.7
Cook,MID,5.0,85,2.6,2.1,2.8
Calvert-Lewin,FWD,5.4,34,1.9,3.0,2.5
Kamaldeen,MID,5.0,69,2.5,2.6,2.4
Højlund,FWD,6.9,44,2.9,2.2,2.4
J.Ayew,MID,5.1,54,2.3,3.0,2.2
Pau,DEF,4.2,78,2.3,2.8,2.3
Andreas,MID,4.9,63,3.1,2.3,2.0
J.Gomes,MID,4.9,83,2.6,2.4,2.4
Sessegnon,DEF,4.2,56,3.3,2.1,2.0
Gana,MID,4.8,88,2.4,2.8,2.1
M.Fernandes,MID,5.0,84,2.5,2.4,2.4
Burn,DEF,4.5,85,2.6,1.6,3.0
Berge,MID,5.0,86,2.7,2.3,2.2
Souček,MID,4.8,68,2.2,2.5,2.5
Toti,DEF,4.3,88,2.7,2.1,2.4
Garner,MID,4.9,72,2.2,3.0,2.0
Bradley,DEF,4.7,45,2.0,2.5,2.8
Partey,MID,4.9,70,2.0,2.4,2.8
Yarmoliuk,MID,4.3,68,2.6,2.4,2.3
Foden,MID,9.1,36,2.8,2.3,2.0
Lacroix,DEF,4.5,92,2.5,3.3,1.4
Guéhi,DEF,4.7,90,2.4,3.4,1.3
Bassey,DEF,4.5,91,3.1,2.1,1.9
Baleba,MID,5.0,85,2.5,2.2,2.3
João Pedro,FWD,5.5,0,0.0,3.5,3.6
Todibo,DEF,4.2,78,1.9,2.4,2.7
Ndidi,MID,4.9,85,2.2,2.7,2.1
Willock,MID,4.7,63,2.5,2.2,2.3
Chalobah,DEF,4.4,71,2.0,2.6,2.3
Smith Rowe,MID,5.1,51,2.6,2.2,2.1
Savinho,MID,6.1,40,2.7,2.5,1.8
Kamara,MID,5.0,89,2.4,2.4,2.1
C.Richards,DEF,4.4,88,2.4,3.1,1.3
Caicedo,MID,4.9,85,2.2,2.4,2.2
Garnacho,MID,5.9,47,2.8,1.8,2.2
Ward-Prowse,MID,6.1,59,2.2,2.3,2.3
Matheus N.,MID,4.9,63,2.5,2.3,2.0
Estupiñan,DEF,4.9,75,2.7,1.8,2.3
Spence,DEF,4.4,69,2.4,1.8,2.6
Alcaraz,MID,4.7,47,2.0,2.8,2.0
Kamada,MID,5.1,67,2.6,2.5,1.7
André,MID,5.0,81,2.4,2.1,2.2
Onuachu,FWD,4.9,54,2.3,2.3,2.1
Doherty,DEF,4.3,65,2.3,2.1,2.3
Beto,FWD,4.8,49,2.5,2.7,1.5
Dorgu,DEF,4.5,55,2.9,1.6,2.1
O'Shea,DEF,3.9,90,2.1,2.3,2.2
Emerson,DEF,4.4,60,1.8,2.2,2.5
Buonanotte,MID,4.5,52,2.0,2.5,1.9
Bellegarde,MID,4.9,46,2.3,1.8,2.3
Digne,DEF,4.4,47,1.9,2.4,2.2
Solanke,FWD,7.3,38,2.3,1.9,2.2
Van Hecke,DEF,4.5,90,2.6,1.8,2.1
Bernardo,MID,6.1,47,2.6,2.1,1.8
Mitchell,DEF,4.8,64,2.1,3.0,1.3
Nwaneri,MID,4.4,31,1.6,2.0,2.8
Lewis-Skelly,MID,4.5,63,1.9,2.1,2.3
Patterson,DEF,4.4,58,1.8,3.1,1.4
Amass,DEF,4.0,66,3.0,1.5,1.8
Scott,MID,4.7,53,2.0,1.8,2.5
P.M.Sarr,MID,4.7,63,2.2,1.9,2.1
Smith,DEF,4.4,58,2.1,1.3,2.8
O’Reilly,MID,4.9,57,2.6,2.0,1.6
Shaw,DEF,4.9,64,2.7,1.5,2.0
Brooks,MID,4.9,38,1.9,1.7,2.5
Ben Johnson,DEF,3.8,61,1.9,2.2,1.9
Dominguez,MID,4.8,55,2.4,1.9,1.7
J. Harrison,MID,5.2,39,1.9,2.3,1.8
Faes,DEF,3.8,88,1.6,3.0,1.4
Danso,DEF,4.4,71,2.3,1.6,2.0
McAteer,MID,4.7,48,1.9,2.4,1.7
Jota Silva,MID,5.9,38,2.6,1.8,1.5
Jones,MID,5.3,51,2.0,1.9,2.0
Akanji,DEF,5.3,49,2.4,2.0,1.6
