name,position,cost,xmins,ep_gw14,ep_gw15,ep_gw16
M.Salah,MID,13.2,89,6.0,6.5,6.8
Haaland,FWD,15.0,88,7.3,5.6,6.4
Palmer,MID,11.0,89,7.2,5.1,6.6
Saka,MID,10.3,82,6.2,5.6,6.7
Son,MID,9.9,81,4.7,4.7,5.8
Watkins,FWD,9.0,82,4.9,5.6,4.1
Foden,MID,9.1,73,5.3,4.6,4.7
Bowen,MID,7.4,87,4.7,5.3,4.1
Ødegaard,MID,8.3,88,4.9,4.3,4.8
Alexander-Arnold,DEF,6.9,83,3.9,4.8,5.2
De Bruyne,MID,9.4,58,4.5,4.1,5.1
Havertz,FWD,7.9,81,4.5,4.1,4.8
Solanke,FWD,7.6,94,3.6,4.1,5.1
Cunha,FWD,7.1,86,4.1,3.9,4.8
Isak,FWD,8.5,73,3.6,3.8,5.3
N.Jackson,FWD,8.1,77,4.9,3.4,4.4
Mbeumo,MID,7.8,84,4.2,4.7,3.6
B.Fernandes,MID,8.5,90,3.6,5.4,3.6
João Pedro,FWD,5.8,75,4.0,4.0,4.0
Eze,MID,6.6,73,4.5,3.6,3.8
Semenyo,MID,5.7,89,4.0,3.9,4.0
Raya,GKP,5.5,94,3.9,3.7,4.2
Rogers,MID,5.3,79,4.0,4.7,3.2
Robertson,DEF,5.9,86,3.8,4.2,3.8
Vardy,FWD,5.5,80,4.4,4.1,3.2
Calafiori,DEF,5.8,78,3.8,3.4,4.4
Evanilson,FWD,6.0,74,3.7,3.7,4.1
Luis Díaz,MID,7.6,66,3.7,3.8,3.8
J.Timber,DEF,5.5,88,3.9,3.4,4.0
Gordon,MID,7.2,79,3.3,3.5,4.6
Strand Larsen,FWD,5.6,84,3.7,3.4,4.2
Welbeck,FWD,6.0,79,3.7,3.7,3.9
Virgil,DEF,6.4,90,3.2,3.9,4.1
Mitoma,MID,6.5,84,3.5,3.9,3.8
Delap,FWD,5.6,79,3.9,3.8,3.3
Kudus,MID,6.2,80,3.9,3.9,3.2
Trossard,MID,6.8,54,3.7,3.3,4.0
Saliba,DEF,6.0,93,3.7,3.3,4.0
Gvardiol,DEF,6.2,69,3.7,3.3,3.8
Pedro Porro,DEF,5.6,89,3.4,3.2,4.1
Gabriel,DEF,6.2,81,2.7,3.5,4.4
C. Wood,FWD,6.6,83,3.2,3.5,3.9
Mateta,FWD,7.2,77,4.4,3.3,3.0
Kluivert,MID,5.3,69,3.8,3.4,3.4
Sánchez,GKP,4.7,90,3.7,3.2,3.6
McGinn,MID,5.2,83,3.6,3.7,3.1
Arrizabalaga,GKP,4.5,93,3.3,3.7,3.5
Pope,GKP,5.0,94,3.2,3.3,3.9
Forster,GKP,4.3,93,3.4,3.3,3.6
Kulusevski,MID,6.3,76,3.3,3.1,3.7
Verbruggen,GKP,4.5,93,3.3,3.4,3.4
Fabianski,GKP,4.1,91,3.4,3.5,3.2
McNeil,MID,5.6,90,4.3,3.1,2.7
José Sá,GKP,4.3,92,3.3,3.2,3.5
Tielemans,MID,5.5,85,3.5,3.8,2.7
Ederson M.,GKP,5.5,80,3.5,3.0,3.5
Brennan Johnson,MID,6.7,61,3.1,3.1,3.8
Tavernier,MID,5.5,71,3.4,3.3,3.2
Andre Onana,GKP,5.2,92,3.1,3.7,3.1
Raúl,FWD,5.6,71,4.0,3.1,2.7
Flekken,GKP,4.5,95,3.3,3.4,3.1
E. Martinez,GKP,5.0,94,2.7,3.6,3.5
Henderson,GKP,4.4,94,3.6,3.0,3.2
