name,position,cost,xmins,ep_gw21,ep_gw22,ep_gw23
M.Salah,MID,13.7,91,6.5,6.7,8.8
Palmer,MID,11.4,89,6.5,7.0,4.4
Haaland,FWD,14.8,88,5.8,6.2,5.4
Isak,FWD,9.3,81,5.6,5.6,6.0
B.Fernandes,MID,8.3,90,6.9,5.4,4.5
Ødegaard,MID,8.3,90,6.1,5.6,5.0
Martinelli,MID,6.8,82,5.4,5.1,5.1
Gordon,MID,7.6,86,5.6,4.6,4.7
Eze,MID,6.6,86,5.1,4.5,5.0
Havertz,FWD,7.8,92,5.4,4.7,4.5
Foden,MID,9.2,82,4.8,5.2,4.5
Alexander-Arnold,DEF,7.2,84,4.2,4.2,5.7
Son,MID,9.8,85,3.7,4.7,5.6
Trossard,MID,6.8,79,5.0,4.7,4.2
C. Wood,FWD,6.8,81,3.8,5.9,4.2
Luis Díaz,MID,7.6,69,4.2,3.9,5.5
Solanke,FWD,7.5,91,3.6,4.3,5.4
Mbeumo,MID,7.8,87,4.5,3.9,4.4
Semenyo,MID,5.6,90,4.0,4.0,4.9
De Bruyne,MID,9.4,73,4.3,4.4,3.9
Mateta,FWD,7.2,73,4.3,4.0,4.1
Amad,MID,5.4,80,4.8,4.1,3.5
N.Jackson,FWD,8.1,75,4.5,4.8,3.0
Raúl,FWD,5.7,73,4.1,4.1,4.1
Diogo J.,MID,7.2,58,3.8,3.5,4.8
Kudus,MID,6.2,87,4.5,4.4,3.2
Gabriel,DEF,6.4,93,4.1,3.9,4.0
I.Sarr,MID,5.9,79,4.1,3.6,4.1
Raya,GKP,5.6,95,4.0,3.9,3.9
Gibbs-White,MID,6.4,85,3.5,4.9,3.4
Kluivert,MID,5.5,78,3.6,3.5,4.5
Welbeck,FWD,5.5,81,4.6,3.4,3.5
A.Becker,GKP,5.4,93,3.8,3.6,4.2
Vardy,FWD,5.5,80,4.2,3.9,3.3
Virgil,DEF,6.4,91,3.5,3.4,4.5
Joelinton,MID,6.0,87,4.0,3.5,3.7
Iwobi,MID,5.9,84,3.6,3.8,3.8
Saliba,DEF,6.3,86,3.7,3.8,3.7
Rogers,MID,5.5,84,3.9,2.9,4.3
Højlund,FWD,6.9,71,4.4,3.6,3.0
Hall,DEF,4.9,87,4.0,3.4,3.6
Robertson,DEF,5.9,68,3.2,3.3,4.5
Schär,DEF,5.4,88,4.0,3.4,3.6
L.Paquetá,MID,5.7,76,4.0,3.7,3.0
Watkins,FWD,8.9,61,3.6,2.9,4.2
Andre Onana,GKP,5.1,94,4.0,3.5,3.1
Bernardo,MID,6.3,71,3.3,3.9,3.4
Sánchez,GKP,4.8,95,3.7,3.8,3.1
Hudson-Odoi,MID,5.2,81,3.1,4.4,3.0
Sels,GKP,4.9,93,3.1,4.0,3.3
Bailey,MID,6.2,76,3.8,2.7,3.9
Kulusevski,MID,6.5,82,2.8,3.5,4.1
Konaté,DEF,5.1,88,3.2,3.1,4.1
Verbruggen,GKP,4.5,93,3.6,3.2,3.5
Leno,GKP,5.0,92,3.4,3.4,3.4
Wissa,FWD,6.2,78,3.5,3.2,3.5
Mac Allister,MID,6.2,79,3.1,3.1,3.9
Ings,FWD,5.0,75,3.9,3.9,2.3
Bruno G.,MID,6.1,87,3.6,3.2,3.3
Gvardiol,DEF,6.0,83,3.4,3.7,2.9
Brennan Johnson,MID,6.4,74,2.7,3.2,4.1
Estupiñan,DEF,5.0,89,3.7,2.7,3.6
Pickford,GKP,5.0,95,3.4,3.4,3.1
Ndiaye,FWD,5.4,85,3.4,3.4,3.0
Elanga,MID,5.2,62,2.6,4.3,2.9
Brooks,MID,4.9,76,3.1,3.1,3.6
Sancho,MID,6.2,66,3.6,3.6,2.6
Muñoz,DEF,4.7,87,3.5,2.8,3.4
Mavididi,MID,5.1,71,3.5,3.3,2.9
O.Dango,MID,5.0,78,3.2,3.1,3.4
Cunha,FWD,7.0,87,3.4,3.3,3.0
Fabianski,GKP,4.1,94,3.5,3.3,2.9
Rice,MID,6.2,78,3.3,3.1,3.2
Szoboszlai,MID,6.3,54,2.9,2.8,3.9
H. Wilson,MID,5.2,58,3.1,3.5,3.0
Enzo,MID,5.0,87,3.4,3.6,2.5
Pedro Porro,DEF,5.5,86,1.7,3.4,4.4
Flekken,GKP,4.4,93,3.2,3.0,3.3
Tielemans,MID,5.5,85,3.2,2.6,3.6
J.Murphy,MID,5.1,64,2.8,3.0,3.5
P. Neto,MID,6.2,60,3.2,3.8,2.3
Akanji,DEF,5.3,87,3.1,3.5,2.7
Mazraoui,DEF,4.4,82,4.3,2.8,2.2
R. Lewis,DEF,4.6,80,3.2,3.5,2.6
Ramsdale,GKP,4.4,93,3.1,3.1,3.0
João Pedro,FWD,5.7,48,2.2,2.8,4.3
Gakpo,FWD,7.4,53,3.0,3.0,3.2
Delap,FWD,5.6,75,3.7,2.9,2.6
José Sá,GKP,4.3,94,3.1,3.1,3.0
Gravenberch,MID,5.0,84,2.9,2.8,3.5
Henderson,GKP,4.5,93,2.7,3.1,3.4
Robinson,DEF,5.0,92,2.9,3.3,3.0
E. Martinez,GKP,5.0,93,2.6,2.9,3.6
