name,position,cost,xmins,ep_gw35,ep_gw36,ep_gw37
M.Salah,MID,13.8,90,5.5,5.4,5.7
Mbeumo,MID,8.1,91,5.6,5.7,5.1
C. Palmer,MID,10.5,87,5.0,4.8,5.9
Marmoush,FWD,7.6,85,5.5,5.7,4.4
De Bruyne,MID,9.4,75,5.6,5.3,4.3
C. Wood,FWD,7.0,88,4.2,5.7,4.2
Watkins,FWD,8.9,82,5.0,4.4,4.7
Eze,MID,6.9,78,4.6,4.2,4.8
Wissa,FWD,6.6,89,4.5,4.7,4.2
Saka,MID,10.4,42,3.4,4.2,5.9
Bowen,MID,7.6,90,4.9,3.9,4.4
Vardy,FWD,5.3,81,5.0,3.4,4.4
Raúl,FWD,5.3,88,4.1,4.6,4.1
Isak,FWD,9.6,78,4.5,4.7,3.4
B.Fernandes,MID,8.5,63,3.2,5.2,3.9
Schade,MID,5.1,83,4.1,4.1,3.9
Gvardiol,DEF,6.3,88,4.2,4.2,3.4
I.Sarr,MID,5.7,83,4.2,3.6,3.9
Rogers,MID,5.7,87,4.2,3.5,4.1
Gibbs-White,MID,6.4,80,3.3,4.7,3.6
Cunha,FWD,7.0,71,3.2,4.5,3.7
Mateta,FWD,7.7,72,4.2,3.3,3.8
Ødegaard,MID,8.2,64,3.8,3.3,4.1
A.Doucoure,MID,5.1,83,4.0,3.0,4.2
Pickford,GKP,5.1,94,3.9,3.3,3.9
Raya,GKP,5.6,93,4.0,3.3,3.8
Welbeck,FWD,5.5,80,4.2,4.0,2.8
Kudus,MID,6.2,82,4.0,3.2,3.7
Flekken,GKP,4.4,93,3.6,3.8,3.5
N.Jackson,FWD,7.7,80,3.7,3.3,4.0
Kluivert,MID,6.0,81,3.4,4.1,3.4
E. Martinez,GKP,5.0,94,3.7,3.6,3.6
Rúben,DEF,5.4,88,3.8,4.0,3.1
Trossard,MID,6.7,69,5.1,2.6,3.1
Sels,GKP,5.1,94,3.4,4.0,3.4
J. O'Brien,DEF,4.5,89,4.1,2.3,4.1
Henderson,GKP,4.6,93,3.6,3.3,3.6
Mykolenko,DEF,4.3,87,4.0,2.4,4.0
Iwobi,MID,5.6,83,3.3,3.8,3.2
Andre Onana,GKP,4.9,94,3.4,3.7,3.2
Tielemans,MID,5.5,85,3.7,3.2,3.3
Merino,MID,6.1,52,3.2,3.2,3.9
Stolarczyk,GKP,4.0,94,3.7,3.0,3.5
McNeil,MID,5.1,66,3.8,2.5,3.9
Areola,GKP,4.2,95,3.5,3.3,3.3
Semenyo,MID,5.7,87,3.2,3.9,3.0
Leno,GKP,5.0,95,3.3,3.5,3.3
Branthwaite,DEF,4.8,91,3.9,2.2,4.0
Pope,GKP,5.0,92,3.5,3.5,3.1
