name,position,cost,xmins,ep_gw10,ep_gw11,ep_gw12
Haaland,FWD,15.4,91,7.2,6.5,6.8
M.Salah,MID,12.7,90,7.0,6.2,6.5
Foden,MID,9.3,80,6.1,5.7,5.7
Saka,MID,10.0,86,5.3,4.8,6.6
Palmer,MID,11.0,90,5.4,5.0,5.6
B.Fernandes,MID,8.2,88,4.6,5.2,4.7
Isak,FWD,8.3,90,4.5,4.6,5.0
Mbeumo,MID,7.7,86,4.6,5.3,4.1
Bowen,MID,7.4,86,4.5,5.3,3.8
Alexander-Arnold,DEF,7.0,82,4.7,4.0,4.9
Solanke,FWD,7.7,82,4.6,5.4,3.0
Eze,MID,6.7,88,3.9,5.1,4.0
Watkins,FWD,9.1,82,4.2,3.6,5.1
Calvert-Lewin,FWD,6.0,79,4.6,3.7,4.4
Havertz,FWD,8.2,87,4.2,3.9,4.6
Rashford,MID,6.9,73,3.8,4.5,4.1
Raúl,FWD,5.7,75,4.4,3.5,4.4
Darwin,FWD,7.1,71,4.6,3.9,3.7
Cunha,FWD,6.5,81,4.2,4.6,3.4
N.Jackson,FWD,7.9,78,4.0,3.7,4.2
Luis Díaz,MID,7.9,74,4.4,3.8,3.6
Son,MID,9.9,56,2.6,5.7,3.4
Martinelli,MID,7.0,72,3.9,3.6,4.1
Gordon,MID,7.2,88,3.6,3.9,4.0
Ederson M.,GKP,5.5,94,3.9,3.6,3.9
Strand Larsen,FWD,5.5,79,3.9,4.4,3.1
Garnacho,MID,6.2,77,3.4,4.1,3.8
Virgil,DEF,6.1,91,3.9,3.5,3.9
Iwobi,MID,5.5,80,3.8,3.3,4.1
Bernardo,MID,6.5,79,4.2,3.7,3.4
Raya,GKP,5.6,94,3.7,3.5,4.0
Robertson,DEF,6.0,72,3.9,3.4,3.8
Vardy,FWD,5.7,79,4.3,3.5,3.3
C. Wood,FWD,6.4,82,3.6,4.2,3.2
Maddison,MID,7.6,76,3.8,4.5,2.6
Gündogan,MID,6.5,79,4.0,3.3,3.5
Sávio,MID,6.5,64,3.1,3.8,3.8
Andre Onana,GKP,5.0,93,3.3,3.7,3.6
R. Lewis,DEF,4.8,81,4.0,3.3,3.3
L.Paquetá,MID,5.9,77,3.5,4.1,2.9
McNeil,MID,5.8,95,3.4,3.4,3.8
Wissa,FWD,6.0,68,3.2,3.9,3.4
Vicario,GKP,5.0,95,3.5,3.9,3.1
Leno,GKP,5.0,93,3.5,3.3,3.6
Smith Rowe,MID,5.7,77,3.7,3.0,3.7
Pope,GKP,5.0,93,3.2,3.6,3.6
Szoboszlai,MID,6.4,61,3.5,3.6,3.3
Madueke,MID,6.5,77,3.6,3.4,3.4
Flekken,GKP,4.5,95,3.4,3.6,3.4
Kelleher,GKP,4.4,94,4.0,3.7,2.6
Pickford,GKP,4.8,94,3.6,3.2,3.4
Sánchez,GKP,4.7,93,3.4,3.2,3.5
Henderson,GKP,4.4,94,3.4,3.6,3.1
Areola,GKP,4.4,94,3.4,3.6,3.1
Mac Allister,MID,6.2,82,3.5,3.3,3.3
E. Martinez,GKP,5.0,93,3.3,3.1,3.7
Mateta,FWD,7.3,61,3.5,3.7,2.8
Konaté,DEF,5.3,83,3.4,3.2,3.4
Trossard,MID,6.9,64,3.7,3.2,3.1
Ndiaye,FWD,5.4,81,3.5,3.0,3.4
Pedro Porro,DEF,5.5,90,3.6,5.0,1.3
Andreas,MID,5.3,80,3.0,3.2,3.7
Rice,MID,6.3,90,3.4,3.0,3.5
Kulusevski,MID,6.3,81,3.5,4.2,2.2
Adama,MID,5.1,70,3.5,2.8,3.5
Sels,GKP,4.6,94,3.5,3.3,3.0
Hermansen,GKP,4.5,94,3.5,3.1,3.2
Brennan Johnson,MID,6.7,67,3.4,4.1,2.3
Rogers,MID,5.4,77,3.2,2.6,3.8
Welbeck,FWD,5.9,80,3.3,3.1,3.1
Dalot,DEF,5.1,91,2.7,3.7,3.2
Gabriel,DEF,6.3,90,2.4,2.8,4.3
Højlund,FWD,6.9,62,3.1,3.3,3.1
Ramsdale,GKP,4.4,94,3.4,3.2,3.0
Gvardiol,DEF,6.2,70,2.6,3.3,3.6
Saliba,DEF,6.0,90,2.9,2.6,3.9
B. White,DEF,6.3,88,3.1,2.6,3.8
Muric,GKP,4.4,92,3.4,3.0,3.1
Nketiah,FWD,5.9,65,3.2,3.4,2.7
Harrison,MID,5.3,71,3.4,2.8,3.1
Semenyo,MID,5.6,86,3.0,3.1,3.1
Antonio,FWD,5.4,76,3.5,3.7,2.0
Hutchinson,MID,5.3,80,3.5,2.6,3.0
McGinn,MID,5.2,82,3.0,2.6,3.4
Verbruggen,GKP,4.5,89,2.9,3.0,3.1
Gravenberch,MID,5.0,78,3.1,3.0,3.0
Rúben,DEF,5.5,77,3.3,3.0,2.7
Bruno G.,MID,6.2,86,2.7,3.0,3.3
Arrizabalaga,GKP,4.5,89,2.2,3.3,3.5
Johnstone,GKP,4.4,85,2.3,3.6,3.1
Delap,FWD,5.7,67,3.5,2.6,2.9
Hudson-Odoi,MID,5.4,73,3.5,3.0,2.3
Tielemans,MID,5.5,82,2.9,2.6,3.3
Akanji,DEF,5.5,85,2.8,2.9,3.0
Tavernier,MID,5.5,64,2.5,3.0,3.2
Mitoma,MID,6.5,85,2.9,2.7,3.0
Tete,DEF,4.5,85,3.0,2.4,3.1
Evanilson,FWD,5.9,60,2.6,3.1,2.9
Robinson,DEF,4.7,88,3.1,2.2,3.2
Andersen,DEF,4.3,90,3.0,2.2,3.3
Mavididi,MID,5.3,57,3.0,2.7,2.7
Kamada,MID,5.1,59,2.8,3.0,2.6
Colwill,DEF,4.6,92,2.7,2.4,3.3
Schär,DEF,5.4,90,2.3,2.9,3.1
Udogie,DEF,4.9,86,3.1,4.1,1.1
L. Martinez,DEF,4.4,83,2.3,3.1,2.9
Mykolenko,DEF,4.3,84,3.1,2.3,2.9
Barnes,MID,6.5,54,2.6,2.7,3.0
A.Doucoure,MID,5.2,79,3.0,2.6,2.8
Archer,FWD,5.0,58,3.2,2.6,2.5
De Ligt,DEF,5.0,86,2.4,3.2,2.7
Muñoz,DEF,4.8,89,3.0,3.2,2.0
Szmodics,MID,5.8,58,3.2,2.4,2.7
Gakpo,FWD,7.1,49,3.1,2.7,2.4
Elanga,MID,5.2,63,3.3,2.7,2.1
Stones,DEF,5.3,65,3.0,2.6,2.6
Dibling,MID,4.6,60,3.0,2.7,2.3
Kovačić,MID,5.6,75,2.9,2.7,2.4
Cucurella,DEF,5.0,83,2.7,2.2,3.0
Aït-Nouri,DEF,4.6,82,3.0,3.0,1.9
James,DEF,4.9,55,2.4,2.4,3.2
Kluivert,MID,5.3,60,2.6,2.4,2.9
Pinnock,DEF,4.5,89,2.4,3.0,2.5
Emerson,DEF,4.4,81,2.8,3.2,2.0
Gibbs-White,MID,6.3,64,1.7,3.5,2.6
Bassey,DEF,4.5,89,2.8,2.2,2.8
J.Timber,DEF,5.5,70,2.6,2.3,2.8
Branthwaite,DEF,4.8,89,2.9,2.1,2.7
Wan-Bissaka,DEF,4.4,88,2.5,3.1,2.0
Livramento,DEF,4.5,79,2.2,3.0,2.5
Tarkowski,DEF,4.8,90,2.9,2.1,2.6
Nørgaard,MID,4.8,87,2.5,2.6,2.4
Romero,DEF,5.1,90,2.7,3.9,0.9
Mitchell,DEF,4.9,82,2.8,2.9,2.0
Guéhi,DEF,4.4,92,2.7,3.0,1.9
I.Sarr,MID,5.7,49,2.7,2.7,2.2
Collins,DEF,4.5,89,2.3,2.9,2.3
Mario Jr.,MID,5.0,79,2.6,2.7,2.2
Hall,DEF,4.3,77,2.1,2.5,2.9
Doku,MID,6.3,82,1.2,2.7,3.5
Ramsey,MID,5.4,52,2.3,2.1,3.1
N.Semedo,DEF,4.5,88,2.8,2.8,1.8
Aké,DEF,5.3,46,2.2,2.3,3.0
Lewis-Potter,MID,5.0,58,2.6,2.6,2.2
Davis,DEF,4.5,90,3.4,1.6,2.3
Bailey,MID,6.3,47,2.5,2.1,2.7
W.Fofana,DEF,4.5,84,2.5,2.1,2.6
Kilman,DEF,4.5,85,2.4,2.9,1.9
Christie,MID,4.9,74,2.2,2.5,2.6
Digne,DEF,4.7,71,2.4,1.8,3.0
A. Young,DEF,4.5,73,2.8,2.0,2.5
Cook,MID,5.0,90,2.3,2.4,2.5
Janelt,MID,4.9,73,2.3,2.5,2.3
Dawson,DEF,4.4,80,2.4,3.0,1.7
Schade,MID,5.2,46,2.3,2.6,2.3
P. Neto,MID,6.2,54,2.8,2.1,2.2
Burn,DEF,4.4,88,2.1,2.3,2.8
Yates,MID,4.9,91,2.7,2.4,1.9
Ødegaard,MID,8.2,0,0.0,1.6,5.4
Van den Berg,DEF,4.0,87,2.3,2.8,1.9
Berge,MID,5.0,75,2.6,2.3,2.1
Jensen,MID,5.3,59,2.2,2.6,2.1
Cash,DEF,4.4,66,2.1,1.6,3.3
Konsa,DEF,4.5,87,2.3,1.6,3.1
Ndidi,MID,5.0,83,2.6,2.1,2.1
Toti,DEF,4.3,88,2.6,2.7,1.6
G.Rodríguez,MID,4.9,83,2.3,2.5,2.0
Caicedo,MID,4.9,82,2.3,2.2,2.4
Aina,DEF,4.6,84,3.0,2.6,1.3
Eriksen,MID,5.4,58,2.5,2.4,1.9
Tonali,MID,5.5,61,2.1,2.3,2.5
Chalobah,DEF,4.4,77,2.4,2.7,1.7
Joelinton,MID,6.0,72,2.3,2.1,2.4
Álvarez,MID,5.0,76,2.3,2.4,2.1
Enes Ünal,FWD,5.4,41,2.0,2.2,2.6
Alex Moreno,DEF,4.4,68,2.8,2.6,1.3
Zirkzee,FWD,6.7,32,1.7,2.6,2.4
J.Clarke,MID,5.5,50,2.5,2.0,2.2
Buonanotte,MID,5.1,58,2.6,1.9,2.2
A.Fatawu,MID,5.4,48,2.4,2.1,2.1
Summerville,MID,5.7,41,2.2,2.8,1.6
Anderson,MID,5.0,75,2.7,2.3,1.6
M.Fernandes,MID,5.0,72,2.3,2.3,1.9
Pau,DEF,4.5,80,2.1,1.4,3.0
Justin,DEF,4.6,87,2.9,1.8,1.9
Richarlison,FWD,6.8,45,2.4,2.7,1.5
Sugawara,DEF,4.5,62,2.4,2.6,1.5
O.Dango,MID,5.0,54,2.1,2.0,2.4
Murillo,DEF,4.5,92,2.9,2.5,1.1
Dragusin,DEF,4.3,70,2.3,3.5,0.7
Kerkez,DEF,4.4,81,1.4,2.4,2.7
Bellegarde,MID,5.0,43,2.2,2.4,1.8
Enzo,MID,4.8,61,2.1,2.1,2.2
André,MID,5.0,60,2.1,2.4,1.9
Lacroix,DEF,4.5,75,2.3,2.7,1.4
Souček,MID,5.0,57,2.1,2.4,1.7
Amad,MID,4.9,37,2.0,2.3,2.0
Burns,MID,4.9,57,2.6,1.5,2.1
Phillips,MID,4.9,82,2.4,1.9,2.0
Faes,DEF,4.2,90,2.7,1.7,1.8
Mangala,MID,5.0,67,2.3,1.8,2.1
Jones,MID,5.3,40,2.0,2.1,2.1
Minteh,MID,5.3,60,1.8,2.0,2.4
