name,position,cost,xmins,ep_gw29,ep_gw30,ep_gw31
Haaland,FWD,14.7,87,6.1,7.4,5.0
Ødegaard,MID,8.2,90,5.4,5.5,4.5
C. Palmer,MID,10.9,87,4.1,6.1,5.3
Trossard,MID,6.8,82,5.2,5.3,4.4
Kluivert,MID,6.2,73,4.7,5.5,4.1
Foden,MID,9.2,70,4.5,5.5,3.9
C. Wood,FWD,7.3,87,5.1,4.7,4.0
Solanke,FWD,7.3,89,4.3,3.7,5.7
B.Fernandes,MID,8.5,88,5.2,4.2,4.3
M.Salah,MID,13.7,85,0.0,7.6,6.0
Evanilson,FWD,5.7,77,4.5,5.3,3.8
Son,MID,9.7,66,3.8,3.8,5.9
Mbeumo,MID,8.1,92,4.5,4.4,4.6
Martinelli,MID,6.5,65,4.0,5.0,4.2
Bowen,MID,7.5,90,4.3,4.4,4.6
Semenyo,MID,5.7,82,4.4,5.3,3.5
Nwaneri,MID,4.6,74,4.7,4.8,3.7
Strand Larsen,FWD,5.2,75,4.3,4.1,3.6
Gabriel,DEF,6.4,91,3.9,4.3,3.6
Gibbs-White,MID,6.6,78,4.2,4.0,3.5
Gvardiol,DEF,6.0,86,3.8,4.8,3.1
Elanga,MID,5.3,75,4.3,4.1,3.3
Raya,GKP,5.5,92,3.8,4.0,3.8
Marmoush,FWD,7.2,67,3.8,4.3,3.4
Savinho,MID,6.2,70,3.9,4.6,2.9
Saliba,DEF,6.2,87,3.6,4.2,3.6
Merino,MID,6.0,67,3.8,4.0,3.5
Ederson M.,GKP,5.3,91,3.7,4.0,3.5
Kudus,MID,6.2,88,3.9,3.6,3.7
Wissa,FWD,6.5,93,3.8,3.5,3.7
Hudson-Odoi,MID,5.2,81,4.1,3.8,3.2
Vardy,FWD,5.3,87,4.2,3.0,3.8
Arrizabalaga,GKP,4.6,94,3.6,4.0,3.4
Vicario,GKP,4.8,93,3.4,3.2,4.1
Sels,GKP,5.1,92,3.7,3.6,3.3
José Sá,GKP,4.3,93,3.6,3.5,3.5
Isak,FWD,9.3,85,0.0,5.5,5.0
Sancho,MID,6.2,83,3.1,3.9,3.5
Aït-Nouri,DEF,4.8,88,3.8,3.2,3.4
Schade,MID,5.1,78,3.5,3.3,3.6
Kerkez,DEF,5.2,90,3.5,4.1,2.8
Beto,FWD,5.1,80,4.7,2.7,2.9
Andre Onana,GKP,5.0,95,3.7,3.3,3.3
Eze,MID,6.7,79,0.0,5.4,4.8
J.Timber,DEF,5.6,77,3.4,3.7,3.0
Rúben,DEF,5.4,91,3.4,4.1,2.6
Areola,GKP,4.2,93,3.4,3.4,3.4
Rice,MID,6.2,81,3.3,3.5,3.2
João Pedro,FWD,5.6,61,2.9,3.7,3.3
Mitoma,MID,6.5,72,2.9,3.8,3.2
Doku,MID,6.2,56,3.2,3.7,2.9
Verbruggen,GKP,4.5,94,3.2,3.4,3.2
Flekken,GKP,4.4,93,3.3,3.1,3.3
