col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.7,,,,,,,
88,7.9,6.2,7.8,21.9,0.53,41.10%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.4,,,,,,,
86,5.3,5.3,10.2,20.9,0.74,40.30%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.7,,,,,,,
80,5.3,4.9,7.5,17.7,0.88,2.60%,Submit
,,,,,,,
Palmer,,,,,,,
MD 10.8,,,,,,,
72,5.3,5.1,7.1,17.5,0.54,80.80%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.6,,,,,,,
84,5.4,4.8,7.2,17.5,0.77,0.50%,Submit
,,,,,,,
Marmoush,,,,,,,
FW 7.4,,,,,,,
79,6.4,4.7,5.1,16.2,0.73,1.80%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.7,,,,,,,
81,4.7,4,6.5,15.1,0.89,5.40%,Submit
,,,,,,,
Trippier,,,,,,,
DF 5.6,,,,,,,
76,3.7,3.9,7,14.6,0.87,0.50%,Submit
,,,,,,,
Pope,,,,,,,
GK 4.9,,,,,,,
94,3.7,3.8,7.1,14.5,0.99,1.50%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 5.7,,,,,,,
85,6,4.1,4.1,14.3,0.83,24.20%,Submit
,,,,,,,
J.Murphy,,,,,,,
MD 5.0,,,,,,,
80,3.9,3.6,6.7,14.2,0.95,0.30%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
89,5.1,4.3,4.8,14.2,0.58,10.00%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.2,,,,,,,
47,3.9,4.3,5.7,13.9,0.46,0.30%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.2,,,,,,,
72,5.6,3.9,4.3,13.9,0.5,0.40%,Submit
,,,,,,,
Henderson,,,,,,,
GK 4.6,,,,,,,
94,3.9,3.5,6.3,13.6,0.99,11.10%,Submit
,,,,,,,
Sch�r,,,,,,,
DF 5.4,,,,,,,
92,3.4,3.7,6.4,13.5,0.83,0.10%,Submit
,,,,,,,
Watkins,,,,,,,
FW 8.9,,,,,,,
78,4,4.5,5,13.4,0.5,1.40%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.5,,,,,,,
73,4.9,4,4.3,13.2,0.68,0.00%,Submit
,,,,,,,
Szoboszlai,,,,,,,
MD 6.4,,,,,,,
81,4.8,3.9,4.4,13.2,0.69,0.00%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.3,,,,,,,
87,3.8,5.3,4,13.1,0.6,0.20%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 8.1,,,,,,,
90,4.6,4.9,3.6,13,0.54,71.10%,Submit
,,,,,,,
Livramento,,,,,,,
DF 4.5,,,,,,,
85,3.4,3.5,6.2,13,0.96,4.40%,Submit
,,,,,,,
Merino,,,,,,,
MD 6.0,,,,,,,
74,4.7,3.9,4.2,12.8,0.71,0.10%,Submit
,,,,,,,
Bruno G.,,,,,,,
MD 6.1,,,,,,,
86,3.3,3.3,6.2,12.8,0.7,0.00%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.6,,,,,,,
90,4.2,4.3,4.1,12.5,0.49,43.60%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.6,,,,,,,
74,4.2,3.5,4.8,12.5,0.75,49.00%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.5,,,,,,,
66,4.5,3.5,4.5,12.5,0.55,0.00%,Submit
,,,,,,,
Son,,,,,,,
MD 9.7,,,,,,,
71,3.6,5.2,3.7,12.4,0.43,0.90%,Submit
,,,,,,,
Gabriel,,,,,,,
DF 6.4,,,,,,,
92,4.4,3.8,3.9,12.2,0.63,89.30%,Submit
,,,,,,,
Mu�oz,,,,,,,
DF 5.1,,,,,,,
87,4.2,3.4,4.5,12.1,0.79,31.80%,Submit
,,,,,,,
Savinho,,,,,,,
MD 6.2,,,,,,,
73,5,3.2,3.8,12.1,0.65,1.60%,Submit
,,,,,,,
Burn,,,,,,,
DF 4.4,,,,,,,
92,3.2,3.3,5.5,12,0.91,1.70%,Submit
,,,,,,,
Elanga,,,,,,,
MD 5.4,,,,,,,
81,4.4,3.5,4.1,12,0.74,5.50%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.6,,,,,,,
89,4.5,4.6,2.9,12,0.53,12.90%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.0,,,,,,,
89,5,3.2,3.7,11.9,0.66,46.00%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.5,,,,,,,
95,4.1,3.8,4,11.9,0.72,19.80%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.4,,,,,,,
93,4.4,3.3,4.2,11.9,0.62,3.20%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.2,,,,,,,
92,4.3,3.6,4,11.8,0.64,4.20%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.8,,,,,,,
60,4.1,3.4,4.3,11.8,0.58,17.90%,Submit
,,,,,,,
Robertson,,,,,,,
DF 5.8,,,,,,,
73,4.5,3.3,4,11.8,0.68,0.10%,Submit
,,,,,,,
Kluivert,,,,,,,
MD 6.3,,,,,,,
53,3.1,4,4.5,11.7,0.62,72.40%,Submit
,,,,,,,
Doku,,,,,,,
MD 6.2,,,,,,,
73,4.8,3.4,3.4,11.6,0.62,0.00%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
54,4.1,3.5,3.8,11.5,0.53,0.10%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.4,,,,,,,
0,0,3.5,7.8,11.3,0.51,0.20%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.7,,,,,,,
87,5.3,3.2,2.8,11.3,0.66,55.80%,Submit
,,,,,,,
Konat�,,,,,,,
DF 5.2,,,,,,,
89,4.2,3.1,4,11.2,0.72,6.10%,Submit
,,,,,,,
Wood,,,,,,,
FW 7.2,,,,,,,
64,2.9,3.6,4.8,11.2,0.52,38.70%,Submit
,,,,,,,
Ederson M.,,,,,,,
GK 5.3,,,,,,,
90,4.1,3.5,3.5,11.1,0.7,0.30%,Submit
,,,,,,,
Tonali,,,,,,,
MD 5.5,,,,,,,
81,2.9,3,5.3,11.1,0.67,0.00%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.5,,,,,,,
79,3.3,3.7,4.1,11.1,0.67,7.50%,Submit
,,,,,,,
Mitoma,,,,,,,
MD 6.5,,,,,,,
75,3.7,3.2,4.2,11.1,0.57,0.20%,Submit
,,,,,,,
Estupi�an,,,,,,,
DF 4.9,,,,,,,
91,3.6,2.8,4.7,11.1,0.75,0.10%,Submit
,,,,,,,
Lacroix,,,,,,,
DF 4.5,,,,,,,
92,3.8,3.1,4.1,11,0.81,0.00%,Submit
,,,,,,,
Strand Larsen,,,,,,,
FW 5.3,,,,,,,
67,3.6,4,3.3,10.9,0.69,0.30%,Submit
,,,,,,,
Arrizabalaga,,,,,,,
GK 4.6,,,,,,,
89,3.8,3.4,3.6,10.8,0.78,2.00%,Submit
,,,,,,,
Kudus,,,,,,,
MD 6.2,,,,,,,
87,4.1,4,2.7,10.8,0.58,0.00%,Submit
,,,,,,,
Enzo,,,,,,,
MD 4.7,,,,,,,
90,3.7,3.2,3.9,10.8,0.76,1.20%,Submit
,,,,,,,
Vicario,,,,,,,
GK 4.8,,,,,,,
93,3.2,4,3.5,10.8,0.75,0.00%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 7.7,,,,,,,
54,2.6,3.3,4.9,10.7,0.46,0.10%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.6,,,,,,,
89,3.6,4,3.1,10.7,0.54,18.40%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
92,3.3,3.5,3.9,10.7,0.71,5.70%,Submit
,,,,,,,
A.Becker,,,,,,,
GK 5.6,,,,,,,
89,3,3.6,4,10.7,0.64,11.70%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.2,,,,,,,
88,3.7,3.3,3.7,10.7,0.57,0.00%,Submit
,,,,,,,
Gu�hi,,,,,,,
DF 4.7,,,,,,,
93,3.8,3.1,3.9,10.7,0.76,0.40%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.5,,,,,,,
93,3.5,3.3,3.9,10.7,0.79,4.40%,Submit
,,,,,,,
J.Timber,,,,,,,
DF 5.6,,,,,,,
80,3.9,3.3,3.5,10.7,0.63,5.90%,Submit
,,,,,,,
Hudson-Odoi,,,,,,,
MD 5.3,,,,,,,
78,3.8,3.1,3.6,10.5,0.66,1.20%,Submit
,,,,,,,
Sels,,,,,,,
GK 5.1,,,,,,,
95,3.6,3.2,3.6,10.5,0.68,2.90%,Submit
,,,,,,,
Sancho,,,,,,,
MD 6.2,,,,,,,
70,3.6,3.2,3.6,10.5,0.56,0.00%,Submit
,,,,,,,
Mitchell,,,,,,,
DF 4.8,,,,,,,
75,3.5,3.1,3.9,10.4,0.73,0.00%,Submit
,,,,,,,
Jos� S�,,,,,,,
GK 4.4,,,,,,,
94,3.5,3.6,3.3,10.4,0.79,5.20%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.6,,,,,,,
74,3,3.3,4,10.4,0.52,1.60%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.3,,,,,,,
85,3.2,3.7,3.5,10.4,0.65,0.80%,Submit
,,,,,,,
Kerkez,,,,,,,
DF 5.3,,,,,,,
