col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.7,,,,,,,
91,6.5,6.7,8.8,22,0.53,98.90%,Submit
,,,,,,,
Palmer,,,,,,,
MD 11.4,,,,,,,
89,6.5,7,4.4,17.9,0.52,99.80%,Submit
,,,,,,,
Haaland,,,,,,,
FW 14.8,,,,,,,
88,5.8,6.2,5.4,17.3,0.39,2.50%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.3,,,,,,,
81,5.6,5.6,6,17.3,0.62,94.40%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.3,,,,,,,
90,6.9,5.4,4.5,16.8,0.67,19.10%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.3,,,,,,,
90,6.1,5.6,5,16.7,0.67,37.40%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.8,,,,,,,
82,5.4,5.1,5.1,15.6,0.77,5.10%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.6,,,,,,,
86,5.6,4.6,4.7,14.9,0.65,19.30%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.6,,,,,,,
86,5.1,4.5,5,14.6,0.74,34.10%,Submit
,,,,,,,
Havertz,,,,,,,
FW 7.8,,,,,,,
92,5.4,4.7,4.5,14.5,0.62,0.50%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.2,,,,,,,
82,4.8,5.2,4.5,14.5,0.52,1.90%,Submit
,,,,,,,
Alexander-Arnold,,,,,,,
DF 7.2,,,,,,,
84,4.2,4.2,5.7,14.1,0.65,91.80%,Submit
,,,,,,,
Son,,,,,,,
MD 9.8,,,,,,,
85,3.7,4.7,5.6,14.1,0.48,0.80%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.8,,,,,,,
79,5,4.7,4.2,14,0.68,0.10%,Submit
,,,,,,,
Wood,,,,,,,
FW 6.8,,,,,,,
81,3.8,5.9,4.2,13.9,0.68,24.70%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.6,,,,,,,
69,4.2,3.9,5.5,13.6,0.6,2.00%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.5,,,,,,,
91,3.6,4.3,5.4,13.2,0.59,25.30%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.8,,,,,,,
87,4.5,3.9,4.4,12.9,0.55,31.90%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.6,,,,,,,
90,4,4,4.9,12.9,0.77,28.20%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.4,,,,,,,
73,4.3,4.4,3.9,12.6,0.45,0.00%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.2,,,,,,,
73,4.3,4,4.1,12.4,0.58,1.40%,Submit
,,,,,,,
Amad,,,,,,,
MD 5.4,,,,,,,
80,4.8,4.1,3.5,12.4,0.76,6.40%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 8.1,,,,,,,
75,4.5,4.8,3,12.3,0.51,12.30%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.7,,,,,,,
73,4.1,4.1,4.1,12.2,0.72,23.10%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
58,3.8,3.5,4.8,12.1,0.56,1.20%,Submit
,,,,,,,
Kudus,,,,,,,
MD 6.2,,,,,,,
87,4.5,4.4,3.2,12.1,0.65,0.00%,Submit
,,,,,,,
Gabriel,,,,,,,
DF 6.4,,,,,,,
93,4.1,3.9,4,12,0.63,81.10%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.9,,,,,,,
79,4.1,3.6,4.1,11.9,0.67,25.20%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.6,,,,,,,
95,4,3.9,3.9,11.7,0.7,33.30%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.4,,,,,,,
85,3.5,4.9,3.4,11.7,0.61,0.00%,Submit
,,,,,,,
Kluivert,,,,,,,
MD 5.5,,,,,,,
78,3.6,3.5,4.5,11.6,0.7,1.80%,Submit
,,,,,,,
Welbeck,,,,,,,
FW 5.5,,,,,,,
81,4.6,3.4,3.5,11.5,0.7,0.10%,Submit
,,,,,,,
A.Becker,,,,,,,
GK 5.4,,,,,,,
93,3.8,3.6,4.2,11.5,0.71,19.50%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.5,,,,,,,
80,4.2,3.9,3.3,11.4,0.69,0.70%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.4,,,,,,,
91,3.5,3.4,4.5,11.3,0.59,1.30%,Submit
,,,,,,,
Joelinton,,,,,,,
MD 6.0,,,,,,,
87,4,3.5,3.7,11.3,0.63,0.00%,Submit
,,,,,,,
Iwobi,,,,,,,
MD 5.9,,,,,,,
84,3.6,3.8,3.8,11.2,0.63,1.00%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.3,,,,,,,
86,3.7,3.8,3.7,11.1,0.59,6.00%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.5,,,,,,,
84,3.9,2.9,4.3,11.1,0.67,67.70%,Submit
,,,,,,,
H�jlund,,,,,,,
FW 6.9,,,,,,,
71,4.4,3.6,3,11.1,0.53,0.00%,Submit
,,,,,,,
Hall,,,,,,,
DF 4.9,,,,,,,
87,4,3.4,3.6,11.1,0.75,23.80%,Submit
,,,,,,,
Robertson,,,,,,,
DF 5.9,,,,,,,
68,3.2,3.3,4.5,11,0.62,0.30%,Submit
,,,,,,,
Sch�r,,,,,,,
DF 5.4,,,,,,,
88,4,3.4,3.6,11,0.68,0.00%,Submit
,,,,,,,
L.Paquet�,,,,,,,
MD 5.7,,,,,,,
76,4,3.7,3,10.8,0.63,0.00%,Submit
,,,,,,,
Watkins,,,,,,,
FW 8.9,,,,,,,
61,3.6,2.9,4.2,10.7,0.4,5.70%,Submit
,,,,,,,
Onana,,,,,,,
GK 5.1,,,,,,,
94,4,3.5,3.1,10.6,0.7,0.00%,Submit
,,,,,,,
Bernardo,,,,,,,
MD 6.3,,,,,,,
71,3.3,3.9,3.4,10.6,0.56,0.00%,Submit
,,,,,,,
S�nchez,,,,,,,
GK 4.8,,,,,,,
95,3.7,3.8,3.1,10.6,0.73,4.20%,Submit
,,,,,,,
Hudson-Odoi,,,,,,,
MD 5.2,,,,,,,
81,3.1,4.4,3,10.5,0.67,0.00%,Submit
,,,,,,,
Sels,,,,,,,
GK 4.9,,,,,,,
93,3.1,4,3.3,10.4,0.71,2.50%,Submit
,,,,,,,
Bailey,,,,,,,
MD 6.2,,,,,,,
76,3.8,2.7,3.9,10.4,0.56,0.00%,Submit
,,,,,,,
Kulusevski,,,,,,,
MD 6.5,,,,,,,
82,2.8,3.5,4.1,10.3,0.53,0.20%,Submit
,,,,,,,
Konat�,,,,,,,
DF 5.1,,,,,,,
88,3.2,3.1,4.1,10.3,0.67,0.00%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.5,,,,,,,
93,3.6,3.2,3.5,10.3,0.76,5.90%,Submit
,,,,,,,
Leno,,,,,,,
GK 5.0,,,,,,,
92,3.4,3.4,3.4,10.3,0.68,0.00%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.2,,,,,,,
78,3.5,3.2,3.5,10.2,0.55,0.40%,Submit
,,,,,,,
Mac Allister,,,,,,,
MD 6.2,,,,,,,
79,3.1,3.1,3.9,10.2,0.55,0.00%,Submit
,,,,,,,
Ings,,,,,,,
FW 5.0,,,,,,,
75,3.9,3.9,2.3,10.1,0.68,0.00%,Submit
,,,,,,,
Bruno G.,,,,,,,
MD 6.1,,,,,,,
87,3.6,3.2,3.3,10.1,0.55,0.00%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.0,,,,,,,
83,3.4,3.7,2.9,10,0.56,6.10%,Submit
,,,,,,,
Johnson,,,,,,,
MD 6.4,,,,,,,
74,2.7,3.2,4.1,10,0.52,0.20%,Submit
,,,,,,,
Estupi�an,,,,,,,
DF 5.0,,,,,,,
89,3.7,2.7,3.6,10,0.66,0.10%,Submit
,,,,,,,
Pickford,,,,,,,
GK 5.0,,,,,,,
95,3.4,3.4,3.1,9.9,0.66,6.40%,Submit
,,,,,,,
Ndiaye,,,,,,,
FW 5.4,,,,,,,
85,3.4,3.4,3,9.9,0.61,0.30%,Submit
,,,,,,,
Elanga,,,,,,,
MD 5.2,,,,,,,
62,2.6,4.3,2.9,9.9,0.63,0.00%,Submit
,,,,,,,
Brooks,,,,,,,
MD 4.9,,,,,,,
76,3.1,3.1,3.6,9.8,0.67,0.00%,Submit
,,,,,,,
Sancho,,,,,,,
MD 6.2,,,,,,,
66,3.6,3.6,2.6,9.8,0.53,0.00%,Submit
,,,,,,,
Mu�oz,,,,,,,
DF 4.7,,,,,,,
87,3.5,2.8,3.4,9.7,0.69,30.00%,Submit
,,,,,,,
Mavididi,,,,,,,
MD 5.1,,,,,,,
71,3.5,3.3,2.9,9.7,0.63,0.00%,Submit
,,,,,,,
O.Dango,,,,,,,
MD 5.0,,,,,,,
78,3.2,3.1,3.4,9.7,0.65,0.00%,Submit
,,,,,,,
Cunha,,,,,,,
FW 7.0,,,,,,,
87,3.4,3.3,3,9.7,0.46,0.90%,Submit
,,,,,,,
Fabianski,,,,,,,
GK 4.1,,,,,,,
94,3.5,3.3,2.9,9.7,0.79,46.20%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.2,,,,,,,
78,3.3,3.1,3.2,9.7,0.52,0.00%,Submit
,,,,,,,
Szoboszlai,,,,,,,
MD 6.3,,,,,,,
