col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.6,,,,,,,
89,7.9,6.6,6.9,21.4,0.53,98.80%,Submit
,,,,,,,
Haaland,,,,,,,
FW 14.8,,,,,,,
90,7.4,6.1,6.4,19.8,0.45,2.70%,Submit
,,,,,,,
Palmer,,,,,,,
MD 11.4,,,,,,,
90,5.6,6.1,6.6,18.2,0.53,99.80%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.2,,,,,,,
89,5.3,6,5.7,16.9,0.61,79.40%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.4,,,,,,,
86,5.1,5.9,5.6,16.6,0.66,39.80%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.3,,,,,,,
87,3.5,6.1,5.1,14.7,0.59,20.80%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.7,,,,,,,
88,5.7,4.4,4,14.2,0.61,31.40%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.4,,,,,,,
73,5,4.2,4.7,13.9,0.49,0.00%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.4,,,,,,,
80,4,5.2,4.4,13.5,0.61,5.80%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.6,,,,,,,
87,4.6,4.7,4.2,13.5,0.68,29.60%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.2,,,,,,,
71,4.8,4.1,4.5,13.4,0.49,2.00%,Submit
,,,,,,,
Alexander-Arnold,,,,,,,
DF 7.2,,,,,,,
85,5.2,3.9,4.3,13.4,0.62,85.00%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 8.2,,,,,,,
78,4.1,4.2,4.5,12.9,0.52,14.20%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.7,,,,,,,
85,3.9,4.7,4,12.6,0.74,88.70%,Submit
,,,,,,,
Wood,,,,,,,
FW 6.8,,,,,,,
79,4.2,3.4,4.9,12.5,0.61,8.50%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.8,,,,,,,
71,4.2,4,4.2,12.4,0.61,5.50%,Submit
,,,,,,,
Watkins,,,,,,,
FW 8.9,,,,,,,
86,6.3,3.2,2.7,12.2,0.46,5.10%,Submit
,,,,,,,
G.Jesus,,,,,,,
FW 6.9,,,,,,,
72,4.1,3.8,4.1,12,0.58,2.70%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.6,,,,,,,
64,4.4,3.6,3.9,11.9,0.52,1.90%,Submit
,,,,,,,
Iwobi,,,,,,,
MD 5.9,,,,,,,
87,4.6,3.4,3.8,11.8,0.67,0.90%,Submit
,,,,,,,
Son,,,,,,,
MD 9.9,,,,,,,
70,4,3.5,4.3,11.8,0.4,2.00%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.5,,,,,,,
87,4.4,3.3,4,11.6,0.52,38.30%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.5,,,,,,,
80,3.5,4.1,3.9,11.5,0.7,0.70%,Submit
,,,,,,,
Havertz,,,,,,,
FW 7.9,,,,,,,
72,3.1,4.1,4.3,11.5,0.49,0.50%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.6,,,,,,,
93,3.8,3.9,3.8,11.5,0.68,33.70%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.6,,,,,,,
62,4.2,3.6,3.6,11.4,0.68,23.00%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.0,,,,,,,
92,4.6,3.3,3.6,11.4,0.63,6.90%,Submit
,,,,,,,
Gabriel,,,,,,,
DF 6.4,,,,,,,
91,3.6,3.9,3.9,11.4,0.59,85.30%,Submit
,,,,,,,
F�llkrug,,,,,,,
FW 6.7,,,,,,,
76,3.3,4.2,3.9,11.4,0.57,0.00%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.2,,,,,,,
74,3.9,4.2,3.3,11.3,0.52,1.00%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.4,,,,,,,
71,3.6,3.1,4.6,11.2,0.58,0.00%,Submit
,,,,,,,
A.Becker,,,,,,,
GK 5.4,,,,,,,
89,3.9,3.8,3.6,11.2,0.69,18.70%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.5,,,,,,,
90,4.1,3.4,3.6,11.1,0.57,1.30%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.8,,,,,,,
66,4,3.4,3.6,11,0.54,0.10%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.9,,,,,,,
83,3.8,3.6,3.5,10.9,0.62,24.40%,Submit
,,,,,,,
Robertson,,,,,,,
DF 5.9,,,,,,,
73,4.1,3.4,3.5,10.9,0.62,0.40%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.6,,,,,,,
87,4.5,3.2,3.2,10.9,0.65,29.10%,Submit
,,,,,,,
Leno,,,,,,,
GK 5.0,,,,,,,
93,3.9,3.5,3.5,10.8,0.72,0.00%,Submit
,,,,,,,
S�nchez,,,,,,,
GK 4.8,,,,,,,
93,3.5,3.6,3.7,10.8,0.75,4.20%,Submit
,,,,,,,
Kudus,,,,,,,
MD 6.2,,,,,,,
85,3,4,3.8,10.8,0.58,0.00%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.3,,,,,,,
89,3.4,3.6,3.6,10.6,0.56,7.40%,Submit
,,,,,,,
H�jlund,,,,,,,
FW 6.9,,,,,,,
67,2.6,4.2,3.7,10.6,0.51,0.00%,Submit
,,,,,,,
Sels,,,,,,,
GK 4.9,,,,,,,
95,3.5,3.1,3.9,10.5,0.71,2.40%,Submit
,,,,,,,
Mitoma,,,,,,,
MD 6.4,,,,,,,
82,3.2,3.9,3.3,10.4,0.54,0.40%,Submit
,,,,,,,
Bernardo,,,,,,,
MD 6.3,,,,,,,
68,3.6,3.1,3.6,10.4,0.55,0.00%,Submit
,,,,,,,
Kluivert,,,,,,,
MD 5.5,,,,,,,
73,4.5,3,2.9,10.4,0.63,1.90%,Submit
,,,,,,,
Andreas,,,,,,,
MD 5.0,,,,,,,
69,4.1,3.1,3.2,10.3,0.69,0.10%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
94,3.9,3.4,3,10.3,0.69,0.20%,Submit
,,,,,,,
Onana,,,,,,,
GK 5.1,,,,,,,
92,3,3.9,3.4,10.3,0.67,0.00%,Submit
,,,,,,,
McGinn,,,,,,,
MD 5.2,,,,,,,
86,4.3,3.3,2.5,10.1,0.65,0.00%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.2,,,,,,,
77,4.2,3,2.9,10.1,0.54,0.40%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
42,3.3,3.2,3.6,10.1,0.47,2.00%,Submit
,,,,,,,
Enzo,,,,,,,
MD 5.1,,,,,,,
88,3.1,3.3,3.6,10.1,0.66,10.90%,Submit
,,,,,,,
Hudson-Odoi,,,,,,,
MD 5.3,,,,,,,
90,3.1,2.9,4,10.1,0.63,0.00%,Submit
,,,,,,,
Henderson,,,,,,,
GK 4.5,,,,,,,
91,3.2,3.6,3.3,10,0.74,12.10%,Submit
,,,,,,,
Hall,,,,,,,
DF 4.8,,,,,,,
91,2.8,3.9,3.4,10,0.7,22.50%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 5.9,,,,,,,
70,4,3.1,2.9,10,0.57,2.60%,Submit
,,,,,,,
Amad,,,,,,,
MD 5.3,,,,,,,
72,2.6,4,3.4,10,0.63,10.40%,Submit
,,,,,,,
Delap,,,,,,,
FW 5.6,,,,,,,
83,3.4,3.7,2.8,10,0.59,0.00%,Submit
,,,,,,,
Joelinton,,,,,,,
MD 6.0,,,,,,,
87,3.1,3.5,3.3,9.9,0.55,0.00%,Submit
,,,,,,,
Ak�,,,,,,,
DF 5.3,,,,,,,
86,4,3.1,2.9,9.9,0.62,0.00%,Submit
,,,,,,,
Akanji,,,,,,,
DF 5.3,,,,,,,
88,3.8,3,3.1,9.9,0.62,0.00%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.5,,,,,,,
94,3.1,3.5,3.3,9.9,0.73,6.10%,Submit
,,,,,,,
Flekken,,,,,,,
GK 4.4,,,,,,,
94,3.7,3.2,2.9,9.8,0.74,24.30%,Submit
,,,,,,,
Castagne,,,,,,,
DF 4.2,,,,,,,
84,4,2.6,3.2,9.8,0.77,21.40%,Submit
,,,,,,,
Robinson,,,,,,,
DF 5.0,,,,,,,
90,4.1,2.5,3.1,9.7,0.65,13.10%,Submit
,,,,,,,
Sancho,,,,,,,
MD 6.2,,,,,,,
63,3,3.1,3.6,9.7,0.52,0.00%,Submit
,,,,,,,
Forster,,,,,,,
GK 4.3,,,,,,,
91,3.3,3,3.4,9.7,0.75,0.10%,Submit
,,,,,,,
Cucurella,,,,,,,
DF 5.2,,,,,,,
85,2.9,3.2,3.6,9.6,0.62,0.00%,Submit
,,,,,,,
Bruno G.,,,,,,,
MD 6.1,,,,,,,
88,3,3.5,3.1,9.6,0.52,0.00%,Submit
,,,,,,,
Jos� S�,,,,,,,
GK 4.3,,,,,,,
93,3.4,3.1,3.1,9.5,0.74,0.50%,Submit
,,,,,,,
Ramsdale,,,,,,,
GK 4.4,,,,,,,
94,3.3,3.2,3.1,9.5,0.72,0.90%,Submit
,,,,,,,
Tielemans,,,,,,,
MD 5.5,,,,,,,
77,3.9,3.1,2.5,9.5,0.58,0.10%,Submit
,,,,,,,
J.Murphy,,,,,,,
MD 5.1,,,,,,,
65,3.1,3.6,2.8,9.5,0.62,0.20%,Submit
,,,,,,,
L.Paquet�,,,,,,,
MD 5.7,,,,,,,
69,2.6,3.3,3.5,9.5,0.55,0.00%,Submit
,,,,,,,
Smith Rowe,,,,,,,
MD 5.3,,,,,,,
64,3.5,2.7,3.2,9.5,0.59,0.60%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.2,,,,,,,
83,3.1,3.2,3.1,9.4,0.5,0.00%,Submit
,,,,,,,
Pickford,,,,,,,
GK 5.0,,,,,,,
92,3.2,2.8,3.3,9.3,0.62,6.30%,Submit
,,,,,,,
Andersen,,,,,,,
DF 4.2,,,,,,,
90,3.8,2.5,2.9,9.3,0.74,19.60%,Submit
,,,,,,,
Mac Allister,,,,,,,
MD 6.2,,,,,,,
73,3.3,3,3,9.3,0.5,0.00%,Submit
,,,,,,,
Szoboszlai,,,,,,,
MD 6.3,,,,,,,
57,3.3,3,2.9,9.2,0.49,0.00%,Submit
,,,,,,,
Calvert-Lewin,,,,,,,
FW 5.4,,,,,,,
54,2.9,3.1,3.2,9.2,0.57,0.30%,Submit
,,,,,,,
Wilson,,,,,,,
MD 5.2,,,,,,,
56,3.6,2.7,2.9,9.1,0.59,0.00%,Submit
,,,,,,,
Strand Larsen,,,,,,,
FW 5.5,,,,,,,
73,3.7,2.7,2.8,9.1,0.55,5.50%,Submit
,,,,,,,
Elanga,,,,,,,
MD 5.2,,,,,,,
56,2.9,2.5,3.7,9.1,0.58,0.00%,Submit
,,,,,,,
Madueke,,,,,,,
MD 6.2,,,,,,,
45,2.4,3.3,3.5,9.1,0.49,0.00%,Submit
,,,,,,,
Colwill,,,,,,,
DF 4.6,,,,,,,
93,2.8,3.1,3.2,9.1,0.66,46.60%,Submit
,,,,,,,
Ndiaye,,,,,,,
FW 5.4,,,,,,,
79,2.9,3.2,3,9.1,0.56,0.10%,Submit
,,,,,,,
Hutchinson,,,,,,,
MD 5.2,,,,,,,
86,3,3.3,2.7,9,0.58,0.00%,Submit
,,,,,,,
Kulusevski,,,,,,,
MD 6.5,,,,,,,
74,3.2,2.6,3.2,9,0.46,0.20%,Submit
,,,,,,,
Neto,,,,,,,
MD 6.2,,,,,,,
58,2.8,3,3.2,9,0.48,0.00%,Submit
,,,,,,,
Bailey,,,,,,,
MD 6.2,,,,,,,
65,4.3,2.6,2,8.9,0.48,0.00%,Submit
,,,,,,,
A.Doucoure,,,,,,,
MD 5.1,,,,,,,
86,2.9,3.1,2.8,8.8,0.57,0.00%,Submit
,,,,,,,
Mu�oz,,,,,,,
DF 4.7,,,,,,,
90,2.8,3.3,2.7,8.8,0.62,28.50%,Submit
,,,,,,,
Aina,,,,,,,
DF 5.2,,,,,,,
91,3.1,1.9,3.8,8.8,0.56,0.40%,Submit
,,,,,,,
Johnson,,,,,,,
MD 6.5,,,,,,,
51,2.7,2.6,3.5,8.7,0.45,0.30%,Submit
,,,,,,,
Gravenberch,,,,,,,
MD 5.0,,,,,,,
84,3.2,2.5,2.8,8.5,0.57,0.00%,Submit
,,,,,,,
Calafiori,,,,,,,
DF 5.8,,,,,,,
45,2.1,3.2,3.1,8.4,0.49,0.00%,Submit
,,,,,,,
N.Williams,,,,,,,
DF 4.3,,,,,,,
84,2.9,1.7,3.8,8.4,0.65,0.00%,Submit
,,,,,,,
Bassey,,,,,,,
DF 4.5,,,,,,,
91,3.6,2.4,2.5,8.4,0.62,0.00%,Submit
,,,,,,,
Cash,,,,,,,
DF 4.4,,,,,,,
82,4,2.9,1.5,8.4,0.64,0.00%,Submit
,,,,,,,
Summerville,,,,,,,
MD 5.6,,,,,,,
56,2.2,3,3.2,8.4,0.5,0.00%,Submit
,,,,,,,
Milenkovi?,,,,,,,
DF 4.7,,,,,,,
89,2.8,1.7,3.8,8.3,0.59,0.70%,Submit
,,,,,,,
Armstrong,,,,,,,
FW 5.1,,,,,,,
59,3.2,2.7,2.4,8.3,0.54,3.30%,Submit
,,,,,,,
J.Ayew,,,,,,,
MD 5.2,,,,,,,
60,2.4,3,2.9,8.3,0.53,0.00%,Submit
,,,,,,,
Tonali,,,,,,,
MD 5.5,,,,,,,
75,2.5,3,2.7,8.2,0.5,0.00%,Submit
,,,,,,,
Gakpo,,,,,,,
FW 7.3,,,,,,,
39,2.7,2.7,2.8,8.2,0.38,0.00%,Submit
,,,,,,,
O.Dango,,,,,,,
MD 5.0,,,,,,,
65,3.6,2.3,2.3,8.2,0.55,0.00%,Submit
,,,,,,,
Maddison,,,,,,,
MD 7.7,,,,,,,
66,3.3,2.2,2.6,8.2,0.35,0.00%,Submit
,,,,,,,
Mazraoui,,,,,,,
DF 4.5,,,,,,,
77,1.3,3.9,2.9,8.1,0.6,0.50%,Submit
