col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.8,,,,,,,
89,7.8,7.4,5.5,20.7,0.5,80.60%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.9,,,,,,,
93,5.8,4.5,5.5,15.8,0.67,16.90%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.5,,,,,,,
77,4.3,6.9,4.5,15.7,0.55,99.40%,Submit
,,,,,,,
Palmer,,,,,,,
MD 10.6,,,,,,,
84,4.9,6,4.7,15.6,0.49,63.50%,Submit
,,,,,,,
Marmoush,,,,,,,
FW 7.7,,,,,,,
85,10.1,0,5.3,15.5,0.67,96.70%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.5,,,,,,,
66,10.6,0,4.8,15.5,0.49,39.20%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.5,,,,,,,
88,6.1,3.8,4.4,14.3,0.64,1.20%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.5,,,,,,,
80,5,4.4,4.5,13.9,0.55,1.60%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.7,,,,,,,
61,8.9,0,4.9,13.9,0.69,0.70%,Submit
,,,,,,,
Wood,,,,,,,
FW 6.9,,,,,,,
89,4.6,5.1,4.1,13.7,0.66,0.30%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.5,,,,,,,
88,4.6,4,4.7,13.3,0.68,0.10%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.5,,,,,,,
74,5.1,4.4,3.7,13.3,0.59,0.20%,Submit
,,,,,,,
Merino,,,,,,,
MD 6.1,,,,,,,
71,9.3,0,3.6,12.9,0.7,3.10%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
60,4.8,4.3,3.5,12.6,0.58,0.10%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.6,,,,,,,
94,8.4,0,4,12.4,0.74,69.20%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.6,,,,,,,
75,3.8,4.5,3.9,12.3,0.73,11.90%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.3,,,,,,,
62,8,0,4.3,12.2,0.44,0.00%,Submit
,,,,,,,
Rashford,,,,,,,
MD 6.7,,,,,,,
62,7.5,0,4.6,12.2,0.61,0.40%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.5,,,,,,,
55,8,0,4.1,12.1,0.62,0.20%,Submit
,,,,,,,
Kudus,,,,,,,
MD 6.2,,,,,,,
86,5.3,3.2,3.6,12,0.65,0.00%,Submit
,,,,,,,
Cunha,,,,,,,
FW 6.8,,,,,,,
77,3.8,4.9,3.3,12,0.59,0.00%,Submit
,,,,,,,
A.Becker,,,,,,,
GK 5.5,,,,,,,
92,4.2,3.9,3.5,11.7,0.71,0.50%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
66,7.7,0,3.8,11.5,0.47,0.50%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 5.8,,,,,,,
82,4.1,4.3,3.1,11.5,0.66,28.90%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.3,,,,,,,
65,3.8,4.4,3.2,11.5,0.72,0.10%,Submit
,,,,,,,
H�jlund,,,,,,,
FW 6.9,,,,,,,
81,4.4,3.5,3.4,11.3,0.55,0.00%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.6,,,,,,,
