col1,col2,col3,col4,col5,col6,col7,col8
Saka,,,,,,,
MD 10.4,,,,,,,
67,5,6.4,13,24.4,0.78,23.70%,Submit
,,,,,,,
M.Salah,,,,,,,
MD 13.8,,,,,,,
89,6.4,8.2,7.7,22.3,0.54,82.20%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.8,,,,,,,
83,4.8,7.5,7.8,20.1,0.99,50.20%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.7,,,,,,,
80,4.8,7.3,7.7,19.8,0.86,49.90%,Submit
,,,,,,,
Marmoush,,,,,,,
FW 7.5,,,,,,,
80,4.7,5.4,9.6,19.7,0.88,91.30%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
89,4.6,5.1,9.4,19,0.77,1.80%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.5,,,,,,,
77,4.7,9.7,4.1,18.5,0.65,93.30%,Submit
,,,,,,,
Merino,,,,,,,
MD 6.1,,,,,,,
79,4.5,4.4,9.2,18.1,0.99,0.10%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.7,,,,,,,
83,4.3,6.6,7,17.8,1.04,75.70%,Submit
,,,,,,,
Palmer,,,,,,,
MD 10.7,,,,,,,
91,5.4,7,4.7,17.1,0.53,68.90%,Submit
,,,,,,,
Henderson,,,,,,,
GK 4.6,,,,,,,
94,3.6,6.4,6.6,16.5,1.2,27.30%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.5,,,,,,,
62,3.8,4.4,8.1,16.3,0.84,0.10%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.5,,,,,,,
94,3.9,4.1,8.2,16.2,0.98,59.90%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.4,,,,,,,
93,3.8,4.2,7.9,15.9,0.83,31.90%,Submit
,,,,,,,
Savinho,,,,,,,
MD 6.2,,,,,,,
73,3.9,3.9,7.3,15.2,0.82,24.30%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.8,,,,,,,
54,3.4,4,7.3,14.7,0.72,3.70%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.6,,,,,,,
88,4.6,4.3,5.7,14.6,0.56,7.60%,Submit
,,,,,,,
Rashford,,,,,,,
MD 6.6,,,,,,,
65,4.1,4.4,6,14.4,0.73,0.00%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.3,,,,,,,
80,5.7,4.4,4.3,14.3,0.65,0.20%,Submit
,,,,,,,
Pope,,,,,,,
GK 4.9,,,,,,,
94,3.8,7.1,3.3,14.2,0.97,17.40%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
94,3.6,4,6.6,14.2,0.95,24.30%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 8.1,,,,,,,
92,5.2,3.6,5.4,14.1,0.58,23.30%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.5,,,,,,,
80,3.8,4.1,6.3,14.1,0.86,15.00%,Submit
,,,,,,,
Ederson M.,,,,,,,
GK 5.3,,,,,,,
91,3.5,3.6,7,14.1,0.89,1.10%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.6,,,,,,,
88,4.9,3.2,6,14.1,0.62,3.70%,Submit
,,,,,,,
Watkins,,,,,,,
FW 8.9,,,,,,,
40,2.6,4.2,7.3,14.1,0.53,0.60%,Submit
,,,,,,,
J.Timber,,,,,,,
DF 5.6,,,,,,,
70,2.3,4,7.6,14,0.83,3.00%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.2,,,,,,,
61,3.6,3.6,6.8,14,0.51,12.30%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.2,,,,,,,
81,3.2,3.5,7,13.8,0.74,0.00%,Submit
,,,,,,,
Szoboszlai,,,,,,,
MD 6.4,,,,,,,
80,4.2,4.7,4.7,13.6,0.71,0.00%,Submit
,,,,,,,
Trippier,,,,,,,
DF 5.6,,,,,,,
75,3.6,7.2,2.7,13.6,0.81,11.70%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.1,,,,,,,
86,3.2,3.7,6.6,13.5,0.74,90.10%,Submit
,,,,,,,
J.Murphy,,,,,,,
MD 5.1,,,,,,,
77,3.9,6.8,2.6,13.4,0.87,49.90%,Submit
,,,,,,,
Mu�oz,,,,,,,
DF 5.2,,,,,,,
90,3.6,4.6,5.1,13.2,0.85,47.20%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.4,,,,,,,
46,2.2,7.8,3.2,13.2,0.59,1.70%,Submit
,,,,,,,
Doku,,,,,,,
MD 6.2,,,,,,,
65,3.2,3.6,6.2,13,0.7,0.00%,Submit
,,,,,,,
Sch�r,,,,,,,
DF 5.4,,,,,,,
88,3.8,6.6,2.4,12.8,0.79,0.50%,Submit
,,,,,,,
M.Asensio,,,,,,,
MD 6.1,,,,,,,
53,3.5,3.6,5.7,12.8,0.7,0.10%,Submit
,,,,,,,
Livramento,,,,,,,
DF 4.5,,,,,,,
86,3.8,6.6,2.4,12.8,0.95,55.70%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.6,,,,,,,
80,3.8,5.1,3.9,12.8,0.76,16.70%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 7.7,,,,,,,
76,3.9,5.2,3.7,12.7,0.55,0.20%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 5.7,,,,,,,
84,4.5,4.3,3.7,12.5,0.73,33.00%,Submit
,,,,,,,
Bruno G.,,,,,,,
MD 6.1,,,,,,,
85,3.4,6.2,2.8,12.4,0.68,0.10%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.5,,,,,,,
62,3.7,4.2,4.3,12.2,0.54,0.00%,Submit
,,,,,,,
R�ben,,,,,,,
DF 5.4,,,,,,,
90,2.9,3.2,6.1,12.2,0.75,3.40%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.5,,,,,,,
91,3.5,4.3,4.1,12,0.61,1.20%,Submit
,,,,,,,
Wharton,,,,,,,
MD 4.7,,,,,,,
80,2.8,4.6,4.5,12,0.85,0.00%,Submit
,,,,,,,
Tielemans,,,,,,,
MD 5.5,,,,,,,
75,3,3.3,5.6,11.9,0.72,0.00%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
52,3.5,4.2,4.1,11.8,0.55,0.10%,Submit
,,,,,,,
Mitchell,,,,,,,
DF 4.8,,,,,,,
81,3.2,4,4.5,11.6,0.81,0.00%,Submit
,,,,,,,
Konsa,,,,,,,
DF 4.4,,,,,,,
92,3.2,3.6,4.8,11.6,0.88,33.00%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.6,,,,,,,
83,3.7,4.3,3.6,11.6,0.59,0.50%,Submit
,,,,,,,
Tonali,,,,,,,
MD 5.5,,,,,,,
81,3,5.9,2.6,11.5,0.7,0.00%,Submit
,,,,,,,
Wood,,,,,,,
FW 7.1,,,,,,,
54,2.2,5.1,4.3,11.5,0.54,2.50%,Submit
,,,,,,,
Elanga,,,,,,,
MD 5.5,,,,,,,
84,3.6,4.2,3.6,11.5,0.7,2.10%,Submit
,,,,,,,
Konat�,,,,,,,
DF 5.3,,,,,,,
89,3.4,4,4.1,11.5,0.72,2.70%,Submit
,,,,,,,
Lacroix,,,,,,,
DF 4.5,,,,,,,
88,3.1,3.9,4.5,11.5,0.85,0.10%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.6,,,,,,,
89,4.1,3.1,4.2,11.5,0.58,3.70%,Submit
,,,,,,,
Burn,,,,,,,
DF 4.5,,,,,,,
89,3.5,6,2,11.5,0.85,18.50%,Submit
,,,,,,,
Gu�hi,,,,,,,
DF 4.7,,,,,,,
91,3.1,3.9,4.3,11.4,0.81,0.20%,Submit
,,,,,,,
G�ndogan,,,,,,,
MD 6.3,,,,,,,
56,2.7,3.3,5.4,11.3,0.6,0.00%,Submit
,,,,,,,
White,,,,,,,
DF 6.1,,,,,,,
