col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.8,,,,,,,
90,5.5,5.4,5.7,16.6,0.4,98.70%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 8.1,,,,,,,
91,5.6,5.7,5.1,16.4,0.67,54.20%,Submit
,,,,,,,
Palmer,,,,,,,
MD 10.5,,,,,,,
87,5,4.8,5.9,15.7,0.5,96.30%,Submit
,,,,,,,
Marmoush,,,,,,,
FW 7.6,,,,,,,
85,5.5,5.7,4.4,15.6,0.69,11.10%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.4,,,,,,,
75,5.6,5.3,4.3,15.2,0.54,0.30%,Submit
,,,,,,,
Wood,,,,,,,
FW 7.0,,,,,,,
88,4.2,5.7,4.2,14.1,0.67,5.00%,Submit
,,,,,,,
Watkins,,,,,,,
FW 8.9,,,,,,,
82,5,4.4,4.7,14,0.53,0.10%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.9,,,,,,,
78,4.6,4.2,4.8,13.6,0.66,4.80%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.6,,,,,,,
89,4.5,4.7,4.2,13.5,0.68,3.60%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.4,,,,,,,
42,3.4,4.2,5.9,13.4,0.43,1.00%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.6,,,,,,,
90,4.9,3.9,4.4,13.3,0.58,3.90%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.3,,,,,,,
81,5,3.4,4.4,12.8,0.81,0.20%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.3,,,,,,,
88,4.1,4.6,4.1,12.7,0.8,75.10%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.6,,,,,,,
78,4.5,4.7,3.4,12.5,0.44,98.90%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.5,,,,,,,
63,3.2,5.2,3.9,12.4,0.48,1.50%,Submit
,,,,,,,
Schade,,,,,,,
MD 5.1,,,,,,,
83,4.1,4.1,3.9,12.1,0.79,0.50%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.3,,,,,,,
88,4.2,4.2,3.4,11.8,0.62,13.50%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.7,,,,,,,
83,4.2,3.6,3.9,11.8,0.69,4.20%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.7,,,,,,,
87,4.2,3.5,4.1,11.8,0.69,1.30%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.4,,,,,,,
80,3.3,4.7,3.6,11.7,0.61,0.20%,Submit
,,,,,,,
Cunha,,,,,,,
FW 7.0,,,,,,,
71,3.2,4.5,3.7,11.4,0.55,76.80%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.7,,,,,,,
72,4.2,3.3,3.8,11.4,0.49,0.60%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
64,3.8,3.3,4.1,11.2,0.46,0.00%,Submit
,,,,,,,
A.Doucoure,,,,,,,
MD 5.1,,,,,,,
83,4,3,4.2,11.2,0.73,0.00%,Submit
,,,,,,,
Pickford,,,,,,,
GK 5.1,,,,,,,
94,3.9,3.3,3.9,11.1,0.73,0.90%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.6,,,,,,,
93,4,3.3,3.8,11.1,0.66,3.80%,Submit
,,,,,,,
Welbeck,,,,,,,
FW 5.5,,,,,,,
