col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.7,,,,,,,
85,5.8,5.6,6.6,18,0.44,82.40%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.3,,,,,,,
81,4.3,5.4,6.3,16,0.52,13.10%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 8.2,,,,,,,
90,5.8,5.6,4.5,15.9,0.65,93.60%,Submit
,,,,,,,
Wood,,,,,,,
FW 7.1,,,,,,,
87,6.2,4.6,4.3,15.1,0.71,2.10%,Submit
,,,,,,,
Watkins,,,,,,,
FW 8.9,,,,,,,
85,4.7,4.9,4.6,14.1,0.53,3.70%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.7,,,,,,,
91,4.2,4.9,4.9,14,0.61,18.90%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.8,,,,,,,
86,5,4.8,4.2,14,0.68,21.60%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.6,,,,,,,
74,5.3,4.3,4.2,13.8,0.48,11.60%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 5.8,,,,,,,
87,4.5,3.4,5.6,13.6,0.78,30.40%,Submit
,,,,,,,
Kluivert,,,,,,,
MD 6.0,,,,,,,
78,4.5,3.3,5.8,13.5,0.75,9.10%,Submit
,,,,,,,
Isak,,,,,,,
FW 9.6,,,,,,,
77,4.8,3.8,4.8,13.4,0.47,90.30%,Submit
,,,,,,,
Haaland,,,,,,,
FW 14.8,,,,,,,
47,3.8,4.5,5,13.3,0.3,0.40%,Submit
,,,,,,,
Palmer,,,,,,,
MD 10.5,,,,,,,
88,4.7,6,2.5,13.2,0.42,28.30%,Submit
,,,,,,,
Marmoush,,,,,,,
FW 7.6,,,,,,,
78,5.2,4.3,3.7,13.2,0.58,95.30%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.3,,,,,,,
84,4.9,3.9,4.1,13,0.82,1.60%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.5,,,,,,,
72,4.9,3.5,4.2,12.6,0.49,0.50%,Submit
,,,,,,,
Cunha,,,,,,,
FW 7.1,,,,,,,
74,4.6,3.6,4.2,12.4,0.58,0.90%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.9,,,,,,,
79,4.3,4.6,3.4,12.3,0.6,52.70%,Submit
,,,,,,,
Schade,,,,,,,
MD 5.2,,,,,,,
81,4.5,4.2,3.5,12.2,0.78,1.30%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.7,,,,,,,
89,4.1,3.1,5,12.2,0.71,8.70%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.4,,,,,,,
86,5.1,3.7,3.3,12,0.63,0.30%,Submit
,,,,,,,
Merino,,,,,,,
MD 6.1,,,,,,,
79,3.2,4,4.5,11.7,0.64,4.90%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.7,,,,,,,
89,3.8,4.3,3.6,11.6,0.68,55.70%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 7.7,,,,,,,
77,3.5,4.1,3.8,11.5,0.5,0.10%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
83,3.2,3.7,4.4,11.3,0.46,0.00%,Submit
,,,,,,,
Kudus,,,,,,,
MD 6.2,,,,,,,
85,3.4,3.8,4,11.2,0.6,0.20%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.6,,,,,,,
93,3.3,3.7,4.2,11.2,0.67,69.30%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.4,,,,,,,
86,4.4,3.7,2.8,11,0.57,97.00%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.3,,,,,,,
82,3.3,4.5,3.2,11,0.69,1.40%,Submit
,,,,,,,
A.Becker,,,,,,,
GK 5.5,,,,,,,
94,3.7,3.5,3.8,10.9,0.66,0.40%,Submit
,,,,,,,
Ederson M.,,,,,,,
GK 5.3,,,,,,,
88,3.9,3.4,3.6,10.9,0.69,0.10%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.5,,,,,,,
64,3.4,3.5,3.9,10.9,0.48,0.10%,Submit
,,,,,,,
Welbeck,,,,,,,
FW 5.5,,,,,,,
84,4.3,3.2,3.3,10.8,0.66,2.50%,Submit
,,,,,,,
Iwobi,,,,,,,
MD 5.6,,,,,,,
84,4.2,3.4,3.3,10.8,0.64,0.00%,Submit
,,,,,,,
Amad,,,,,,,
MD 5.3,,,,,,,
60,3.7,3.2,3.8,10.8,0.68,0.00%,Submit
,,,,,,,
Flekken,,,,,,,
GK 4.4,,,,,,,
93,3.8,3.7,3.3,10.8,0.82,1.50%,Submit
,,,,,,,
Sels,,,,,,,
GK 5.2,,,,,,,
94,4,3.4,3.4,10.7,0.69,1.70%,Submit
,,,,,,,
M.Asensio,,,,,,,
MD 6.1,,,,,,,
66,3.7,3.9,3.1,10.7,0.58,0.80%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.5,,,,,,,
60,2.8,3.7,4.2,10.7,0.55,0.20%,Submit
,,,,,,,
Delap,,,,,,,
FW 5.6,,,,,,,
76,3.6,3.5,3.6,10.6,0.63,0.00%,Submit
,,,,,,,
Neto,,,,,,,
MD 6.1,,,,,,,
76,3.2,4,3.4,10.6,0.58,0.00%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
95,3.5,3.7,3.4,10.6,0.7,33.10%,Submit
,,,,,,,
Pickford,,,,,,,
GK 5.1,,,,,,,
93,3.3,4,3.1,10.4,0.68,1.80%,Submit
,,,,,,,
Madueke,,,,,,,
MD 6.0,,,,,,,
68,3.1,3.9,3.4,10.4,0.58,0.00%,Submit
,,,,,,,
Arrizabalaga,,,,,,,
GK 4.6,,,,,,,
94,3.5,3,3.9,10.4,0.75,5.60%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.7,,,,,,,
77,3.6,3.9,2.8,10.4,0.61,76.80%,Submit
,,,,,,,
Leno,,,,,,,
GK 5.0,,,,,,,
94,3.7,3.4,3.3,10.3,0.69,0.10%,Submit
,,,,,,,
Strand Larsen,,,,,,,
FW 5.3,,,,,,,
78,3.1,3.4,3.8,10.3,0.65,0.20%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.4,,,,,,,
68,3.4,2.9,3.9,10.2,0.46,0.10%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.8,,,,,,,
54,2.7,3.6,4,10.2,0.5,0.70%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.6,,,,,,,
69,3.6,3.8,2.8,10.2,0.45,42.60%,Submit
,,,,,,,
S�nchez,,,,,,,
GK 4.5,,,,,,,
91,3.2,3.6,3.4,10.2,0.75,0.50%,Submit
,,,,,,,
Pope,,,,,,,
GK 5.0,,,,,,,
92,3.4,3.1,3.6,10.1,0.68,16.40%,Submit
,,,,,,,
Areola,,,,,,,
GK 4.2,,,,,,,
92,3.2,3.4,3.5,10.1,0.8,27.90%,Submit
,,,,,,,
Jos� S�,,,,,,,
GK 4.4,,,,,,,
93,3.5,3.2,3.4,10.1,0.77,2.60%,Submit
,,,,,,,
Aina,,,,,,,
DF 5.2,,,,,,,
93,4.4,2.9,2.7,10,0.64,0.00%,Submit
,,,,,,,
Enzo,,,,,,,
MD 4.7,,,,,,,
87,3,3.5,3.5,10,0.71,1.40%,Submit
,,,,,,,
Enciso,,,,,,,
MD 5.4,,,,,,,
78,3.2,3.5,3.3,10,0.61,0.00%,Submit
,,,,,,,
R�ben,,,,,,,
DF 5.5,,,,,,,
85,4,3.1,2.8,9.9,0.6,30.30%,Submit
,,,,,,,
Henderson,,,,,,,
GK 4.6,,,,,,,
92,3.3,3.7,2.9,9.9,0.72,31.30%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
48,2.9,3.1,3.7,9.8,0.45,0.10%,Submit
,,,,,,,
Palmer,,,,,,,
GK 4.5,,,,,,,
94,3.2,3.3,3.2,9.7,0.72,0.00%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.6,,,,,,,
94,3.4,3.1,3.2,9.7,0.7,6.10%,Submit
,,,,,,,
N.Williams,,,,,,,
DF 4.5,,,,,,,
80,4.1,2.9,2.7,9.7,0.72,19.70%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.2,,,,,,,
84,2.7,3.3,3.6,9.6,0.52,0.00%,Submit
,,,,,,,
Stolarczyk,,,,,,,
GK 4.0,,,,,,,
94,3.1,3.5,3.1,9.6,0.8,0.00%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.7,,,,,,,
84,2.9,3.2,3.6,9.6,0.48,0.60%,Submit
,,,,,,,
Damsgaard,,,,,,,
MD 4.9,,,,,,,
83,3.4,3.2,3,9.6,0.65,0.00%,Submit
,,,,,,,
McNeil,,,,,,,
MD 5.1,,,,,,,
71,3.1,4,2.5,9.5,0.62,0.20%,Submit
,,,,,,,
Elanga,,,,,,,
MD 5.5,,,,,,,
63,4.1,2.9,2.5,9.5,0.58,0.40%,Submit
,,,,,,,
Minteh,,,,,,,
MD 4.8,,,,,,,
72,3.4,3,3.2,9.5,0.66,1.20%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.5,,,,,,,
89,2.1,3.4,4,9.5,0.49,63.30%,Submit
,,,,,,,
Tavernier,,,,,,,
MD 5.4,,,,,,,
63,3.1,2.5,3.9,9.5,0.59,0.00%,Submit
,,,,,,,
Kulusevski,,,,,,,
MD 6.2,,,,,,,
