element,position,multiplier,is_captain,is_vice_captain,element_type
443,1,1,False,False,1
339,2,1,False,False,2
70,3,1,False,False,2
3,4,1,False,False,2
494,5,1,False,False,3
328,6,2,True,False,3
364,7,1,False,False,3
136,8,1,False,False,3
182,9,1,False,True,3
180,10,1,False,False,4
129,11,1,False,False,4
521,12,0,False,False,1
399,13,0,False,False,2
594,14,0,False,False,2
306,15,0,False,False,4
