id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
328,M.Salah,MID,LIV,0.0,16,0.42105263157894735,1.03,1403,67.0,15.2,13.5,18
401,Isak,FWD,NEW,0.0,15,0.39473684210526316,1.12,1200,41.0,9.6,9.0,18
182,Palmer,MID,CHE,0.0,17,0.4473684210526316,1.04,1478,66.4,9.5,11.3,18
106,Schade,MID,BRE,0.0,8,0.21052631578947367,0.96,749,0.8,7.8,5.1,18
71,Kluivert,MID,BOU,0.0,14,0.3684210526315789,1.2,1053,5.4,7.2,5.5,18
18,Saliba,DEF,ARS,0.0,16,0.42105263157894735,1.04,1379,30.5,7.1,6.3,18
402,J.Murphy,MID,NEW,0.0,10,0.2631578947368421,1.16,773,2.0,7.0,5.0,18
336,Szoboszlai,MID,LIV,0.0,12,0.3157894736842105,0.97,1115,2.1,6.8,6.3,18
580,Huijsen,DEF,BOU,0.0,6,0.15789473684210525,0.89,610,1.7,6.8,4.3,18
168,Enzo,MID,CHE,0.0,12,0.3157894736842105,0.94,1147,10.4,6.7,5.1,18
364,Amad,MID,MUN,0.0,10,0.2631578947368421,0.92,973,17.1,6.4,5.4,18
494,Maddison,MID,TOT,0.0,14,0.3684210526315789,1.17,1078,11.5,6.3,7.7,18
366,B.Fernandes,MID,MUN,0.0,17,0.4473684210526316,1.07,1429,15.2,6.2,8.4,18
327,Luis Díaz,MID,LIV,0.0,11,0.2894736842105263,1.03,963,20.5,6.2,7.5,18
321,Gakpo,FWD,LIV,0.0,8,0.21052631578947367,0.96,749,3.4,6.2,7.2,18
585,I.Sarr,MID,CRY,0.0,10,0.2631578947368421,0.9,1000,2.2,6.0,5.8,18
311,Alexander-Arnold,DEF,LIV,0.0,14,0.3684210526315789,1.12,1129,24.3,5.8,7.1,18
503,Son,MID,TOT,0.0,13,0.34210526315789475,1.1,1065,6.2,5.7,9.8,18
99,Mbeumo,MID,BRE,0.0,17,0.4473684210526316,1.0,1525,28.7,5.6,7.6,18
54,Rogers,MID,AST,0.0,17,0.4473684210526316,1.09,1401,21.2,5.6,5.4,18
492,Kulusevski,MID,TOT,0.0,15,0.39473684210526316,1.02,1318,6.0,5.5,6.4,18
16,Rice,MID,ARS,0.0,14,0.3684210526315789,1.05,1195,2.7,5.5,6.2,18
231,Mykolenko,DEF,EVE,0.0,14,0.3684210526315789,1.05,1195,5.3,5.5,4.3,18
514,Bowen,MID,WHM,0.0,17,0.4473684210526316,1.02,1507,7.4,5.3,7.5,18
177,Madueke,MID,CHE,0.0,13,0.34210526315789475,1.13,1036,6.6,5.3,6.3,18
6,J.Timber,DEF,ARS,0.0,14,0.3684210526315789,1.04,1215,7.7,5.3,5.7,18
398,Gordon,MID,NEW,0.0,15,0.39473684210526316,1.06,1273,9.3,5.2,7.2,18
394,Bruno G.,MID,NEW,0.0,17,0.4473684210526316,1.04,1475,1.8,5.2,6.1,18
399,Hall,DEF,NEW,0.0,14,0.3684210526315789,0.96,1317,12.5,5.2,4.7,18
345,De Bruyne,MID,MCI,0.0,7,0.18421052631578946,1.01,624,4.8,5.1,9.5,18
573,Milenković,DEF,NOT,0.0,16,0.42105263157894735,1.0,1440,3.7,5.1,4.6,18
70,Kerkez,DEF,BOU,0.0,17,0.4473684210526316,1.05,1457,6.4,5.0,4.7,18
211,Muñoz,DEF,CRY,0.0,16,0.42105263157894735,1.06,1354,2.8,5.0,4.7,18
82,Solanke,FWD,TOT,0.0,14,0.3684210526315789,1.02,1238,9.5,4.9,7.5,18
3,Gabriel,DEF,ARS,0.0,15,0.39473684210526316,1.06,1268,27.3,4.9,6.3,18
386,Sancho,MID,CHE,0.0,8,0.21052631578947367,1.08,668,1.4,4.9,6.2,18
247,Iwobi,MID,FUL,0.0,17,0.4473684210526316,1.03,1480,5.9,4.9,5.8,18
163,Cucurella,DEF,CHE,0.0,13,0.34210526315789475,1.0,1175,6.9,4.9,5.2,18
422,Aina,DEF,NOT,0.0,17,0.4473684210526316,1.05,1463,17.4,4.9,5.0,18
4,Havertz,FWD,ARS,0.0,16,0.42105263157894735,1.04,1390,10.1,4.7,7.9,18
433,Gibbs-White,MID,NOT,0.0,13,0.34210526315789475,1.16,1008,1.4,4.7,6.3,18
525,Kudus,MID,WHM,0.0,12,0.3157894736842105,1.09,990,2.8,4.7,6.2,18
235,Pickford,GKP,EVE,0.0,16,0.42105263157894735,1.0,1440,10.6,4.7,4.9,18
541,Cunha,FWD,WOL,0.0,16,0.42105263157894735,1.01,1425,22.0,4.6,7.1,18
548,Guedes,MID,WOL,0.0,2,0.05263157894736842,0.54,332,0.1,4.6,5.3,18
491,Brennan Johnson,MID,TOT,0.0,13,0.34210526315789475,0.97,1202,6.1,4.5,6.5,18
74,O.Dango,MID,BOU,0.0,6,0.15789473684210525,0.78,696,0.1,4.4,5.0,18
210,Mitchell,DEF,CRY,0.0,17,0.4473684210526316,1.04,1474,1.5,4.4,4.8,18
152,Arrizabalaga,GKP,BOU,0.0,12,0.3157894736842105,1.0,1080,1.5,4.4,4.5,18
180,N.Jackson,FWD,CHE,0.0,16,0.42105263157894735,1.15,1257,29.2,4.3,8.3,18
2,G.Jesus,FWD,ARS,0.0,3,0.07894736842105263,0.77,349,7.0,4.3,6.8,18
342,Bernardo,MID,MCI,0.0,15,0.39473684210526316,0.98,1374,3.3,4.3,6.3,18
346,Doku,MID,MCI,0.0,7,0.18421052631578946,1.02,618,1.6,4.3,6.2,18
15,Raya,GKP,ARS,0.0,17,0.4473684210526316,1.0,1530,31.5,4.3,5.6,18
185,Sánchez,GKP,CHE,0.0,16,0.42105263157894735,1.0,1440,13.9,4.3,4.8,18
219,Branthwaite,DEF,EVE,0.0,7,0.18421052631578946,0.99,636,1.1,4.3,4.8,18
38,Duran,FWD,AST,0.0,3,0.07894736842105263,0.48,557,5.2,4.2,5.9,18
415,Schär,DEF,NEW,0.0,15,0.39473684210526316,1.05,1287,2.3,4.2,5.4,18
351,Haaland,FWD,MCI,0.0,17,0.4473684210526316,1.0,1529,33.4,4.1,14.8,18
13,Ødegaard,MID,ARS,0.0,10,0.2631578947368421,1.1,815,7.0,4.1,8.4,18
23,Trossard,MID,ARS,0.0,10,0.2631578947368421,0.98,920,1.8,4.1,6.8,18
447,C. Wood,FWD,NOT,0.0,16,0.42105263157894735,1.09,1324,23.8,4.1,6.6,18
110,Wissa,FWD,BRE,0.0,13,0.34210526315789475,1.12,1047,10.0,4.0,6.3,18
617,Evanilson,FWD,BOU,0.0,15,0.39473684210526316,1.15,1178,3.7,4.0,6.0,18
203,Hughes,MID,CRY,0.0,10,0.2631578947368421,0.95,949,0.1,4.0,4.9,18
236,Tarkowski,DEF,EVE,0.0,16,0.42105263157894735,1.01,1431,1.7,4.0,4.8,18
181,Nkunku,MID,CHE,0.0,2,0.05263157894736842,0.59,307,2.2,3.9,5.8,18
329,Mac Allister,MID,LIV,0.0,13,0.34210526315789475,1.11,1051,1.3,3.8,6.2,18
566,Strand Larsen,FWD,WOL,0.0,17,0.4473684210526316,1.09,1399,3.4,3.8,5.6,18
650,Lacroix,DEF,CRY,0.0,14,0.3684210526315789,1.0,1260,0.3,3.8,4.5,18
255,Robinson,DEF,FUL,0.0,17,0.4473684210526316,1.0,1530,21.7,3.7,4.9,18
530,Souček,MID,WHM,0.0,13,0.34210526315789475,1.01,1163,2.1,3.7,4.9,18
388,Wan-Bissaka,DEF,WHM,0.0,15,0.39473684210526316,1.0,1354,6.5,3.7,4.6,18
488,Forster,GKP,TOT,0.0,5,0.13157894736842105,1.0,450,0.7,3.7,4.3,18
136,Mitoma,MID,BRI,0.0,16,0.42105263157894735,1.0,1446,7.4,3.6,6.5,18
89,Damsgaard,MID,BRE,0.0,14,0.3684210526315789,1.06,1188,1.2,3.6,5.0,18
85,Zabarnyi,DEF,BOU,0.0,17,0.4473684210526316,1.0,1530,0.5,3.6,4.4,18
159,Chalobah,DEF,CRY,0.0,10,0.2631578947368421,1.02,880,0.6,3.6,4.4,18
324,Jones,MID,LIV,0.0,7,0.18421052631578946,0.96,655,0.5,3.5,5.3,18
157,Caicedo,MID,CHE,0.0,17,0.4473684210526316,1.02,1505,1.3,3.5,4.9,18
171,Gusto,DEF,CHE,0.0,12,0.3157894736842105,1.03,1045,2.2,3.5,4.9,18
162,Colwill,DEF,CHE,0.0,16,0.42105263157894735,1.0,1440,5.3,3.5,4.6,18
58,Watkins,FWD,AST,0.0,14,0.3684210526315789,1.11,1135,14.9,3.4,8.8,18
389,Zirkzee,FWD,MUN,0.0,6,0.15789473684210525,0.83,650,1.6,3.4,6.6,18
65,Enes Ünal,FWD,BOU,0.0,1,0.02631578947368421,0.39,232,0.2,3.4,5.4,18
48,McGinn,MID,AST,0.0,13,0.34210526315789475,1.1,1066,0.8,3.4,5.2,18
63,Christie,MID,BOU,0.0,14,0.3684210526315789,1.11,1131,0.1,3.4,4.9,18
395,Burn,DEF,NEW,0.0,16,0.42105263157894735,1.0,1440,6.9,3.4,4.4,18
350,Gvardiol,DEF,MCI,0.0,15,0.39473684210526316,0.97,1392,22.4,3.3,6.0,18
432,Elanga,MID,NOT,0.0,11,0.2894736842105263,1.12,880,0.8,3.3,5.1,18
20,Partey,MID,ARS,0.0,14,0.3684210526315789,0.96,1308,0.8,3.3,5.0,18
423,Anderson,MID,NOT,0.0,12,0.3157894736842105,1.12,967,0.2,3.3,5.0,18
499,P.M.Sarr,MID,TOT,0.0,10,0.2631578947368421,0.99,905,0.3,3.3,4.8,18
443,Sels,GKP,NOT,0.0,17,0.4473684210526316,1.0,1530,8.6,3.3,4.7,18
437,N.Williams,DEF,NOT,0.0,7,0.18421052631578946,0.86,733,0.5,3.3,4.3,18
317,Diogo J.,MID,LIV,0.0,7,0.18421052631578946,1.2,525,3.5,3.2,7.2,18
385,Rashford,MID,MUN,0.0,12,0.3157894736842105,1.11,975,2.7,3.2,6.7,18
339,Virgil,DEF,LIV,0.0,16,0.42105263157894735,1.0,1440,24.5,3.2,6.5,18
78,Semenyo,MID,BOU,0.0,16,0.42105263157894735,1.04,1386,6.3,3.2,5.6,18
322,Gomez,DEF,LIV,0.0,4,0.10526315789473684,0.92,391,2.2,3.2,4.9,18
325,Kelleher,GKP,LIV,0.0,8,0.21052631578947367,1.0,720,2.8,3.2,4.4,18
543,Doherty,DEF,WOL,0.0,6,0.15789473684210525,1.02,531,0.2,3.2,4.3,18
9,Martinelli,MID,ARS,0.0,11,0.2894736842105263,1.05,941,4.0,3.1,6.7,18
167,Disasi,DEF,CHE,0.0,3,0.07894736842105263,0.99,274,0.5,3.1,4.2,18
187,Tosin,DEF,CHE,0.0,5,0.13157894736842105,1.02,441,0.3,3.1,4.2,18
207,Mateta,FWD,CRY,0.0,15,0.39473684210526316,1.08,1251,2.4,3.0,7.2,18
651,Mangala,MID,EVE,0.0,8,0.21052631578947367,0.94,762,0.0,3.0,5.0,18
409,Livramento,DEF,NEW,0.0,14,0.3684210526315789,1.06,1193,2.2,3.0,4.5,18
348,Foden,MID,MCI,0.0,8,0.21052631578947367,0.89,808,5.1,2.9,9.1,18
358,Ortega Moreno,GKP,MCI,0.0,4,0.10526315789473684,1.0,360,0.6,2.9,5.2,18
265,Chaplin,MID,IPS,0.0,7,0.18421052631578946,1.04,605,0.1,2.9,5.1,18
306,Vardy,FWD,LEI,0.25,16,0.42105263157894735,1.12,1281,8.4,2.8,5.6,18
323,Gravenberch,MID,LIV,0.0,16,0.42105263157894735,1.02,1416,0.8,2.8,5.0,18
635,El Khannouss,MID,LEI,0.0,7,0.18421052631578946,1.12,562,0.2,2.8,4.8,18
88,Collins,DEF,BRE,0.0,17,0.4473684210526316,1.0,1530,2.4,2.8,4.6,18
44,Konsa,DEF,AST,0.0,15,0.39473684210526316,1.06,1271,7.4,2.8,4.4,18
131,Lamptey,DEF,BRI,0.0,3,0.07894736842105263,1.05,257,0.5,2.8,4.4,18
509,Werner,MID,TOT,0.0,3,0.07894736842105263,0.68,400,0.2,2.7,6.2,18
