element,position,multiplier,is_captain,is_vice_captain
91,1,1,False,False
3,2,1,False,False
533,3,1,False,False
339,4,1,False,False
182,5,1,False,False
328,6,2,True,False
99,7,1,False,False
17,8,1,False,True
364,9,1,False,False
129,10,1,False,False
541,11,1,False,False
521,12,0,False,False
268,13,0,False,False
594,14,0,False,False
399,15,0,False,False
