id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
328,M.Salah,MID,LIV,0.0,12,0.3157894736842105,1.02,1054,55.6,12.0,13.1,13
541,Cunha,FWD,WOL,0.0,11,0.2894736842105263,1.02,975,18.3,11.3,7.0,13
366,B.Fernandes,MID,MUN,0.0,12,0.3157894736842105,1.06,1019,16.6,9.7,8.5,13
553,J.Gomes,MID,WOL,0.0,12,0.3157894736842105,1.06,1018,0.9,8.3,4.9,13
82,Solanke,FWD,TOT,0.0,10,0.2631578947368421,1.01,887,13.1,8.2,7.6,13
494,Maddison,MID,TOT,0.0,10,0.2631578947368421,1.17,771,7.8,8.2,7.6,13
129,João Pedro,FWD,BRI,0.0,4,0.10526315789473684,0.98,368,14.2,8.2,5.6,13
401,Isak,FWD,NEW,0.0,10,0.2631578947368421,1.05,855,20.7,7.3,8.5,13
495,Pedro Porro,DEF,TOT,0.0,12,0.3157894736842105,1.0,1077,28.5,6.8,5.5,13
17,Saka,MID,ARS,0.0,11,0.2894736842105263,1.1,902,29.5,6.7,10.2,13
235,Pickford,GKP,EVE,0.0,12,0.3157894736842105,1.0,1080,10.4,6.3,4.9,13
388,Wan-Bissaka,DEF,WHM,0.0,10,0.2631578947368421,1.0,904,1.9,6.3,4.4,13
259,H. Wilson,MID,FUL,0.0,0,0.0,0.0,104,0.5,6.2,5.2,13
168,Enzo,MID,CHE,0.0,7,0.18421052631578946,0.9,697,1.4,6.2,4.8,13
491,Brennan Johnson,MID,TOT,0.0,10,0.2631578947368421,1.01,893,9.1,5.8,6.7,13
110,Wissa,FWD,BRE,0.0,8,0.21052631578947367,1.13,636,8.6,5.7,6.1,13
617,Evanilson,FWD,BOU,0.0,10,0.2631578947368421,1.13,796,2.0,5.7,6.0,13
585,I.Sarr,MID,CRY,0.0,5,0.13157894736842105,0.8,565,0.3,5.7,5.7,13
94,Janelt,MID,BRE,0.0,12,0.3157894736842105,1.09,989,0.8,5.7,4.9,13
180,N.Jackson,FWD,CHE,0.0,12,0.3157894736842105,1.13,955,19.9,5.5,8.0,13
13,Ødegaard,MID,ARS,0.0,5,0.13157894736842105,1.06,424,4.5,5.3,8.2,13
192,J.Ayew,MID,LEI,0.0,5,0.13157894736842105,0.85,531,0.2,5.3,5.2,13
236,Tarkowski,DEF,EVE,0.0,12,0.3157894736842105,1.0,1080,1.7,5.3,4.8,13
422,Aina,DEF,NOT,0.0,12,0.3157894736842105,1.04,1041,12.8,5.3,4.8,13
238,A. Young,DEF,EVE,0.0,10,0.2631578947368421,1.03,875,1.7,5.3,4.5,13
325,Kelleher,GKP,LIV,0.0,6,0.15789473684210525,1.0,540,2.6,5.3,4.5,13
403,Joelinton,MID,NEW,0.0,12,0.3157894736842105,1.09,994,1.6,5.0,6.0,13
268,Delap,FWD,IPS,0.0,11,0.2894736842105263,1.16,855,4.8,5.0,5.6,13
566,Strand Larsen,FWD,WOL,0.0,12,0.3157894736842105,1.1,985,2.9,5.0,5.6,13
20,Partey,MID,ARS,0.0,11,0.2894736842105263,0.97,1017,1.0,5.0,5.0,13
136,Mitoma,MID,BRI,0.0,11,0.2894736842105263,0.99,1004,6.1,4.8,6.4,13
492,Kulusevski,MID,TOT,0.0,11,0.2894736842105263,1.04,948,4.1,4.8,6.3,13
453,A. Armstrong,FWD,SOU,0.0,6,0.15789473684210525,1.02,530,0.7,4.8,5.1,13
157,Caicedo,MID,CHE,0.0,12,0.3157894736842105,1.02,1055,1.6,4.8,4.9,13
18,Saliba,DEF,ARS,0.0,11,0.2894736842105263,1.07,929,22.7,4.7,6.0,13
611,Szmodics,MID,IPS,0.0,8,0.21052631578947367,1.2,601,0.4,4.7,5.8,13
15,Raya,GKP,ARS,0.0,12,0.3157894736842105,1.0,1080,28.9,4.7,5.5,13
383,Andre Onana,GKP,MUN,0.0,12,0.3157894736842105,1.0,1080,9.5,4.7,5.1,13
89,Damsgaard,MID,BRE,0.0,10,0.2631578947368421,1.05,860,1.1,4.7,5.0,13
364,Amad,MID,MUN,0.0,6,0.15789473684210525,0.95,568,3.4,4.7,4.9,13
436,Murillo,DEF,NOT,0.0,12,0.3157894736842105,1.0,1080,2.8,4.7,4.6,13
91,Flekken,GKP,BRE,0.0,12,0.3157894736842105,1.0,1080,12.2,4.7,4.5,13
231,Mykolenko,DEF,EVE,0.0,10,0.2631578947368421,1.08,835,4.2,4.7,4.3,13
521,Fabianski,GKP,WHM,0.0,4,0.10526315789473684,0.89,405,18.9,4.7,4.1,13
503,Son,MID,TOT,0.0,9,0.23684210526315788,1.12,726,6.3,4.5,9.9,13
9,Martinelli,MID,ARS,0.0,8,0.21052631578947367,1.06,678,3.6,4.3,6.9,13
336,Szoboszlai,MID,LIV,0.0,9,0.23684210526315788,0.97,834,1.5,4.3,6.3,13
434,Hudson-Odoi,MID,NOT,0.0,10,0.2631578947368421,1.03,874,2.3,4.3,5.4,13
274,Hutchinson,MID,IPS,0.0,11,0.2894736842105263,1.03,964,0.3,4.3,5.2,13
557,Mario Jr.,MID,WOL,0.0,11,0.2894736842105263,1.02,972,0.5,4.3,5.0,13
219,Branthwaite,DEF,EVE,0.0,3,0.07894736842105263,0.98,276,0.8,4.3,4.8,13
267,Davis,DEF,IPS,0.0,12,0.3157894736842105,1.0,1080,2.4,4.3,4.5,13
520,Emerson,DEF,WHM,0.0,12,0.3157894736842105,1.17,925,0.5,4.3,4.4,13
560,P. Neto,MID,CHE,0.0,5,0.13157894736842105,0.81,555,1.6,4.2,6.2,13
19,Smith Rowe,MID,FUL,0.0,11,0.2894736842105263,1.16,853,26.9,4.2,5.8,13
247,Iwobi,MID,FUL,0.0,12,0.3157894736842105,1.04,1035,2.5,4.2,5.6,13
339,Virgil,DEF,LIV,0.0,12,0.3157894736842105,1.0,1080,22.3,4.0,6.3,13
6,J.Timber,DEF,ARS,0.0,9,0.23684210526315788,1.05,770,2.1,4.0,5.5,13
71,Kluivert,MID,BOU,0.0,9,0.23684210526315788,1.16,696,0.8,4.0,5.3,13
278,Morsy,MID,IPS,0.0,11,0.2894736842105263,1.01,983,0.2,4.0,4.9,13
594,Mazraoui,DEF,MUN,0.0,11,0.2894736842105263,1.09,912,17.1,4.0,4.6,13
70,Kerkez,DEF,BOU,0.0,12,0.3157894736842105,1.07,1007,1.6,4.0,4.4,13
567,Toti,DEF,WOL,0.0,10,0.2631578947368421,1.09,827,0.2,4.0,4.3,13
99,Mbeumo,MID,BRE,0.0,12,0.3157894736842105,1.0,1075,41.0,3.7,7.9,13
316,Darwin,FWD,LIV,0.0,5,0.13157894736842105,0.88,512,2.5,3.7,7.1,13
321,Gakpo,FWD,LIV,0.0,4,0.10526315789473684,0.76,475,2.0,3.7,7.1,13
385,Rashford,MID,MUN,0.0,11,0.2894736842105263,1.2,823,3.5,3.7,6.9,13
201,Henderson,GKP,CRY,0.0,12,0.3157894736842105,1.0,1080,10.2,3.7,4.4,13
399,Hall,DEF,NEW,0.0,9,0.23684210526315788,0.93,875,6.6,3.7,4.4,13
26,Alex Moreno,DEF,NOT,0.0,9,0.23684210526315788,1.18,684,0.8,3.7,4.4,13
148,Welbeck,FWD,BRI,0.0,12,0.3157894736842105,1.07,1013,21.5,3.5,6.0,13
618,Georginio,MID,BRI,0.0,9,0.23684210526315788,1.22,666,1.8,3.5,5.6,13
629,O'Riley,MID,BRI,0.0,0,0.0,0.0,47,0.1,3.5,5.5,13
54,Rogers,MID,AST,0.0,12,0.3157894736842105,1.1,980,21.7,3.5,5.4,13
505,Udogie,DEF,TOT,0.0,12,0.3157894736842105,1.08,1004,3.1,3.5,4.9,13
255,Robinson,DEF,FUL,0.0,12,0.3157894736842105,1.0,1080,16.5,3.5,4.7,13
146,Verbruggen,GKP,BRI,0.0,10,0.2631578947368421,1.0,900,2.7,3.5,4.5,13
486,Dragusin,DEF,TOT,0.0,4,0.10526315789473684,0.98,369,0.2,3.5,4.3,13
398,Gordon,MID,NEW,0.0,11,0.2894736842105263,1.08,913,8.6,3.3,7.2,13
447,C. Wood,FWD,NOT,0.0,11,0.2894736842105263,1.08,915,23.2,3.3,6.6,13
625,Gündogan,MID,MCI,0.0,8,0.21052631578947367,1.01,713,0.6,3.3,6.5,13
372,Garnacho,MID,MUN,0.0,8,0.21052631578947367,0.9,797,11.7,3.3,6.4,13
548,Guedes,MID,WOL,0.0,0,0.0,0.0,123,0.1,3.3,5.3,13
323,Gravenberch,MID,LIV,0.0,12,0.3157894736842105,1.0,1080,0.9,3.3,5.0,13
593,De Ligt,DEF,MUN,0.0,9,0.23684210526315788,0.95,849,5.3,3.3,5.0,13
530,Souček,MID,WHM,0.0,8,0.21052631578947367,0.97,742,2.0,3.3,4.9,13
443,Sels,GKP,NOT,0.0,12,0.3157894736842105,1.0,1080,7.5,3.3,4.7,13
12,Nwaneri,MID,ARS,0.0,0,0.0,0.0,60,0.4,3.3,4.5,13
645,Devenny,MID,CRY,0.0,2,0.05263157894736842,1.23,146,0.1,3.3,4.5,13
409,Livramento,DEF,NEW,0.0,9,0.23684210526315788,1.02,797,2.2,3.3,4.5,13
524,Kilman,DEF,WHM,0.0,12,0.3157894736842105,1.0,1080,2.0,3.3,4.5,13
554,José Sá,GKP,WOL,0.0,7,0.18421052631578946,1.0,630,1.9,3.3,4.3,13
58,Watkins,FWD,AST,0.0,12,0.3157894736842105,1.16,930,22.1,3.2,9.0,13
3,Gabriel,DEF,ARS,0.25,12,0.3157894736842105,1.04,1043,24.5,3.2,6.2,13
248,Leno,GKP,FUL,0.0,12,0.3157894736842105,1.0,1080,2.5,3.2,5.0,13
623,M.Fernandes,MID,SOU,0.0,9,0.23684210526315788,1.02,798,0.0,3.2,5.0,13
257,Tete,DEF,FUL,0.0,12,0.3157894736842105,1.05,1028,0.4,3.2,4.5,13
351,Haaland,FWD,MCI,0.0,12,0.3157894736842105,1.0,1079,54.9,3.0,15.1,13
514,Bowen,MID,WHM,0.0,12,0.3157894736842105,1.02,1057,5.9,3.0,7.4,13
207,Mateta,FWD,CRY,0.0,10,0.2631578947368421,1.07,842,2.7,3.0,7.2,13
23,Trossard,MID,ARS,0.0,8,0.21052631578947367,1.07,676,1.7,3.0,6.8,13
392,Barnes,MID,NEW,0.0,5,0.13157894736842105,0.84,536,2.6,3.0,6.3,13
335,Robertson,DEF,LIV,0.0,10,0.2631578947368421,1.07,845,5.2,3.0,5.9,13
578,Calafiori,DEF,ARS,0.0,5,0.13157894736842105,1.0,450,1.5,3.0,5.8,13
324,Jones,MID,LIV,0.0,5,0.13157894736842105,0.96,468,0.7,3.0,5.3,13
413,Pope,GKP,NEW,0.0,12,0.3157894736842105,1.0,1080,7.0,3.0,5.0,13
62,Brooks,MID,BOU,0.0,0,0.0,0.0,59,0.0,3.0,4.9,13
533,Aït-Nouri,DEF,WOL,0.0,12,0.3157894736842105,1.07,1014,15.2,3.0,4.8,13
410,Longstaff,MID,NEW,0.0,7,0.18421052631578946,1.12,565,0.6,3.0,4.7,13
200,Guéhi,DEF,CRY,0.0,12,0.3157894736842105,1.0,1080,7.4,3.0,4.5,13
559,N.Semedo,DEF,WOL,0.0,10,0.2631578947368421,1.03,870,0.3,3.0,4.5,13
182,Palmer,MID,CHE,0.0,12,0.3157894736842105,1.03,1045,54.7,2.8,10.9,13
476,Walker-Peters,DEF,SOU,0.0,10,0.2631578947368421,1.01,890,0.4,2.8,4.4,13
