id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
328,M.Salah,MID,LIV,0.0,10,0.2631578947368421,1.03,874,46.8,11.3,12.8,11
350,Gvardiol,DEF,MCI,0.0,9,0.23684210526315788,0.95,852,31.6,9.7,6.3,11
447,C. Wood,FWD,NOT,0.0,10,0.2631578947368421,1.13,798,24.0,9.0,6.6,11
422,Aina,DEF,NOT,0.0,10,0.2631578947368421,1.05,861,11.3,7.7,4.7,11
324,Jones,MID,LIV,0.0,3,0.07894736842105263,0.79,343,0.6,7.3,5.3,11
443,Sels,GKP,NOT,0.0,10,0.2631578947368421,1.0,900,7.2,7.3,4.7,11
82,Solanke,FWD,TOT,0.0,8,0.21052631578947367,1.02,707,16.5,7.2,7.7,11
99,Mbeumo,MID,BRE,0.0,10,0.2631578947368421,1.01,895,42.9,6.7,7.9,11
617,Evanilson,FWD,BOU,0.0,8,0.21052631578947367,1.17,616,1.1,6.7,5.9,11
566,Strand Larsen,FWD,WOL,0.0,10,0.2631578947368421,1.09,823,3.3,6.5,5.6,11
306,Vardy,FWD,LEI,0.0,10,0.2631578947368421,1.07,843,10.3,6.3,5.7,11
70,Kerkez,DEF,BOU,0.0,10,0.2631578947368421,1.08,837,1.2,6.3,4.4,11
541,Cunha,FWD,WOL,0.0,9,0.23684210526315788,1.02,796,8.4,6.2,6.7,11
148,Welbeck,FWD,BRI,0.0,10,0.2631578947368421,1.07,838,20.6,6.0,5.9,11
401,Isak,FWD,NEW,0.0,8,0.21052631578947367,1.07,675,15.3,5.7,8.4,11
366,B.Fernandes,MID,MUN,0.0,10,0.2631578947368421,1.07,839,9.4,5.7,8.3,11
339,Virgil,DEF,LIV,0.0,10,0.2631578947368421,1.0,900,18.3,5.7,6.2,11
159,Chalobah,DEF,CRY,0.0,4,0.10526315789473684,1.01,357,0.4,5.7,4.4,11
228,Keane,DEF,EVE,0.0,9,0.23684210526315788,1.0,810,11.3,5.7,4.3,11
492,Kulusevski,MID,TOT,0.0,9,0.23684210526315788,1.05,768,4.3,5.5,6.3,11
71,Kluivert,MID,BOU,0.0,7,0.18421052631578946,1.15,547,0.4,5.3,5.3,11
94,Janelt,MID,BRE,0.0,10,0.2631578947368421,1.11,814,0.4,5.3,4.9,11
436,Murillo,DEF,NOT,0.0,10,0.2631578947368421,1.0,900,1.5,5.3,4.5,11
26,Alex Moreno,DEF,NOT,0.0,7,0.18421052631578946,1.2,526,0.8,5.3,4.4,11
321,Gakpo,FWD,LIV,0.0,3,0.07894736842105263,0.69,389,2.1,5.0,7.1,11
375,Højlund,FWD,MUN,0.0,4,0.10526315789473684,1.06,340,1.7,5.0,6.9,11
247,Iwobi,MID,FUL,0.0,10,0.2631578947368421,1.05,857,2.1,5.0,5.5,11
434,Hudson-Odoi,MID,NOT,0.0,8,0.21052631578947367,0.99,726,2.3,5.0,5.4,11
259,H. Wilson,MID,FUL,0.0,0,0.0,0.0,65,0.2,5.0,5.2,11
628,F.Kadıoğlu,DEF,BRI,0.0,5,0.13157894736842105,1.17,385,0.5,5.0,4.5,11
200,Guéhi,DEF,CRY,0.0,10,0.2631578947368421,1.0,900,7.4,5.0,4.5,11
180,N.Jackson,FWD,CHE,0.0,10,0.2631578947368421,1.16,778,16.7,4.8,7.9,11
