col1,col2,col3,col4,col5,col6,col7,col8
Haaland,,,,,,,
FW 15.2,,,,,,,
91,7.6,4.9,7,19.5,0.43,26.20%,Submit
,,,,,,,
M.Salah,,,,,,,
MD 12.9,,,,,,,
88,7.3,5.1,5.3,17.7,0.46,80.90%,Submit
,,,,,,,
Palmer,,,,,,,
MD 10.9,,,,,,,
75,5.2,6.2,6,17.4,0.53,69.30%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.1,,,,,,,
81,4.9,5.8,6,16.6,0.55,19.90%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
87,5.7,4.5,4.8,15,0.61,0.00%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.4,,,,,,,
89,5.3,5.5,3.6,14.4,0.57,46.60%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.4,,,,,,,
64,4.5,3.8,5.9,14.3,0.51,0.00%,Submit
,,,,,,,
Isak,,,,,,,
FW 8.5,,,,,,,
82,5.6,4.4,3.9,14,0.55,5.40%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.9,,,,,,,
83,4.4,5.4,3.9,13.7,0.58,99.70%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.3,,,,,,,
91,4.3,4.6,4.8,13.7,0.62,0.00%,Submit
,,,,,,,
Son,,,,,,,
MD 9.9,,,,,,,
85,3.6,5.4,4.7,13.6,0.46,22.60%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.2,,,,,,,
77,4.2,3.7,5.6,13.6,0.49,12.10%,Submit
,,,,,,,
Havertz,,,,,,,
FW 8.0,,,,,,,
86,5.1,4.2,4.3,13.6,0.56,2.50%,Submit
,,,,,,,
Watkins,,,,,,,
FW 9.0,,,,,,,
82,4.9,3.5,4.6,13,0.48,0.80%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 7.9,,,,,,,
79,4.6,3.9,4.3,12.7,0.54,1.20%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.7,,,,,,,
86,3.4,4.7,4.2,12.3,0.53,80.60%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.9,,,,,,,
70,4.7,3.6,3.8,12.1,0.58,0.00%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.8,,,,,,,
69,4.5,3.5,4,12,0.69,38.10%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.5,,,,,,,
86,3.7,3.9,4.3,12,0.53,3.70%,Submit
,,,,,,,
Cunha,,,,,,,
FW 6.8,,,,,,,
84,3.7,4.3,3.8,11.9,0.58,33.20%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.2,,,,,,,
83,4.7,4,3.2,11.9,0.55,0.10%,Submit
,,,,,,,
Calvert-Lewin,,,,,,,
FW 5.7,,,,,,,
72,4.3,3.4,4.1,11.8,0.69,38.70%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.7,,,,,,,
84,3.6,4,4.1,11.8,0.69,0.00%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.5,,,,,,,
62,3.4,5,3.4,11.7,0.71,17.10%,Submit
,,,,,,,
Mitoma,,,,,,,
MD 6.4,,,,,,,
85,3.6,4.7,3.4,11.7,0.61,0.00%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 6.0,,,,,,,
77,4.1,3.8,3.8,11.7,0.65,0.40%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.5,,,,,,,
93,4,3.7,3.8,11.6,0.7,25.00%,Submit
,,,,,,,
Madueke,,,,,,,
MD 6.4,,,,,,,
67,3.7,3.6,4.1,11.5,0.6,0.10%,Submit
,,,,,,,
Gabriel,,,,,,,
DF 6.1,,,,,,,
94,4.5,3.4,3.6,11.5,0.63,68.20%,Submit
,,,,,,,
Wood,,,,,,,
FW 6.6,,,,,,,
87,3.3,5,3,11.3,0.57,24.60%,Submit
,,,,,,,
McNeil,,,,,,,
MD 5.7,,,,,,,
90,4,3.2,4,11.2,0.66,1.20%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.7,,,,,,,
86,3.1,3.7,4.4,11.1,0.65,1.40%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.4,,,,,,,
82,4.2,3,3.8,11,0.68,68.30%,Submit
,,,,,,,
Calafiori,,,,,,,
DF 5.8,,,,,,,
80,4.2,3.2,3.6,11,0.63,0.00%,Submit
,,,,,,,
J.Timber,,,,,,,
DF 5.5,,,,,,,
84,4.2,3.4,3.4,11,0.66,0.00%,Submit
,,,,,,,
Ederson M.,,,,,,,
GK 5.5,,,,,,,
91,3.8,3.1,4.1,11,0.66,5.00%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.7,,,,,,,
57,3.9,3.5,3.5,10.9,0.47,0.40%,Submit
,,,,,,,
Welbeck,,,,,,,
FW 6.0,,,,,,,
74,3.6,4.3,3.1,10.9,0.61,2.40%,Submit
,,,,,,,
S�nchez,,,,,,,
GK 4.7,,,,,,,
92,3.6,3.5,3.6,10.7,0.76,2.60%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.0,,,,,,,
92,4,3.2,3.4,10.6,0.59,2.60%,Submit
,,,,,,,
Iwobi,,,,,,,
MD 5.6,,,,,,,
81,4.1,2.9,3.6,10.6,0.63,0.00%,Submit
,,,,,,,
Johnson,,,,,,,
MD 6.8,,,,,,,
79,2.8,4.1,3.6,10.5,0.52,18.00%,Submit
,,,,,,,
Smith Rowe,,,,,,,
MD 5.7,,,,,,,
77,4.1,3,3.4,10.5,0.61,3.20%,Submit
,,,,,,,
Darwin,,,,,,,
FW 7.1,,,,,,,
75,5,2.7,2.8,10.5,0.49,2.70%,Submit
,,,,,,,
Onana,,,,,,,
GK 5.1,,,,,,,
93,3.7,3.7,3.1,10.5,0.68,0.00%,Submit
,,,,,,,
Flekken,,,,,,,
GK 4.5,,,,,,,
95,3.5,3.8,3.2,10.4,0.77,57.20%,Submit
,,,,,,,
Gusto,,,,,,,
DF 4.9,,,,,,,
87,3.4,3.3,3.7,10.4,0.71,0.00%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.5,,,,,,,
94,3.4,3.7,3.3,10.4,0.77,4.60%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
93,3.6,3.1,3.6,10.3,0.69,0.50%,Submit
,,,,,,,
Arrizabalaga,,,,,,,
GK 4.5,,,,,,,
93,3.5,3.4,3.4,10.3,0.76,0.20%,Submit
,,,,,,,
Leno,,,,,,,
GK 5.0,,,,,,,
93,3.7,3.2,3.4,10.3,0.68,0.10%,Submit
,,,,,,,
Pope,,,,,,,
GK 5.0,,,,,,,
93,3.7,3.4,3.1,10.2,0.68,0.10%,Submit
,,,,,,,
Andreas,,,,,,,
MD 5.2,,,,,,,
71,3.8,2.9,3.5,10.2,0.65,0.60%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.7,,,,,,,
88,3.3,3.5,3.4,10.2,0.6,29.20%,Submit
,,,,,,,
Pickford,,,,,,,
GK 4.9,,,,,,,
93,3.5,3.1,3.5,10.1,0.69,0.30%,Submit
,,,,,,,
Vicario,,,,,,,
