col1,col2,col3,col4,col5,col6,col7,col8
,,,,,,,
Virgil,,,,,,,
DF 6.2,,,,,,,
93,3.9,4.1,2.3,10.3,0.55,0.60%,Submit
,,,,,,,
Mitoma,,,,,,,
MD 6.5,,,,,,,
79,2.9,3.1,4.3,10.3,0.53,0.00%,Submit
,,,,,,,
Dalot,,,,,,,
DF 5.1,,,,,,,
88,3.9,3.3,3.1,10.3,0.67,3.80%,Submit
,,,,,,,
S�nchez,,,,,,,
GK 4.7,,,,,,,
94,3.3,3.5,3.4,10.3,0.73,2.40%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.3,,,,,,,
91,4,3.7,2.5,10.2,0.54,23.30%,Submit
,,,,,,,
Kluivert,,,,,,,
MD 5.3,,,,,,,
66,3.5,3.6,3.1,10.2,0.64,0.00%,Submit
,,,,,,,
Leno,,,,,,,
GK 5.0,,,,,,,
93,3.4,3.7,3.1,10.1,0.68,0.10%,Submit
,,,,,,,
Sels,,,,,,,
GK 4.7,,,,,,,
92,3.3,3.1,3.7,10.1,0.72,2.00%,Submit
,,,,,,,
Johnstone,,,,,,,
GK 4.4,,,,,,,
93,3.6,3.1,3.3,10.1,0.76,0.20%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
94,3.1,3.6,3.2,10,0.67,0.50%,Submit
,,,,,,,
Iwobi,,,,,,,
MD 5.5,,,,,,,
81,3.3,3.8,2.9,10,0.6,0.00%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.5,,,,,,,
93,3,3.2,3.7,9.9,0.74,4.60%,Submit
,,,,,,,
L.Paquet�,,,,,,,
MD 5.8,,,,,,,
74,4.3,2.9,2.8,9.9,0.57,0.00%,Submit
,,,,,,,
Gabriel,,,,,,,
DF 6.2,,,,,,,
89,2.7,4,3.1,9.9,0.53,67.70%,Submit
,,,,,,,
Gakpo,,,,,,,
FW 7.1,,,,,,,
65,3.8,3.8,2.3,9.9,0.46,0.00%,Submit
,,,,,,,
Pickford,,,,,,,
GK 4.9,,,,,,,
94,3.3,3.5,3.1,9.9,0.67,0.30%,Submit
,,,,,,,
Henderson,,,,,,,
GK 4.4,,,,,,,
94,3.5,3.1,3.3,9.9,0.75,9.30%,Submit
,,,,,,,
Andreas,,,,,,,
MD 5.2,,,,,,,
75,3.2,3.8,2.8,9.8,0.63,0.70%,Submit
,,,,,,,
Barnes,,,,,,,
MD 6.3,,,,,,,
60,3.3,3.3,3.2,9.7,0.52,0.00%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.0,,,,,,,
93,2.6,4,3.1,9.7,0.54,3.00%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.4,,,,,,,
75,2.7,4,2.9,9.7,0.6,75.80%,Submit
,,,,,,,
Smith Rowe,,,,,,,
MD 5.7,,,,,,,
79,3.3,3.5,2.8,9.6,0.56,4.10%,Submit
,,,,,,,
De Ligt,,,,,,,
DF 5.0,,,,,,,
86,3.4,3.1,3,9.6,0.64,0.00%,Submit
,,,,,,,
Hermansen,,,,,,,
GK 4.5,,,,,,,
93,3.2,3.2,3.1,9.5,0.7,0.10%,Submit
,,,,,,,
Arrizabalaga,,,,,,,
GK 4.5,,,,,,,
95,2.6,3.5,3.4,9.5,0.7,0.20%,Submit
,,,,,,,
Hudson-Odoi,,,,,,,
MD 5.4,,,,,,,
75,3.2,2.5,3.8,9.4,0.58,0.00%,Submit
,,,,,,,
Konat�,,,,,,,
DF 5.3,,,,,,,
88,3.5,3.7,2.2,9.4,0.59,0.60%,Submit
,,,,,,,
Ramsdale,,,,,,,
GK 4.4,,,,,,,
93,3.2,3,3.1,9.4,0.71,0.90%,Submit
,,,,,,,
Bruno G.,,,,,,,
MD 6.2,,,,,,,
91,3.1,3.4,2.8,9.3,0.5,0.00%,Submit
,,,,,,,
Szoboszlai,,,,,,,
MD 6.3,,,,,,,
44,2.6,3.8,2.9,9.3,0.49,0.00%,Submit
,,,,,,,
Muric,,,,,,,
GK 4.4,,,,,,,
94,3,3.1,3.1,9.2,0.7,3.40%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.3,,,,,,,
76,2.4,3.6,3.2,9.2,0.49,0.00%,Submit
,,,,,,,
White,,,,,,,
DF 6.2,,,,,,,
86,2.7,3.6,2.8,9.1,0.49,0.00%,Submit
,,,,,,,
Udogie,,,,,,,
DF 4.9,,,,,,,
85,4.4,1.4,3.2,9,0.61,1.10%,Submit
,,,,,,,
Gravenberch,,,,,,,
MD 5.0,,,,,,,
81,3.2,3.2,2.6,9,0.6,0.00%,Submit
,,,,,,,
Akanji,,,,,,,
DF 5.5,,,,,,,
91,3.6,3.3,2.1,9,0.54,0.70%,Submit
,,,,,,,
McGinn,,,,,,,
MD 5.2,,,,,,,
75,2.5,3.7,2.8,8.9,0.57,0.00%,Submit
,,,,,,,
James,,,,,,,
DF 4.9,,,,,,,
65,2.6,3.3,3.1,8.9,0.61,0.30%,Submit
,,,,,,,
Bernardo,,,,,,,
MD 6.5,,,,,,,
67,3.3,3.5,2.1,8.9,0.46,0.00%,Submit
,,,,,,,
Pinnock,,,,,,,
DF 4.5,,,,,,,
91,3,2.5,3.3,8.8,0.65,5.30%,Submit
,,,,,,,
G�ndogan,,,,,,,
MD 6.5,,,,,,,
70,3.4,3.3,2.1,8.8,0.45,0.00%,Submit
,,,,,,,
Colwill,,,,,,,
DF 4.6,,,,,,,
92,2.5,3.2,3.1,8.8,0.64,6.50%,Submit
,,,,,,,
Hall,,,,,,,
DF 4.3,,,,,,,
76,2.7,3.5,2.6,8.8,0.68,0.80%,Submit
,,,,,,,
Sch�r,,,,,,,
DF 5.4,,,,,,,
91,3.1,3.2,2.5,8.8,0.54,0.00%,Submit
,,,,,,,
Antonio,,,,,,,
FW 5.4,,,,,,,
71,3.6,2.8,2.4,8.7,0.54,0.00%,Submit
,,,,,,,
McNeil,,,,,,,
MD 5.8,,,,,,,
62,2,3.9,2.9,8.7,0.5,2.90%,Submit
,,,,,,,
Tielemans,,,,,,,
MD 5.5,,,,,,,
80,2.6,3.4,2.7,8.7,0.53,0.10%,Submit
,,,,,,,
Robertson,,,,,,,
DF 5.9,,,,,,,
62,3.3,3.2,2.3,8.7,0.49,6.20%,Submit
,,,,,,,
Archer,,,,,,,
FW 5.0,,,,,,,
68,3.2,2.8,2.8,8.7,0.58,0.60%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.4,,,,,,,
44,1.6,3.2,3.9,8.7,0.54,17.40%,Submit
,,,,,,,
S�vio,,,,,,,
MD 6.5,,,,,,,
49,2.9,3.5,2.2,8.6,0.44,0.10%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.9,,,,,,,
54,3,3.1,2.5,8.6,0.41,0.00%,Submit
,,,,,,,
Collins,,,,,,,
DF 4.5,,,,,,,
87,2.8,2.5,3.2,8.5,0.63,1.00%,Submit
,,,,,,,
Ndiaye,,,,,,,
FW 5.4,,,,,,,
73,2.3,3.4,2.8,8.5,0.52,0.00%,Submit
,,,,,,,
Martinez,,,,,,,
DF 4.4,,,,,,,
88,3.4,2.6,2.3,8.4,0.63,0.50%,Submit
,,,,,,,
Mac Allister,,,,,,,
MD 6.2,,,,,,,
69,3,2.8,2.5,8.4,0.45,0.00%,Submit
,,,,,,,
Fabianski,,,,,,,
GK 4.0,,,,,,,
87,3.4,2.6,2.3,8.3,0.69,37.00%,Submit
,,,,,,,
Doku,,,,,,,
MD 6.3,,,,,,,
52,3.2,3.1,2.1,8.3,0.44,0.00%,Submit
,,,,,,,
Lewis-Potter,,,,,,,
MD 5.0,,,,,,,
63,3.1,2.6,2.6,8.3,0.55,0.00%,Submit
,,,,,,,
Maddison,,,,,,,
MD 7.6,,,,,,,
51,3.6,1.8,2.8,8.3,0.36,1.50%,Submit
,,,,,,,
A�t-Nouri,,,,,,,
DF 4.7,,,,,,,
81,3.7,1.9,2.6,8.2,0.58,25.50%,Submit
,,,,,,,
Georginio,,,,,,,
MD 5.6,,,,,,,
63,2.6,2.4,3.2,8.2,0.49,0.00%,Submit
,,,,,,,
Mavididi,,,,,,,
MD 5.3,,,,,,,
69,2.9,2.7,2.6,8.2,0.51,0.40%,Submit
,,,,,,,
Delap,,,,,,,
FW 5.6,,,,,,,
66,2.6,3,2.5,8.2,0.49,1.80%,Submit
,,,,,,,
Livramento,,,,,,,
DF 4.5,,,,,,,
82,3,3,2.1,8.1,0.6,0.00%,Submit
,,,,,,,
Kerkez,,,,,,,
DF 4.4,,,,,,,
85,2.6,2.9,2.6,8.1,0.61,0.00%,Submit
,,,,,,,
Hutchinson,,,,,,,
MD 5.2,,,,,,,
73,2.5,2.9,2.7,8.1,0.52,0.00%,Submit
,,,,,,,
Ak�,,,,,,,
DF 5.3,,,,,,,
71,3.1,3.3,1.6,8,0.5,0.00%,Submit
,,,,,,,
Summerville,,,,,,,
MD 5.7,,,,,,,
57,3.3,2.3,2.3,7.9,0.46,0.00%,Submit
,,,,,,,
Ramsey,,,,,,,
MD 5.4,,,,,,,
68,2.5,3,2.4,7.9,0.49,0.00%,Submit
,,,,,,,
Alex Moreno,,,,,,,
DF 4.4,,,,,,,
76,2.7,1.4,3.7,7.9,0.6,0.40%,Submit
,,,,,,,
N�rgaard,,,,,,,
MD 4.8,,,,,,,
85,2.7,2.5,2.6,7.8,0.54,0.00%,Submit
,,,,,,,
Elanga,,,,,,,
MD 5.2,,,,,,,
54,2.6,1.9,3.2,7.8,0.5,0.00%,Submit
,,,,,,,
Aina,,,,,,,
DF 4.7,,,,,,,
82,2.6,1.4,3.8,7.8,0.55,1.10%,Submit
,,,,,,,
W.Fofana,,,,,,,
DF 4.5,,,,,,,
80,2.2,2.9,2.6,7.8,0.58,0.00%,Submit
,,,,,,,
Robinson,,,,,,,
DF 4.7,,,,,,,
88,2.6,3.3,1.9,7.7,0.55,3.30%,Submit
,,,,,,,
Cook,,,,,,,
MD 5.0,,,,,,,
92,2.6,2.6,2.5,7.7,0.51,0.00%,Submit
,,,,,,,
Walker,,,,,,,
DF 5.2,,,,,,,
74,3.1,2.9,1.6,7.7,0.49,0.00%,Submit
,,,,,,,
Lindstr�m,,,,,,,
MD 5.1,,,,,,,
69,3,2.7,2,7.7,0.5,0.00%,Submit
,,,,,,,
Harrison,,,,,,,
MD 5.3,,,,,,,
70,3,2.6,2.1,7.7,0.48,0.00%,Submit
,,,,,,,
Andersen,,,,,,,
DF 4.3,,,,,,,
88,2.4,3.3,1.9,7.6,0.59,10.90%,Submit
,,,,,,,
Van den Berg,,,,,,,
DF 4.1,,,,,,,
87,2.8,2.4,2.4,7.6,0.62,4.20%,Submit
,,,,,,,
Gu�hi,,,,,,,
DF 4.5,,,,,,,
91,3,2,2.6,7.6,0.56,0.90%,Submit
,,,,,,,
Neto,,,,,,,
MD 6.2,,,,,,,
55,2.7,2.4,2.4,7.6,0.41,0.00%,Submit
,,,,,,,
Digne,,,,,,,
DF 4.7,,,,,,,
75,1.8,3.6,2.2,7.5,0.54,0.30%,Submit
,,,,,,,
Mazraoui,,,,,,,
DF 4.5,,,,,,,
76,3.6,2.3,1.7,7.5,0.56,0.50%,Submit
,,,,,,,
Mykolenko,,,,,,,
DF 4.3,,,,,,,
91,2.5,2.9,2.1,7.5,0.58,35.20%,Submit
,,,,,,,
Romero,,,,,,,
DF 5.1,,,,,,,
