col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 13.2,,,,,,,
89,6,6.5,6.8,19.3,0.49,92.20%,Submit
,,,,,,,
Haaland,,,,,,,
FW 15.0,,,,,,,
88,7.3,5.6,6.4,19.2,0.43,9.20%,Submit
,,,,,,,
Palmer,,,,,,,
MD 11.0,,,,,,,
89,7.2,5.1,6.6,18.9,0.57,97.90%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.3,,,,,,,
82,6.2,5.6,6.7,18.5,0.6,33.90%,Submit
,,,,,,,
Son,,,,,,,
MD 9.9,,,,,,,
81,4.7,4.7,5.8,15.2,0.51,8.10%,Submit
,,,,,,,
Watkins,,,,,,,
FW 9.0,,,,,,,
82,4.9,5.6,4.1,14.6,0.54,0.80%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.1,,,,,,,
73,5.3,4.6,4.7,14.6,0.53,0.30%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.4,,,,,,,
87,4.7,5.3,4.1,14.1,0.63,1.80%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.3,,,,,,,
88,4.9,4.3,4.8,14.1,0.56,0.10%,Submit
,,,,,,,
Alexander-Arnold,,,,,,,
DF 6.9,,,,,,,
83,3.9,4.8,5.2,14,0.68,7.30%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.4,,,,,,,
58,4.5,4.1,5.1,13.7,0.49,0.00%,Submit
,,,,,,,
Havertz,,,,,,,
FW 7.9,,,,,,,
81,4.5,4.1,4.8,13.4,0.57,1.90%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.6,,,,,,,
94,3.6,4.1,5.1,12.9,0.56,56.90%,Submit
,,,,,,,
Cunha,,,,,,,
FW 7.1,,,,,,,
86,4.1,3.9,4.8,12.7,0.6,37.30%,Submit
,,,,,,,
Isak,,,,,,,
FW 8.5,,,,,,,
73,3.6,3.8,5.3,12.7,0.5,33.20%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 8.1,,,,,,,
77,4.9,3.4,4.4,12.6,0.52,3.70%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.8,,,,,,,
84,4.2,4.7,3.6,12.6,0.54,96.70%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.5,,,,,,,
90,3.6,5.4,3.6,12.5,0.49,53.90%,Submit
,,,,,,,
Jo�o Pedro,,,,,,,
FW 5.8,,,,,,,
75,4,4,4,12,0.69,85.60%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.6,,,,,,,
73,4.5,3.6,3.8,11.9,0.6,1.80%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.7,,,,,,,
89,4,3.9,4,11.9,0.7,25.00%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.5,,,,,,,
94,3.9,3.7,4.2,11.9,0.72,30.40%,Submit
,,,,,,,
Rogers,,,,,,,
MD 5.3,,,,,,,
79,4,4.7,3.2,11.8,0.74,66.40%,Submit
,,,,,,,
Robertson,,,,,,,
DF 5.9,,,,,,,
86,3.8,4.2,3.8,11.8,0.66,2.00%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.5,,,,,,,
80,4.4,4.1,3.2,11.6,0.7,1.20%,Submit
,,,,,,,
Calafiori,,,,,,,
DF 5.8,,,,,,,
78,3.8,3.4,4.4,11.5,0.66,1.60%,Submit
,,,,,,,
Evanilson,,,,,,,
FW 6.0,,,,,,,
74,3.7,3.7,4.1,11.5,0.64,1.20%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.6,,,,,,,
66,3.7,3.8,3.8,11.4,0.5,0.00%,Submit
,,,,,,,
J.Timber,,,,,,,
DF 5.5,,,,,,,
88,3.9,3.4,4,11.4,0.69,20.00%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.2,,,,,,,
79,3.3,3.5,4.6,11.3,0.52,0.60%,Submit
,,,,,,,
Strand Larsen,,,,,,,
FW 5.6,,,,,,,
84,3.7,3.4,4.2,11.3,0.67,9.00%,Submit
,,,,,,,
Welbeck,,,,,,,
FW 6.0,,,,,,,
79,3.7,3.7,3.9,11.2,0.62,3.30%,Submit
,,,,,,,
Virgil,,,,,,,
DF 6.4,,,,,,,
90,3.2,3.9,4.1,11.2,0.58,1.00%,Submit
,,,,,,,
Mitoma,,,,,,,
MD 6.5,,,,,,,
84,3.5,3.9,3.8,11.2,0.57,2.00%,Submit
,,,,,,,
Delap,,,,,,,
FW 5.6,,,,,,,
79,3.9,3.8,3.3,11,0.65,0.20%,Submit
,,,,,,,
Kudus,,,,,,,
MD 6.2,,,,,,,
80,3.9,3.9,3.2,10.9,0.59,0.00%,Submit
,,,,,,,
Trossard,,,,,,,
MD 6.8,,,,,,,
54,3.7,3.3,4,10.9,0.54,0.00%,Submit
,,,,,,,
Saliba,,,,,,,
DF 6.0,,,,,,,
93,3.7,3.3,4,10.9,0.61,12.20%,Submit
,,,,,,,
Gvardiol,,,,,,,
DF 6.2,,,,,,,
69,3.7,3.3,3.8,10.7,0.58,16.60%,Submit
,,,,,,,
Pedro Porro,,,,,,,
DF 5.6,,,,,,,
89,3.4,3.2,4.1,10.7,0.64,41.10%,Submit
,,,,,,,
Gabriel,,,,,,,
DF 6.2,,,,,,,
81,2.7,3.5,4.4,10.7,0.57,91.60%,Submit
,,,,,,,
Wood,,,,,,,
FW 6.6,,,,,,,
83,3.2,3.5,3.9,10.6,0.53,17.60%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.2,,,,,,,
77,4.4,3.3,3,10.6,0.49,0.00%,Submit
,,,,,,,
Kluivert,,,,,,,
MD 5.3,,,,,,,
69,3.8,3.4,3.4,10.6,0.67,0.00%,Submit
,,,,,,,
S�nchez,,,,,,,
GK 4.7,,,,,,,
90,3.7,3.2,3.6,10.5,0.75,3.20%,Submit
,,,,,,,
McGinn,,,,,,,
MD 5.2,,,,,,,
83,3.6,3.7,3.1,10.5,0.67,0.00%,Submit
,,,,,,,
Arrizabalaga,,,,,,,
GK 4.5,,,,,,,
93,3.3,3.7,3.5,10.5,0.78,0.10%,Submit
,,,,,,,
Pope,,,,,,,
GK 5.0,,,,,,,
94,3.2,3.3,3.9,10.4,0.69,0.10%,Submit
,,,,,,,
Forster,,,,,,,
GK 4.3,,,,,,,
93,3.4,3.3,3.6,10.3,0.8,0.10%,Submit
,,,,,,,
Kulusevski,,,,,,,
MD 6.3,,,,,,,
76,3.3,3.1,3.7,10.1,0.54,0.30%,Submit
,,,,,,,
Verbruggen,,,,,,,
GK 4.5,,,,,,,
93,3.3,3.4,3.4,10.1,0.75,6.00%,Submit
,,,,,,,
Fabianski,,,,,,,
GK 4.1,,,,,,,
91,3.4,3.5,3.2,10.1,0.82,43.10%,Submit
,,,,,,,
McNeil,,,,,,,
MD 5.6,,,,,,,
90,4.3,3.1,2.7,10.1,0.6,0.70%,Submit
,,,,,,,
Jos� S�,,,,,,,
GK 4.3,,,,,,,
92,3.3,3.2,3.5,10,0.77,0.00%,Submit
,,,,,,,
Tielemans,,,,,,,
MD 5.5,,,,,,,
85,3.5,3.8,2.7,10,0.61,0.10%,Submit
,,,,,,,
Ederson M.,,,,,,,
GK 5.5,,,,,,,
80,3.5,3,3.5,9.9,0.6,3.70%,Submit
,,,,,,,
Johnson,,,,,,,
MD 6.7,,,,,,,
61,3.1,3.1,3.8,9.9,0.49,6.00%,Submit
,,,,,,,
Tavernier,,,,,,,
MD 5.5,,,,,,,
71,3.4,3.3,3.2,9.9,0.6,0.10%,Submit
,,,,,,,
Onana,,,,,,,
GK 5.2,,,,,,,
92,3.1,3.7,3.1,9.9,0.63,0.00%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.6,,,,,,,
71,4,3.1,2.7,9.9,0.59,26.00%,Submit
,,,,,,,
Flekken,,,,,,,
GK 4.5,,,,,,,
95,3.3,3.4,3.1,9.8,0.73,54.50%,Submit
,,,,,,,
Martinez,,,,,,,
GK 5.0,,,,,,,
94,2.7,3.6,3.5,9.8,0.65,0.50%,Submit
,,,,,,,
Henderson,,,,,,,
GK 4.4,,,,,,,
94,3.6,3,3.2,9.8,0.74,5.60%,Submit
,,,,,,,
Hermansen,,,,,,,
GK 4.5,,,,,,,
92,3.4,3.3,3.1,9.7,0.72,0.10%,Submit
,,,,,,,
Pickford,,,,,,,
GK 4.9,,,,,,,
93,3.6,3.1,3.1,9.7,0.66,0.30%,Submit
,,,,,,,
Konsa,,,,,,,
DF 4.4,,,,,,,
90,3.2,3.8,2.6,9.6,0.73,14.10%,Submit
,,,,,,,
Rice,,,,,,,
MD 6.2,,,,,,,
82,3.3,2.9,3.4,9.6,0.52,0.00%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.1,,,,,,,
70,3.2,3.7,2.7,9.6,0.53,2.30%,Submit
,,,,,,,
Muric,,,,,,,
GK 4.4,,,,,,,
93,3.3,3.2,3.1,9.6,0.73,3.40%,Submit
,,,,,,,
Leno,,,,,,,
GK 5.0,,,,,,,
93,3.4,3.1,3,9.6,0.64,0.00%,Submit
,,,,,,,
Gusto,,,,,,,
DF 4.9,,,,,,,
81,3.9,2.5,3.2,9.5,0.65,0.50%,Submit
,,,,,,,
Maddison,,,,,,,
MD 7.6,,,,,,,
64,3.2,3,3.4,9.5,0.42,0.00%,Submit
,,,,,,,
Sels,,,,,,,
GK 4.7,,,,,,,
95,3.1,3.1,3.2,9.5,0.67,1.90%,Submit
,,,,,,,
Smith Rowe,,,,,,,
MD 5.7,,,,,,,
79,3.7,3.1,2.7,9.4,0.55,1.50%,Submit
,,,,,,,
Neto,,,,,,,
MD 6.2,,,,,,,
63,3.7,2.9,2.8,9.4,0.51,0.00%,Submit
,,,,,,,
Gomez,,,,,,,
DF 4.8,,,,,,,
77,2.7,3.1,3.5,9.4,0.65,0.10%,Submit
,,,,,,,
Akanji,,,,,,,
DF 5.4,,,,,,,
74,3.5,2.8,3,9.3,0.58,0.20%,Submit
,,,,,,,
Colwill,,,,,,,
DF 4.5,,,,,,,
90,3.7,2.4,3.3,9.3,0.69,18.00%,Submit
,,,,,,,
Szmodics,,,,,,,
MD 5.8,,,,,,,
65,3.3,3.1,2.9,9.3,0.54,0.00%,Submit
,,,,,,,
McCarthy,,,,,,,
GK 4.3,,,,,,,
91,3,3.1,3.2,9.3,0.72,0.00%,Submit
,,,,,,,
Iwobi,,,,,,,
MD 5.6,,,,,,,
81,3.6,3.1,2.6,9.3,0.55,0.00%,Submit
,,,,,,,
Cash,,,,,,,
DF 4.4,,,,,,,
74,3.1,3.6,2.5,9.2,0.7,0.00%,Submit
,,,,,,,
Pau,,,,,,,
DF 4.4,,,,,,,
86,3.1,3.6,2.5,9.2,0.69,0.70%,Submit
,,,,,,,
S�vio,,,,,,,
MD 6.5,,,,,,,
51,3.3,3.1,2.7,9.2,0.47,0.00%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.9,,,,,,,
44,2.9,2.8,3.4,9.1,0.44,0.00%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.3,,,,,,,
81,2.8,2.9,3.4,9.1,0.48,0.00%,Submit
,,,,,,,
Bernardo,,,,,,,
MD 6.3,,,,,,,
57,3.2,2.9,3,9.1,0.48,0.00%,Submit
,,,,,,,
Kerkez,,,,,,,
DF 4.4,,,,,,,
82,2.7,3.2,3.2,9.1,0.69,0.50%,Submit
,,,,,,,
Bruno G.,,,,,,,
MD 6.1,,,,,,,
91,2.7,2.9,3.4,9,0.49,0.00%,Submit
,,,,,,,
Madueke,,,,,,,
MD 6.3,,,,,,,
51,3.1,2.6,3.3,9,0.48,0.10%,Submit
,,,,,,,
Digne,,,,,,,
DF 4.7,,,,,,,
69,3.3,3.6,2.1,9,0.64,6.20%,Submit
,,,,,,,
Mac Allister,,,,,,,
MD 6.2,,,,,,,
82,3,2.9,3.1,9,0.48,0.00%,Submit
,,,,,,,
Cucurella,,,,,,,
DF 5.0,,,,,,,
77,3.4,2.3,3.2,8.9,0.59,0.00%,Submit
,,,,,,,
Diogo J.,,,,,,,
MD 7.2,,,,,,,
44,1.5,2.9,4.4,8.9,0.41,0.10%,Submit
,,,,,,,
L.Paquet�,,,,,,,
MD 5.8,,,,,,,
65,3.2,3.2,2.4,8.8,0.51,0.00%,Submit
,,,,,,,
Calvert-Lewin,,,,,,,
FW 5.6,,,,,,,
