col1,col2,col3,col4,col5,col6,col7,col8,col9
M.Salah,,,,,,,,
MD 14.5,,,,,,,,
87,5.3,6.7,5.9,6.2,87,86,85,81
,,,,,,,,
Haaland,,,,,,,,
FW 14.4,,,,,,,,
87,6,6.1,4.9,5.5,87,82,78,76
,,,,,,,,
Gy�keres,,,,,,,,
FW 9.0,,,,,,,,
79,6.3,4.8,5,5.3,79,81,75,77
,,,,,,,,
B.Fernandes,,,,,,,,
MD 9.0,,,,,,,,
89,6.6,4.2,5.3,5,89,88,84,85
,,,,,,,,
Saka,,,,,,,,
MD 9.8,,,,,,,,
80,5.7,4.3,4.6,4.6,80,78,76,76
,,,,,,,,
Isak,,,,,,,,
FW 10.6,,,,,,,,
74,3.7,4.9,4.4,4.5,74,79,77,75
,,,,,,,,
Cunha,,,,,,,,
MD 8.0,,,,,,,,
80,5.5,3.5,4.5,4.2,80,80,78,80
,,,,,,,,
Mateta,,,,,,,,
FW 7.5,,,,,,,,
81,4.4,4.6,3.4,4.9,81,77,80,75
,,,,,,,,
Semenyo,,,,,,,,
MD 7.8,,,,,,,,
90,5.1,3.8,4.9,3.5,90,80,83,85
,,,,,,,,
Gordon,,,,,,,,
MD 7.4,,,,,,,,
73,4.9,3.7,4.5,4.1,73,70,69,66
,,,,,,,,
Mbeumo,,,,,,,,
MD 8.1,,,,,,,,
79,5.1,3.4,4.5,4,79,81,81,78
,,,,,,,,
Watkins,,,,,,,,
FW 8.7,,,,,,,,
81,5.2,4.1,3.9,3.3,81,84,81,77
,,,,,,,,
Enzo,,,,,,,,
MD 6.7,,,,,,,,
90,4.2,4.2,4.7,3.4,90,87,83,80
,,,,,,,,
Ndiaye,,,,,,,,
MD 6.5,,,,,,,,
80,4.3,3.5,4.4,4.3,80,80,76,74
,,,,,,,,
Minteh,,,,,,,,
MD 5.9,,,,,,,,
82,4.4,3.9,3.7,4.4,82,75,76,75
,,,,,,,,
Jo�o Pedro,,,,,,,,
FW 7.7,,,,,,,,
77,3.9,4.1,4.8,3.5,77,80,76,72
,,,,,,,,
Gabriel,,,,,,,,
DF 6.2,,,,,,,,
84,3.7,4.2,4,4.4,63,87,80,83
,,,,,,,,
Eze,,,,,,,,
MD 7.6,,,,,,,,
63,4.6,3.5,4,4.1,63,61,66,64
,,,,,,,,
Raya,,,,,,,,
GK 5.6,,,,,,,,
92,4.3,3.9,3.9,4,92,92,88,91
,,,,,,,,
J.Timber,,,,,,,,
DF 5.8,,,,,,,,
82,5.2,3.7,3.7,3.6,82,76,68,64
,,,,,,,,
Sarr,,,,,,,,
MD 6.4,,,,,,,,
85,4.1,4.4,3.2,4.5,85,85,84,79
,,,,,,,,
Evanilson,,,,,,,,
FW 7.0,,,,,,,,
83,4.5,3.7,4.5,3.4,83,81,78,80
,,,,,,,,
Rice,,,,,,,,
MD 6.5,,,,,,,,
84,4.7,3.8,3.7,3.8,84,81,75,77
,,,,,,,,
�degaard,,,,,,,,
MD 7.9,,,,,,,,
74,4.7,3.6,3.8,3.8,74,73,72,69
,,,,,,,,
Saliba,,,,,,,,
DF 6.0,,,,,,,,
91,4.6,3.8,3.8,3.7,91,87,84,77
,,,,,,,,
Virgil,,,,,,,,
DF 6.1,,,,,,,,
91,3.7,4.1,3.9,4.2,91,86,85,85
,,,,,,,,
Calafiori,,,,,,,,
DF 5.7,,,,,,,,
71,5.1,3.6,3.5,3.4,71,64,58,55
,,,,,,,,
Woltemade,,,,,,,,
FW 7.1,,,,,,,,
80,4.4,3.5,3.9,3.6,80,75,72,66
,,,,,,,,
Mu�oz,,,,,,,,
DF 5.6,,,,,,,,
91,4.1,4.3,2.6,4.4,91,88,83,82
,,,,,,,,
Georginio,,,,,,,,
MD 5.8,,,,,,,,
73,4.2,3.7,3.3,4.1,73,67,64,65
,,,,,,,,
Neto,,,,,,,,
MD 7.0,,,,,,,,
78,3.8,3.7,4.4,3.3,78,72,67,65
,,,,,,,,
Foden,,,,,,,,
MD 8.1,,,,,,,,
72,4.4,4.3,3.2,3.3,72,65,57,53
,,,,,,,,
Bowen,,,,,,,,
FW 7.7,,,,,,,,
90,3.1,4.4,3.8,3.8,90,87,86,87
,,,,,,,,
Calvert-Lewin,,,,,,,,
FW 5.5,,,,,,,,
77,4.3,3.7,4.1,3.1,77,69,65,66
,,,,,,,,
Donnarumma,,,,,,,,
GK 5.6,,,,,,,,
94,3.7,4,3.6,3.9,94,92,91,94
,,,,,,,,
Kudus,,,,,,,,
MD 6.7,,,,,,,,
80,4,4.2,3.4,3.5,80,81,72,74
,,,,,,,,
Anderson,,,,,,,,
MD 5.4,,,,,,,,
87,3.8,3.7,3.7,3.9,87,80,81,80
,,,,,,,,
Mitoma,,,,,,,,
MD 6.4,,,,,,,,
73,2.9,4,3.6,4.4,55,82,78,77
,,,,,,,,
Bruno G.,,,,,,,,
MD 6.5,,,,,,,,
89,4.1,3.4,3.8,3.6,89,86,85,79
,,,,,,,,
Reijnders,,,,,,,,
MD 5.8,,,,,,,,
79,4,3.9,3.3,3.6,79,73,70,71
,,,,,,,,
Gakpo,,,,,,,,
MD 7.5,,,,,,,,
70,3.5,4,3.4,3.8,70,63,59,62
,,,,,,,,
�e�ko,,,,,,,,
FW 7.3,,,,,,,,
78,4.5,3,3.8,3.5,78,74,75,72
,,,,,,,,
Gvardiol,,,,,,,,
DF 5.8,,,,,,,,
84,3.7,4.1,3.3,3.6,84,80,77,77
,,,,,,,,
Tarkowski,,,,,,,,
DF 5.5,,,,,,,,
92,3.9,2.8,3.8,4.3,92,88,85,86
,,,,,,,,
Andersen,,,,,,,,
DF 4.5,,,,,,,,
91,3.7,3.3,3.3,4.4,91,89,88,84
,,,,,,,,
Lacroix,,,,,,,,
DF 5.1,,,,,,,,
91,3.9,3.9,2.8,3.9,91,87,86,84
,,,,,,,,
Stach,,,,,,,,
MD 5.0,,,,,,,,
85,3.7,3.6,4.1,3.1,85,84,86,78
,,,,,,,,
Senesi,,,,,,,,
DF 4.9,,,,,,,,
90,4.3,3.4,4.1,2.7,90,87,86,83
,,,,,,,,
Mamardashvili,,,,,,,,
GK 4.3,,,,,,,,
94,3.3,3.7,3.6,3.8,94,93,92,91
,,,,,,,,
Caicedo,,,,,,,,
MD 5.7,,,,,,,,
90,3.5,3.6,3.8,3.5,90,88,84,86
,,,,,,,,
Rodrigo,,,,,,,,
MD 6.4,,,,,,,,
83,3.7,3.7,3.4,3.6,83,83,82,80
,,,,,,,,
Schade,,,,,,,,
MD 7.0,,,,,,,,
73,3.5,4.1,3.5,3.2,73,73,74,68
,,,,,,,,
Tonali,,,,,,,,
MD 5.4,,,,,,,,
86,3.8,3.3,3.6,3.6,86,86,83,85
,,,,,,,,
Joelinton,,,,,,,,
MD 5.9,,,,,,,,
79,3.9,3.3,3.6,3.5,79,80,77,76
,,,,,,,,
Anthony,,,,,,,,
MD 5.7,,,,,,,,
81,3.5,4.1,3.5,3.1,81,78,71,78
,,,,,,,,
Thiago,,,,,,,,
FW 6.0,,,,,,,,
75,3.7,3.9,3.3,3.3,75,69,67,68
,,,,,,,,
Pope,,,,,,,,
GK 5.1,,,,,,,,
93,3.8,3.3,3.6,3.5,93,91,88,87
,,,,,,,,
Yeremy,,,,,,,,
MD 5.9,,,,,,,,
77,3.7,3.9,2.8,3.8,77,74,73,69
,,,,,,,,
Cucurella,,,,,,,,
DF 6.1,,,,,,,,
86,3.1,3.5,4.5,3,86,82,76,74
,,,,,,,,
Rogers,,,,,,,,
MD 6.9,,,,,,,,
86,4.5,3.5,3.2,2.8,86,81,77,75
,,,,,,,,
Damsgaard,,,,,,,,
MD 5.8,,,,,,,,
81,3.5,3.9,3.3,3.3,81,79,79,76
,,,,,,,,
Hall,,,,,,,,
DF 5.3,,,,,,,,
67,3.2,3,4,3.8,67,81,82,80
,,,,,,,,
Trippier,,,,,,,,
DF 5.0,,,,,,,,
72,3.8,2.9,3.6,3.6,72,72,69,70
,,,,,,,,
Verbruggen,,,,,,,,
GK 4.4,,,,,,,,
94,3.6,3.4,3,3.8,94,93,90,93
,,,,,,,,
Xavi,,,,,,,,
MD 7.1,,,,,,,,
75,3.8,3.7,3.2,3.1,75,71,66,64
,,,,,,,,
Gu�hi,,,,,,,,
DF 4.8,,,,,,,,
90,3.6,3.8,2.6,3.8,90,90,88,87
,,,,,,,,
L.Paquet�,,,,,,,,
MD 5.9,,,,,,,,
86,3.2,3.8,3.5,3.3,86,78,79,74
,,,,,,,,
Sch�r,,,,,,,,
DF 5.4,,,,,,,,
76,3.7,2.9,3.7,3.4,76,74,75,70
,,,,,,,,
Konat�,,,,,,,,
DF 5.5,,,,,,,,
87,3.3,3.6,3.4,3.5,87,79,77,73
,,,,,,,,
Pickford,,,,,,,,
GK 5.5,,,,,,,,
94,3.6,2.8,3.5,3.8,94,92,91,92
,,,,,,,,
Burn,,,,,,,,
DF 5.0,,,,,,,,
81,3.8,3,3.6,3.4,81,78,76,73
,,,,,,,,
Richards,,,,,,,,
DF 4.5,,,,,,,,
85,3.7,3.7,2.6,3.7,85,83,79,80
,,,,,,,,
Wirtz,,,,,,,,
MD 8.2,,,,,,,,
56,2.9,3.5,3.5,3.8,56,54,61,62
,,,,,,,,
Petrovi?,,,,,,,,
GK 4.5,,,,,,,,
94,3.8,3.3,3.6,2.9,94,93,91,93
,,,,,,,,
Henderson,,,,,,,,
GK 5.0,,,,,,,,
93,3.5,3.6,2.9,3.6,93,93,92,90
,,,,,,,,
J.Arias,,,,,,,,
MD 5.2,,,,,,,,
72,3.5,3.4,3.7,3,72,68,67,68
,,,,,,,,
O.Dango,,,,,,,,
MD 6.0,,,,,,,,
74,3.4,3.8,3.3,3.1,74,72,72,68
,,,,,,,,
Van Hecke,,,,,,,,
DF 4.4,,,,,,,,
91,3.9,3.2,2.8,3.6,91,86,83,78
,,,,,,,,
Pedro Porro,,,,,,,,
DF 5.6,,,,,,,,
78,3.5,3.6,3.2,3.1,78,76,76,75
,,,,,,,,
Vicario,,,,,,,,
GK 5.1,,,,,,,,
94,3.5,3.5,3.2,3.2,94,92,89,89
,,,,,,,,
Mac Allister,,,,,,,,
MD 6.3,,,,,,,,
72,3.3,3.5,3.3,3.4,72,66,67,67
,,,,,,,,
Est�ve,,,,,,,,
DF 4.0,,,,,,,,
93,3.2,3.9,3.7,2.6,93,91,88,83
,,,,,,,,
Bogle,,,,,,,,
DF 4.5,,,,,,,,
89,3.5,3.5,3.9,2.4,89,85,80,81
,,,,,,,,
Dunk,,,,,,,,
DF 4.5,,,,,,,,
90,3.8,3,2.8,3.6,90,81,83,78
,,,,,,,,
Leno,,,,,,,,
GK 5.0,,,,,,,,
93,3.2,3.1,3.1,3.9,93,92,91,91
,,,,,,,,
Rodon,,,,,,,,
