col1,col2,col3,col4,col5,col6,col7,col8,col9
M.Salah,,,,,,,,
MD 14.5,,,,,,,,
89,7.1,7.1,5.6,5,89,85,83,82
,,,,,,,,
Haaland,,,,,,,,
FW 14.1,,,,,,,,
90,6.6,4.4,6.9,5.5,90,85,79,78
,,,,,,,,
B.Fernandes,,,,,,,,
MD 9.0,,,,,,,,
91,4.5,5.2,5.3,6.6,91,88,88,84
,,,,,,,,
Gy�keres,,,,,,,,
FW 9.0,,,,,,,,
83,5.9,5,4.5,6.1,83,82,79,79
,,,,,,,,
Watkins,,,,,,,,
FW 8.9,,,,,,,,
86,4.3,5,4.7,5.4,86,82,78,79
,,,,,,,,
Mateta,,,,,,,,
FW 7.5,,,,,,,,
88,6.4,4.6,3.6,3.7,88,80,71,70
,,,,,,,,
Mbeumo,,,,,,,,
MD 8.1,,,,,,,,
88,3.8,4.2,4.3,5.6,88,84,82,82
,,,,,,,,
Virgil,,,,,,,,
DF 6.0,,,,,,,,
89,4.8,4.7,4.2,3.5,89,87,88,84
,,,,,,,,
Wirtz,,,,,,,,
MD 8.4,,,,,,,,
79,5.1,4.7,3.9,3.3,79,72,72,65
,,,,,,,,
Rogers,,,,,,,,
MD 7.0,,,,,,,,
90,3.7,4.4,4.2,4.6,90,87,83,82
,,,,,,,,
�degaard,,,,,,,,
MD 7.9,,,,,,,,
82,4.9,3.8,3.5,4.4,82,73,72,70
,,,,,,,,
Semenyo,,,,,,,,
MD 7.4,,,,,,,,
85,4.3,4.1,4,4.2,85,83,82,79
,,,,,,,,
Gakpo,,,,,,,,
MD 7.7,,,,,,,,
73,4.8,4.9,3.8,3.2,73,74,67,63
,,,,,,,,
Evanilson,,,,,,,,
FW 7.0,,,,,,,,
82,4.2,4,3.9,4.2,82,80,79,77
,,,,,,,,
Rice,,,,,,,,
MD 6.5,,,,,,,,
86,4.5,3.9,3.5,4.2,86,86,77,77
,,,,,,,,
Mu�oz,,,,,,,,
DF 5.6,,,,,,,,
90,5.7,3.9,2.7,3.6,90,87,85,86
,,,,,,,,
Palmer,,,,,,,,
MD 10.4,,,,,,,,
72,1.9,4,5.6,4.4,29,70,81,78
,,,,,,,,
Jo�o Pedro,,,,,,,,
FW 7.7,,,,,,,,
68,3.9,3.9,4.2,3.6,68,77,73,72
,,,,,,,,
Gabriel,,,,,,,,
DF 6.1,,,,,,,,
89,4.4,3.6,3.3,4.4,89,88,85,84
,,,,,,,,
�e�ko,,,,,,,,
FW 7.4,,,,,,,,
74,3.2,3.8,3.8,4.7,74,81,78,76
,,,,,,,,
Raya,,,,,,,,
GK 5.5,,,,,,,,
92,4.1,3.7,3.6,4,92,92,92,90
,,,,,,,,
Xavi,,,,,,,,
MD 7.0,,,,,,,,
58,3.1,3.8,4.8,3.7,58,81,79,73
,,,,,,,,
Thiago,,,,,,,,
FW 6.0,,,,,,,,
81,3.9,3.9,4.1,3.5,81,82,80,75
,,,,,,,,
Reijnders,,,,,,,,
MD 5.7,,,,,,,,
80,4.2,3.1,4.4,3.7,80,78,72,73
,,,,,,,,
Wood,,,,,,,,
FW 7.7,,,,,,,,
80,3.2,4.2,4.7,3.3,80,79,73,73
,,,,,,,,
Mitoma,,,,,,,,
MD 6.4,,,,,,,,
84,3.8,4.2,3.2,3.9,84,82,79,79
,,,,,,,,
Lacroix,,,,,,,,
DF 5.0,,,,,,,,
87,4.9,3.8,2.9,3.7,87,88,88,87
,,,,,,,,
Kluivert,,,,,,,,
MD 7.0,,,,,,,,
67,3.9,3.8,3.6,3.9,67,68,65,63
,,,,,,,,
Tielemans,,,,,,,,
MD 5.9,,,,,,,,
89,3.6,4.1,3.6,3.8,89,87,79,77
,,,,,,,,
Bowen,,,,,,,,
FW 7.8,,,,,,,,
91,4.3,4.1,3.7,3,91,88,89,84
,,,,,,,,
Kudus,,,,,,,,
MD 6.6,,,,,,,,
79,4,3.5,4.1,3.5,79,76,69,72
,,,,,,,,
Rodrigo,,,,,,,,
MD 6.4,,,,,,,,
87,3.9,3.3,4.1,3.8,87,88,86,86
,,,,,,,,
Georginio,,,,,,,,
MD 5.9,,,,,,,,
75,3.8,4.2,3.2,3.8,75,72,72,68
,,,,,,,,
Martinez,,,,,,,,
GK 5.0,,,,,,,,
92,3.4,3.9,3.7,4,92,93,92,94
,,,,,,,,
O.Dango,,,,,,,,
MD 6.0,,,,,,,,
81,3.8,3.8,3.9,3.5,81,81,76,75
,,,,,,,,
Tarkowski,,,,,,,,
DF 5.5,,,,,,,,
91,4,2.7,4.4,3.8,91,92,90,86
,,,,,,,,
Ndiaye,,,,,,,,
MD 6.5,,,,,,,,
64,2.8,3.2,4.7,4.2,48,74,73,72
,,,,,,,,
Neto,,,,,,,,
MD 7.0,,,,,,,,
80,4.3,3.6,3.9,3.1,80,73,68,64
,,,,,,,,
Bruno G.,,,,,,,,
MD 6.5,,,,,,,,
89,4.4,3.6,3.2,3.6,89,87,85,80
,,,,,,,,
Damsgaard,,,,,,,,
MD 5.9,,,,,,,,
85,3.8,3.7,3.8,3.5,85,83,79,80
,,,,,,,,
Cash,,,,,,,,
DF 4.5,,,,,,,,
82,3.2,4,3.4,4.1,82,79,73,75
,,,,,,,,
Senesi,,,,,,,,
DF 4.6,,,,,,,,
90,3.8,3.6,3.5,3.9,90,88,83,85
,,,,,,,,
Murillo,,,,,,,,
DF 5.5,,,,,,,,
90,2.8,4.1,4.9,3,90,87,85,81
,,,,,,,,
A.Becker,,,,,,,,
GK 5.5,,,,,,,,
93,4.1,4,3.5,3.1,93,90,86,83
,,,,,,,,
Yeremy,,,,,,,,
MD 6.0,,,,,,,,
66,4.2,3.9,3.3,3.3,66,80,76,71
,,,,,,,,
Enzo,,,,,,,,
MD 6.6,,,,,,,,
89,4,3.5,3.9,3.2,89,87,86,84
,,,,,,,,
Calafiori,,,,,,,,
DF 5.7,,,,,,,,
74,4.7,3.4,2.9,3.6,74,65,58,54
,,,,,,,,
Anderson,,,,,,,,
MD 5.5,,,,,,,,
82,3.3,4,4.2,3.2,82,83,76,75
,,,,,,,,
Richards,,,,,,,,
DF 4.5,,,,,,,,
90,4.9,3.6,2.7,3.4,90,86,82,82
,,,,,,,,
Konat�,,,,,,,,
DF 5.5,,,,,,,,
85,4.2,4,3.3,3,85,82,78,81
,,,,,,,,
Minteh,,,,,,,,
MD 5.9,,,,,,,,
77,3.7,4,3,3.8,77,76,69,72
,,,,,,,,
Konsa,,,,,,,,
DF 4.5,,,,,,,,
88,3,3.9,3.5,4,88,88,88,88
,,,,,,,,
Andersen,,,,,,,,
DF 4.5,,,,,,,,
91,4.1,3.9,3.1,3.2,91,91,88,87
,,,,,,,,
Stach,,,,,,,,
MD 5.0,,,,,,,,
89,3.6,3.6,3.6,3.6,89,84,81,84
,,,,,,,,
Schade,,,,,,,,
MD 7.0,,,,,,,,
77,3.7,3.5,3.7,3.4,77,73,71,70
,,,,,,,,
Joelinton,,,,,,,,
MD 5.9,,,,,,,,
72,3.9,3.5,3.2,3.7,72,79,80,78
,,,,,,,,
L.Paquet�,,,,,,,,
MD 5.9,,,,,,,,
86,4.1,3.8,3.4,2.9,86,80,77,78
,,,,,,,,
Gu�hi,,,,,,,,
DF 4.6,,,,,,,,
93,4.8,3.5,2.6,3.3,93,89,88,87
,,,,,,,,
Vicario,,,,,,,,
GK 5.0,,,,,,,,
94,3.6,3.2,3.9,3.4,94,93,92,92
,,,,,,,,
Tonali,,,,,,,,
MD 5.4,,,,,,,,
87,4,3.4,3,3.6,87,86,84,85
,,,,,,,,
J.Timber,,,,,,,,
DF 5.7,,,,,,,,
77,4.3,3.2,2.8,3.7,77,70,64,63
,,,,,,,,
Henderson,,,,,,,,
GK 5.0,,,,,,,,
93,4.2,3.4,3,3.4,93,91,93,91
,,,,,,,,
Iwobi,,,,,,,,
MD 6.5,,,,,,,,
82,4,3.8,3,3.2,82,77,72,73
,,,,,,,,
Petrovi?,,,,,,,,
GK 4.5,,,,,,,,
93,3.5,3.4,3.5,3.5,93,92,93,89
,,,,,,,,
Woltemade,,,,,,,,
FW 7.0,,,,,,,,
77,4.8,3.5,2.6,3,77,69,56,54
,,,,,,,,
Pedro Porro,,,,,,,,
DF 5.6,,,,,,,,
81,3.7,2.8,4.2,3.1,81,73,74,69
,,,,,,,,
Ekitik�,,,,,,,,
FW 8.8,,,,,,,,
72,4.6,4,2.9,2.2,72,60,50,39
,,,,,,,,
Pickford,,,,,,,,
GK 5.5,,,,,,,,
93,3.6,2.8,3.8,3.6,93,93,92,92
,,,,,,,,
J.Arias,,,,,,,,
MD 5.3,,,,,,,,
73,3.2,4,3.1,3.5,73,73,70,71
,,,,,,,,
Eze,,,,,,,,
MD 7.5,,,,,,,,
67,4.2,3.2,2.7,3.7,67,56,50,54
,,,,,,,,
S�nchez,,,,,,,,
GK 5.0,,,,,,,,
94,3.7,3.3,3.7,3,94,92,92,89
,,,,,,,,
Grealish,,,,,,,,
MD 6.8,,,,,,,,
81,3.7,2.7,3.9,3.4,81,81,78,75
,,,,,,,,
Gibbs-White,,,,,,,,
MD 7.5,,,,,,,,
77,2.8,3.7,4.2,3,77,76,70,74
,,,,,,,,
Sels,,,,,,,,
GK 5.0,,,,,,,,
93,2.8,3.6,4.1,3.1,93,93,92,92
,,,,,,,,
Pope,,,,,,,,
GK 5.0,,,,,,,,
92,4,3.2,2.9,3.5,92,90,88,85
,,,,,,,,
Dewsbury-Hall,,,,,,,,
MD 5.0,,,,,,,,
82,3.7,2.8,3.9,3.3,82,80,78,75
,,,,,,,,
Mitchell,,,,,,,,
DF 5.0,,,,,,,,
80,4.7,3.4,2.5,3.1,80,81,81,77
,,,,,,,,
Leno,,,,,,,,
GK 5.0,,,,,,,,
93,3.8,3.7,3.1,3,93,93,91,89
,,,,,,,,
Milenkovi?,,,,,,,,
DF 5.5,,,,,,,,
88,2.5,3.9,4.4,2.8,88,88,82,83
,,,,,,,,
Romero,,,,,,,,
DF 5.0,,,,,,,,
91,3.4,2.9,4,3.2,91,86,87,85
,,,,,,,,
Cucurella,,,,,,,,
DF 6.1,,,,,,,,
91,3.9,3.2,3.7,2.6,91,85,82,78
,,,,,,,,
Caicedo,,,,,,,,
MD 5.5,,,,,,,,
77,3.2,3.4,3.6,3.1,77,89,88,85
,,,,,,,,
Foden,,,,,,,,
MD 8.0,,,,,,,,
53,3.5,2.6,3.9,3.3,53,52,49,51
,,,,,,,,
Mac Allister,,,,,,,,
MD 6.4,,,,,,,,
49,2.6,4.1,3.4,3.2,49,77,71,73
,,,,,,,,
Luki?,,,,,,,,
MD 5.0,,,,,,,,
87,3.6,3.6,3,3,87,84,84,81
,,,,,,,,
Diakit�,,,,,,,,
DF 4.5,,,,,,,,
