col1,col2,col3,col4,col5,col6,col7,col8,col9
M.Salah,,,,,,,,
MD 14.5,,,,,,,,
91,5.5,6.4,6.6,5.6,91,84,82,85
,,,,,,,,
Haaland,,,,,,,,
FW 14.1,,,,,,,,
86,5.6,6,4.1,6.8,86,80,78,78
,,,,,,,,
Gy�keres,,,,,,,,
FW 9.0,,,,,,,,
87,4.5,6.2,5,4.9,87,86,83,82
,,,,,,,,
B.Fernandes,,,,,,,,
MD 9.0,,,,,,,,
88,6.1,3.9,4.9,4.7,88,86,87,82
,,,,,,,,
Watkins,,,,,,,,
FW 9.0,,,,,,,,
84,5,4.1,4.9,4.9,84,79,77,80
,,,,,,,,
Mateta,,,,,,,,
FW 7.5,,,,,,,,
87,4.1,5.8,4.6,3.8,87,83,81,77
,,,,,,,,
Wirtz,,,,,,,,
MD 8.4,,,,,,,,
78,4,4.8,4.8,4,78,77,73,72
,,,,,,,,
Wood,,,,,,,,
FW 7.7,,,,,,,,
83,5,3.2,4.2,5,83,81,80,76
,,,,,,,,
Semenyo,,,,,,,,
MD 7.2,,,,,,,,
86,4,4.4,4.4,4.2,86,83,85,80
,,,,,,,,
Murillo,,,,,,,,
DF 5.5,,,,,,,,
89,4.7,2.9,4.2,5,89,86,85,84
,,,,,,,,
Sarr,,,,,,,,
MD 6.5,,,,,,,,
85,3.8,5.3,4.1,3.6,85,79,77,79
,,,,,,,,
Cunha,,,,,,,,
MD 8.1,,,,,,,,
79,5.3,3.3,4,4.1,79,79,76,77
,,,,,,,,
Gakpo,,,,,,,,
MD 7.6,,,,,,,,
73,3.8,4.3,4.6,3.9,73,66,69,67
,,,,,,,,
Rogers,,,,,,,,
MD 7.0,,,,,,,,
89,4.2,3.7,4.3,4.1,89,84,82,81
,,,,,,,,
Ekitik�,,,,,,,,
FW 8.7,,,,,,,,
73,3.8,4.1,4.4,3.8,73,65,67,67
,,,,,,,,
Pedro Porro,,,,,,,,
DF 5.6,,,,,,,,
88,4.5,4,3,4.4,88,82,76,77
,,,,,,,,
Tielemans,,,,,,,,
MD 6.0,,,,,,,,
90,4.4,3.7,4.1,3.9,90,85,81,79
,,,,,,,,
Kudus,,,,,,,,
MD 6.6,,,,,,,,
77,4.5,3.9,3.4,4.1,77,69,69,65
,,,,,,,,
Mbeumo,,,,,,,,
MD 8.0,,,,,,,,
86,5.2,3.2,3.7,3.8,86,83,76,77
,,,,,,,,
Virgil,,,,,,,,
DF 6.0,,,,,,,,
91,3.6,4.3,4.3,3.6,91,87,86,83
,,,,,,,,
Gibbs-White,,,,,,,,
MD 7.5,,,,,,,,
78,4.4,2.7,3.8,4.8,78,74,77,77
,,,,,,,,
Ndiaye,,,,,,,,
MD 6.5,,,,,,,,
76,4.1,3.9,3.1,4.7,76,72,74,75
,,,,,,,,
O.Dango,,,,,,,,
MD 6.0,,,,,,,,
84,4.5,3.7,3.6,3.7,84,80,76,73
,,,,,,,,
Evanilson,,,,,,,,
FW 7.0,,,,,,,,
80,3.7,4,3.9,3.8,80,77,77,76
,,,,,,,,
Thiago,,,,,,,,
FW 6.0,,,,,,,,
85,4.9,4,3.2,3.3,85,81,64,59
,,,,,,,,
N.Williams,,,,,,,,
DF 5.0,,,,,,,,
87,4.6,2.5,3.7,4.4,87,82,76,75
,,,,,,,,
Enzo,,,,,,,,
MD 6.5,,,,,,,,
88,4.3,3.7,3.5,3.8,88,88,87,83
,,,,,,,,
Rice,,,,,,,,
MD 6.5,,,,,,,,
89,3.6,4.4,3.6,3.6,89,86,81,80
,,,,,,,,
Milenkovi?,,,,,,,,
DF 5.5,,,,,,,,
89,4.4,2.6,3.8,4.4,89,87,85,81
,,,,,,,,
Martinez,,,,,,,,
GK 5.0,,,,,,,,
94,3.8,3.7,4,3.7,94,94,92,92
,,,,,,,,
Palmer,,,,,,,,
MD 10.5,,,,,,,,
0,0,4.8,4.8,5.6,0,77,86,83
,,,,,,,,
Bowen,,,,,,,,
FW 7.8,,,,,,,,
91,3.7,3.9,4,3.5,91,85,87,83
,,,,,,,,
Schade,,,,,,,,
MD 7.0,,,,,,,,
81,4.4,3.6,3.4,3.8,81,77,72,75
,,,,,,,,
Anderson,,,,,,,,
MD 5.5,,,,,,,,
81,4.2,3.1,3.5,4.2,81,81,73,77
,,,,,,,,
Jo�o Pedro,,,,,,,,
FW 7.6,,,,,,,,
75,4.7,3.5,3.2,3.5,75,67,64,63
,,,,,,,,
Bruno G.,,,,,,,,
MD 6.5,,,,,,,,
90,4.1,4.2,3.5,3,90,87,83,81
,,,,,,,,
Iwobi,,,,,,,,
MD 6.5,,,,,,,,
86,3.5,4.2,3.8,3.2,86,79,72,76
,,,,,,,,
A.Becker,,,,,,,,
GK 5.5,,,,,,,,
92,3.5,3.9,3.8,3.4,92,89,85,85
,,,,,,,,
Raya,,,,,,,,
GK 5.5,,,,,,,,
93,3.2,4.2,3.6,3.5,93,93,93,90
,,,,,,,,
Tarkowski,,,,,,,,
DF 5.5,,,,,,,,
92,4.1,3.5,2.6,4.2,92,86,88,87
,,,,,,,,
Mu�oz,,,,,,,,
DF 5.5,,,,,,,,
89,3,5.2,3.7,2.6,89,87,83,83
,,,,,,,,
Lacroix,,,,,,,,
DF 5.0,,,,,,,,
90,3.2,4.8,3.6,2.8,90,87,83,84
,,,,,,,,
Konat�,,,,,,,,
DF 5.5,,,,,,,,
84,3.2,4,3.9,3.4,84,83,78,79
,,,,,,,,
Sels,,,,,,,,
GK 5.0,,,,,,,,
93,3.9,2.8,3.7,4,93,91,91,90
,,,,,,,,
Sch�r,,,,,,,,
DF 5.5,,,,,,,,
81,4,4.3,3.2,2.9,81,82,78,82
,,,,,,,,
Mitoma,,,,,,,,
MD 6.4,,,,,,,,
84,3.5,3.6,3.9,3.2,84,80,78,79
,,,,,,,,
Gabriel,,,,,,,,
DF 6.1,,,,,,,,
93,3,4.5,3.2,3.4,93,89,82,81
,,,,,,,,
S�nchez,,,,,,,,
GK 5.0,,,,,,,,
93,3.8,3.5,3.2,3.6,93,91,90,91
,,,,,,,,
Caicedo,,,,,,,,
MD 5.5,,,,,,,,
91,3.8,3.6,3.4,3.4,91,88,86,81
,,,,,,,,
Romero,,,,,,,,
DF 5.0,,,,,,,,
89,3.6,3.5,2.9,4,89,87,85,86
,,,,,,,,
Vicario,,,,,,,,
GK 5.0,,,,,,,,
93,3.5,3.5,3.2,3.9,93,93,92,93
,,,,,,,,
Neto,,,,,,,,
MD 7.0,,,,,,,,
75,4.2,3.4,3.1,3.3,75,68,66,61
,,,,,,,,
Wharton,,,,,,,,
MD 5.0,,,,,,,,
86,3.4,3.9,3.5,3.2,86,79,82,80
,,,,,,,,
Cucurella,,,,,,,,
DF 6.1,,,,,,,,
88,4.1,3.4,3.1,3.4,88,83,85,76
,,,,,,,,
Konsa,,,,,,,,
DF 4.5,,,,,,,,
88,3.5,3.2,3.7,3.4,88,87,81,84
,,,,,,,,
Damsgaard,,,,,,,,
MD 5.9,,,,,,,,
80,3.8,3.4,3.3,3.5,80,80,77,77
,,,,,,,,
Collins,,,,,,,,
DF 5.0,,,,,,,,
91,4.3,3.2,3.2,3.2,91,88,86,81
,,,,,,,,
J.Arias,,,,,,,,
MD 5.4,,,,,,,,
73,3.9,3.1,3.9,3,73,72,70,67
,,,,,,,,
Marmoush,,,,,,,,
MD 8.4,,,,,,,,
50,3.4,3.7,2.6,4.2,50,47,47,46
,,,,,,,,
Elanga,,,,,,,,
MD 7.0,,,,,,,,
73,3.9,4.2,3.1,2.6,73,71,63,59
,,,,,,,,
L.Paquet�,,,,,,,,
MD 5.9,,,,,,,,
80,3.7,3.6,3.5,3,80,72,70,66
,,,,,,,,
Cash,,,,,,,,
DF 4.5,,,,,,,,
80,3.6,3.2,3.7,3.3,80,76,73,71
,,,,,,,,
�degaard,,,,,,,,
MD 8.0,,,,,,,,
63,1.9,4.6,3.7,3.6,41,81,77,76
,,,,,,,,
Aina,,,,,,,,
DF 5.0,,,,,,,,
89,4.1,2,3.4,4.2,89,82,81,79
,,,,,,,,
Andersen,,,,,,,,
DF 4.5,,,,,,,,
92,2.9,4,3.7,3,92,88,85,88
,,,,,,,,
Kluivert,,,,,,,,
MD 7.0,,,,,,,,
39,2.1,3.9,3.9,3.7,39,67,68,66
,,,,,,,,
Mac Allister,,,,,,,,
MD 6.5,,,,,,,,
60,2,3.9,4,3.6,45,78,78,76
,,,,,,,,
Pickford,,,,,,,,
GK 5.5,,,,,,,,
94,3.7,3.4,2.7,3.7,94,92,91,90
,,,,,,,,
A�t-Nouri,,,,,,,,
DF 6.1,,,,,,,,
71,3.3,3.8,2.3,4.1,71,69,67,62
,,,,,,,,
Gu�hi,,,,,,,,
DF 4.5,,,,,,,,
92,2.9,4.6,3.3,2.5,92,91,85,87
,,,,,,,,
Strand Larsen,,,,,,,,
FW 6.5,,,,,,,,
70,2,3.5,4.4,3.5,35,83,77,79
,,,,,,,,
Kelleher,,,,,,,,
GK 4.5,,,,,,,,
94,3.8,3.2,3.1,3.2,94,94,90,90
,,,,,,,,
Senesi,,,,,,,,
DF 4.5,,,,,,,,
90,3.2,3.5,3.4,3.3,90,85,85,78
,,,,,,,,
Petrovi?,,,,,,,,
GK 4.5,,,,,,,,
93,3.2,3.4,3.3,3.4,93,90,90,91
,,,,,,,,
Van den Berg,,,,,,,,
DF 4.5,,,,,,,,
91,4.1,2.9,3.1,3.1,91,85,87,84
,,,,,,,,
Leno,,,,,,,,
GK 5.0,,,,,,,,
94,3,3.7,3.5,3,94,92,91,92
,,,,,,,,
Henderson,,,,,,,,
GK 5.0,,,,,,,,
92,3.1,4,3.3,2.8,92,90,89,87
,,,,,,,,
Pope,,,,,,,,
GK 5.0,,,,,,,,
90,3.5,3.7,3.1,2.9,90,87,87,87
,,,,,,,,
Saliba,,,,,,,,
DF 6.1,,,,,,,,
93,2.8,4.1,3,3.2,93,87,84,82
,,,,,,,,
Stach,,,,,,,,
MD 5.0,,,,,,,,
89,3.5,3.2,3.1,3.3,89,82,76,78
,,,,,,,,
Richards,,,,,,,,
DF 4.5,,,,,,,,
87,2.9,4.4,3.3,2.5,87,83,80,78
,,,,,,,,
Reijnders,,,,,,,,
MD 5.7,,,,,,,,
77,3.4,3.6,2.4,3.6,77,71,64,63
,,,,,,,,
Dewsbury-Hall,,,,,,,,
MD 5.0,,,,,,,,
78,3.5,3.2,2.7,3.6,78,72,75,73
,,,,,,,,
Gana,,,,,,,,
MD 5.5,,,,,,,,
89,3.6,3.2,3,3.2,89,82,85,76
,,,,,,,,
�e�ko,,,,,,,,
FW 7.5,,,,,,,,
39,2.5,3.1,3.6,3.6,39,76,75,75
,,,,,,,,
Perri,,,,,,,,
GK 4.5,,,,,,,,
