col1,col2,col3,col4,col5,col6,col7,col8,col9
Haaland,,,,,,,,
FW 14.3,,,,,,,,
84,7.3,5.9,5.9,4.9,84,86,80,77
,,,,,,,,
M.Salah,,,,,,,,
MD 14.5,,,,,,,,
88,5.8,5.1,6.3,5.7,88,84,80,81
,,,,,,,,
B.Fernandes,,,,,,,,
MD 9.0,,,,,,,,
87,5.1,6.5,4.1,5.3,87,88,86,86
,,,,,,,,
Gy�keres,,,,,,,,
FW 9.0,,,,,,,,
81,4.7,6.5,4.4,4.5,81,81,71,64
,,,,,,,,
Saka,,,,,,,,
MD 9.8,,,,,,,,
79,4.2,5.9,4.7,4.9,79,81,83,76
,,,,,,,,
Semenyo,,,,,,,,
MD 7.7,,,,,,,,
88,4.8,4.9,3.9,4.7,88,83,80,76
,,,,,,,,
Watkins,,,,,,,,
FW 8.7,,,,,,,,
83,4.7,5.1,3.8,3.6,83,80,77,73
,,,,,,,,
Cunha,,,,,,,,
MD 8.0,,,,,,,,
73,4,5.5,3.3,4.3,73,79,78,74
,,,,,,,,
Evanilson,,,,,,,,
FW 7.0,,,,,,,,
84,4.2,4.5,3.7,4.5,84,83,79,77
,,,,,,,,
Jo�o Pedro,,,,,,,,
FW 7.8,,,,,,,,
79,4.5,3.8,3.9,4.8,79,75,74,75
,,,,,,,,
Isak,,,,,,,,
FW 10.5,,,,,,,,
73,4,3.7,5,4.3,73,72,80,74
,,,,,,,,
Foden,,,,,,,,
MD 8.1,,,,,,,,
73,5.5,4.4,4.1,2.9,73,72,63,51
,,,,,,,,
Mbeumo,,,,,,,,
MD 8.1,,,,,,,,
81,4.2,5.1,3.3,4.3,81,79,80,78
,,,,,,,,
Ndiaye,,,,,,,,
MD 6.5,,,,,,,,
73,4.9,4.4,3.6,4,73,76,80,69
,,,,,,,,
Enzo,,,,,,,,
MD 6.7,,,,,,,,
86,4.5,3.9,3.9,4.4,86,85,82,80
,,,,,,,,
Gabriel,,,,,,,,
DF 6.1,,,,,,,,
91,3.9,4.7,4,4.1,91,84,86,81
,,,,,,,,
Neto,,,,,,,,
MD 7.0,,,,,,,,
79,4.4,3.7,3.6,4.8,79,75,67,71
,,,,,,,,
Kudus,,,,,,,,
MD 6.7,,,,,,,,
81,4.9,3.8,4,3.4,81,75,74,72
,,,,,,,,
Virgil,,,,,,,,
DF 6.1,,,,,,,,
89,4.2,3.8,4.1,4,89,88,83,82
,,,,,,,,
Reijnders,,,,,,,,
MD 5.7,,,,,,,,
82,4.8,3.9,3.9,3.4,82,81,75,75
,,,,,,,,
Senesi,,,,,,,,
DF 4.8,,,,,,,,
90,4.2,4.3,3.5,4,90,88,84,81
,,,,,,,,
Gvardiol,,,,,,,,
DF 5.8,,,,,,,,
84,4.7,3.7,4,3.4,84,81,78,78
,,,,,,,,
Rice,,,,,,,,
MD 6.5,,,,,,,,
86,3.7,4.4,3.7,4,86,80,81,80
,,,,,,,,
Anderson,,,,,,,,
MD 5.5,,,,,,,,
88,4.8,3.7,3.7,3.6,88,84,82,78
,,,,,,,,
Gakpo,,,,,,,,
MD 7.6,,,,,,,,
79,4.3,3.6,4,3.8,79,70,63,64
,,,,,,,,
Raya,,,,,,,,
GK 5.6,,,,,,,,
94,3.8,4.1,3.8,4,94,89,89,91
,,,,,,,,
Saliba,,,,,,,,
DF 6.0,,,,,,,,
93,3.7,4.4,3.7,3.7,93,89,86,82
,,,,,,,,
Calafiori,,,,,,,,
DF 5.7,,,,,,,,
77,3.7,4.7,3.6,3.5,77,69,67,58
,,,,,,,,
Mitoma,,,,,,,,
MD 6.4,,,,,,,,
86,3.7,4.3,3.9,3.7,86,83,76,80
,,,,,,,,
Schade,,,,,,,,
MD 7.0,,,,,,,,
75,4.2,3.6,3.9,3.6,75,71,67,73
,,,,,,,,
Donnarumma,,,,,,,,
GK 5.6,,,,,,,,
94,4.2,3.6,3.9,3.7,94,91,91,94
,,,,,,,,
Tarkowski,,,,,,,,
DF 5.5,,,,,,,,
92,4.7,4,2.9,3.7,92,88,88,85
,,,,,,,,
Eze,,,,,,,,
MD 7.5,,,,,,,,
67,3.6,4.6,3.4,3.6,67,63,58,57
,,,,,,,,
Georginio,,,,,,,,
MD 5.8,,,,,,,,
75,3.5,4.1,4.1,3.5,75,71,73,69
,,,,,,,,
Mateta,,,,,,,,
FW 7.6,,,,,,,,
73,4,3.8,4.2,3.2,73,72,69,71
,,,,,,,,
Stach,,,,,,,,
MD 5.0,,,,,,,,
88,3.9,3.7,3.5,3.9,88,83,78,79
,,,,,,,,
Xavi,,,,,,,,
MD 7.1,,,,,,,,
75,4.6,3.7,3.7,3,75,71,67,64
,,,,,,,,
�degaard,,,,,,,,
MD 7.9,,,,,,,,
63,2.8,4.5,3.7,3.8,57,70,73,68
,,,,,,,,
Gordon,,,,,,,,
MD 7.4,,,,,,,,
72,3.4,4.5,3.3,3.6,72,72,65,61
,,,,,,,,
Calvert-Lewin,,,,,,,,
FW 5.5,,,,,,,,
75,4,3.6,3.3,3.9,75,66,63,63
,,,,,,,,
