col1,col2,col3,col4,col5,col6,col7,col8,col9
M.Salah,,,,,,,,
MD 14.5,,,,,,,,
87,6.8,5.4,5,6.2,87,82,85,82
,,,,,,,,
Haaland,,,,,,,,
FW 14.2,,,,,,,,
91,4.5,7.2,5.4,5.6,91,84,81,77
,,,,,,,,
B.Fernandes,,,,,,,,
MD 9.0,,,,,,,,
90,5,5,6.2,4,90,86,86,86
,,,,,,,,
Gy�keres,,,,,,,,
FW 9.0,,,,,,,,
80,4.9,4.5,6,4.5,80,74,74,69
,,,,,,,,
Palmer,,,,,,,,
MD 10.4,,,,,,,,
74,4.4,5.3,4.4,5,74,76,73,80
,,,,,,,,
Watkins,,,,,,,,
FW 8.8,,,,,,,,
85,4.9,4.9,5.2,3.9,85,82,77,77
,,,,,,,,
Semenyo,,,,,,,,
MD 7.6,,,,,,,,
88,4.8,4.5,4.6,3.8,88,86,82,79
,,,,,,,,
Rogers,,,,,,,,
MD 7.0,,,,,,,,
88,4.3,4.2,4.7,3.5,88,84,82,84
,,,,,,,,
Ndiaye,,,,,,,,
MD 6.5,,,,,,,,
79,3.5,4.8,4.5,3.5,79,74,77,78
,,,,,,,,
Virgil,,,,,,,,
DF 6.1,,,,,,,,
91,4.7,4.1,3.4,4,91,87,83,81
,,,,,,,,
Mateta,,,,,,,,
FW 7.6,,,,,,,,
83,4.8,3.8,3.5,4.1,83,73,67,69
,,,,,,,,
Mbeumo,,,,,,,,
MD 8.1,,,,,,,,
85,4.2,4.1,4.6,3.1,85,82,71,76
,,,,,,,,
Jo�o Pedro,,,,,,,,
FW 7.8,,,,,,,,
78,4,4.4,3.8,3.7,78,76,74,71
,,,,,,,,
Wirtz,,,,,,,,
MD 8.3,,,,,,,,
76,4.7,3.9,3.3,4,76,74,68,65
,,,,,,,,
Gabriel,,,,,,,,
DF 6.1,,,,,,,,
90,3.8,3.6,4.6,3.9,90,86,85,84
,,,,,,,,
Kudus,,,,,,,,
MD 6.6,,,,,,,,
79,3.8,4.5,3.8,3.8,79,74,72,70
,,,,,,,,
Anderson,,,,,,,,
MD 5.5,,,,,,,,
87,4.2,4.5,3.6,3.6,87,85,82,79
,,,,,,,,
Xavi,,,,,,,,
MD 7.0,,,,,,,,
67,3.3,4.7,3.8,4,67,77,72,76
,,,,,,,,
Foden,,,,,,,,
MD 8.0,,,,,,,,
68,3.3,5,3.6,3.8,68,62,55,55
,,,,,,,,
Reijnders,,,,,,,,
MD 5.7,,,,,,,,
84,3.3,5,3.7,3.8,84,80,73,71
,,,,,,,,
Evanilson,,,,,,,,
FW 7.0,,,,,,,,
84,4.3,4.1,3.9,3.4,84,81,70,73
,,,,,,,,
Raya,,,,,,,,
GK 5.5,,,,,,,,
93,3.8,3.7,4.1,3.9,93,92,91,92
,,,,,,,,
Gakpo,,,,,,,,
MD 7.7,,,,,,,,
75,4.7,3.8,3.3,3.8,75,69,64,59
,,,,,,,,
Rice,,,,,,,,
MD 6.5,,,,,,,,
86,3.9,3.7,4.3,3.6,86,80,78,75
,,,,,,,,
Wood,,,,,,,,
FW 7.6,,,,,,,,
76,4,4.4,3.2,3.5,76,73,71,72
,,,,,,,,
Georginio,,,,,,,,
MD 5.8,,,,,,,,
75,4.1,3.2,3.8,3.9,75,72,69,70
,,,,,,,,
Mitoma,,,,,,,,
MD 6.4,,,,,,,,
85,4.2,3.3,3.8,3.8,85,80,77,76
,,,,,,,,
Donnarumma,,,,,,,,
GK 5.5,,,,,,,,
94,3.2,4.2,3.7,4,94,93,93,92
,,,,,,,,
Thiago,,,,,,,,
FW 6.0,,,,,,,,
77,3.7,4.1,3.5,3.7,77,77,76,69
,,,,,,,,
Cunha,,,,,,,,
MD 8.0,,,,,,,,
55,2.9,3.6,5.3,3.2,55,66,77,74
,,,,,,,,
Saka,,,,,,,,
MD 9.8,,,,,,,,
62,1.5,3.3,5.6,4.7,25,60,78,81
,,,,,,,,
Schade,,,,,,,,
MD 7.0,,,,,,,,
76,3.7,4,3.3,4,76,74,70,74
,,,,,,,,
Damsgaard,,,,,,,,
MD 5.9,,,,,,,,
85,3.8,4,3.5,3.7,85,83,80,78
,,,,,,,,
Senesi,,,,,,,,
DF 4.7,,,,,,,,
89,3.8,3.8,3.8,3.3,89,87,82,82
,,,,,,,,
Gvardiol,,,,,,,,
DF 5.8,,,,,,,,
82,2.7,4.6,3.6,3.8,82,80,78,74
,,,,,,,,
Martinez,,,,,,,,
GK 5.0,,,,,,,,
92,3.9,3.8,3.9,3.1,92,93,91,93
,,,,,,,,
Cash,,,,,,,,
DF 4.5,,,,,,,,
84,4.1,3.6,4.2,2.6,84,76,80,74
,,,,,,,,
L.Paquet�,,,,,,,,
MD 5.9,,,,,,,,
83,4,3.7,3,3.8,83,82,82,74
,,,,,,,,
Isak,,,,,,,,
FW 10.5,,,,,,,,
32,2.3,3,4.2,5,32,50,80,74
,,,,,,,,
Bowen,,,,,,,,
FW 7.7,,,,,,,,
90,4,3.6,2.8,4,90,89,81,83
,,,,,,,,
A.Becker,,,,,,,,
GK 5.5,,,,,,,,
92,4,3.7,3.2,3.6,92,91,89,86
,,,,,,,,
Vicario,,,,,,,,
GK 5.1,,,,,,,,
93,3.3,4,3.6,3.5,93,93,92,90
,,,,,,,,
Pedro Porro,,,,,,,,
DF 5.6,,,,,,,,
81,3.3,4.2,3.4,3.5,81,73,71,72
,,,,,,,,
J.Timber,,,,,,,,
DF 5.7,,,,,,,,
81,3.6,3.4,4.1,3.3,81,74,67,66
,,,,,,,,
Romero,,,,,,,,
DF 5.1,,,,,,,,
91,3.2,4.2,3.5,3.4,91,87,86,85
,,,,,,,,
Minteh,,,,,,,,
MD 5.9,,,,,,,,
76,3.9,3.1,3.7,3.6,76,74,72,71
,,,,,,,,
N.Williams,,,,,,,,
DF 5.0,,,,,,,,
88,3.9,4.6,2.9,2.8,88,85,84,76
,,,,,,,,
Konsa,,,,,,,,
DF 4.5,,,,,,,,
89,3.9,3.6,4.1,2.6,89,88,89,83
,,,,,,,,
�e�ko,,,,,,,,
FW 7.3,,,,,,,,
78,3.6,3.6,4.1,2.7,78,77,73,67
,,,,,,,,
Konat�,,,,,,,,
DF 5.5,,,,,,,,
86,4.2,3.5,2.9,3.5,86,81,78,78
,,,,,,,,
Mu�oz,,,,,,,,
DF 5.6,,,,,,,,
88,4,2.9,3.5,3.7,88,85,86,82
,,,,,,,,
Woltemade,,,,,,,,
FW 7.0,,,,,,,,
82,3.8,3.2,4.1,2.9,82,74,74,62
,,,,,,,,
O.Dango,,,,,,,,
MD 6.0,,,,,,,,
76,3.6,3.7,3.3,3.4,76,71,73,66
,,,,,,,,
Saliba,,,,,,,,
DF 6.0,,,,,,,,
81,3.1,3.4,4.1,3.4,81,87,83,80
,,,,,,,,
Petrovi?,,,,,,,,
GK 4.5,,,,,,,,
91,3.5,3.5,3.6,3.3,91,91,91,92
,,,,,,,,
Stach,,,,,,,,
MD 5.0,,,,,,,,
87,3.6,3.6,3.4,3.4,87,83,82,79
,,,,,,,,
Rodrigo,,,,,,,,
MD 6.4,,,,,,,,
86,3.1,3.8,3.5,3.5,86,82,83,81
,,,,,,,,
Calafiori,,,,,,,,
DF 5.7,,,,,,,,
71,3.5,3.3,3.9,3.2,71,66,58,58
,,,,,,,,
Eze,,,,,,,,
MD 7.5,,,,,,,,
62,3.5,3.4,3.8,3.2,62,61,54,56
,,,,,,,,
Agbadou,,,,,,,,
DF 4.5,,,,,,,,
90,4,2.9,3.3,3.7,90,89,85,82
,,,,,,,,
Enzo,,,,,,,,
MD 6.7,,,,,,,,
78,3.2,3.9,3.3,3.4,78,87,83,82
,,,,,,,,
Gibbs-White,,,,,,,,
MD 7.5,,,,,,,,
77,3.8,4,2.9,3.2,77,71,69,71
,,,,,,,,
Milenkovi?,,,,,,,,
DF 5.5,,,,,,,,
90,3.7,4.4,2.8,3,90,88,85,87
,,,,,,,,
Yeremy,,,,,,,,
MD 6.0,,,,,,,,
81,3.9,3.3,3.1,3.5,81,77,71,70
,,,,,,,,
Tarkowski,,,,,,,,
DF 5.5,,,,,,,,
90,2.7,4.3,3.9,2.8,90,86,86,87
,,,,,,,,
Anthony,,,,,,,,
MD 5.5,,,,,,,,
82,4,2.9,3,3.8,82,76,74,74
,,,,,,,,
Lacroix,,,,,,,,
DF 5.1,,,,,,,,
88,3.8,3,3.4,3.6,88,88,81,82
,,,,,,,,
Sels,,,,,,,,
GK 5.0,,,,,,,,
93,3.5,3.9,3.1,3.1,93,90,92,90
,,,,,,,,
Neto,,,,,,,,
MD 7.0,,,,,,,,
65,3.3,3.9,3.1,3.3,65,67,63,63
,,,,,,,,
Andersen,,,,,,,,
DF 4.5,,,,,,,,
92,4.1,3.3,3.4,2.8,92,90,90,85
,,,,,,,,
Tavernier,,,,,,,,
MD 5.5,,,,,,,,
68,3.6,3.5,3.3,3,68,68,60,63
,,,,,,,,
Caicedo,,,,,,,,
MD 5.6,,,,,,,,
89,3.4,3.6,3.2,3.3,89,86,84,82
,,,,,,,,
Truffert,,,,,,,,
DF 4.5,,,,,,,,
91,3.5,3.4,3.6,2.9,91,88,84,84
,,,,,,,,
Collins,,,,,,,,
DF 5.0,,,,,,,,
90,3.5,3.5,2.9,3.5,90,89,86,87
,,,,,,,,
Dewsbury-Hall,,,,,,,,
MD 5.0,,,,,,,,
85,3,4.1,3.5,2.8,85,82,78,78
,,,,,,,,
Verbruggen,,,,,,,,
GK 4.5,,,,,,,,
94,3.5,2.9,3.6,3.4,94,93,93,92
,,,,,,,,
Henderson,,,,,,,,
GK 5.0,,,,,,,,
94,3.6,3,3.3,3.4,94,91,91,90
,,,,,,,,
Joelinton,,,,,,,,
MD 5.9,,,,,,,,
82,3.4,3,3.7,3.1,82,79,80,75
,,,,,,,,
Bruno G.,,,,,,,,
MD 6.5,,,,,,,,
87,3.5,3,3.5,3.1,87,83,81,81
,,,,,,,,
Mac Allister,,,,,,,,
MD 6.4,,,,,,,,
64,3.3,3.4,3.1,3.4,64,72,70,67
,,,,,,,,
Gu�hi,,,,,,,,
DF 4.7,,,,,,,,
92,3.6,2.7,3.3,3.5,92,90,88,87
,,,,,,,,
Pickford,,,,,,,,
GK 5.5,,,,,,,,
94,2.8,3.8,3.6,2.8,94,93,91,90
,,,,,,,,
Iwobi,,,,,,,,
MD 6.5,,,,,,,,
72,3.7,3.2,3.2,3,72,76,74,75
,,,,,,,,
Richards,,,,,,,,
DF 4.5,,,,,,,,
86,3.5,2.8,3.3,3.4,86,86,84,81
,,,,,,,,
Gravenberch,,,,,,,,
MD 5.5,,,,,,,,
86,3.6,3.2,2.9,3.3,86,82,78,78
,,,,,,,,
Roefs,,,,,,,,
GK 4.5,,,,,,,,
