id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
1,Raya,GKP,ARS,0.0,3,0.07894736842105263,1.0,270,23.2,6.5,5.5,3
2,Arrizabalaga,GKP,ARS,0.0,0,0.0,0.0,0,0.7,0.5,4.4,3
3,Hein,GKP,ARS,1.0,0,0.0,0.0,0,0.4,0.0,4.0,3
4,Setford,GKP,ARS,0.0,0,0.0,0.0,0,0.2,0.5,4.0,3
5,Gabriel,DEF,ARS,0.0,3,0.07894736842105263,1.0,270,21.5,5.2,6.1,3
6,Saliba,DEF,ARS,0.25,3,0.07894736842105263,1.47,184,14.6,4.3,6.1,3
7,Calafiori,DEF,ARS,0.0,3,0.07894736842105263,1.21,224,12.7,9.8,5.7,3
8,J.Timber,DEF,ARS,0.0,2,0.05263157894736842,1.05,172,10.1,9.2,5.6,3
9,Kiwior,DEF,ARS,1.0,0,0.0,0.0,0,0.1,0.0,5.4,3
10,Lewis-Skelly,DEF,ARS,0.0,0,0.0,0.0,44,2.5,0.8,5.4,3
11,B. White,DEF,ARS,0.0,1,0.02631578947368421,1.29,70,0.5,2.5,5.4,3
13,Clarke,DEF,ARS,0.0,0,0.0,0.0,0,0.5,0.5,4.0,3
14,Kacurri,DEF,ARS,0.0,0,0.0,0.0,0,0.2,0.5,4.0,3
15,Nichols,DEF,ARS,0.0,0,0.0,0.0,0,0.2,0.5,4.0,3
16,Saka,MID,ARS,1.0,2,0.05263157894736842,1.27,142,4.8,0.0,9.8,3
17,Ødegaard,MID,ARS,0.0,2,0.05263157894736842,1.22,147,2.6,2.8,7.9,3
18,Madueke,MID,ARS,0.0,2,0.05263157894736842,0.99,181,1.4,2.5,7.0,3
19,Martinelli,MID,ARS,0.0,2,0.05263157894736842,1.41,128,1.1,1.8,6.9,3
20,Trossard,MID,ARS,0.0,0,0.0,0.0,37,0.3,0.8,6.9,3
21,Rice,MID,ARS,0.0,3,0.07894736842105263,1.03,262,9.2,5.8,6.5,3
22,Merino,MID,ARS,0.0,1,0.02631578947368421,1.18,76,0.4,1.8,5.9,3
23,Fábio Vieira,MID,ARS,1.0,0,0.0,0.0,0,0.0,0.0,5.4,3
24,Nørgaard,MID,ARS,0.0,0,0.0,0.0,0,0.2,0.5,5.4,3
25,Nwaneri,MID,ARS,0.0,0,0.0,0.0,52,0.2,0.8,5.4,3
26,Zubimendi,MID,ARS,0.0,3,0.07894736842105263,1.0,270,1.8,3.5,5.5,3
28,Kabia,MID,ARS,1.0,0,0.0,0.0,0,0.2,0.0,4.5,3
29,Sambi,MID,ARS,1.0,0,0.0,0.0,0,0.1,0.0,4.5,3
30,Havertz,FWD,ARS,1.0,0,0.0,0.0,30,0.4,0.0,7.4,3
31,G.Jesus,FWD,ARS,1.0,0,0.0,0.0,0,0.0,0.0,6.5,3
266,Eze,MID,ARS,0.0,1,0.02631578947368421,0.87,103,11.5,1.8,7.5,3
662,C. Mosquera,DEF,ARS,0.0,0,0.0,0.0,111,0.1,1.5,5.4,3
666,Gyökeres,FWD,ARS,0.0,3,0.07894736842105263,1.13,239,24.9,5.2,9.0,3
700,Dowman,MID,ARS,0.0,0,0.0,0.0,27,0.4,3.0,4.5,3
711,Harriman-Annous,MID,ARS,0.0,0,0.0,0.0,0,0.0,1.6,4.5,3
725,Hincapie,DEF,ARS,0.0,0,0.0,0.0,0,0.0,3.7,5.5,3
32,E. Martinez,GKP,AST,0.0,1,0.02631578947368421,1.0,90,1.7,0.7,5.0,3
33,M.Bizot,GKP,AST,0.0,2,0.05263157894736842,1.0,180,0.8,2.3,4.5,3
34,Gauci,GKP,AST,1.0,0,0.0,0.0,0,0.2,0.0,4.0,3
35,Marschall,GKP,AST,1.0,0,0.0,0.0,0,0.0,0.0,4.0,3
36,Cash,DEF,AST,0.0,3,0.07894736842105263,1.07,253,4.9,3.3,4.5,3
37,Digne,DEF,AST,0.0,2,0.05263157894736842,1.12,160,2.0,3.0,4.5,3
38,Konsa,DEF,AST,0.0,2,0.05263157894736842,1.16,155,13.1,1.3,4.5,3
39,Maatsen,DEF,AST,0.0,1,0.02631578947368421,0.83,109,0.6,0.7,4.4,3
40,Mings,DEF,AST,0.0,3,0.07894736842105263,1.0,270,1.3,3.0,4.5,3
41,Pau,DEF,AST,0.0,1,0.02631578947368421,0.85,106,0.4,1.0,4.5,3
42,A.García,DEF,AST,1.0,0,0.0,0.0,0,0.2,0.0,3.9,3
43,Alex Moreno,DEF,AST,1.0,0,0.0,0.0,0,5.2,0.0,4.0,3
44,Bogarde,DEF,AST,0.0,0,0.0,0.0,22,0.3,0.3,4.0,3
45,Sousa,DEF,AST,0.0,0,0.0,0.0,0,0.3,0.0,4.0,3
46,Yasin,DEF,AST,0.0,0,0.0,0.0,0,0.2,0.0,4.0,3
47,Rogers,MID,AST,0.0,3,0.07894736842105263,1.0,270,8.1,2.3,7.0,3
48,Tielemans,MID,AST,0.0,3,0.07894736842105263,1.0,270,1.7,2.3,5.9,3
49,Bailey,MID,AST,1.0,0,0.0,0.0,0,0.1,0.0,5.5,3
50,Buendía,MID,AST,0.0,0,0.0,0.0,103,0.1,0.7,5.3,3
51,Iling Jr,MID,AST,0.0,0,0.0,0.0,0,0.0,0.0,5.5,3
53,Malen,MID,AST,0.0,1,0.02631578947368421,0.79,114,0.9,1.3,5.3,3
54,McGinn,MID,AST,0.0,3,0.07894736842105263,1.18,229,0.6,2.3,5.5,3
55,Barkley,MID,AST,1.0,0,0.0,0.0,0,0.0,0.0,4.9,3
56,Barrenechea,MID,AST,1.0,0,0.0,0.0,0,0.0,0.0,5.0,3
57,Dobbin,MID,AST,1.0,0,0.0,0.0,0,0.0,0.0,5.0,3
58,Kamara,MID,AST,1.0,2,0.05263157894736842,1.71,105,0.1,0.0,4.9,3
59,Amadou Onana,MID,AST,1.0,2,0.05263157894736842,1.18,153,1.2,0.0,5.0,3
60,Broggio,MID,AST,0.0,0,0.0,0.0,0,0.3,0.0,4.5,3
61,Dendoncker,MID,AST,1.0,0,0.0,0.0,0,0.2,0.0,4.5,3
62,Jimoh-Aloba,MID,AST,0.0,0,0.0,0.0,0,0.1,0.0,4.5,3
63,Young,MID,AST,0.0,0,0.0,0.0,0,0.6,0.0,4.5,3
64,Watkins,FWD,AST,0.0,3,0.07894736842105263,1.0,270,16.4,2.0,8.9,3
65,Redmond,FWD,AST,1.0,0,0.0,0.0,0,0.6,0.0,4.5,3
389,Elliott,MID,AST,0.0,0,0.0,0.0,1,0.4,0.3,5.4,3
456,Sancho,MID,AST,0.0,0,0.0,0.0,0,0.2,0.0,5.9,3
677,Guessand,MID,AST,0.0,1,0.02631578947368421,1.5,60,0.0,0.7,6.4,3
688,Wright,GKP,AST,0.0,0,0.0,0.0,0,0.5,0.0,4.0,3
701,Rowe,DEF,AST,0.0,0,0.0,0.0,0,0.1,0.0,4.0,3
702,Burrowes,MID,AST,0.0,0,0.0,0.0,16,0.1,0.5,4.5,3
703,Proctor,GKP,AST,0.0,0,0.0,0.0,0,0.3,0.0,4.0,3
710,Patterson,DEF,AST,0.0,0,0.0,0.0,0,0.1,1.2,4.0,3
719,Lindelöf,DEF,AST,0.0,0,0.0,0.0,0,0.0,2.0,4.5,3
183,Weiss,GKP,BUR,0.0,0,0.0,0.0,0,0.1,-1.5,4.5,3
184,Green,GKP,BUR,1.0,0,0.0,0.0,0,0.4,0.0,4.0,3
185,Hladký,GKP,BUR,0.0,0,0.0,0.0,0,0.2,-1.5,4.0,3
186,C. Roberts,DEF,BUR,1.0,0,0.0,0.0,0,0.1,0.0,4.4,3
187,Walker,DEF,BUR,0.0,3,0.07894736842105263,1.0,270,1.7,0.8,4.5,3
188,Delcroix,DEF,BUR,0.0,0,0.0,0.0,0,0.3,-1.5,4.0,3
189,Dodgson,DEF,BUR,1.0,0,0.0,0.0,0,0.0,0.0,4.0,3
190,Ekdal,DEF,BUR,0.0,3,0.07894736842105263,1.03,262,1.2,2.8,4.0,3
191,Estève,DEF,BUR,0.0,3,0.07894736842105263,1.03,262,17.1,1.2,4.0,3
192,Hartman,DEF,BUR,0.0,3,0.07894736842105263,1.0,270,0.5,1.2,4.0,3
193,Humphreys,DEF,BUR,0.0,0,0.0,0.0,0,0.1,-1.5,4.0,3
194,Jordan,DEF,BUR,1.0,0,0.0,0.0,0,0.1,0.0,4.0,3
195,Lucas Pires,DEF,BUR,0.0,0,0.0,0.0,0,0.1,-1.5,4.0,3
196,Sambo,DEF,BUR,1.0,0,0.0,0.0,0,0.1,0.0,4.0,3
197,Sonne,DEF,BUR,0.0,1,0.02631578947368421,0.88,102,0.1,-0.5,4.0,3
198,Tuanzebe,DEF,BUR,0.0,0,0.0,0.0,0,1.9,-1.5,3.9,3
199,Worrall,DEF,BUR,0.0,0,0.0,0.0,14,0.1,-0.8,4.0,3
200,Anthony,MID,BUR,0.0,3,0.07894736842105263,1.02,264,0.9,5.5,5.5,3
201,Benson,MID,BUR,0.0,0,0.0,0.0,0,0.0,-1.5,5.4,3
202,Bruun Larsen,MID,BUR,0.0,2,0.05263157894736842,1.02,176,0.0,1.5,5.4,3
203,Boateng,MID,BUR,0.0,0,0.0,0.0,0,0.0,-1.5,4.9,3
204,Churlinov,MID,BUR,1.0,0,0.0,0.0,0,0.0,0.0,4.9,3
205,Cullen,MID,BUR,0.0,3,0.07894736842105263,1.0,270,1.9,5.2,5.0,3
206,Edwards,MID,BUR,0.0,0,0.0,0.0,5,0.1,-1.2,4.9,3
207,Hannibal,MID,BUR,0.0,3,0.07894736842105263,1.3,208,0.2,1.5,5.0,3
208,Koleosho,MID,BUR,1.0,0,0.0,0.0,0,0.0,0.0,5.0,3
209,Laurent,MID,BUR,0.0,1,0.02631578947368421,0.93,97,0.0,-0.5,5.0,3
210,Tchaouna,MID,BUR,0.0,0,0.0,0.0,48,0.0,0.2,5.0,3
211,A.Ramsey,MID,BUR,1.0,0,0.0,0.0,0,5.7,0.0,4.4,3
