id,name,position_gw1,team_gw1,prob_injury_gw1,ep_cost_gw1,xmins_gw1,ep_gw1,position_gw2,team_gw2,prob_injury_gw2,ep_cost_gw2,xmins_gw2,ep_gw2,position_gw3,team_gw3,prob_injury_gw3,ep_cost_gw3,xmins_gw3,ep_gw3,position_gw4,team_gw4,prob_injury_gw4,ep_cost_gw4,xmins_gw4,ep_gw4,position_gw5,team_gw5,prob_injury_gw5,ep_cost_gw5,xmins_gw5,ep_gw5,position_gw6,team_gw6,prob_injury_gw6,ep_cost_gw6,xmins_gw6,ep_gw6,position_gw7,team_gw7,prob_injury_gw7,ep_cost_gw7,xmins_gw7,ep_gw7,position_gw8,team_gw8,prob_injury_gw8,ep_cost_gw8,xmins_gw8,ep_gw8,position_gw9,team_gw9,prob_injury_gw9,ep_cost_gw9,xmins_gw9,ep_gw9,position_gw10,team_gw10,prob_injury_gw10,ep_cost_gw10,xmins_gw10,ep_gw10,position_gw11,team_gw11,prob_injury_gw11,ep_cost_gw11,xmins_gw11,ep_gw11,position_gw12,team_gw12,prob_injury_gw12,total_xmins,ep_cost_gw12,total_xpts,xmins_gw12,ep_gw12
407,Lascelles,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,4.5,0.0,0.0,DEF,NEW,1.0,0,4.5,0,0.0,0.0
408,J. Lewis,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,4.0,0.0,0.0,DEF,NEW,1.0,0,4.0,0,0.0,0.0
409,Livramento,DEF,NEW,0.0,4.5,90.0,7.0,DEF,NEW,0.0,4.5,57.0,1.0,DEF,NEW,0.0,4.5,90.0,2.0,DEF,NEW,0.0,4.5,63.0,2.0,DEF,NEW,0.0,4.5,16.0,1.0,DEF,NEW,0.0,4.5,12.0,1.0,DEF,NEW,0.0,4.5,19.0,1.0,DEF,NEW,0.0,4.5,90.0,2.0,DEF,NEW,0.0,4.5,90.0,1.0,DEF,NEW,0.0,4.5,90.0,7.0,DEF,NEW,0.0,4.5,90.0,2.0,DEF,NEW,0.0,797,4.5,28,90.0,1.0
410,Longstaff,MID,NEW,0.0,5.0,90.0,3.0,MID,NEW,0.0,5.0,69.0,2.0,MID,NEW,0.0,4.9,67.0,1.0,MID,NEW,0.0,4.9,45.0,1.0,MID,NEW,0.0,4.9,0.0,0.0,MID,NEW,0.0,4.8,12.0,1.0,MID,NEW,0.0,4.8,19.0,1.0,MID,NEW,0.0,4.7,5.0,1.0,MID,NEW,0.0,4.7,22.0,0.0,MID,NEW,0.0,4.7,90.0,3.0,MID,NEW,0.0,4.7,90.0,5.0,MID,NEW,0.0,565,4.7,19,56.0,1.0
411,Miley,MID,NEW,1.0,5.0,0.0,0.0,MID,NEW,1.0,5.0,0.0,0.0,MID,NEW,1.0,5.0,0.0,0.0,MID,NEW,1.0,5.0,0.0,0.0,MID,NEW,1.0,5.0,0.0,0.0,MID,NEW,1.0,5.0,0.0,0.0,MID,NEW,0.5,5.0,0.0,0.0,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,5.0,0.0,0.0,MID,NEW,0.0,0,5.0,0,0.0,0.0
412,Odysseas,GKP,NEW,0.0,4.5,0.0,0.0,GKP,NEW,0.0,4.5,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.4,0.0,0.0,GKP,NEW,0.0,4.3,0.0,0.0,GKP,NEW,0.0,4.3,0.0,0.0,GKP,NEW,0.0,0,4.3,0,0.0,0.0
413,Pope,GKP,NEW,0.0,5.0,90.0,9.0,GKP,NEW,0.0,5.0,90.0,3.0,GKP,NEW,0.0,5.0,90.0,4.0,GKP,NEW,0.0,5.0,90.0,3.0,GKP,NEW,0.0,5.0,90.0,3.0,GKP,NEW,0.0,5.0,90.0,3.0,GKP,NEW,0.0,5.0,90.0,6.0,GKP,NEW,0.0,5.0,90.0,3.0,GKP,NEW,0.0,5.0,90.0,2.0,GKP,NEW,0.0,5.0,90.0,5.0,GKP,NEW,0.0,5.0,90.0,2.0,GKP,NEW,0.0,1080,5.0,45,90.0,2.0
414,Ruddy,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,4.0,0.0,0.0,GKP,NEW,0.0,0,4.0,0,0.0,0.0
415,Schär,DEF,NEW,1.0,5.5,27.0,-2.0,DEF,NEW,1.0,5.4,0.0,0.0,DEF,NEW,0.0,5.4,0.0,0.0,DEF,NEW,0.0,5.4,90.0,8.0,DEF,NEW,0.0,5.4,90.0,1.0,DEF,NEW,0.0,5.4,90.0,1.0,DEF,NEW,0.0,5.4,90.0,5.0,DEF,NEW,0.0,5.4,90.0,2.0,DEF,NEW,0.0,5.4,90.0,0.0,DEF,NEW,0.0,5.4,90.0,5.0,DEF,NEW,0.0,5.4,90.0,2.0,DEF,NEW,0.0,837,5.4,23,90.0,1.0
416,Targett,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.5,4.0,0.0,0.0,DEF,NEW,0.5,4.0,0.0,0.0,DEF,NEW,0.75,4.0,0.0,0.0,DEF,NEW,0.75,4.0,0.0,0.0,DEF,NEW,0.5,4.0,0.0,0.0,DEF,NEW,0.0,4.0,0.0,0.0,DEF,NEW,0.0,0,4.0,0,0.0,0.0
