name,position,cost,xmins_gw3,xmins_gw4,xmins_gw5,xmins_gw6,xpts_gw3,xpts_gw4,xpts_gw5,xpts_gw6
M.Salah,MID,14.5,91,84,82,85,5.5,6.4,6.6,5.6
Haaland,FWD,14.1,86,80,78,78,5.6,6.0,4.1,6.8
Gyökeres,FWD,9.0,87,86,83,82,4.5,6.2,5.0,4.9
B.Fernandes,MID,9.0,88,86,87,82,6.1,3.9,4.9,4.7
Watkins,FWD,9.0,84,79,77,80,5.0,4.1,4.9,4.9
Mateta,FWD,7.5,87,83,81,77,4.1,5.8,4.6,3.8
Wirtz,MID,8.4,78,77,73,72,4.0,4.8,4.8,4.0
Wood,FWD,7.7,83,81,80,76,5.0,3.2,4.2,5.0
Semenyo,MID,7.2,86,83,85,80,4.0,4.4,4.4,4.2
Murillo,DEF,5.5,89,86,85,84,4.7,2.9,4.2,5.0
Sarr,MID,6.5,85,79,77,79,3.8,5.3,4.1,3.6
Cunha,MID,8.1,79,79,76,77,5.3,3.3,4.0,4.1
Gakpo,MID,7.6,73,66,69,67,3.8,4.3,4.6,3.9
Rogers,MID,7.0,89,84,82,81,4.2,3.7,4.3,4.1
Ekitiké,FWD,8.7,73,65,67,67,3.8,4.1,4.4,3.8
Pedro Porro,DEF,5.6,88,82,76,77,4.5,4.0,3.0,4.4
Tielemans,MID,6.0,90,85,81,79,4.4,3.7,4.1,3.9
Kudus,MID,6.6,77,69,69,65,4.5,3.9,3.4,4.1
Mbeumo,MID,8.0,86,83,76,77,5.2,3.2,3.7,3.8
Virgil,DEF,6.0,91,87,86,83,3.6,4.3,4.3,3.6
Gibbs-White,MID,7.5,78,74,77,77,4.4,2.7,3.8,4.8
Ndiaye,MID,6.5,76,72,74,75,4.1,3.9,3.1,4.7
O.Dango,MID,6.0,84,80,76,73,4.5,3.7,3.6,3.7
Evanilson,FWD,7.0,80,77,77,76,3.7,4.0,3.9,3.8
Thiago,FWD,6.0,85,81,64,59,4.9,4.0,3.2,3.3
N.Williams,DEF,5.0,87,82,76,75,4.6,2.5,3.7,4.4
Enzo,MID,6.5,88,88,87,83,4.3,3.7,3.5,3.8
Rice,MID,6.5,89,86,81,80,3.6,4.4,3.6,3.6
Milenković,DEF,5.5,89,87,85,81,4.4,2.6,3.8,4.4
E. Martinez,GKP,5.0,94,94,92,92,3.8,3.7,4.0,3.7
Palmer,MID,10.5,0,77,86,83,0.0,4.8,4.8,5.6
Bowen,FWD,7.8,91,85,87,83,3.7,3.9,4.0,3.5
Schade,MID,7.0,81,77,72,75,4.4,3.6,3.4,3.8
E. Anderson,MID,5.5,81,81,73,77,4.2,3.1,3.5,4.2
João Pedro,FWD,7.6,75,67,64,63,4.7,3.5,3.2,3.5
Bruno G.,MID,6.5,90,87,83,81,4.1,4.2,3.5,3.0
Iwobi,MID,6.5,86,79,72,76,3.5,4.2,3.8,3.2
A.Becker,GKP,5.5,92,89,85,85,3.5,3.9,3.8,3.4
Raya,GKP,5.5,93,93,93,90,3.2,4.2,3.6,3.5
Tarkowski,DEF,5.5,92,86,88,87,4.1,3.5,2.6,4.2
Muñoz,DEF,5.5,89,87,83,83,3.0,5.2,3.7,2.6
Lacroix,DEF,5.0,90,87,83,84,3.2,4.8,3.6,2.8
Konaté,DEF,5.5,84,83,78,79,3.2,4.0,3.9,3.4
Sels,GKP,5.0,93,91,91,90,3.9,2.8,3.7,4.0
Schär,DEF,5.5,81,82,78,82,4.0,4.3,3.2,2.9
Mitoma,MID,6.4,84,80,78,79,3.5,3.6,3.9,3.2
Gabriel,DEF,6.1,93,89,82,81,3.0,4.5,3.2,3.4
Sánchez,GKP,5.0,93,91,90,91,3.8,3.5,3.2,3.6
Caicedo,MID,5.5,91,88,86,81,3.8,3.6,3.4,3.4
Romero,DEF,5.0,89,87,85,86,3.6,3.5,2.9,4.0
Vicario,GKP,5.0,93,93,92,93,3.5,3.5,3.2,3.9
P. Neto,MID,7.0,75,68,66,61,4.2,3.4,3.1,3.3
Wharton,MID,5.0,86,79,82,80,3.4,3.9,3.5,3.2
Cucurella,DEF,6.1,88,83,85,76,4.1,3.4,3.1,3.4
Konsa,DEF,4.5,88,87,81,84,3.5,3.2,3.7,3.4
Damsgaard,MID,5.9,80,80,77,77,3.8,3.4,3.3,3.5
Collins,DEF,5.0,91,88,86,81,4.3,3.2,3.2,3.2
