name,position,cost,xmins_gw5,xmins_gw6,xmins_gw7,xmins_gw8,xpts_gw5,xpts_gw6,xpts_gw7,xpts_gw8
M.Salah,MID,14.5,87,82,85,82,6.8,5.4,5.0,6.2
Haaland,FWD,14.2,91,84,81,77,4.5,7.2,5.4,5.6
B.Fernandes,MID,9.0,90,86,86,86,5.0,5.0,6.2,4.0
Gyökeres,FWD,9.0,80,74,74,69,4.9,4.5,6.0,4.5
Palmer,MID,10.4,74,76,73,80,4.4,5.3,4.4,5.0
Watkins,FWD,8.8,85,82,77,77,4.9,4.9,5.2,3.9
Semenyo,MID,7.6,88,86,82,79,4.8,4.5,4.6,3.8
Rogers,MID,7.0,88,84,82,84,4.3,4.2,4.7,3.5
Ndiaye,MID,6.5,79,74,77,78,3.5,4.8,4.5,3.5
Virgil,DEF,6.1,91,87,83,81,4.7,4.1,3.4,4.0
Mateta,FWD,7.6,83,73,67,69,4.8,3.8,3.5,4.1
Mbeumo,MID,8.1,85,82,71,76,4.2,4.1,4.6,3.1
João Pedro,FWD,7.8,78,76,74,71,4.0,4.4,3.8,3.7
Wirtz,MID,8.3,76,74,68,65,4.7,3.9,3.3,4.0
Gabriel,DEF,6.1,90,86,85,84,3.8,3.6,4.6,3.9
Kudus,MID,6.6,79,74,72,70,3.8,4.5,3.8,3.8
E. Anderson,MID,5.5,87,85,82,79,4.2,4.5,3.6,3.6
Xavi,MID,7.0,67,77,72,76,3.3,4.7,3.8,4.0
Foden,MID,8.0,68,62,55,55,3.3,5.0,3.6,3.8
Reijnders,MID,5.7,84,80,73,71,3.3,5.0,3.7,3.8
Evanilson,FWD,7.0,84,81,70,73,4.3,4.1,3.9,3.4
Raya,GKP,5.5,93,92,91,92,3.8,3.7,4.1,3.9
Gakpo,MID,7.7,75,69,64,59,4.7,3.8,3.3,3.8
Rice,MID,6.5,86,80,78,75,3.9,3.7,4.3,3.6
Wood,FWD,7.6,76,73,71,72,4.0,4.4,3.2,3.5
Georginio,MID,5.8,75,72,69,70,4.1,3.2,3.8,3.9
Mitoma,MID,6.4,85,80,77,76,4.2,3.3,3.8,3.8
Donnarumma,GKP,5.5,94,93,93,92,3.2,4.2,3.7,4.0
Thiago,FWD,6.0,77,77,76,69,3.7,4.1,3.5,3.7
Cunha,MID,8.0,55,66,77,74,2.9,3.6,5.3,3.2
Saka,MID,9.8,25,60,78,81,1.5,3.3,5.6,4.7
Schade,MID,7.0,76,74,70,74,3.7,4.0,3.3,4.0
Damsgaard,MID,5.9,85,83,80,78,3.8,4.0,3.5,3.7
Senesi,DEF,4.7,89,87,82,82,3.8,3.8,3.8,3.3
Gvardiol,DEF,5.8,82,80,78,74,2.7,4.6,3.6,3.8
E. Martinez,GKP,5.0,92,93,91,93,3.9,3.8,3.9,3.1
Cash,DEF,4.5,84,76,80,74,4.1,3.6,4.2,2.6
L.Paquetá,MID,5.9,83,82,82,74,4.0,3.7,3.0,3.8
Isak,FWD,10.5,32,50,80,74,2.3,3.0,4.2,5.0
Bowen,FWD,7.7,90,89,81,83,4.0,3.6,2.8,4.0
A.Becker,GKP,5.5,92,91,89,86,4.0,3.7,3.2,3.6
Vicario,GKP,5.1,93,93,92,90,3.3,4.0,3.6,3.5
Pedro Porro,DEF,5.6,81,73,71,72,3.3,4.2,3.4,3.5
J.Timber,DEF,5.7,81,74,67,66,3.6,3.4,4.1,3.3
Romero,DEF,5.1,91,87,86,85,3.2,4.2,3.5,3.4
Minteh,MID,5.9,76,74,72,71,3.9,3.1,3.7,3.6
N.Williams,DEF,5.0,88,85,84,76,3.9,4.6,2.9,2.8
Konsa,DEF,4.5,89,88,89,83,3.9,3.6,4.1,2.6
Šeško,FWD,7.3,78,77,73,67,3.6,3.6,4.1,2.7
Konaté,DEF,5.5,86,81,78,78,4.2,3.5,2.9,3.5
Muñoz,DEF,5.6,88,85,86,82,4.0,2.9,3.5,3.7
Woltemade,FWD,7.0,82,74,74,62,3.8,3.2,4.1,2.9
O.Dango,MID,6.0,76,71,73,66,3.6,3.7,3.3,3.4
Saliba,DEF,6.0,81,87,83,80,3.1,3.4,4.1,3.4
Petrović,GKP,4.5,91,91,91,92,3.5,3.5,3.6,3.3
Stach,MID,5.0,87,83,82,79,3.6,3.6,3.4,3.4
Rodrigo,MID,6.4,86,82,83,81,3.1,3.8,3.5,3.5
Calafiori,DEF,5.7,71,66,58,58,3.5,3.3,3.9,3.2
Eze,MID,7.5,62,61,54,56,3.5,3.4,3.8,3.2
Agbadou,DEF,4.5,90,89,85,82,4.0,2.9,3.3,3.7
Enzo,MID,6.7,78,87,83,82,3.2,3.9,3.3,3.4
Gibbs-White,MID,7.5,77,71,69,71,3.8,4.0,2.9,3.2
Milenković,DEF,5.5,90,88,85,87,3.7,4.4,2.8,3.0
Yeremy,MID,6.0,81,77,71,70,3.9,3.3,3.1,3.5
Tarkowski,DEF,5.5,90,86,86,87,2.7,4.3,3.9,2.8
Anthony,MID,5.5,82,76,74,74,4.0,2.9,3.0,3.8
Lacroix,DEF,5.1,88,88,81,82,3.8,3.0,3.4,3.6
Sels,GKP,5.0,93,90,92,90,3.5,3.9,3.1,3.1
P. Neto,MID,7.0,65,67,63,63,3.3,3.9,3.1,3.3
Andersen,DEF,4.5,92,90,90,85,4.1,3.3,3.4,2.8
Tavernier,MID,5.5,68,68,60,63,3.6,3.5,3.3,3.0
Caicedo,MID,5.6,89,86,84,82,3.4,3.6,3.2,3.3
Truffert,DEF,4.5,91,88,84,84,3.5,3.4,3.6,2.9
Collins,DEF,5.0,90,89,86,87,3.5,3.5,2.9,3.5
Dewsbury-Hall,MID,5.0,85,82,78,78,3.0,4.1,3.5,2.8
Verbruggen,GKP,4.5,94,93,93,92,3.5,2.9,3.6,3.4
D. Henderson,GKP,5.0,94,91,91,90,3.6,3.0,3.3,3.4
Joelinton,MID,5.9,82,79,80,75,3.4,3.0,3.7,3.1
Bruno G.,MID,6.5,87,83,81,81,3.5,3.0,3.5,3.1
Mac Allister,MID,6.4,64,72,70,67,3.3,3.4,3.1,3.4
Guéhi,DEF,4.7,92,90,88,87,3.6,2.7,3.3,3.5
Pickford,GKP,5.5,94,93,91,90,2.8,3.8,3.6,2.8
Iwobi,MID,6.5,72,76,74,75,3.7,3.2,3.2,3.0
Richards,DEF,4.5,86,86,84,81,3.5,2.8,3.3,3.4
Gravenberch,MID,5.5,86,82,78,78,3.6,3.2,2.9,3.3
Roefs,GKP,4.5,93,93,91,90,3.3,3.1,3.0,3.6
Pope,GKP,5.0,91,92,87,88,3.3,3.1,3.5,3.1
Tonali,MID,5.4,89,81,85,81,3.4,2.9,3.6,3.1
Van de Ven,DEF,4.7,88,84,85,80,2.9,3.8,3.2,3.0
Leno,GKP,5.0,94,91,92,91,3.7,3.1,3.1,3.0
Kelleher,GKP,4.5,95,92,92,92,3.3,3.3,3.0,3.3
Dorgu,DEF,4.5,85,75,72,71,3.3,3.2,4.3,2.0
Murillo,DEF,5.5,46,88,83,78,2.1,4.7,3.0,3.0
Van den Berg,DEF,4.5,93,85,87,81,3.5,3.3,2.9,3.2
Gomes,MID,5.4,86,84,82,80,3.4,3.0,3.2,3.2
Zubimendi,MID,5.4,87,83,81,79,3.2,3.0,3.4,3.0
Cucurella,DEF,6.2,85,78,76,75,3.2,3.6,2.7,3.2
Rodon,DEF,4.0,90,87,82,83,3.4,3.1,2.8,3.2
Diarra,MID,5.5,81,82,76,74,3.3,3.1,2.8,3.4
J.Arias,MID,5.3,66,61,61,60,3.7,2.7,3.1,3.1
Lukić,MID,5.0,85,81,85,77,3.6,2.9,3.2,2.7
Bogle,DEF,4.5,87,84,78,76,3.4,3.1,2.8,3.1
Sánchez,GKP,5.0,92,80,84,81,3.3,3.2,2.9,3.1
Ndoye,MID,6.1,63,67,60,63,3.2,3.8,2.6,2.9
Mitchell,DEF,5.0,86,81,80,79,3.5,2.5,3.1,3.3
Dúbravka,GKP,4.0,93,92,90,90,3.4,2.6,2.9,3.4
Van Hecke,DEF,4.5,91,88,86,78,3.3,2.6,3.5,2.9
Toti,DEF,4.4,91,86,87,84,3.6,2.4,2.9,3.4
Mings,DEF,4.5,76,72,72,70,3.4,3.1,3.4,2.3
Hermansen,GKP,4.5,94,92,92,89,3.3,3.0,2.6,3.3
Rúben,DEF,5.5,77,75,77,70,2.2,3.7,3.1,3.2
Estève,DEF,4.0,93,88,85,89,3.6,2.3,2.7,3.6
De Ligt,DEF,5.0,84,81,77,76,3.0,3.1,3.9,2.1
Ødegaard,MID,7.9,28,58,68,65,1.6,2.9,4.2,3.4
Diakité,DEF,4.5,53,88,86,82,2.0,3.4,3.7,3.0
Gudmundsson,DEF,4.0,85,81,78,75,3.3,3.0,2.8,3.0
Strand Larsen,FWD,6.4,38,64,77,72,2.1,2.8,3.7,3.5
McGinn,MID,5.5,75,71,55,57,3.4,3.3,2.9,2.4
Szoboszlai,MID,6.5,61,53,57,57,3.4,2.7,2.7,3.3
P.M.Sarr,MID,5.0,69,68,67,63,2.9,3.4,2.9,2.8
Dunk,DEF,4.5,88,84,81,78,3.3,2.4,3.3,2.9
Elliott,MID,5.4,76,59,52,46,3.7,3.0,3.1,2.2
Xhaka,MID,5.0,87,81,82,82,3.1,2.9,2.8,3.2
Doku,MID,6.4,65,58,49,44,2.8,3.8,2.7,2.6
Amad,MID,6.3,75,67,60,55,3.3,3.1,3.3,2.2
Welbeck,FWD,6.3,58,55,53,51,3.3,2.6,3.0,2.9
Kilman,DEF,4.4,89,84,85,82,3.4,3.0,2.1,3.2
Calvert-Lewin,FWD,5.5,56,54,53,52,3.0,3.0,2.9,2.8
Muniz,FWD,5.5,67,58,56,56,3.7,2.8,2.7,2.5
Ekdal,DEF,4.0,87,88,79,81,3.4,2.3,2.5,3.4
Richarlison,FWD,6.7,63,57,39,33,3.4,3.8,2.4,2.1
