name,position,cost,xmins_gw7,xmins_gw8,xmins_gw9,xmins_gw10,xpts_gw7,xpts_gw8,xpts_gw9,xpts_gw10
M.Salah,MID,14.5,87,86,85,81,5.3,6.7,5.9,6.2
Haaland,FWD,14.4,87,82,78,76,6.0,6.1,4.9,5.5
Gyökeres,FWD,9.0,79,81,75,77,6.3,4.8,5.0,5.3
B.Fernandes,MID,9.0,89,88,84,85,6.6,4.2,5.3,5.0
Saka,MID,9.8,80,78,76,76,5.7,4.3,4.6,4.6
Isak,FWD,10.6,74,79,77,75,3.7,4.9,4.4,4.5
Cunha,MID,8.0,80,80,78,80,5.5,3.5,4.5,4.2
Mateta,FWD,7.5,81,77,80,75,4.4,4.6,3.4,4.9
Semenyo,MID,7.8,90,80,83,85,5.1,3.8,4.9,3.5
Gordon,MID,7.4,73,70,69,66,4.9,3.7,4.5,4.1
Mbeumo,MID,8.1,79,81,81,78,5.1,3.4,4.5,4.0
Watkins,FWD,8.7,81,84,81,77,5.2,4.1,3.9,3.3
Enzo,MID,6.7,90,87,83,80,4.2,4.2,4.7,3.4
Ndiaye,MID,6.5,80,80,76,74,4.3,3.5,4.4,4.3
Minteh,MID,5.9,82,75,76,75,4.4,3.9,3.7,4.4
João Pedro,FWD,7.7,77,80,76,72,3.9,4.1,4.8,3.5
Gabriel,DEF,6.2,63,87,80,83,3.7,4.2,4.0,4.4
Eze,MID,7.6,63,61,66,64,4.6,3.5,4.0,4.1
Raya,GKP,5.6,92,92,88,91,4.3,3.9,3.9,4.0
J.Timber,DEF,5.8,82,76,68,64,5.2,3.7,3.7,3.6
Sarr,MID,6.4,85,85,84,79,4.1,4.4,3.2,4.5
Evanilson,FWD,7.0,83,81,78,80,4.5,3.7,4.5,3.4
Rice,MID,6.5,84,81,75,77,4.7,3.8,3.7,3.8
Ødegaard,MID,7.9,74,73,72,69,4.7,3.6,3.8,3.8
Saliba,DEF,6.0,91,87,84,77,4.6,3.8,3.8,3.7
Virgil,DEF,6.1,91,86,85,85,3.7,4.1,3.9,4.2
Calafiori,DEF,5.7,71,64,58,55,5.1,3.6,3.5,3.4
Woltemade,FWD,7.1,80,75,72,66,4.4,3.5,3.9,3.6
Muñoz,DEF,5.6,91,88,83,82,4.1,4.3,2.6,4.4
Georginio,MID,5.8,73,67,64,65,4.2,3.7,3.3,4.1
P. Neto,MID,7.0,78,72,67,65,3.8,3.7,4.4,3.3
Foden,MID,8.1,72,65,57,53,4.4,4.3,3.2,3.3
Bowen,FWD,7.7,90,87,86,87,3.1,4.4,3.8,3.8
Calvert-Lewin,FWD,5.5,77,69,65,66,4.3,3.7,4.1,3.1
Donnarumma,GKP,5.6,94,92,91,94,3.7,4.0,3.6,3.9
Kudus,MID,6.7,80,81,72,74,4.0,4.2,3.4,3.5
E. Anderson,MID,5.4,87,80,81,80,3.8,3.7,3.7,3.9
Mitoma,MID,6.4,55,82,78,77,2.9,4.0,3.6,4.4
Bruno G.,MID,6.5,89,86,85,79,4.1,3.4,3.8,3.6
Reijnders,MID,5.8,79,73,70,71,4.0,3.9,3.3,3.6
Gakpo,MID,7.5,70,63,59,62,3.5,4.0,3.4,3.8
Šeško,FWD,7.3,78,74,75,72,4.5,3.0,3.8,3.5
Gvardiol,DEF,5.8,84,80,77,77,3.7,4.1,3.3,3.6
Tarkowski,DEF,5.5,92,88,85,86,3.9,2.8,3.8,4.3
Andersen,DEF,4.5,91,89,88,84,3.7,3.3,3.3,4.4
Lacroix,DEF,5.1,91,87,86,84,3.9,3.9,2.8,3.9
Stach,MID,5.0,85,84,86,78,3.7,3.6,4.1,3.1
Senesi,DEF,4.9,90,87,86,83,4.3,3.4,4.1,2.7
Mamardashvili,GKP,4.3,94,93,92,91,3.3,3.7,3.6,3.8
Caicedo,MID,5.7,90,88,84,86,3.5,3.6,3.8,3.5
Rodrigo,MID,6.4,83,83,82,80,3.7,3.7,3.4,3.6
Schade,MID,7.0,73,73,74,68,3.5,4.1,3.5,3.2
Tonali,MID,5.4,86,86,83,85,3.8,3.3,3.6,3.6
Joelinton,MID,5.9,79,80,77,76,3.9,3.3,3.6,3.5
Anthony,MID,5.7,81,78,71,78,3.5,4.1,3.5,3.1
Thiago,FWD,6.0,75,69,67,68,3.7,3.9,3.3,3.3
Pope,GKP,5.1,93,91,88,87,3.8,3.3,3.6,3.5
Yeremy,MID,5.9,77,74,73,69,3.7,3.9,2.8,3.8
Cucurella,DEF,6.1,86,82,76,74,3.1,3.5,4.5,3.0
Rogers,MID,6.9,86,81,77,75,4.5,3.5,3.2,2.8
Damsgaard,MID,5.8,81,79,79,76,3.5,3.9,3.3,3.3
Hall,DEF,5.3,67,81,82,80,3.2,3.0,4.0,3.8
Trippier,DEF,5.0,72,72,69,70,3.8,2.9,3.6,3.6
Verbruggen,GKP,4.4,94,93,90,93,3.6,3.4,3.0,3.8
Xavi,MID,7.1,75,71,66,64,3.8,3.7,3.2,3.1
Guéhi,DEF,4.8,90,90,88,87,3.6,3.8,2.6,3.8
L.Paquetá,MID,5.9,86,78,79,74,3.2,3.8,3.5,3.3
Schär,DEF,5.4,76,74,75,70,3.7,2.9,3.7,3.4
Konaté,DEF,5.5,87,79,77,73,3.3,3.6,3.4,3.5
Pickford,GKP,5.5,94,92,91,92,3.6,2.8,3.5,3.8
Burn,DEF,5.0,81,78,76,73,3.8,3.0,3.6,3.4
Richards,DEF,4.5,85,83,79,80,3.7,3.7,2.6,3.7
Wirtz,MID,8.2,56,54,61,62,2.9,3.5,3.5,3.8
Petrović,GKP,4.5,94,93,91,93,3.8,3.3,3.6,2.9
D. Henderson,GKP,5.0,93,93,92,90,3.5,3.6,2.9,3.6
J.Arias,MID,5.2,72,68,67,68,3.5,3.4,3.7,3.0
O.Dango,MID,6.0,74,72,72,68,3.4,3.8,3.3,3.1
Van Hecke,DEF,4.4,91,86,83,78,3.9,3.2,2.8,3.6
Pedro Porro,DEF,5.6,78,76,76,75,3.5,3.6,3.2,3.1
Vicario,GKP,5.1,94,92,89,89,3.5,3.5,3.2,3.2
Mac Allister,MID,6.3,72,66,67,67,3.3,3.5,3.3,3.4
Estève,DEF,4.0,93,91,88,83,3.2,3.9,3.7,2.6
Bogle,DEF,4.5,89,85,80,81,3.5,3.5,3.9,2.4
Dunk,DEF,4.5,90,81,83,78,3.8,3.0,2.8,3.6
Leno,GKP,5.0,93,92,91,91,3.2,3.1,3.1,3.9
Rodon,DEF,4.0,90,88,83,84,3.4,3.5,3.6,2.7
