name,position,cost,xmins_gw8,xmins_gw9,xmins_gw10,xmins_gw11,xpts_gw8,xpts_gw9,xpts_gw10,xpts_gw11
M.Salah,MID,14.4,87,86,81,80,6.6,5.8,6.0,4.4
Haaland,FWD,14.6,86,83,80,78,6.4,5.1,5.7,4.9
Saka,MID,9.9,84,82,75,76,5.5,5.7,5.4,5.5
Gyökeres,FWD,9.1,82,80,72,65,5.0,5.2,4.9,4.6
João Pedro,FWD,7.6,84,82,80,74,4.6,5.4,4.0,4.8
B.Fernandes,MID,9.0,87,86,89,81,4.0,5.2,5.0,4.3
Gabriel,DEF,6.3,89,83,83,84,4.5,4.3,4.4,4.7
Semenyo,MID,8.0,89,88,83,85,4.4,5.7,3.7,4.2
Eze,MID,7.6,71,68,72,71,4.2,4.3,4.6,4.7
J.Timber,DEF,5.9,84,79,77,73,4.5,4.3,4.4,4.4
Enzo,MID,6.7,55,82,79,81,2.9,5.4,3.9,5.2
Isak,FWD,10.6,72,75,77,69,4.7,4.4,4.7,3.5
Sarr,MID,6.5,87,82,82,78,4.7,3.1,4.8,4.3
Mateta,FWD,7.5,82,79,73,76,4.7,3.2,4.6,4.4
Watkins,FWD,8.6,85,83,79,84,4.3,4.2,3.4,4.8
Gordon,MID,7.4,74,71,70,66,3.9,4.6,4.2,3.8
Kudus,MID,6.8,85,81,77,74,4.5,4.0,3.8,4.2
Raya,GKP,5.7,93,92,91,89,4.1,4.1,4.1,4.1
Saliba,DEF,6.0,88,84,83,82,4.1,3.9,4.0,4.2
Virgil,DEF,6.1,90,88,81,87,4.5,4.1,4.1,3.5
Ndiaye,MID,6.5,83,73,79,74,3.5,4.1,4.4,4.3
Bowen,FWD,7.8,90,89,85,81,4.3,3.7,3.7,4.3
Rice,MID,6.5,85,80,78,78,4.1,4.0,4.0,4.0
Evanilson,FWD,7.0,87,80,79,78,4.0,4.8,3.4,3.7
P. Neto,MID,7.0,55,72,67,74,3.0,4.7,3.4,4.6
Calvert-Lewin,FWD,5.5,77,72,67,68,4.3,4.5,3.2,3.6
Schade,MID,7.0,79,73,74,73,4.4,3.5,3.5,3.9
L.Paquetá,MID,5.9,83,83,79,77,4.1,3.7,3.5,4.1
Tarkowski,DEF,5.5,91,87,86,87,3.0,3.8,4.3,4.2
Cucurella,DEF,6.1,83,80,80,73,3.7,4.6,3.1,4.0
Calafiori,DEF,5.7,66,61,58,59,3.9,3.8,3.7,3.9
