name,position,cost,xmins_gw8,xmins_gw9,xmins_gw10,xmins_gw11,xpts_gw8,xpts_gw9,xpts_gw10,xpts_gw11
Gakpo,MID,7.5,66,63,67,61,4.3,3.8,4.2,3.0
Estêvão,MID,6.5,59,66,63,60,3.4,4.4,3.3,3.9
Woltemade,FWD,7.3,83,79,69,58,3.9,4.4,3.8,3.0
Georginio,MID,5.7,78,72,65,61,4.1,3.7,4.1,3.1
Mbeumo,MID,8.0,86,77,75,71,3.5,4.2,3.9,3.4
Minteh,MID,6.0,86,78,77,72,4.0,3.6,4.1,3.3
Trippier,DEF,5.0,79,77,76,73,3.3,4.3,3.9,3.4
Thiago,FWD,6.1,70,69,72,72,4.0,3.5,3.5,3.9
Šeško,FWD,7.3,80,78,77,75,3.3,4.1,3.8,3.5
Foden,MID,8.1,68,61,61,56,4.5,3.4,3.8,3.1
Stach,MID,5.0,83,80,77,75,3.9,4.1,3.3,3.4
Donnarumma,GKP,5.7,92,93,92,91,4.0,3.6,3.8,3.3
Caicedo,MID,5.8,69,90,87,87,2.9,4.2,3.5,3.9
Andersen,DEF,4.5,93,88,89,85,3.2,3.2,4.5,3.6
Mamardashvili,GKP,4.3,93,93,93,89,3.8,3.7,3.9,3.0
Reijnders,MID,5.8,81,78,76,71,4.2,3.4,3.7,3.1
Pope,GKP,5.1,94,89,89,87,3.5,3.8,3.6,3.4
Damsgaard,MID,5.8,82,82,78,79,3.9,3.4,3.3,3.5
E. Anderson,MID,5.4,83,79,83,77,3.5,3.3,3.7,3.6
Szoboszlai,MID,6.5,67,64,64,63,4.0,3.5,3.7,2.9
Senesi,DEF,5.0,87,82,83,83,3.5,4.2,2.9,3.5
E.Le Fée,MID,4.9,82,77,76,74,4.1,3.2,3.8,3.0
Wirtz,MID,8.1,67,58,58,53,4.3,3.5,3.6,2.6
Yeremy,MID,5.9,77,77,71,74,3.9,2.8,3.8,3.6
Tonali,MID,5.4,86,84,83,81,3.3,3.7,3.6,3.3
Gvardiol,DEF,5.9,82,81,75,71,4.3,3.5,3.5,2.7
Muñoz,DEF,5.6,89,88,79,71,4.1,2.4,4.1,3.3
Sánchez,GKP,4.9,85,88,82,84,3.3,4.0,2.9,3.7
Bruno G.,MID,6.5,90,82,82,80,3.5,3.7,3.5,3.2
Dewsbury-Hall,MID,5.0,88,82,79,80,3.1,3.6,3.5,3.7
Burn,DEF,5.1,90,92,85,76,3.1,4.2,3.7,2.9
Lacroix,DEF,5.1,89,84,84,80,3.9,2.6,3.9,3.5
Xavi,MID,7.0,71,69,65,62,3.8,3.4,3.3,3.4
Vicario,GKP,5.1,94,92,93,90,3.6,3.5,3.3,3.4
J.Arias,MID,5.2,75,70,67,68,3.9,4.0,3.1,2.8
Konaté,DEF,5.5,74,81,77,74,3.6,3.7,3.7,2.8
Garnacho,MID,6.4,63,50,52,53,3.6,3.6,2.9,3.7
Guéhi,DEF,4.9,91,87,88,87,3.8,2.5,3.9,3.5
Pickford,GKP,5.5,93,92,93,89,2.9,3.5,3.8,3.6
Richards,DEF,4.5,88,86,83,79,3.9,2.6,3.8,3.4
Strand Larsen,FWD,6.4,66,74,71,69,3.4,4.1,3.3,2.9
D. Henderson,GKP,5.0,93,92,93,92,3.6,2.8,3.7,3.5
Rogers,MID,6.9,85,81,82,79,3.5,3.4,2.9,3.7
Zubimendi,MID,5.5,86,83,81,77,3.4,3.4,3.4,3.3
Rodon,DEF,4.1,92,85,82,84,3.8,3.8,2.7,3.2
Pedro Porro,DEF,5.6,76,77,70,69,3.6,3.5,3.0,3.3
Gibbs-White,MID,7.4,71,73,68,69,3.2,3.1,3.4,3.6
Verbruggen,GKP,4.4,94,92,90,92,3.4,3.1,3.7,3.1
Petrović,GKP,4.5,93,93,95,90,3.3,3.8,3.0,3.3
Bogle,DEF,4.5,84,84,82,82,3.6,4.1,2.6,3.0
Areola,GKP,4.3,89,90,89,92,3.4,3.1,3.1,3.7
Cunha,MID,8.0,48,57,72,67,2.3,3.5,4.0,3.5
Estève,DEF,4.0,92,91,87,86,3.7,3.6,2.5,3.4
Joelinton,MID,5.9,50,76,76,78,2.2,3.8,3.7,3.5
Van Hecke,DEF,4.4,91,88,82,84,3.4,3.1,3.7,3.0
Kluivert,MID,7.0,62,63,61,54,3.2,4.2,2.8,2.9
Mitoma,MID,6.3,36,83,82,78,1.8,3.6,4.2,3.4
Leno,GKP,5.0,93,93,93,92,2.9,3.0,3.8,3.3
O.Dango,MID,6.0,71,65,65,63,3.7,3.0,3.0,3.2
Roefs,GKP,4.6,92,92,91,92,3.7,2.9,3.5,2.9
Gravenberch,MID,5.7,84,82,78,78,3.6,3.3,3.3,2.9
Mitchell,DEF,5.0,83,80,82,79,3.6,2.2,3.8,3.4
Kilman,DEF,4.4,91,88,84,80,3.4,3.2,2.8,3.5
Chalobah,DEF,5.1,74,64,65,58,3.4,3.7,2.7,3.2
Ayari,MID,4.9,84,78,75,73,3.4,3.1,3.4,2.9
Dúbravka,GKP,4.0,93,93,90,92,3.5,3.4,2.7,3.3
Tavernier,MID,5.5,69,67,60,58,3.3,4.0,2.6,2.9
Kelleher,GKP,4.5,94,93,93,94,3.5,2.9,3.1,3.3
Iwobi,MID,6.5,80,77,75,72,3.0,3.0,3.8,3.1
Sels,GKP,4.9,93,91,91,92,3.1,2.9,3.2,3.6
E. Martinez,GKP,5.0,94,92,90,92,3.3,3.2,2.8,3.6
Gudmundsson,DEF,4.0,82,81,79,77,3.5,3.9,2.5,2.9
Collins,DEF,4.9,89,90,81,83,3.8,2.9,2.9,3.2
Ekdal,DEF,4.0,88,85,85,83,3.6,3.4,2.4,3.3
Gomes,MID,5.4,89,86,77,72,3.6,3.6,2.9,2.6
Romero,DEF,5.1,89,86,77,75,3.5,3.4,2.8,3.0
Murillo,DEF,5.4,75,87,81,83,2.7,3.0,3.2,3.7
J. O'Brien,DEF,5.0,89,84,87,82,2.3,3.1,3.7,3.5
Mykolenko,DEF,4.9,90,83,80,82,2.3,3.2,3.5,3.6
Lammens,GKP,5.0,91,90,91,87,3.0,3.3,3.3,3.0
H. Wilson,MID,5.3,73,66,61,49,3.3,3.1,3.6,2.5
Anthony,MID,5.7,67,71,64,66,3.4,3.4,2.6,3.2
Mac Allister,MID,6.3,50,73,68,73,2.6,3.4,3.4,3.0
Diouf,DEF,4.4,87,85,85,80,3.3,2.8,2.7,3.6
Ampadu,MID,4.9,88,86,82,81,3.2,3.3,2.8,2.9
Van den Berg,DEF,4.5,92,85,86,82,3.7,2.6,2.9,3.0
Garner,MID,5.0,82,78,75,74,2.9,3.1,3.1,3.1
Van de Ven,DEF,4.8,90,87,81,81,3.3,3.1,2.7,3.0
Truffert,DEF,4.5,87,85,85,84,3.0,4.0,2.3,2.9
Diakité,DEF,4.5,88,86,83,83,3.0,3.8,2.4,2.9
Milenković,DEF,5.3,89,88,86,83,2.9,2.7,3.1,3.4
Mavropanos,DEF,4.4,80,73,71,74,3.2,2.8,2.6,3.5
Wharton,MID,5.0,76,75,71,73,3.2,2.7,3.1,3.0
Branthwaite,DEF,5.3,30,86,86,81,0.9,3.5,3.9,3.7
R. James,DEF,5.4,61,53,50,54,3.0,3.4,2.2,3.3
J.Palhinha,MID,5.5,79,78,73,70,3.2,3.0,2.8,2.8
Xhaka,MID,5.0,91,87,80,73,3.4,2.9,3.0,2.4
Dunk,DEF,4.5,87,83,77,73,3.2,2.7,3.4,2.5
Ndoye,MID,5.9,67,65,66,67,2.8,2.6,3.1,3.2
Gana,MID,5.4,82,77,73,74,2.9,3.0,3.0,3.0
Cash,DEF,4.6,85,84,78,76,3.2,3.0,2.2,3.4
Krejčí,DEF,4.5,89,82,78,71,3.6,3.7,2.7,1.8
Wan-Bissaka,DEF,4.3,81,78,79,75,3.1,2.7,2.6,3.3
Mukiele,DEF,4.0,88,85,79,78,3.9,2.4,3.3,2.2
Struijk,DEF,4.5,76,72,74,67,3.2,3.4,2.5,2.6
Wood,FWD,7.3,47,50,53,56,2.5,2.6,3.1,3.3
Alderete,DEF,4.1,64,86,83,86,3.0,2.5,3.6,2.5
C. Wilson,FWD,5.9,64,62,58,50,3.2,2.8,2.7,2.8
Bassey,DEF,4.5,91,85,87,86,2.4,2.4,3.6,2.9
M.Fernandes,MID,5.5,68,68,66,68,2.9,2.7,2.7,3.1
Trossard,MID,6.9,45,43,44,37,2.9,2.8,3.0,2.6
Rúben,DEF,5.5,77,74,67,62,3.6,2.8,2.8,2.1
Kamara,MID,4.9,78,81,81,75,2.8,2.8,2.7,2.8
Cullen,MID,5.0,81,72,71,72,3.1,2.8,2.5,2.8
J. King,MID,4.5,71,68,62,60,2.7,2.7,3.1,2.6
Thiaw,DEF,4.9,73,69,64,63,2.7,3.2,2.8,2.5
Elanga,MID,6.8,52,56,50,44,2.6,3.3,2.8,2.4
Welbeck,FWD,6.3,55,49,43,48,3.1,2.6,2.8,2.5
Florentino,MID,5.0,77,78,75,73,2.9,2.9,2.6,2.7
Kayode,DEF,4.5,86,81,82,81,3.4,2.3,2.6,2.9
De Ligt,DEF,5.0,89,84,77,76,2.3,3.2,2.9,2.6
Summerville,MID,5.5,53,58,57,57,2.7,2.6,2.6,3.1
Konsa,DEF,4.5,92,89,88,87,2.9,2.7,2.0,3.2
Marmoush,MID,8.3,26,34,49,46,2.0,2.3,3.6,3.0
Grealish,MID,6.9,0,77,77,76,0.0,3.6,3.6,3.7
Hartman,DEF,4.0,78,76,74,69,3.3,2.9,1.9,2.7
Wieffer,MID,4.9,75,65,55,52,3.2,2.8,2.6,2.2
Amad,MID,6.3,71,64,58,59,2.7,2.9,2.6,2.5
Doku,MID,6.6,56,50,49,43,3.2,2.5,2.8,2.2
S.Bueno,DEF,4.4,75,73,71,66,3.1,3.2,2.5,1.8
Yarmoliuk,MID,5.0,77,73,73,71,2.9,2.5,2.6,2.6
Botman,DEF,4.9,67,56,57,57,2.7,2.8,2.7,2.4
H.Bueno,DEF,4.4,70,68,68,64,3.1,3.3,2.5,1.7
Munetsi,MID,5.4,72,64,62,66,3.0,2.9,2.4,2.3
Johnstone,GKP,4.5,79,76,70,68,3.0,3.1,2.5,2.1
Okafor,MID,5.5,41,62,53,54,2.1,3.5,2.4,2.6
Zinchenko,DEF,4.9,77,74,73,72,2.5,2.2,2.7,3.1
Walker,DEF,4.4,88,87,82,84,3.2,2.8,1.8,2.7
Hume,DEF,4.5,85,77,73,73,3.7,2.0,2.9,1.9
Berge,MID,4.9,86,85,79,74,2.6,2.6,2.8,2.4
N.Williams,DEF,4.8,91,63,67,63,3.0,2.0,2.6,2.8
Fofana,DEF,4.4,40,63,58,63,1.7,3.3,2.2,3.1
Frimpong,DEF,5.8,36,48,66,64,2.0,2.4,3.5,2.4
Aït-Nouri,DEF,5.8,27,56,66,69,1.5,2.5,3.4,2.8
Ekitiké,FWD,8.7,38,39,39,43,2.7,2.5,2.7,2.3
Kerkez,DEF,5.8,61,56,56,56,2.9,2.5,2.8,1.9
Longstaff,MID,4.9,70,67,64,65,2.7,2.8,2.2,2.4
Tosin,DEF,4.4,62,49,53,51,2.7,2.6,2.1,2.7
André,MID,5.4,69,69,69,66,2.6,2.7,2.5,2.3
J. Henderson,MID,5.0,71,70,71,70,2.7,2.4,2.5,2.5
Foster,FWD,5.0,40,62,59,58,2.1,2.8,2.3,2.7
Kamada,MID,5.0,56,54,54,55,2.7,2.0,2.7,2.6
Adams,MID,5.0,78,71,60,59,2.9,2.8,2.1,2.2
Bentancur,MID,5.3,70,61,66,59,2.7,2.3,2.5,2.3
McGinn,MID,5.4,57,57,63,56,2.4,2.4,2.4,2.7
Scott,MID,5.0,61,57,53,49,2.6,2.9,2.1,2.2
Casemiro,MID,5.5,50,58,63,56,2.0,2.6,2.8,2.4
D. Gomez,MID,4.9,46,56,57,46,2.1,2.6,2.9,2.1
Digne,DEF,4.5,66,63,65,64,2.6,2.4,1.8,3.0
Bernardo,MID,6.3,63,58,48,48,3.0,2.4,2.3,2.0
Sessegnon,MID,5.4,71,67,56,43,2.7,2.6,2.5,1.9
Merino,MID,5.9,41,43,46,43,2.2,2.4,2.6,2.5
Beto,FWD,5.3,50,47,45,48,2.1,2.5,2.4,2.6
Schär,DEF,5.4,49,51,57,53,2.0,2.6,2.8,2.3
Talbi,MID,5.0,63,58,57,54,3.0,2.2,2.5,2.0
Barry,FWD,5.7,50,51,47,48,2.1,2.6,2.4,2.5
Souček,MID,5.7,55,56,55,58,2.4,2.2,2.3,2.7
Richarlison,FWD,6.7,52,52,35,25,3.0,2.8,2.0,1.7
Tchatchoua,DEF,4.5,74,67,65,56,2.9,3.0,2.1,1.3
Malen,MID,5.1,51,49,48,33,2.6,2.5,2.2,2.0
Sadiki,MID,5.0,59,87,80,76,2.0,2.5,2.6,2.2
Douglas Luiz,MID,5.0,58,58,58,51,2.3,2.3,2.4,2.2
Udogie,DEF,4.4,61,61,59,57,2.5,2.3,2.1,2.3
Bakwa,MID,6.0,49,49,51,52,2.2,2.1,2.4,2.5
Kevin,MID,6.0,60,52,44,41,2.4,2.3,2.4,1.9
Odobert,MID,5.3,50,47,41,35,2.6,2.3,2.1,2.0
Matheus N.,DEF,5.3,56,45,51,50,2.9,1.9,2.4,1.8
Yoro,DEF,4.5,76,75,66,64,1.8,2.7,2.4,2.0
Baleba,MID,4.8,67,61,54,46,2.6,2.3,2.3,1.8
Tete,DEF,4.5,21,38,76,77,0.7,1.3,3.8,3.1
Raúl,FWD,6.2,20,42,60,42,1.0,2.0,3.7,2.2
Igor Jesus,FWD,5.8,48,45,38,43,2.3,2.1,2.1,2.3
Amadou Onana,MID,4.8,41,57,67,65,1.6,2.2,2.4,2.6
Aaronson,MID,5.4,70,47,31,30,3.3,2.5,1.5,1.5
Laurent,MID,4.9,56,60,62,62,2.1,2.2,2.1,2.3
Hee Chan,MID,5.9,29,44,42,47,1.7,2.7,2.1,2.1
Bruun Larsen,MID,5.3,46,41,45,40,2.5,2.1,1.9,2.1
O’Reilly,DEF,4.9,69,50,28,31,3.7,2.2,1.4,1.3
N.Gonzalez,MID,5.9,69,62,51,34,2.8,2.3,2.1,1.3
Dalot,DEF,4.4,62,60,63,65,1.5,2.4,2.4,2.2
Tchaouna,MID,4.9,43,38,40,41,2.4,2.0,1.8,2.2
Isidor,FWD,5.6,50,41,41,42,2.7,1.8,2.2,1.8
De Cuyper,DEF,4.4,51,48,45,47,2.3,1.8,2.3,1.8
F.Kadıoğlu,DEF,4.4,56,49,53,51,2.2,1.7,2.5,1.8
S.Magassa,MID,5.0,54,52,56,56,2.0,1.9,2.1,2.2
Martinelli,MID,6.9,30,32,33,32,1.8,2.1,2.2,2.1
Adingra,MID,5.2,51,46,49,42,2.5,1.8,2.2,1.7
Perri,GKP,4.5,0,44,91,91,0.0,1.8,3.1,3.2
Cairney,MID,4.9,66,60,39,31,2.5,2.3,1.9,1.4
Andrey Santos,MID,4.5,50,39,40,39,2.2,2.0,1.7,2.0
Hudson-Odoi,MID,5.9,44,39,40,41,2.0,1.8,2.0,2.1
Smith Rowe,MID,5.7,51,47,37,33,2.2,2.1,2.0,1.6
J.Murphy,MID,6.2,36,37,33,37,1.8,2.2,1.9,1.9
Bradley,DEF,5.0,57,38,34,33,2.9,1.8,1.8,1.2
Shaw,DEF,4.5,74,68,60,52,1.6,2.4,2.1,1.6
Tel,MID,6.3,35,36,23,19,2.4,2.2,1.5,1.4
Savinho,MID,6.9,37,29,30,29,2.4,1.6,1.9,1.6
Guessand,MID,6.3,34,33,36,36,1.8,1.8,1.7,2.2
Gusto,DEF,4.9,36,35,41,42,1.6,2.0,1.6,2.3
Rigg,MID,4.8,47,43,44,48,2.1,1.6,1.9,1.7
Cherki,MID,6.3,14,28,36,37,1.0,1.7,2.4,2.2
Tolu,FWD,5.5,44,32,33,33,2.3,1.9,1.6,1.5
Dorgu,DEF,4.4,49,49,52,44,1.3,2.1,2.1,1.6
Mount,MID,5.9,42,37,33,35,1.8,1.9,1.7,1.7
Ugochukwu,MID,5.0,48,47,47,49,1.9,1.8,1.6,1.8
P.M.Sarr,MID,5.0,41,44,36,32,1.9,1.9,1.6,1.6
H. Barnes,MID,6.4,32,33,29,24,1.8,2.1,1.8,1.4
Agbadou,DEF,4.4,43,43,43,49,1.9,2.0,1.7,1.4
Spence,DEF,4.5,44,43,46,47,1.8,1.7,1.6,1.9
Hickey,DEF,4.0,41,62,58,59,1.5,1.7,1.8,2.0
Smith,DEF,4.4,28,48,68,65,1.0,2.0,1.8,2.2
Morato,DEF,4.4,49,43,49,54,1.6,1.4,1.8,2.2
D. James,MID,5.3,0,26,55,53,0.0,1.7,2.5,2.7
Adli,MID,5.5,36,34,32,28,1.8,2.1,1.5,1.4
Nketiah,FWD,5.4,24,30,33,34,1.5,1.3,2.0,2.0
Gittens,MID,6.2,33,20,23,25,2.0,1.5,1.4,1.8
Cook,MID,4.9,35,38,47,47,1.4,1.6,1.8,1.8
Pau,DEF,4.4,82,50,33,37,2.7,1.6,0.9,1.4
Buendía,MID,5.3,42,30,33,29,2.0,1.5,1.5,1.6
Robertson,DEF,5.8,32,37,37,36,1.6,1.7,1.9,1.4
Christie,MID,5.0,30,35,37,39,1.4,1.8,1.6,1.7
Reinildo,DEF,4.0,0,74,74,72,0.0,1.8,2.8,1.8
Bellegarde,MID,5.3,25,35,39,40,1.2,1.8,1.7,1.6
Traoré,MID,5.5,32,32,30,32,1.8,1.5,1.6,1.4
Hughes,MID,4.9,34,40,39,41,1.5,1.4,1.7,1.7
Sancho,MID,5.9,15,28,43,39,0.8,1.4,1.9,2.1
Lewis-Potter,DEF,5.0,42,38,34,39,1.8,1.4,1.3,1.7
Rodrigo,MID,6.4,0,13,55,79,0.0,0.6,2.4,3.1
Mings,DEF,4.5,6,40,68,65,0.2,1.4,1.8,2.7
Bergvall,MID,5.4,39,36,34,30,1.7,1.5,1.5,1.4
Toti,DEF,4.3,40,39,42,41,1.7,1.7,1.5,1.1
Brobbey,FWD,5.5,34,29,28,31,1.8,1.3,1.5,1.3
Kolo Muani,FWD,6.9,14,24,31,25,1.0,1.4,1.8,1.6
Castagne,DEF,4.4,73,62,19,16,2.2,2.0,0.9,0.6
Tzimas,FWD,5.3,27,22,21,22,1.7,1.4,1.5,1.3
Alcaraz,MID,5.2,54,20,23,23,2.1,1.1,1.2,1.3
Darlow,GKP,4.0,92,47,3,2,3.5,1.9,0.1,0.1
Broja,FWD,5.3,25,22,32,23,1.5,1.3,1.5,1.3
Tanaka,MID,4.8,28,36,36,39,1.2,1.6,1.3,1.5
Bobb,MID,5.5,29,24,18,24,1.7,1.3,1.1,1.3
Mayenda,FWD,5.5,25,30,25,29,1.5,1.4,1.4,1.3
J.Ramsey,MID,5.3,31,26,24,23,1.5,1.4,1.3,1.2
Ugarte,MID,4.8,37,34,31,36,1.4,1.4,1.3,1.4
Gruda,MID,5.4,0,15,40,45,0.0,0.8,2.4,2.2
Dibling,MID,5.5,37,23,20,28,1.5,1.2,1.1,1.5
Neil,MID,4.8,39,34,35,42,1.5,1.2,1.3,1.4
Nwaneri,MID,5.2,18,23,21,26,1.1,1.4,1.3,1.6
Masuaku,DEF,3.9,71,22,15,20,3.2,0.7,0.7,0.7
Buonanotte,MID,4.8,25,17,19,20,1.5,1.2,1.1,1.4
J. Harrison,MID,5.2,54,21,11,12,2.7,1.3,0.6,0.7
Adama,MID,5.2,39,32,19,16,1.7,1.5,1.1,0.8
Ajer,DEF,4.4,29,31,37,40,1.2,1.0,1.3,1.5
C.Jones,MID,5.4,26,21,21,25,1.4,1.1,1.2,1.2
Hannibal,MID,4.9,23,26,25,29,1.2,1.3,1.1,1.4
Solanke,FWD,7.2,0,1,22,52,0.0,0.1,1.4,3.3
Maatsen,DEF,4.3,27,32,28,34,1.0,1.2,0.8,1.5
Bogarde,DEF,4.0,49,44,29,29,1.5,1.3,0.7,1.1
Bijol,DEF,3.9,18,25,34,34,0.7,1.2,1.2,1.4
A.Jimenez,DEF,4.5,43,29,20,19,1.6,1.4,0.7,0.8
Fer López,MID,5.3,25,17,22,20,1.4,1.0,1.1,1.0
B. Johnson,MID,6.8,23,20,18,10,1.5,1.2,1.1,0.7
Lewis,DEF,5.0,26,28,24,25,1.3,1.1,1.1,1.0
Elliott,MID,5.4,22,25,0,35,1.2,1.3,0.0,1.9
Flemming,FWD,5.3,26,15,13,19,1.6,0.9,0.7,1.2
Mainoo,MID,4.8,25,26,25,27,1.0,1.2,1.1,1.1
Nmecha,FWD,5.0,18,19,15,19,1.1,1.3,0.9,1.1
Igor,DEF,4.5,24,28,34,34,0.9,1.0,1.1,1.4
Piroe,FWD,5.1,15,19,15,21,0.9,1.3,0.9,1.2
Lerma,MID,4.9,21,23,28,27,0.9,0.9,1.2,1.1
Lavia,MID,4.9,34,21,29,21,1.3,0.9,1.1,0.9
Röhl,MID,5.0,7,22,25,29,0.3,1.1,1.3,1.4
Todibo,DEF,4.3,23,25,30,29,0.9,0.9,1.1,1.3
Muniz,FWD,5.4,0,0,27,53,0.0,0.0,1.6,2.5
Stones,DEF,5.5,24,25,22,26,1.1,1.0,1.0,1.0
B. White,DEF,5.4,12,18,25,23,0.5,0.9,1.3,1.3
Marc Guiu,FWD,4.3,15,14,14,14,1.0,1.1,0.9,1.1
Maguire,DEF,4.4,31,36,26,19,0.9,1.4,1.0,0.7
Nelson,MID,4.9,16,20,20,21,0.9,1.0,1.0,1.1
Mazraoui,DEF,4.9,12,31,30,29,0.4,1.3,1.2,1.1
George,MID,4.9,16,13,14,14,1.0,1.0,0.8,1.0
Jensen,MID,4.9,17,20,23,21,0.8,0.9,1.0,1.0
J.Cuenca,DEF,4.4,28,29,26,14,1.0,1.0,1.3,0.6
Wissa,FWD,7.4,0,0,20,48,0.0,0.0,1.2,2.6
Lewis-Skelly,DEF,5.2,16,18,20,20,0.8,0.9,1.1,1.1
Kulusevski,MID,6.4,0,1,24,49,0.0,0.1,1.2,2.5
Veltman,DEF,4.4,12,25,30,27,0.5,0.9,1.4,1.0
Lukić,MID,5.0,0,0,35,55,0.0,0.0,1.5,2.2
Carvalho,MID,4.9,10,14,16,21,0.7,0.8,0.9,1.3
Gnonto,MID,5.2,0,9,29,34,0.0,0.6,1.4,1.7
Ballard,DEF,4.6,33,20,19,23,1.6,0.6,0.8,0.7
Brooks,MID,5.0,0,6,33,36,0.0,0.4,1.5,1.7
Robinson,DEF,5.0,0,1,25,61,0.0,0.1,1.2,2.3
Khusanov,DEF,5.4,7,20,27,30,0.4,0.8,1.2,1.1
Hutchinson,MID,5.5,12,19,17,15,0.7,1.0,1.0,0.9
L.Guilherme,MID,4.9,14,16,20,17,0.8,0.8,1.0,0.9
Savona,DEF,4.5,11,30,26,28,0.4,0.9,1.0,1.2
C. Mosquera,DEF,5.4,13,16,16,30,0.5,0.7,0.7,1.5
Janelt,MID,4.9,16,20,21,23,0.7,0.9,0.9,1.0
Zirkzee,FWD,5.8,14,16,14,14,0.7,1.0,0.9,0.8
Doherty,DEF,4.4,17,22,23,25,0.7,1.0,0.9,0.8
Hato,DEF,4.8,12,18,19,25,0.5,0.9,0.7,1.3
Gannon-Doak,MID,4.9,13,19,14,15,0.7,1.2,0.7,0.8
Y. Mosquera,DEF,4.4,20,20,25,23,0.8,0.9,0.9,0.7
Justin,DEF,4.0,18,17,25,22,0.8,0.8,0.9,0.9
Kalimuendo,FWD,6.0,12,14,14,14,0.7,0.8,0.9,0.9
Kovačić,MID,5.9,26,21,12,11,1.2,0.9,0.6,0.5
Keane,DEF,4.5,41,12,17,15,1.3,0.5,0.8,0.7
J. Gomez,DEF,4.9,18,17,20,23,0.8,0.7,0.9,0.8
Kostoulas,FWD,4.8,21,14,8,9,1.2,0.8,0.6,0.6
Walker-Peters,DEF,4.4,18,22,20,25,0.7,0.7,0.6,1.1
Iroegbunam,MID,4.9,20,17,17,19,0.8,0.7,0.8,0.8
Watson,MID,4.9,24,8,10,7,1.4,0.6,0.7,0.5
Coppola,DEF,4.3,14,15,20,26,0.6,0.5,1.0,1.0
Dowman,MID,4.4,5,11,12,15,0.5,0.8,0.8,1.0
Chukwueze,MID,5.4,5,11,19,17,0.3,0.6,1.3,0.9
Nørgaard,MID,5.3,12,16,18,19,0.6,0.7,0.8,0.9
Potts,MID,4.4,18,17,19,21,0.7,0.7,0.8,0.9
José Sá,GKP,4.4,13,25,23,24,0.5,1.0,0.8,0.7
Krafth,DEF,4.4,16,20,18,17,0.6,0.9,0.7,0.7
Havertz,FWD,7.3,0,0,13,33,0.0,0.0,0.8,2.0
Hill,DEF,4.0,23,19,13,16,0.9,0.9,0.4,0.6
Clyne,DEF,3.9,10,13,20,24,0.4,0.4,0.9,1.0
Aké,DEF,5.4,19,16,15,15,0.9,0.6,0.7,0.6
L. Martinez,DEF,4.9,0,0,24,60,0.0,0.0,0.9,1.9
Gruev,MID,4.9,13,17,20,18,0.5,0.7,0.8,0.7
Onyeka,MID,4.9,12,16,18,17,0.6,0.7,0.7,0.7
Uche,FWD,5.5,7,12,14,12,0.5,0.6,0.9,0.7
Willock,MID,5.0,16,13,10,12,0.8,0.7,0.6,0.6
Sonne,DEF,3.9,13,13,17,22,0.6,0.6,0.5,0.9
Geertruida,DEF,4.5,23,14,18,21,1.0,0.4,0.7,0.6
Edwards,MID,4.8,11,12,11,11,0.7,0.7,0.6,0.6
