name,position,cost,xmins_gw6,xmins_gw7,xmins_gw8,xmins_gw9,xpts_gw6,xpts_gw7,xpts_gw8,xpts_gw9
Haaland,FWD,14.3,84,86,80,77,7.3,5.9,5.9,4.9
M.Salah,MID,14.5,88,84,80,81,5.8,5.1,6.3,5.7
B.Fernandes,MID,9.0,87,88,86,86,5.1,6.5,4.1,5.3
Gyökeres,FWD,9.0,81,81,71,64,4.7,6.5,4.4,4.5
Saka,MID,9.8,79,81,83,76,4.2,5.9,4.7,4.9
Semenyo,MID,7.7,88,83,80,76,4.8,4.9,3.9,4.7
Watkins,FWD,8.7,83,80,77,73,4.7,5.1,3.8,3.6
Cunha,MID,8.0,73,79,78,74,4.0,5.5,3.3,4.3
Evanilson,FWD,7.0,84,83,79,77,4.2,4.5,3.7,4.5
João Pedro,FWD,7.8,79,75,74,75,4.5,3.8,3.9,4.8
Isak,FWD,10.5,73,72,80,74,4.0,3.7,5.0,4.3
Foden,MID,8.1,73,72,63,51,5.5,4.4,4.1,2.9
Mbeumo,MID,8.1,81,79,80,78,4.2,5.1,3.3,4.3
Ndiaye,MID,6.5,73,76,80,69,4.9,4.4,3.6,4.0
Enzo,MID,6.7,86,85,82,80,4.5,3.9,3.9,4.4
Gabriel,DEF,6.1,91,84,86,81,3.9,4.7,4.0,4.1
P. Neto,MID,7.0,79,75,67,71,4.4,3.7,3.6,4.8
Kudus,MID,6.7,81,75,74,72,4.9,3.8,4.0,3.4
Virgil,DEF,6.1,89,88,83,82,4.2,3.8,4.1,4.0
Reijnders,MID,5.7,82,81,75,75,4.8,3.9,3.9,3.4
Senesi,DEF,4.8,90,88,84,81,4.2,4.3,3.5,4.0
Gvardiol,DEF,5.8,84,81,78,78,4.7,3.7,4.0,3.4
Rice,MID,6.5,86,80,81,80,3.7,4.4,3.7,4.0
E. Anderson,MID,5.5,88,84,82,78,4.8,3.7,3.7,3.6
Gakpo,MID,7.6,79,70,63,64,4.3,3.6,4.0,3.8
Raya,GKP,5.6,94,89,89,91,3.8,4.1,3.8,4.0
Saliba,DEF,6.0,93,89,86,82,3.7,4.4,3.7,3.7
Calafiori,DEF,5.7,77,69,67,58,3.7,4.7,3.6,3.5
Mitoma,MID,6.4,86,83,76,80,3.7,4.3,3.9,3.7
Schade,MID,7.0,75,71,67,73,4.2,3.6,3.9,3.6
Donnarumma,GKP,5.6,94,91,91,94,4.2,3.6,3.9,3.7
Tarkowski,DEF,5.5,92,88,88,85,4.7,4.0,2.9,3.7
Eze,MID,7.5,67,63,58,57,3.6,4.6,3.4,3.6
Georginio,MID,5.8,75,71,73,69,3.5,4.1,4.1,3.5
Mateta,FWD,7.6,73,72,69,71,4.0,3.8,4.2,3.2
Stach,MID,5.0,88,83,78,79,3.9,3.7,3.5,3.9
Xavi,MID,7.1,75,71,67,64,4.6,3.7,3.7,3.0
Ødegaard,MID,7.9,57,70,73,68,2.8,4.5,3.7,3.8
Gordon,MID,7.4,72,72,65,61,3.4,4.5,3.3,3.6
Calvert-Lewin,FWD,5.5,75,66,63,63,4.0,3.6,3.3,3.9
Damsgaard,MID,5.9,85,82,78,74,4.1,3.6,3.9,3.2
Rogers,MID,6.9,86,80,79,74,4.0,4.2,3.3,3.1
J.Timber,DEF,5.8,78,72,65,67,3.4,4.4,3.1,3.6
Šeško,FWD,7.3,75,73,68,71,3.7,4.4,2.8,3.7
Wirtz,MID,8.2,70,61,64,65,3.8,3.0,4.0,3.7
Petrović,GKP,4.5,93,91,92,92,3.7,3.7,3.3,3.7
Minteh,MID,5.9,70,76,68,68,3.2,4.2,3.6,3.4
Gibbs-White,MID,7.5,78,77,75,72,4.6,3.2,3.4,3.1
Anthony,MID,5.6,81,78,77,76,3.1,3.4,4.1,3.8
Romero,DEF,5.1,89,87,86,82,4.3,3.5,3.5,3.1
L.Paquetá,MID,5.9,83,82,76,76,3.7,3.1,3.9,3.6
Vicario,GKP,5.1,94,92,91,91,3.9,3.5,3.5,3.3
O.Dango,MID,6.0,73,69,65,71,4.0,3.3,3.6,3.3
Pedro Porro,DEF,5.6,61,78,77,74,3.5,3.7,3.8,3.2
Bowen,FWD,7.7,89,86,86,83,3.6,3.0,4.1,3.6
Tavernier,MID,5.5,69,70,69,66,3.5,3.8,3.2,3.7
Rodrigo,MID,6.4,83,80,81,81,3.9,3.4,3.5,3.3
Sarr,MID,6.4,63,74,82,81,3.0,3.6,4.4,3.2
Diakité,DEF,4.5,90,90,82,83,3.7,3.8,3.0,3.6
Richarlison,FWD,6.8,78,68,55,40,5.0,3.7,3.2,2.2
Cucurella,DEF,6.2,86,77,71,74,3.9,2.7,3.1,4.4
A.Becker,GKP,5.5,93,89,87,85,3.8,3.2,3.6,3.5
Strand Larsen,FWD,6.4,60,75,70,75,2.7,3.6,3.5,4.1
Truffert,DEF,4.5,91,90,85,82,3.6,3.8,2.9,3.6
Pickford,GKP,5.5,92,93,92,91,3.9,3.7,2.8,3.5
Bruno G.,MID,6.5,89,86,85,81,3.3,3.8,3.2,3.5
Konaté,DEF,5.5,86,82,79,76,3.7,3.1,3.6,3.4
Woltemade,FWD,7.1,76,74,67,55,3.4,4.2,3.1,3.1
Andersen,DEF,4.5,92,89,89,89,3.7,3.5,3.2,3.4
Caicedo,MID,5.6,85,86,87,81,3.4,3.2,3.4,3.6
Chalobah,DEF,5.2,87,78,67,66,3.9,2.9,3.0,3.8
Mac Allister,MID,6.4,64,75,70,70,3.1,3.4,3.6,3.4
Pope,GKP,5.0,92,90,89,86,3.2,3.6,3.2,3.5
Lacroix,DEF,5.1,90,89,84,86,3.1,3.7,3.7,2.8
Zubimendi,MID,5.5,90,84,80,82,3.3,3.6,3.1,3.3
Cash,DEF,4.6,79,81,80,75,3.7,4.2,2.8,2.6
Joelinton,MID,5.9,83,81,78,73,3.2,3.8,3.1,3.3
Dewsbury-Hall,MID,5.0,83,71,70,69,4.3,3.2,2.5,3.2
Verbruggen,GKP,4.5,94,92,92,92,3.0,3.6,3.5,3.1
Bogle,DEF,4.5,88,85,78,79,3.2,3.1,3.1,3.7
N.Williams,DEF,4.9,88,85,81,77,4.7,2.9,2.9,2.7
Muñoz,DEF,5.6,88,91,84,85,3.0,3.7,3.9,2.5
Mykolenko,DEF,4.9,87,85,83,78,4.2,3.5,2.3,3.2
E.Le Fée,MID,4.9,75,68,72,71,3.4,2.9,3.8,3.0
Thiago,FWD,6.0,66,66,63,65,3.5,3.1,3.4,3.1
Tonali,MID,5.4,88,83,82,77,3.1,3.6,3.0,3.3
Van de Ven,DEF,4.7,88,84,84,78,4.0,3.2,3.2,2.7
