name,position,cost,xmins_gw4,xmins_gw5,xmins_gw6,xmins_gw7,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7
Lukić,MID,5.0,87,84,84,81,3.6,3.6,3.0,3.0
Diakité,DEF,4.5,92,86,85,83,3.4,3.1,3.2,3.4
Tavernier,MID,5.5,62,62,63,59,3.3,3.2,3.2,3.3
Donnarumma,GKP,5.5,64,92,92,91,2.5,2.9,4.1,3.6
Verbruggen,GKP,4.5,94,92,91,90,3.2,3.5,2.9,3.5
Dorgu,DEF,4.5,83,79,73,67,2.6,3.1,3.1,4.2
Truffert,DEF,4.5,87,85,81,82,3.4,3.1,3.0,3.5
H. Barnes,MID,6.5,71,70,40,40,4.7,3.7,2.1,2.4
Tete,DEF,4.5,81,80,77,76,3.8,3.6,2.7,2.8
Gvardiol,DEF,5.8,59,81,77,78,2.6,2.5,4.3,3.4
Szoboszlai,MID,6.5,66,53,59,53,3.8,3.2,3.0,2.6
Burn,DEF,5.0,83,79,74,72,4.1,3.0,2.4,3.2
Saka,MID,9.8,0,48,82,82,0.0,2.7,4.2,5.7
N.Williams,DEF,5.0,87,77,70,68,2.5,3.6,4.1,2.4
Rodon,DEF,4.0,90,87,84,78,3.1,3.4,3.1,2.9
Robinson,DEF,5.0,69,85,84,85,3.1,3.7,2.8,2.9
Van Hecke,DEF,4.5,91,86,86,85,3.2,3.3,2.5,3.5
Kelleher,GKP,4.5,93,93,92,92,3.1,3.2,3.2,3.0
Muniz,FWD,5.5,66,62,56,50,3.7,3.5,2.7,2.5
Van den Berg,DEF,4.5,90,87,87,84,3.1,3.2,3.3,2.8
Welbeck,FWD,6.3,58,56,60,53,3.1,3.4,2.8,3.1
Gudmundsson,DEF,4.0,87,83,79,76,3.0,3.3,3.1,3.0
Schär,DEF,5.5,61,78,74,74,3.2,3.1,2.6,3.5
Livramento,DEF,5.1,83,81,77,77,4.0,2.8,2.3,3.3
Collins,DEF,5.0,90,85,84,84,3.1,3.1,3.3,2.8
Gravenberch,MID,5.5,80,80,74,73,3.4,3.3,2.9,2.7
José Sá,GKP,4.5,93,92,91,92,2.9,3.4,2.8,3.1
Bogle,DEF,4.5,85,82,80,77,2.9,3.3,3.1,3.0
Saliba,DEF,6.1,40,88,84,82,1.9,3.3,3.1,3.9
Anthony,MID,5.5,76,76,79,73,2.9,3.5,2.9,2.9
Hermansen,GKP,4.5,92,89,92,91,3.3,3.3,3.1,2.6
Van de Ven,DEF,4.6,90,86,86,83,3.1,2.6,3.7,2.8
Amad,MID,6.4,73,68,62,59,2.9,3.0,2.8,3.4
Douglas Luiz,MID,5.0,65,72,71,72,2.5,3.2,3.6,2.9
Mings,DEF,4.5,69,70,72,75,2.5,3.1,3.0,3.5
Roefs,GKP,4.5,94,92,90,92,3.1,3.1,2.9,2.9
Diarra,MID,5.5,84,82,73,82,3.1,3.3,2.8,3.0
De Ligt,DEF,5.0,88,83,76,70,2.5,2.9,2.9,3.7
Kerkez,DEF,6.0,71,71,66,60,3.5,3.6,2.7,2.1
Agbadou,DEF,4.5,91,87,86,81,2.7,3.5,2.8,3.0
Doku,MID,6.4,57,57,52,52,3.2,2.5,3.4,2.8
Elanga,MID,7.0,66,64,43,49,4.0,3.1,2.1,2.7
Calvert-Lewin,FWD,5.5,66,52,52,50,3.2,2.8,3.0,2.8
Gomes,MID,5.4,84,83,81,77,2.9,3.2,2.9,2.9
Zubimendi,MID,5.4,83,79,77,72,3.3,2.8,2.8,3.0
J. O'Brien,DEF,5.0,90,85,82,77,3.4,1.9,3.6,3.0
Xhaka,MID,5.0,88,86,87,83,3.0,3.0,3.0,2.8
