name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
March,MID,6.0,0,0.0,0.0,0.4,1.1,0.8
Janelt,MID,5.0,0,0.0,0.0,0.5,0.9,0.8
Max Dowman,MID,0.0,0,0.0,0.6,0.5,0.6,0.6
Bayindir,GKP,5.0,50,1.6,0.3,0.0,0.1,0.1
Endo,MID,5.0,17,0.8,0.3,0.3,0.4,0.4
Ramsdale,GKP,5.0,6,0.2,0.2,0.3,0.6,0.8
Iroegbunam,MID,5.0,4,0.3,0.4,0.5,0.4,0.4
Benson,MID,5.5,4,0.3,0.5,0.4,0.3,0.5
O'Nien,DEF,4.0,0,0.0,0.0,0.0,0.6,1.4
Álvarez,MID,5.0,4,0.3,0.3,0.4,0.5,0.5
Watson,MID,5.0,6,0.2,0.4,0.5,0.3,0.5
H.Bueno,DEF,4.5,8,0.4,0.3,0.5,0.3,0.5
Roerslev,DEF,4.5,10,0.4,0.5,0.4,0.3,0.3
Lamptey,DEF,4.5,8,0.4,0.3,0.3,0.3,0.5
Faivre,MID,4.5,6,0.4,0.5,0.3,0.3,0.3
Diop,DEF,4.5,11,0.3,0.5,0.3,0.4,0.3
M.França,MID,4.5,0,0.0,0.0,0.0,0.7,1.1
Kostoulas,FWD,5.0,3,0.3,0.3,0.3,0.4,0.4
Igor,DEF,4.5,6,0.1,0.4,0.3,0.4,0.4
George,MID,5.0,8,0.6,0.2,0.3,0.2,0.2
Tsimikas,DEF,5.0,4,0.3,0.2,0.3,0.3,0.5
Andrey Santos,MID,4.5,6,0.3,0.4,0.3,0.3,0.4
Kovačić,MID,6.0,0,0.0,0.0,0.0,0.7,0.9
Raheem Sterling,FWD,0.0,4,0.4,0.3,0.3,0.3,0.3
Jordan,DEF,4.0,1,0.0,0.2,0.3,0.4,0.7
Marshall,FWD,4.5,3,0.3,0.3,0.3,0.3,0.3
Poveda,MID,5.0,2,0.2,0.3,0.3,0.2,0.4
Willock,MID,5.0,0,0.0,0.0,0.0,0.5,1.0
Peart-Harris,MID,4.5,7,0.5,0.4,0.3,0.2,0.1
Obi,FWD,4.5,3,0.3,0.2,0.3,0.3,0.4
A.García,DEF,4.0,2,0.2,0.3,0.3,0.3,0.3
Benitez,GKP,4.0,7,0.2,0.2,0.3,0.4,0.3
Mepham,DEF,4.0,14,0.4,0.2,0.3,0.3,0.2
Soler,DEF,4.0,0,0.0,0.4,0.4,0.2,0.4
C. Roberts,DEF,4.5,9,0.3,0.3,0.2,0.2,0.3
Browne,MID,4.5,3,0.2,0.3,0.3,0.3,0.3
Davies,DEF,4.5,7,0.3,0.2,0.2,0.4,0.2
Heaven,DEF,4.0,5,0.2,0.2,0.4,0.2,0.3
Mamardashvili,GKP,4.5,2,0.1,0.2,0.2,0.4,0.4
Jair Cunha,DEF,4.5,4,0.1,0.2,0.4,0.2,0.4
Carney Chukwuemeka,MID,0.0,3,0.3,0.3,0.1,0.2,0.3
Schmidt,DEF,4.0,17,0.8,0.1,0.1,0.2,0.1
Irving,MID,4.5,3,0.3,0.2,0.2,0.3,0.3
Nkunku,MID,6.0,0,0.0,0.0,0.2,0.6,0.5
Sima,MID,5.5,3,0.3,0.2,0.3,0.2,0.2
Humphreys,DEF,4.0,0,0.0,0.0,0.0,0.2,0.9
Stamenic,MID,4.5,2,0.1,0.1,0.3,0.3,0.3
Valdimarsson,GKP,4.0,18,0.7,0.1,0.2,0.1,0.1
O.Richards,DEF,4.5,2,0.1,0.2,0.4,0.1,0.2
Coleman,DEF,4.5,5,0.2,0.2,0.2,0.2,0.2
Cornet,MID,5.0,1,0.1,0.2,0.3,0.3,0.2
Alex Moreno,DEF,4.0,2,0.1,0.1,0.2,0.2,0.3
Zinchenko,DEF,5.0,2,0.1,0.2,0.2,0.3,0.2
O’Reilly,DEF,5.0,3,0.2,0.2,0.2,0.2,0.2
Trafford,GKP,5.0,2,0.1,0.1,0.3,0.2,0.3
L. Martinez,DEF,5.0,0,0.0,0.0,0.0,0.0,0.9
Acheampong,DEF,4.0,4,0.2,0.2,0.3,0.1,0.2
Delcroix,DEF,4.0,10,0.3,0.3,0.2,0.1,0.1
Y.Chermiti,FWD,5.0,0,0.0,0.1,0.3,0.2,0.2
David Datro Fofana,FWD,0.0,2,0.3,0.1,0.2,0.1,0.2
Leif Davis,DEF,0.0,0,0.0,0.0,0.0,0.4,0.5
Worrall,DEF,4.0,6,0.2,0.4,0.2,0.1,0.1
Arrizabalaga,GKP,4.5,2,0.1,0.1,0.2,0.3,0.3
Mateus Man�,FWD,0.0,0,0.0,0.1,0.3,0.2,0.3
Ahamada,MID,4.5,2,0.1,0.2,0.2,0.1,0.2
Pembele,DEF,4.0,3,0.1,0.1,0.3,0.2,0.1
Josh Bowler,FWD,0.0,1,0.1,0.1,0.1,0.1,0.3
Jörgensen,GKP,4.5,3,0.1,0.1,0.1,0.2,0.2
Iling Jr,MID,5.5,1,0.1,0.1,0.1,0.2,0.3
J.Rak-Sakyi,MID,4.5,0,0.0,0.2,0.1,0.2,0.1
Pedro Lima,DEF,4.0,5,0.2,0.1,0.1,0.1,0.2
Solomon,MID,5.5,0,0.0,0.0,0.1,0.2,0.3
Sarmiento,MID,5.0,0,0.0,0.1,0.1,0.1,0.3
A. Patterson,GKP,4.5,1,0.1,0.1,0.1,0.1,0.2
Greenwood,MID,5.0,0,0.0,0.0,0.2,0.2,0.2
Obafemi,FWD,4.5,2,0.2,0.2,0.0,0.1,0.1
Winterburn,MID,4.5,2,0.2,0.4,0.0,0.0,0.0
Hladký,GKP,4.0,11,0.4,0.2,0.0,0.0,0.0
Krafth,DEF,4.5,1,0.0,0.1,0.2,0.1,0.1
Kinsky,GKP,4.0,0,0.0,0.1,0.2,0.1,0.2
Da Silva Moreira,MID,4.5,2,0.1,0.1,0.1,0.1,0.2
Lecomte,GKP,4.0,1,0.1,0.1,0.1,0.1,0.2
Dennis,GKP,4.0,1,0.0,0.1,0.1,0.1,0.2
Godo,MID,4.5,0,0.0,0.2,0.1,0.1,0.1
Bajcetic,MID,4.5,0,0.0,0.0,0.0,0.2,0.3
Darlow,GKP,4.0,3,0.1,0.1,0.1,0.1,0.1
Axel Disasi,DEF,0.0,1,0.1,0.1,0.1,0.1,0.1
Reed,MID,4.5,0,0.0,0.0,0.1,0.2,0.2
Bryan,MID,5.0,0,0.0,0.0,0.0,0.1,0.3
Neave,FWD,4.5,1,0.2,0.1,0.2,0.0,0.0
B.Badiashile,DEF,4.5,0,0.0,0.0,0.0,0.1,0.3
Collyer,MID,4.5,0,0.0,0.1,0.1,0.2,0.1
Steele,GKP,4.5,0,0.0,0.0,0.1,0.1,0.2
Travers,GKP,4.5,1,0.0,0.0,0.1,0.1,0.2
R.Williams,DEF,4.0,1,0.0,0.1,0.1,0.1,0.1
A. Barnes,FWD,4.5,1,0.1,0.1,0.1,0.0,0.0
Buendía,MID,5.5,1,0.1,0.0,0.0,0.0,0.2
Johnstone,GKP,4.5,0,0.0,0.1,0.0,0.1,0.1
Gunn,GKP,4.0,0,0.0,0.0,0.1,0.0,0.1
Scarlett,FWD,4.5,0,0.0,0.2,0.1,0.0,0.0
Malacia,DEF,4.0,0,0.0,0.1,0.1,0.1,0.0
Bamford,FWD,5.0,0,0.0,0.0,0.0,0.1,0.1
Hjelde,DEF,4.0,0,0.0,0.0,0.0,0.1,0.2
Nelson,MID,5.0,0,0.0,0.0,0.0,0.1,0.2
C.Miguel,GKP,4.0,0,0.0,0.0,0.0,0.1,0.1
Armstrong,MID,4.5,0,0.0,0.0,0.0,0.1,0.1
Cirkin,DEF,4.0,0,0.0,0.0,0.0,0.1,0.2
Renato Veiga,DEF,0.0,0,0.0,0.1,0.1,0.1,0.1
Jimoh-Aloba,MID,4.5,0,0.0,0.0,0.0,0.1,0.1
Kuol,MID,4.5,1,0.1,0.0,0.1,0.0,0.0
Ji-soo,DEF,4.0,0,0.0,0.0,0.0,0.1,0.1
Antoñito C.,MID,5.0,0,0.0,0.1,0.1,0.0,0.0
Amass,DEF,4.0,0,0.0,0.0,0.1,0.1,0.1
Huggins,DEF,4.0,4,0.1,0.0,0.1,0.0,0.0
Sambi,MID,4.5,0,0.0,0.0,0.0,0.1,0.1
Boly,DEF,4.0,0,0.0,0.0,0.1,0.0,0.1
Danns,FWD,4.5,0,0.0,0.0,0.0,0.0,0.2
Nunes,MID,5.0,0,0.0,0.0,0.0,0.0,0.2
Emerson,DEF,4.5,0,0.0,0.1,0.0,0.0,0.1
Maghoma,MID,4.5,0,0.0,0.0,0.1,0.1,0.0
Alese,DEF,4.0,0,0.0,0.0,0.0,0.1,0.1
Nallo,DEF,4.0,0,0.0,0.0,0.1,0.0,0.1
Redmond,FWD,4.5,0,0.0,0.0,0.0,0.0,0.1
Konak,MID,4.5,0,0.0,0.1,0.0,0.0,0.0
Alfie Gilchrist,DEF,0.0,0,0.0,0.0,0.0,0.1,0.0
Akinmboni,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Cox,GKP,4.0,2,0.1,0.0,0.0,0.0,0.0
Targett,DEF,4.0,0,0.0,0.0,0.0,0.1,0.0
Pond,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Heaton,GKP,4.0,1,0.0,0.0,0.0,0.0,0.0
Rio Cardines,DEF,0.0,0,0.0,0.0,0.0,0.0,0.0
Triantis,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Clarke,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Kacurri,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Nichols,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Fábio Vieira,MID,5.5,0,0.0,0.0,0.0,0.0,0.0
Kabia,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
G.Jesus,FWD,6.5,0,0.0,0.0,0.0,0.0,0.0
Gauci,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Marschall,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Sousa,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Yasin,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Barrenechea,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Dobbin,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Broggio,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Dendoncker,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Young,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
N. Neto,GKP,4.5,0,0.0,0.0,0.0,0.0,0.0
McKenna,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Paulsen,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Zabarnyi,DEF,5.0,0,0.0,0.0,0.0,0.0,0.0
Bevan,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Sinisterra,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Sadi,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Silcott-Duberry,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Enes Ünal,FWD,5.5,0,0.0,0.0,0.0,0.0,0.0
Adu-Adjei,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Balcombe,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Eyestone,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Arthur,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Fredrick,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Meghoma,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Onyeka,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Donovan,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Trevitt,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Morgan,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
McGill,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Rushworth,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Scherpen,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Estupiñan,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
Webster,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
Cashin,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Slater,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Tasker,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Enciso,MID,5.5,0,0.0,0.0,0.0,0.0,0.0
Milner,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Yalcouye,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Knight,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Mazilu,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Moran,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Ferguson,FWD,5.5,0,0.0,0.0,0.0,0.0,0.0
Green,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Dodgson,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Sambo,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Boateng,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Churlinov,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Adewumi,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Banel,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Trésor,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Amdouni,FWD,5.0,0,0.0,0.0,0.0,0.0,0.0
Penders,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Slonina,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Colwill,DEF,5.0,0,0.0,0.0,0.0,0.0,0.0
M.Sarr,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
Anselmino,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Mudryk,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Paez,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Matthews,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Chadi Riad,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Holding,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Kporha,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Doucouré,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Agbinone,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Ebiowei,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Ozoh,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Rodney,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Umeh,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Nketiah,FWD,5.5,0,0.0,0.0,0.0,0.0,0.0
Marsh,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Tyrer,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Dixon,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Welch,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Bates,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Ebere,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Heath,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Metcalfe,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Sherif,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Benda,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Amissah,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Harris,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Meslier,GKP,4.5,0,0.0,0.0,0.0,0.0,0.0
Cairns,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Crew,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Gelhardt,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Gyabi,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Mateo Joseph,FWD,5.0,0,0.0,0.0,0.0,0.0,0.0
Pécsi,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Woodman,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Ramsay,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Luis Díaz,MID,8.0,0,0.0,0.0,0.0,0.0,0.0
Doak,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
McConnell,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Morton,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Nyoni,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Darwin,FWD,6.5,0,0.0,0.0,0.0,0.0,0.0
Ortega Moreno,GKP,5.0,0,0.0,0.0,0.0,0.0,0.0
Bettinelli,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Vitor Reis,DEF,5.0,0,0.0,0.0,0.0,0.0,0.0
Echeverri,MID,5.5,0,0.0,0.0,0.0,0.0,0.0
Nypan,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
K. Phillips,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
E. Harrison,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Mee,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
D.Leon,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
Fredricson,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Rashford,MID,7.0,0,0.0,0.0,0.0,0.0,0.0
Garnacho,MID,6.5,0,0.0,0.0,0.0,0.0,0.0
Antony,MID,6.0,0,0.0,0.0,0.0,0.0,0.0
Sancho,MID,6.0,0,0.0,0.0,0.0,0.0,0.0
Fitzgerald,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
J.Fletcher,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Kone,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Moorhouse,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Wheatley,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Gillespie,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Odysseas,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Lascelles,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
A.Murphy,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Ashby,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Pivas,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Hayden,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
J. White,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Turner,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
David Carmo,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
Abbott,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Dominguez,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
L. O'Brien,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
S. Moore,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Nna Noukeu,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
J. Anderson,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Z. Johnson,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Aleksić,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Mundle,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Ba,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Ekwah,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
H.Jones,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Matete,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Abdullahi,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Luís Hemir,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Rusyn,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Austin,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Dragusin,DEF,4.5,0,0.0,0.0,0.0,0.0,0.0
A. Phillips,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Takai,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Vuskovic,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Son,MID,8.5,0,0.0,0.0,0.0,0.0,0.0
Maddison,MID,7.0,0,0.0,0.0,0.0,0.0,0.0
Kulusevski,MID,6.5,0,0.0,0.0,0.0,0.0,0.0
M. Moore,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Min-hyeok,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Olusesi,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Lankshear,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Foderingham,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Hegyi,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Casey,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Earthy,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Orford,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Bentley,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
T. King,GKP,4.0,0,0.0,0.0,0.0,0.0,0.0
Meupiyou,DEF,4.0,0,0.0,0.0,0.0,0.0,0.0
Guedes,MID,5.5,0,0.0,0.0,0.0,0.0,0.0
B.Traore,MID,5.0,0,0.0,0.0,0.0,0.0,0.0
Chirewa,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Edozie,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Gonzalez,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Hodge,MID,4.5,0,0.0,0.0,0.0,0.0,0.0
Fábio Silva,FWD,5.0,0,0.0,0.0,0.0,0.0,0.0
Chiwome,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Fraser,FWD,4.5,0,0.0,0.0,0.0,0.0,0.0
Josh Wilson-Esbrand,DEF,0.0,0,0.0,0.0,0.0,0.0,0.0
Issa Kaboré,DEF,0.0,0,0.0,0.0,0.0,0.0,0.0
Ben Chilwell,DEF,0.0,0,0.0,0.0,0.0,0.0,0.0
Emmanuel Dennis,FWD,0.0,0,0.0,0.0,0.0,0.0,0.0
Hindolo Mustapha,MID,0.0,0,0.0,0.0,0.0,0.0,0.0
Callum Doyle,DEF,0.0,0,0.0,0.0,0.0,0.0,0.0
Sam Chambers,MID,0.0,0,0.0,0.0,0.0,0.0,0.0
