name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
Kilman,DEF,4.5,88,4.0,2.8,3.1,3.2,3.2
Verbruggen,GKP,4.5,94,3.7,3.3,3.0,3.0,3.4
Leno,GKP,5.0,93,3.1,3.4,2.9,3.6,3.3
Szoboszlai,MID,6.5,67,4.1,2.8,2.8,3.0,3.7
Vicario,GKP,5.0,93,3.9,2.9,3.4,3.2,3.1
Anthony,MID,5.5,72,3.2,4.2,3.0,2.7,3.2
Aït-Nouri,DEF,6.0,70,3.8,3.9,3.0,3.4,2.1
Wan-Bissaka,DEF,4.5,91,4.1,2.8,2.9,3.3,3.1
Konsa,DEF,4.5,89,3.1,2.9,3.2,3.0,3.8
Gomes,MID,5.5,84,3.1,3.3,3.3,3.0,3.4
Senesi,DEF,4.5,84,2.4,4.0,3.2,3.4,3.1
Kelleher,GKP,4.5,95,2.6,3.3,3.8,3.1,3.2
José Sá,GKP,4.5,93,3.0,3.0,3.5,2.9,3.4
Estève,DEF,4.0,91,3.0,4.2,2.9,2.4,3.3
D. Henderson,GKP,5.0,87,2.8,3.5,2.8,3.7,3.0
Gana,MID,5.5,88,3.4,3.2,3.3,3.1,2.8
Reijnders,MID,5.5,76,3.6,3.5,3.1,3.2,2.4
Adingra,MID,5.5,81,3.6,3.2,3.2,2.7,3.0
Van Hecke,DEF,4.5,90,3.7,3.3,2.6,2.9,3.2
Perri,GKP,4.5,88,3.5,2.7,3.1,3.1,3.1
Agbadou,DEF,4.5,91,2.8,3.0,3.7,2.6,3.5
Hall,DEF,5.5,66,2.4,2.7,3.6,3.9,3.0
Aina,DEF,5.0,91,3.6,2.9,3.5,2.2,3.3
Pope,GKP,5.0,87,3.0,2.8,3.2,3.4,2.9
Elanga,MID,7.0,61,3.1,3.1,3.4,3.2,2.5
Cash,DEF,4.5,77,2.9,2.7,3.1,2.9,3.5
Roefs,GKP,4.5,91,3.2,3.2,3.1,2.8,2.9
McGinn,MID,5.5,66,3.1,2.7,3.0,2.9,3.4
Dewsbury-Hall,MID,5.0,68,3.1,3.2,3.2,3.2,2.5
Romero,DEF,5.0,88,4.0,2.2,3.3,3.0,2.7
Šeško,FWD,7.5,48,2.3,2.8,4.0,2.7,3.2
Baleba,MID,5.0,83,3.3,3.0,2.7,2.9,3.1
Dorgu,DEF,4.5,85,2.9,3.1,4.3,2.1,2.7
Wharton,MID,5.0,75,2.8,3.0,2.9,3.4,2.9
Hudson-Odoi,MID,6.0,71,3.5,2.9,3.2,2.5,3.0
R. James,DEF,5.5,69,3.5,3.0,3.3,2.5,2.5
Diouf,DEF,4.5,75,3.9,2.7,2.6,2.8,2.7
Gvardiol,DEF,6.0,47,2.2,3.1,3.0,3.8,2.6
Zubimendi,MID,5.5,76,2.9,3.2,2.7,3.1,2.8
Welbeck,FWD,6.5,48,3.0,2.7,2.7,3.0,3.3
Mitchell,DEF,5.0,74,2.2,3.3,2.3,4.0,2.8
André,MID,5.5,87,2.9,3.0,3.0,2.7,3.1
Truffert,DEF,4.5,88,1.9,4.0,2.7,3.1,2.9
N.Aguerd,DEF,4.5,76,3.6,2.5,2.6,2.9,2.8
